Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,54.1,55.36,54.1,55.0,34.23,963100
2000-01-03,55.0,55.77,53.87,54.04,33.64,2203400
2000-01-04,53.75,53.81,51.54,53.09,33.05,2800800
2000-01-05,53.15,53.63,52.14,52.38,32.6,3121100
2000-01-06,52.91,53.51,51.96,53.39,33.23,2504700
2000-01-07,54.1,56.61,53.81,56.25,35.01,4136200
2000-01-10,56.67,57.08,55.59,56.55,35.2,1539100
2000-01-11,57.14,57.38,56.01,56.13,34.94,2770000
2000-01-12,56.61,56.96,56.31,56.67,35.27,2146200
2000-01-13,57.14,57.2,56.73,57.08,35.53,1619300
2000-01-14,57.2,57.68,56.49,57.08,35.53,2673400
2000-01-18,56.96,57.56,54.94,56.25,35.01,3339900
2000-01-19,56.25,56.25,50.05,51.72,32.19,11968600
2000-01-20,51.96,52.67,50.11,50.41,31.38,5447100
2000-01-21,50.53,50.65,47.61,48.92,30.45,5312900
2000-01-24,49.04,49.04,44.81,45.52,28.34,7284100
2000-01-25,44.09,45.7,42.9,45.34,28.22,5290700
2000-01-26,45.7,46.24,43.97,45.4,28.26,5003700
2000-01-27,44.93,45.94,42.54,44.09,27.45,4920200
2000-01-28,43.02,44.45,42.72,43.08,26.82,3293600
2000-01-31,43.08,45.76,43.08,45.76,28.48,3558500
2000-02-01,45.76,46.12,44.93,45.29,28.19,2989900
2000-02-02,45.76,46.72,45.52,46.0,28.63,2725900
2000-02-03,46.0,46.72,44.57,45.29,28.19,2564600
2000-02-04,45.29,45.46,44.09,45.17,28.11,3830400
2000-02-07,44.81,44.81,42.42,42.9,26.7,2786400
2000-02-08,43.85,44.75,42.84,43.14,26.85,4716900
2000-02-09,42.42,42.84,40.52,41.71,25.96,3887700
2000-02-10,41.23,42.37,40.4,41.23,25.67,3323000
2000-02-11,40.52,42.37,40.28,40.28,25.07,3398300
2000-02-14,41.23,42.78,40.64,40.64,25.29,3405300
2000-02-15,40.88,44.45,40.76,44.15,27.48,3576600
2000-02-16,43.97,43.97,42.54,42.78,26.74,2862300
2000-02-17,44.09,44.69,43.32,44.27,27.67,2501500
2000-02-18,44.03,44.21,41.89,42.25,26.41,2509500
2000-02-22,42.01,45.05,40.99,45.05,28.16,2590500
2000-02-23,45.05,45.05,41.89,43.08,26.93,2300700
2000-02-24,43.08,43.91,40.58,43.62,27.26,3674800
2000-02-25,43.62,44.57,42.31,44.39,27.75,2698200
2000-02-28,44.45,46.48,43.32,45.76,28.61,3050400
2000-02-29,46.72,47.55,45.58,45.88,28.68,2803100
2000-03-01,46.72,47.37,44.39,45.88,28.68,2389900
2000-03-02,45.88,45.88,42.9,43.74,27.34,2390800
2000-03-03,43.97,46.18,42.66,43.38,27.12,3312100
2000-03-06,43.62,43.62,41.95,42.25,26.41,2419100
2000-03-07,41.47,41.59,39.27,39.86,24.92,3324200
2000-03-08,39.74,41.11,38.43,40.7,25.44,4569300
2000-03-09,42.31,43.02,40.82,41.95,26.22,4907900
2000-03-10,43.38,43.5,41.83,43.26,27.04,3396900
2000-03-13,42.78,43.32,41.83,42.54,26.59,2238600
2000-03-14,42.6,43.85,42.19,42.9,26.82,2446500
2000-03-15,42.07,44.33,41.47,43.8,27.38,4191800
2000-03-16,45.64,47.97,44.39,47.43,29.65,4170400
2000-03-17,46.36,47.31,44.69,44.69,27.94,4578100
2000-03-20,45.52,47.55,44.09,45.29,28.31,3576700
2000-03-21,44.81,47.67,44.75,47.67,29.8,3217300
2000-03-22,47.07,47.07,44.09,44.09,27.56,3007000
2000-03-23,44.57,45.4,43.74,44.09,27.56,3422900
2000-03-24,44.15,47.37,43.85,47.31,29.57,3155800
2000-03-27,46.48,47.01,44.81,45.76,28.61,3039000
2000-03-28,45.17,46.36,44.45,44.63,27.9,2426100
2000-03-29,44.45,47.31,44.45,46.72,29.2,2610800
2000-03-30,46.77,49.81,46.72,49.1,30.69,5189700
2000-03-31,50.53,51.48,48.74,50.23,31.4,4237100
2000-04-03,52.44,52.44,50.83,51.84,32.4,3496000
2000-04-04,52.32,52.67,49.46,51.24,32.03,2987500
2000-04-05,51.01,52.32,50.29,50.29,31.44,1990100
2000-04-06,50.77,51.18,48.62,49.69,31.06,1841800
2000-04-07,49.34,50.65,49.1,49.22,30.77,1321400
2000-04-10,49.22,52.26,48.74,51.01,31.88,2335600
2000-04-11,51.72,54.1,51.6,53.45,33.41,2895400
