Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.56,10.91,10.47,10.88,5.51,620600
2000-01-03,10.59,10.59,10.06,10.31,5.23,1145000
2000-01-04,10.06,10.38,9.91,10.0,5.07,1927200
2000-01-05,10.06,10.22,9.88,10.0,5.07,1285600
2000-01-06,10.06,10.81,10.0,10.59,5.37,577000
2000-01-07,10.91,11.22,10.69,10.84,5.5,563800
2000-01-10,10.84,10.91,10.44,10.81,5.48,499400
2000-01-11,10.94,11.19,10.62,11.12,5.64,780600
2000-01-12,11.12,11.38,11.0,11.0,5.58,650400
2000-01-13,11.0,11.59,11.0,11.25,5.7,739400
2000-01-14,11.25,11.94,11.19,11.69,5.92,754400
2000-01-18,11.56,12.03,11.56,11.69,5.92,906600
2000-01-19,11.25,12.38,11.22,12.12,6.15,812800
2000-01-20,11.94,11.94,11.25,11.34,5.75,621400
2000-01-21,11.47,12.12,11.47,11.81,5.99,591600
2000-01-24,11.78,12.03,11.44,11.62,5.89,671800
2000-01-25,11.62,11.97,11.47,11.69,5.92,707400
2000-01-26,11.56,12.25,11.56,11.75,5.96,1347000
2000-01-27,11.84,12.12,11.38,11.47,5.81,836000
2000-01-28,11.53,11.78,11.25,11.31,5.73,503200
2000-01-31,11.34,11.78,11.25,11.75,5.96,571800
2000-02-01,11.69,12.0,11.56,12.0,6.08,291600
2000-02-02,11.69,12.25,11.59,11.62,5.89,640200
2000-02-03,11.72,12.03,11.53,11.75,5.96,570800
2000-02-04,11.75,12.0,11.66,11.78,5.97,312000
2000-02-07,11.66,12.38,11.66,12.31,6.24,436800
2000-02-08,12.44,12.44,11.75,11.94,6.05,583000
2000-02-09,11.94,11.94,11.5,11.5,5.83,742800
2000-02-10,11.56,12.12,11.56,12.03,6.1,485200
2000-02-11,11.94,12.19,11.84,11.91,6.05,521800
2000-02-14,12.0,12.5,11.66,12.38,6.29,987800
2000-02-15,12.44,13.0,12.44,12.88,6.55,563600
2000-02-16,12.81,13.19,12.66,13.0,6.61,521000
2000-02-17,13.09,13.22,12.62,13.19,6.7,569200
2000-02-18,13.06,13.06,12.41,12.44,6.32,338000
2000-02-22,12.41,12.5,11.88,12.16,6.18,464200
2000-02-23,12.12,12.12,11.81,11.84,6.02,230400
2000-02-24,11.59,12.69,11.59,12.56,6.39,604800
2000-02-25,12.44,12.44,11.97,12.16,6.18,394400
2000-02-28,11.94,12.72,11.84,12.66,6.43,396400
2000-02-29,12.53,13.34,12.53,13.31,6.77,684200
2000-03-01,13.19,13.44,12.91,13.44,6.83,778600
2000-03-02,13.44,14.28,13.44,14.12,7.18,769600
2000-03-03,14.19,14.19,13.62,14.0,7.12,1317600
2000-03-06,13.81,14.38,13.81,14.19,7.21,644800
2000-03-07,14.19,14.78,14.19,14.56,7.4,734000
2000-03-08,14.38,14.38,13.44,14.0,7.12,580600
2000-03-09,14.0,14.03,13.44,13.47,6.85,656400
2000-03-10,13.5,14.31,13.44,13.5,6.86,945400
2000-03-13,13.47,13.97,13.28,13.62,6.93,893800
2000-03-14,13.66,13.66,12.59,13.19,6.7,458400
2000-03-15,13.19,13.22,12.53,12.88,6.55,363600
2000-03-16,12.94,13.62,12.66,13.62,6.93,803600
2000-03-17,13.12,13.31,12.91,13.19,6.7,487400
2000-03-20,13.22,13.22,12.62,12.75,6.48,353200
2000-03-21,12.66,13.44,12.66,13.44,6.83,466000
2000-03-22,13.12,14.09,13.12,13.66,6.94,714200
2000-03-23,13.56,13.91,13.44,13.72,6.97,388600
2000-03-24,13.72,14.25,13.56,13.97,7.1,1019600
2000-03-27,13.84,14.44,13.61,14.25,7.24,469200
2000-03-28,14.12,14.47,13.69,13.94,7.09,503800
2000-03-29,13.62,14.5,13.56,14.44,7.34,634000
2000-03-30,14.38,14.97,14.34,14.87,7.56,1396200
2000-03-31,14.88,15.62,14.81,15.5,7.88,1931000
2000-04-03,15.56,16.0,15.28,15.91,8.09,866800
2000-04-04,15.91,15.91,14.38,15.16,7.71,744800
2000-04-05,15.16,15.31,14.66,14.72,7.48,728600
2000-04-06,15.0,15.38,14.94,15.25,7.75,542200
2000-04-07,15.19,15.75,15.19,15.53,7.9,702600
2000-04-10,15.41,15.41,14.38,14.53,7.39,518600
2000-04-11,15.0,15.44,14.91,15.38,7.82,695000
2000-04-12,15.31,16.16,15.31,16.12,8.2,833400
2000-04-13,15.81,16.12,15.12,15.19,7.72,483200
2000-04-14,15.31,15.88,15.0,15.34,7.8,980000
2000-04-17,15.34,15.41,14.5,14.97,7.61,789800
2000-04-18,14.69,15.66,14.69,15.38,7.82,865400
2000-04-19,15.0,15.66,14.94,15.06,7.66,661600
2000-04-20,15.06,15.88,15.06,15.69,7.98,637600
2000-04-24,15.69,16.12,15.38,15.38,7.82,731400
2000-04-25,15.34,15.81,15.09,15.19,7.72,563600
2000-04-26,15.16,15.72,14.62,15.53,7.9,755800
2000-04-27,15.25,16.19,15.25,15.72,7.99,552000
2000-04-28,15.69,15.91,15.5,15.66,7.96,421400
2000-05-01,15.59,15.97,15.19,15.59,7.93,457600
2000-05-02,15.5,16.25,15.44,15.97,8.12,548800
2000-05-03,15.94,16.19,15.5,15.75,8.01,654400
2000-05-04,15.62,16.41,15.62,16.16,8.21,659400
2000-05-05,16.19,17.16,16.19,17.06,8.67,1160200
2000-05-08,17.0,17.75,16.94,16.97,8.63,884800
2000-05-09,16.88,17.09,16.56,16.91,8.6,552200
2000-05-10,16.97,16.97,16.12,16.34,8.31,482200
2000-05-11,16.19,16.78,16.03,16.75,8.53,575600
2000-05-12,16.69,17.0,16.38,16.97,8.65,293600
2000-05-15,17.03,18.19,16.81,18.0,9.17,982800
2000-05-16,17.69,17.97,17.06,17.72,9.03,688800
2000-05-17,17.47,18.16,17.38,18.16,9.25,710800
2000-05-18,18.09,18.09,17.28,17.5,8.92,544200
2000-05-19,17.5,17.56,17.28,17.34,8.84,276400
2000-05-22,17.28,17.38,16.81,16.91,8.61,633800
2000-05-23,16.59,17.44,16.59,17.41,8.87,669600
2000-05-24,17.41,17.62,16.69,17.09,8.71,848000
2000-05-25,17.09,17.16,16.62,17.03,8.68,475600
2000-05-26,17.31,17.56,17.22,17.25,8.79,424800
2000-05-30,17.22,17.81,17.22,17.34,8.84,474200
2000-05-31,17.31,18.69,17.31,18.62,9.49,823600
2000-06-01,18.56,18.66,17.94,18.38,9.36,737800
2000-06-02,18.5,18.75,17.41,17.41,8.87,599800
2000-06-05,17.31,17.97,16.66,16.69,8.5,721400
2000-06-06,16.81,17.91,16.81,17.69,9.01,365600
2000-06-07,17.69,17.84,17.12,17.53,8.93,662200
2000-06-08,17.59,18.47,17.59,18.47,9.41,515800
2000-06-09,18.41,18.41,17.53,17.66,9.0,482600
2000-06-12,17.72,18.88,17.72,18.62,9.49,680200
2000-06-13,18.56,18.97,18.19,18.28,9.31,509400
2000-06-14,18.28,19.0,17.78,18.03,9.19,411400
2000-06-15,18.31,18.84,18.0,18.25,9.3,732000
2000-06-16,17.81,18.47,17.81,18.47,9.41,868400
2000-06-19,18.53,18.53,17.5,18.12,9.23,548000
2000-06-20,18.03,18.31,17.28,18.0,9.17,941400
2000-06-21,17.94,18.88,17.72,18.88,9.62,907200
2000-06-22,18.88,19.0,17.72,18.09,9.22,869000
2000-06-23,18.09,18.84,18.09,18.56,9.46,555800
2000-06-26,18.59,18.75,17.47,17.75,9.04,505600
2000-06-27,17.75,17.81,17.41,17.72,9.03,871600
2000-06-28,17.72,17.72,17.0,17.03,8.68,618400
2000-06-29,17.06,17.59,17.06,17.41,8.87,759800
2000-06-30,17.09,18.7,16.88,18.7,9.53,2297800
2000-07-03,18.53,18.53,17.66,17.84,9.09,500200
2000-07-05,17.88,17.88,16.44,16.59,8.45,700800
2000-07-06,16.56,17.16,16.47,16.59,8.45,577000
2000-07-07,16.66,16.81,16.31,16.47,8.39,326200
2000-07-10,16.34,16.69,15.91,16.34,8.33,660800
2000-07-11,16.28,17.56,16.28,17.5,8.92,1131000
2000-07-12,17.59,17.59,16.72,16.75,8.53,565200
2000-07-13,16.75,16.75,16.3,16.53,8.42,604400
2000-07-14,16.66,17.0,16.44,16.84,8.58,317200
2000-07-17,16.81,16.81,15.97,16.12,8.22,705400
2000-07-18,16.12,17.12,16.12,16.62,8.47,600800
2000-07-19,16.5,16.78,16.28,16.53,8.42,421000
2000-07-20,16.5,16.56,15.84,16.44,8.37,980000
2000-07-21,16.5,16.5,15.84,16.0,8.15,631200
2000-07-24,15.94,16.09,15.41,15.5,7.9,701800
2000-07-25,15.5,15.84,14.88,14.94,7.61,863400
2000-07-26,14.94,15.25,14.84,15.03,7.66,688400
2000-07-27,15.06,15.69,15.06,15.41,7.85,810800
2000-07-28,15.59,15.84,15.38,15.78,8.04,424600
2000-07-31,15.81,16.0,15.5,16.0,8.15,365000
2000-08-01,15.91,16.47,15.91,16.38,8.34,362400
2000-08-02,16.47,16.91,16.47,16.62,8.47,542200
2000-08-03,17.0,17.0,16.62,16.75,8.53,782400
