Date,Open,High,Low,Close,Adj Close,Volume
2015-10-19,10.75,10.75,9.58,9.62,8.79,2721200
2015-10-20,9.44,9.84,9.44,9.8,8.96,1220800
2015-10-21,10.03,10.08,9.53,9.58,8.76,135200
2015-10-22,9.71,9.91,9.44,9.85,9.01,189200
2015-10-23,10.03,10.03,9.79,9.88,9.03,102900
2015-10-26,9.94,9.94,9.48,9.54,8.72,885600
2015-10-27,9.62,9.74,9.07,9.14,8.36,1094200
2015-10-28,9.24,9.5,9.21,9.46,8.65,509700
2015-10-29,9.31,9.46,9.04,9.27,8.48,499600
2015-10-30,9.24,9.36,8.56,8.56,7.82,4214100
2015-11-02,8.71,8.82,8.06,8.42,7.7,70312600
2015-11-03,8.18,8.55,7.95,8.35,7.63,69176300
2015-11-04,8.36,8.43,7.91,7.94,7.26,54241800
2015-11-05,7.93,8.07,7.63,7.72,7.06,38179900
2015-11-06,7.66,8.42,7.64,8.37,7.65,51702600
2015-11-09,8.29,8.42,8.21,8.25,7.55,30158000
2015-11-10,8.21,8.39,8.14,8.38,7.66,25426000
2015-11-11,8.25,8.32,8.19,8.2,7.5,18942200
2015-11-12,8.03,8.03,7.9,7.96,7.28,35050600
2015-11-13,7.91,8.0,7.64,7.78,7.11,25678400
2015-11-16,7.77,7.91,7.64,7.78,7.11,23712100
2015-11-17,7.78,7.84,7.63,7.68,7.02,21370500
2015-11-18,7.83,7.98,7.67,7.93,7.25,22402400
2015-11-19,7.86,8.07,7.86,8.01,7.32,22662200
2015-11-20,8.01,8.5,7.95,8.26,7.55,31932300
2015-11-23,8.24,8.26,7.89,8.05,7.36,26354200
2015-11-24,7.89,8.15,7.85,7.96,7.27,41484100
2015-11-25,8.08,8.64,8.04,8.21,7.5,39017100
2015-11-27,8.21,8.51,8.17,8.34,7.63,10395000
2015-11-30,8.27,8.72,8.24,8.64,7.9,50075500
2015-12-01,8.65,9.23,8.63,9.07,8.29,43197200
2015-12-02,8.93,9.03,8.64,8.69,7.94,21818500
2015-12-03,8.72,8.92,8.47,8.5,7.77,32527300
2015-12-04,8.36,8.89,8.28,8.85,8.09,20648400
2015-12-07,8.72,9.0,8.67,8.98,8.24,16424400
2015-12-08,8.77,8.89,8.5,8.82,8.09,19988600
2015-12-09,8.71,8.94,8.53,8.63,7.92,24538300
2015-12-10,8.6,8.61,8.44,8.56,7.85,19528600
2015-12-11,8.71,8.95,8.22,8.24,7.56,18265700
2015-12-14,8.31,8.43,8.09,8.39,7.7,19834700
2015-12-15,8.43,8.71,8.42,8.46,7.76,22175600
2015-12-16,8.5,8.61,8.46,8.54,7.84,13490800
2015-12-17,8.49,8.56,8.26,8.32,7.63,13118600
2015-12-18,8.29,8.36,8.14,8.23,7.55,33271400
2015-12-21,8.21,8.37,8.06,8.15,7.48,16970300
2015-12-22,8.16,8.22,8.09,8.17,7.5,12547100
2015-12-23,8.25,8.7,8.17,8.67,7.95,19359600
2015-12-24,8.61,8.82,8.6,8.73,8.01,3748100
2015-12-28,8.65,8.88,8.61,8.85,8.12,10203800
2015-12-29,8.89,8.97,8.82,8.83,8.11,10797800
2015-12-30,8.89,9.0,8.81,8.88,8.15,10796700
2015-12-31,8.85,8.9,8.78,8.83,8.11,11644800
2016-01-04,8.7,8.81,8.57,8.79,8.07,25940400
2016-01-05,8.79,8.86,8.68,8.74,8.02,17770100
2016-01-06,8.5,8.72,8.43,8.6,7.89,19468100
2016-01-07,8.43,8.46,7.93,7.97,7.31,34143900
2016-01-08,8.0,8.15,7.74,7.87,7.22,28272000
2016-01-11,7.81,7.97,7.6,7.71,7.07,25998800
2016-01-12,7.76,7.8,7.61,7.71,7.07,21435500
2016-01-13,7.76,7.76,7.28,7.41,6.8,30489600
2016-01-14,7.41,7.65,7.35,7.56,6.93,22973700
2016-01-15,7.32,7.44,7.26,7.29,6.69,33945600
2016-01-19,7.37,7.43,7.09,7.16,6.57,22239600
2016-01-20,6.97,7.09,6.76,7.01,6.43,28630200
2016-01-21,6.97,7.29,6.87,7.21,6.62,28784100
2016-01-22,7.38,7.81,7.35,7.76,7.12,26272600
2016-01-25,7.72,7.88,7.63,7.75,7.11,19241600
2016-01-26,7.76,7.98,7.76,7.9,7.25,18454700
2016-01-27,7.86,7.91,7.53,7.78,7.14,31803600
2016-01-28,7.82,7.96,7.6,7.67,7.03,16989400
2016-01-29,7.79,8.07,7.76,8.0,7.34,19548700
2016-02-01,7.95,8.07,7.86,8.01,7.35,16430600
2016-02-02,7.96,8.12,7.76,7.82,7.17,16650600
2016-02-03,7.94,8.0,7.62,7.77,7.13,12995300
2016-02-04,7.74,8.07,7.74,8.05,7.39,11181900
2016-02-05,7.96,7.99,7.58,7.67,7.04,22758900
2016-02-08,7.56,7.58,7.19,7.27,6.67,25491500
2016-02-09,7.19,7.47,7.15,7.39,6.78,11504400
2016-02-10,7.42,7.6,7.39,7.47,6.86,10292600
2016-02-11,7.31,7.36,6.98,7.21,6.61,16920400
2016-02-12,7.27,7.43,7.08,7.14,6.55,18150700
2016-02-16,7.21,7.26,7.13,7.17,6.58,20606800
2016-02-17,7.2,7.64,7.19,7.57,6.94,14910600
2016-02-18,7.58,7.96,7.57,7.86,7.22,20189000
2016-02-19,7.85,7.99,7.7,7.95,7.29,16197900
2016-02-22,7.99,8.07,7.89,8.02,7.36,18505500
2016-02-23,7.97,8.03,7.46,7.61,6.98,25200900
2016-02-24,7.56,7.89,7.45,7.86,7.22,22757500
2016-02-25,7.82,7.97,7.7,7.95,7.3,20784000
2016-02-26,8.01,8.02,7.64,7.81,7.17,18624500
2016-02-29,7.74,7.83,7.67,7.71,7.08,21932300
2016-03-01,7.8,7.83,7.61,7.72,7.08,14373700
2016-03-02,7.78,8.17,7.76,8.08,7.41,17234100
2016-03-03,8.08,8.11,7.72,7.9,7.25,17256400
2016-03-04,8.66,9.21,8.61,8.97,8.23,57415700
2016-03-07,8.79,9.29,8.75,9.28,8.55,31792700
2016-03-08,9.15,9.18,8.84,8.85,8.15,21215200
2016-03-09,8.92,9.2,8.89,9.0,8.29,19045400
2016-03-10,9.04,9.42,9.02,9.24,8.51,24578200
2016-03-11,9.3,9.56,9.3,9.49,8.74,26984400
2016-03-14,9.42,9.63,9.32,9.54,8.78,16641800
2016-03-15,9.51,9.81,9.44,9.75,8.98,23974400
2016-03-16,9.71,10.01,9.65,9.99,9.2,21530900
2016-03-17,9.96,10.07,9.86,9.97,9.18,18699200
2016-03-18,9.98,10.22,9.93,10.07,9.27,53273300
2016-03-21,10.07,10.43,10.05,10.29,9.48,18463100
2016-03-22,10.12,10.51,10.08,10.18,9.37,19474000
2016-03-23,10.18,10.21,9.93,10.15,9.34,19674300
2016-03-24,10.12,10.25,9.94,10.21,9.4,15261200
2016-03-28,10.16,10.27,10.01,10.18,9.37,9518600
2016-03-29,10.1,10.28,10.01,10.26,9.45,10197000
2016-03-30,10.3,10.41,10.25,10.4,9.57,18156300
2016-03-31,10.37,10.44,10.18,10.3,9.49,17876200
2016-04-01,10.24,10.78,10.21,10.69,9.85,25550000
2016-04-04,10.72,10.72,10.42,10.48,9.65,13191400
2016-04-05,10.39,10.41,10.21,10.24,9.42,14280500
2016-04-06,10.26,10.45,10.15,10.44,9.61,17879800
2016-04-07,10.34,10.48,10.24,10.31,9.49,16196800
2016-04-08,10.37,10.63,10.35,10.4,9.57,12525200
2016-04-11,10.43,10.5,10.26,10.3,9.49,10114200
2016-04-12,10.29,10.32,9.99,10.02,9.23,15119900
2016-04-13,10.05,10.18,9.97,10.17,9.37,14182800
2016-04-14,10.09,10.11,9.92,10.03,9.24,11503900
2016-04-15,10.12,10.16,9.79,10.11,9.31,20409100
2016-04-18,10.0,10.16,9.96,10.14,9.33,9740800
2016-04-19,10.15,10.16,9.97,10.02,9.23,11079800
2016-04-20,9.92,10.17,9.92,10.11,9.31,9359900
2016-04-21,10.08,10.31,10.07,10.15,9.34,10272200
2016-04-22,10.14,10.29,10.07,10.17,9.36,13692100
2016-04-25,10.09,10.12,9.78,10.0,9.21,10051600
2016-04-26,10.03,10.15,10.01,10.09,9.29,10813800
2016-04-27,10.05,10.18,10.03,10.06,9.26,10948800
2016-04-28,9.98,10.1,9.83,9.9,9.11,8237200
2016-04-29,9.82,9.83,9.6,9.68,8.92,12195300
2016-05-02,9.68,9.74,9.46,9.53,8.78,14557900
2016-05-03,9.43,9.44,9.17,9.26,8.53,19039000
2016-05-04,9.18,9.3,9.11,9.26,8.53,11420700
2016-05-05,9.27,9.28,9.09,9.14,8.41,6054900
2016-05-06,9.08,9.22,9.04,9.17,8.45,8574500
2016-05-09,9.13,9.28,9.11,9.22,8.49,8505200
2016-05-10,9.24,9.24,9.07,9.24,8.5,8192700
2016-05-11,9.24,9.51,9.23,9.31,8.57,11132300
2016-05-12,9.35,9.38,9.21,9.24,8.51,9321700
2016-05-13,9.24,9.37,9.12,9.17,8.44,11680700
2016-05-16,9.16,9.35,9.13,9.28,8.54,15174200
2016-05-17,9.23,9.42,9.12,9.19,8.47,25107300
2016-05-18,9.18,9.26,9.02,9.11,8.39,11315200
2016-05-19,9.01,9.18,8.94,9.17,8.45,11501700
2016-05-20,9.16,9.29,9.1,9.22,8.49,15455400
2016-05-23,9.23,9.46,9.22,9.34,8.6,14882500
2016-05-24,9.36,9.5,9.29,9.44,8.7,21613600
2016-05-25,10.65,10.75,9.95,10.08,9.29,75418400
2016-05-26,9.88,10.28,9.79,10.11,9.31,37392900
2016-05-27,10.15,10.66,10.15,10.61,9.77,39501400
2016-05-31,10.46,10.73,10.32,10.73,9.89,42932800
2016-06-01,10.64,10.68,10.54,10.63,9.79,21150900
2016-06-02,10.54,10.77,10.52,10.75,9.9,23508300
2016-06-03,10.69,10.75,10.62,10.67,9.82,15976100
2016-06-06,10.62,11.03,10.62,10.98,10.15,22094100
2016-06-07,10.95,11.19,10.91,11.14,10.29,24580100
2016-06-08,11.2,11.4,11.16,11.25,10.39,27220300
2016-06-09,11.27,11.42,11.23,11.36,10.49,16130800
2016-06-10,11.22,11.23,10.98,11.11,10.26,16914200
2016-06-13,11.05,11.13,10.8,10.81,9.98,17458700
2016-06-14,10.73,10.83,10.59,10.64,9.83,24700400
2016-06-15,10.71,11.08,10.7,10.93,10.09,20590800
2016-06-16,10.86,10.94,10.8,10.85,10.02,21213200
2016-06-17,10.8,11.05,10.75,11.01,10.17,28631900
2016-06-20,11.17,11.4,11.14,11.26,10.4,27304300
2016-06-21,11.28,11.54,11.19,11.48,10.61,19885600
2016-06-22,11.43,11.48,11.15,11.16,10.31,18191900
2016-06-23,11.26,11.44,11.24,11.42,10.55,17522700
2016-06-24,10.82,11.09,10.53,10.55,9.75,43737700
2016-06-27,10.46,10.47,9.86,10.0,9.23,31383400
2016-06-28,10.17,10.22,9.94,10.11,9.34,23461000
2016-06-29,10.31,10.41,10.23,10.33,9.54,14211600
2016-06-30,10.42,10.75,10.39,10.62,9.81,21494300
2016-07-01,10.73,10.83,10.55,10.75,9.93,15361900
2016-07-05,10.69,10.71,10.43,10.58,9.77,10555200
2016-07-06,10.46,10.71,10.42,10.69,9.88,12498900
2016-07-07,10.66,10.87,10.66,10.73,9.91,10799800
2016-07-08,10.9,11.07,10.8,11.07,10.22,18751400
2016-07-11,11.13,11.31,11.12,11.24,10.38,17483700
2016-07-12,11.29,11.57,11.29,11.44,10.57,22280200
2016-07-13,11.44,11.48,11.22,11.33,10.47,11816000
2016-07-14,11.4,11.72,11.4,11.62,10.73,25670900
2016-07-15,11.67,11.72,11.44,11.49,10.61,15047000
2016-07-18,11.46,11.61,11.42,11.5,10.62,10118300
2016-07-19,11.44,11.59,11.44,11.5,10.62,9522700
2016-07-20,11.51,11.67,11.46,11.66,10.77,9143000
2016-07-21,11.64,11.72,11.45,11.48,10.6,15580200
2016-07-22,11.52,11.65,11.47,11.65,10.76,14395000
2016-07-25,11.83,11.91,11.73,11.75,10.85,16714900
2016-07-26,11.73,11.89,11.71,11.89,10.98,13674200
2016-07-27,11.91,12.01,11.77,11.83,10.92,11275200
2016-07-28,11.8,11.87,11.71,11.8,10.9,7497200
2016-07-29,11.81,12.73,11.68,12.22,11.28,54130200
2016-08-01,12.29,12.55,11.99,12.25,11.32,23908200
2016-08-02,12.22,12.26,12.0,12.07,11.15,18970300
2016-08-03,12.07,12.51,12.02,12.5,11.55,23912300
2016-08-04,12.48,12.74,12.47,12.65,11.68,15358400
2016-08-05,12.69,12.9,12.65,12.73,11.76,16329900
2016-08-08,12.79,12.89,12.54,12.58,11.62,13379300
2016-08-09,12.63,12.71,12.57,12.61,11.65,13865200
2016-08-10,12.63,12.64,12.46,12.53,11.57,9788900
2016-08-11,12.55,12.71,12.51,12.66,11.69,13035900
2016-08-12,12.6,12.76,12.49,12.72,11.75,18171200
2016-08-15,12.75,12.9,12.73,12.79,11.82,12316500
2016-08-16,12.73,12.89,12.68,12.82,11.84,10498100
2016-08-17,12.82,12.9,12.48,12.58,11.62,16809000
