Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.94,11.09,10.91,10.94,6.07,374400
2000-01-03,10.88,10.97,10.42,10.45,5.8,939200
2000-01-04,10.56,11.12,10.03,10.17,5.65,4182800
2000-01-05,10.25,11.22,10.25,11.12,6.18,4955200
2000-01-06,11.0,11.09,10.66,11.02,6.12,1614800
2000-01-07,11.05,11.5,11.05,11.39,6.33,1527200
2000-01-10,11.36,11.41,11.17,11.3,6.27,828400
2000-01-11,11.25,12.0,11.2,11.91,6.61,2268800
2000-01-12,11.91,12.06,11.66,11.88,6.59,1739200
2000-01-13,11.84,11.88,11.59,11.84,6.58,1216800
2000-01-14,11.81,11.81,11.56,11.64,6.46,1292800
2000-01-18,11.61,11.67,11.5,11.53,6.4,1086800
2000-01-19,11.5,11.66,11.45,11.47,6.37,1524400
2000-01-20,11.34,11.36,11.17,11.31,6.28,721200
2000-01-21,11.31,11.31,11.03,11.23,6.24,1639200
2000-01-24,11.28,11.31,10.91,10.95,6.08,1156800
2000-01-25,10.98,10.98,10.64,10.88,6.04,1735600
2000-01-26,10.94,11.09,10.83,10.92,6.06,1256800
2000-01-27,10.94,11.16,10.81,10.95,6.08,1490800
2000-01-28,10.91,10.94,10.62,10.94,6.07,1366000
2000-01-31,10.94,10.94,10.75,10.78,5.99,1068000
2000-02-01,10.78,11.0,10.59,10.64,5.91,1871600
2000-02-02,10.59,11.17,10.58,11.12,6.18,1673600
2000-02-03,11.14,11.42,11.14,11.34,6.3,2622800
2000-02-04,11.28,11.5,11.16,11.5,6.39,1538800
2000-02-07,11.41,11.42,11.33,11.36,6.31,1466000
2000-02-08,11.34,11.47,11.27,11.33,6.29,1636000
2000-02-09,11.3,11.3,10.7,10.77,5.98,1392400
2000-02-10,10.75,10.81,10.58,10.78,5.99,1899200
2000-02-11,10.77,10.88,10.75,10.8,6.0,1075200
2000-02-14,10.8,10.83,10.69,10.69,5.93,1627200
2000-02-15,10.73,10.84,10.59,10.84,6.02,1233200
2000-02-16,10.81,10.98,10.69,10.73,5.96,1738000
2000-02-17,10.75,10.75,10.14,10.17,5.65,1798800
2000-02-18,10.22,10.39,9.88,10.09,5.61,1432400
2000-02-22,10.09,10.3,9.98,10.11,5.61,1156000
2000-02-23,10.05,10.3,10.05,10.17,5.65,1468000
2000-02-24,10.28,10.62,10.28,10.62,5.9,3400800
2000-02-25,10.59,10.95,10.59,10.72,5.95,1851200
2000-02-28,10.69,10.7,10.34,10.41,5.78,1020400
2000-02-29,10.47,11.03,10.31,10.97,6.09,2206400
2000-03-01,11.03,11.12,10.84,10.94,6.07,1875200
2000-03-02,10.94,11.0,10.56,10.98,6.1,1177200
2000-03-03,10.97,11.23,10.97,11.22,6.23,2203200
2000-03-06,11.09,11.25,10.94,11.19,6.21,1827600
2000-03-07,11.16,11.16,10.62,10.62,5.9,796000
2000-03-08,10.66,10.78,10.44,10.59,5.88,1261600
2000-03-09,10.47,10.84,10.47,10.78,6.03,1358400
2000-03-10,10.75,11.0,10.66,10.73,6.0,1012000
2000-03-13,10.67,10.7,10.48,10.52,5.88,833600
2000-03-14,10.42,10.48,10.22,10.25,5.73,899200
2000-03-15,10.31,10.67,10.27,10.47,5.85,2139200
2000-03-16,10.81,11.5,10.72,11.28,6.31,4383600
2000-03-17,11.28,11.8,11.22,11.23,6.28,3069600
2000-03-20,11.23,11.27,10.81,10.92,6.1,1115600
2000-03-21,10.98,11.56,10.97,11.31,6.32,2819600
2000-03-22,11.22,11.25,10.81,11.03,6.17,1467200
2000-03-23,11.09,11.25,10.95,11.06,6.18,3941600
2000-03-24,11.25,11.44,10.59,10.7,5.98,3626800
2000-03-27,10.73,11.59,10.73,11.27,6.3,3370800
2000-03-28,11.17,11.55,11.16,11.31,6.32,2541200
2000-03-29,11.31,11.38,11.08,11.14,6.23,1204800
2000-03-30,11.16,11.27,11.06,11.09,6.2,1135200
2000-03-31,11.03,11.3,10.92,11.19,6.25,1413600
2000-04-03,11.19,11.44,11.19,11.42,6.38,994400
2000-04-04,11.38,11.41,11.05,11.11,6.21,1432800
2000-04-05,11.06,11.39,11.02,11.39,6.37,1442800
2000-04-06,11.39,11.5,11.25,11.36,6.35,1286400
2000-04-07,11.47,11.61,11.34,11.56,6.46,1888800
2000-04-10,11.66,12.12,11.62,12.02,6.72,2248800
2000-04-11,12.0,12.2,11.7,11.72,6.55,1275600
2000-04-12,11.84,12.38,11.84,12.05,6.73,2193200
2000-04-13,12.0,12.11,11.77,11.84,6.62,1466400
2000-04-14,11.72,11.72,10.8,10.83,6.05,2074800
2000-04-17,10.84,11.17,10.84,11.11,6.21,1923600
2000-04-18,11.05,11.19,10.62,10.77,6.02,2702800
2000-04-19,10.8,10.94,10.75,10.91,6.1,1388400
2000-04-20,10.84,11.3,10.75,11.2,6.26,1497200
2000-04-24,11.12,11.41,11.11,11.38,6.36,1164400
2000-04-25,11.28,11.55,11.27,11.47,6.41,969200
2000-04-26,11.34,11.34,10.92,10.97,6.13,907200
2000-04-27,10.69,10.69,10.44,10.67,5.96,1710000
2000-04-28,10.53,10.55,10.0,10.45,5.84,2980000
2000-05-01,10.39,10.64,10.12,10.64,5.95,2110400
2000-05-02,10.05,10.06,8.28,8.78,4.91,19872800
2000-05-03,8.77,9.03,8.23,8.28,4.63,7747600
2000-05-04,8.2,8.44,8.17,8.33,4.65,5055200
2000-05-05,8.25,8.3,7.89,8.0,4.47,5269600
2000-05-08,7.97,8.17,7.95,8.05,4.5,2919200
2000-05-09,8.08,8.11,7.55,7.69,4.3,4825600
2000-05-10,7.67,7.92,7.58,7.78,4.35,3864800
2000-05-11,8.0,8.31,7.92,8.25,4.61,4458000
2000-05-12,8.2,8.23,8.06,8.14,4.55,2509600
2000-05-15,8.34,8.75,8.14,8.3,4.64,4741600
2000-05-16,8.3,8.34,8.11,8.2,4.58,3523600
2000-05-17,8.14,8.14,7.92,7.97,4.45,1531200
2000-05-18,7.91,8.06,7.77,7.84,4.38,3063600
2000-05-19,7.72,7.84,7.62,7.67,4.29,2194800
2000-05-22,7.67,7.75,7.41,7.48,4.18,1352800
2000-05-23,7.45,7.48,7.12,7.23,4.04,4148800
2000-05-24,7.3,7.53,7.3,7.48,4.18,5483200
2000-05-25,7.47,7.61,7.19,7.25,4.05,2380800
2000-05-26,7.22,7.34,7.06,7.14,3.99,3257600
2000-05-30,7.25,7.52,7.19,7.5,4.19,1550000
2000-05-31,7.38,7.78,7.38,7.72,4.31,2736400
2000-06-01,7.72,8.22,7.7,8.16,4.56,2491600
2000-06-02,8.12,8.42,8.08,8.11,4.53,1662000
2000-06-05,8.12,8.31,7.78,7.92,4.43,2606800
2000-06-06,7.94,7.95,7.77,7.86,4.39,1271200
2000-06-07,7.88,8.17,7.88,8.06,4.51,1554400
2000-06-08,7.98,8.08,7.78,7.84,4.42,1896800
2000-06-09,6.88,7.48,6.73,7.17,4.04,22227200
2000-06-12,7.25,7.36,7.25,7.3,4.11,3919200
2000-06-13,7.27,7.36,7.2,7.31,4.12,2598800
2000-06-14,7.31,7.41,7.22,7.27,4.1,2696400
2000-06-15,7.27,7.47,7.23,7.33,4.13,4370000
2000-06-16,7.33,7.47,7.33,7.39,4.17,2214400
2000-06-19,7.39,7.53,7.38,7.5,4.23,1962800
2000-06-20,7.41,7.44,7.33,7.42,4.18,1949200
2000-06-21,7.38,7.59,7.31,7.5,4.23,1885200
2000-06-22,7.48,7.8,7.48,7.75,4.37,7072400
2000-06-23,7.75,7.84,7.73,7.8,4.4,2903200
2000-06-26,7.8,7.94,7.78,7.92,4.47,2020400
2000-06-27,8.05,8.25,8.02,8.14,4.59,4481600
2000-06-28,8.17,8.19,7.92,7.94,4.47,1711200
2000-06-29,7.97,8.33,7.95,8.23,4.64,2498000
2000-06-30,8.34,8.42,8.02,8.09,4.56,2324800
2000-07-03,8.0,8.31,7.91,8.2,4.62,1231600
2000-07-05,7.94,8.14,7.92,8.0,4.51,1745200
2000-07-06,8.0,8.08,7.91,7.92,4.47,3821200
2000-07-07,7.98,8.06,7.97,8.0,4.51,4270000
2000-07-10,8.0,8.2,7.97,8.0,4.51,2208000
2000-07-11,8.06,8.08,7.94,7.94,4.47,1727600
2000-07-12,7.84,8.14,7.84,7.98,4.5,2580400
2000-07-13,7.98,8.19,7.97,8.17,4.61,1296000
2000-07-14,8.23,8.44,8.23,8.3,4.68,1849200
2000-07-17,8.28,8.36,8.16,8.16,4.6,2642000
2000-07-18,8.12,8.23,8.05,8.09,4.56,1468800
2000-07-19,8.16,8.23,8.0,8.16,4.6,1604400
2000-07-20,8.2,8.2,8.02,8.08,4.55,1703200
2000-07-21,8.12,8.17,7.98,8.0,4.51,983600
2000-07-24,8.09,8.14,7.92,8.0,4.51,1113200
2000-07-25,7.98,7.98,7.86,7.89,4.45,738800
2000-07-26,7.83,8.05,7.7,7.94,4.47,1371200
2000-07-27,7.92,8.09,7.84,7.86,4.43,1688800
2000-07-28,7.86,7.92,7.8,7.83,4.41,1280400
2000-07-31,7.83,8.08,7.81,8.0,4.51,1135200
2000-08-01,7.94,8.08,7.94,8.06,4.55,1096800
2000-08-02,8.06,8.12,8.0,8.05,4.54,1043600
2000-08-03,8.06,8.06,8.0,8.02,4.52,750000
2000-08-04,8.06,8.23,8.03,8.08,4.55,1367600
2000-08-07,8.05,8.08,7.94,7.95,4.48,1086000
2000-08-08,8.0,8.08,7.95,8.0,4.51,3652000
2000-08-09,8.0,8.09,8.0,8.09,4.56,1716400
2000-08-10,8.09,8.31,8.02,8.27,4.66,2420000
2000-08-11,8.3,8.33,8.22,8.23,4.64,732400
2000-08-14,8.25,8.25,8.03,8.16,4.6,777600
2000-08-15,8.16,8.38,8.09,8.31,4.69,989600
2000-08-16,8.38,8.38,8.12,8.12,4.58,704000
2000-08-17,8.14,8.28,8.11,8.2,4.62,826000
2000-08-18,8.11,8.11,7.95,8.06,4.55,616800
2000-08-21,8.03,8.31,8.0,8.16,4.6,986800
2000-08-22,8.09,8.41,8.05,8.3,4.68,1038400
2000-08-23,8.33,8.67,8.3,8.66,4.88,2922000
2000-08-24,8.69,8.7,8.48,8.48,4.78,1089200
2000-08-25,8.39,8.55,8.39,8.5,4.79,695200
2000-08-28,8.53,8.67,8.5,8.58,4.84,845200
2000-08-29,8.61,8.69,8.56,8.61,4.85,1013600
2000-08-30,8.62,8.8,8.59,8.69,4.9,811600
2000-08-31,8.75,9.05,8.75,8.97,5.06,2651600
2000-09-01,9.0,9.02,8.81,8.88,5.0,1292400
2000-09-05,8.89,9.06,8.88,9.02,5.08,1586400
2000-09-06,9.02,9.25,8.94,9.02,5.08,1953200
2000-09-07,9.03,9.06,8.84,8.94,5.08,790000
2000-09-08,8.92,8.98,8.81,8.84,5.03,981600
2000-09-11,8.88,9.06,8.88,8.94,5.08,3463200
2000-09-12,8.94,8.94,8.81,8.86,5.04,1956000
