Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,2.54,2.73,2.52,2.61,2.61,789400
2000-01-03,2.73,2.73,2.43,2.48,2.48,2159300
2000-01-04,2.46,2.46,2.35,2.35,2.35,928200
2000-01-05,2.46,2.52,2.41,2.5,2.5,2998700
2000-01-06,2.5,2.55,2.45,2.49,2.49,1082200
2000-01-07,2.48,2.6,2.45,2.57,2.57,4083500
2000-01-10,2.6,2.79,2.57,2.73,2.73,2310800
2000-01-11,2.75,2.75,2.62,2.67,2.67,1488100
2000-01-12,2.65,2.75,2.62,2.75,2.75,3887200
2000-01-13,2.76,3.17,2.75,3.12,3.12,4864800
2000-01-14,3.15,3.19,2.97,3.01,3.01,1209200
2000-01-18,3.01,3.14,3.01,3.05,3.05,1677300
2000-01-19,3.06,3.06,2.77,2.82,2.82,1005200
2000-01-20,2.87,2.94,2.62,2.92,2.92,1096500
2000-01-21,2.88,2.94,2.82,2.86,2.86,786400
2000-01-24,2.92,2.97,2.77,2.94,2.94,843500
2000-01-25,2.87,2.95,2.65,2.76,2.76,1060200
2000-01-26,2.7,2.78,2.65,2.65,2.65,327900
2000-01-27,2.65,2.67,2.52,2.65,2.65,1017900
2000-01-28,2.65,2.78,2.57,2.57,2.57,1465200
2000-01-31,2.57,2.67,2.57,2.59,2.59,529300
2000-02-01,2.63,2.67,2.6,2.62,2.62,878700
2000-02-02,2.61,2.68,2.61,2.62,2.62,335500
2000-02-03,2.63,2.63,2.52,2.6,2.6,1194400
2000-02-04,2.59,2.62,2.57,2.61,2.61,792500
2000-02-07,2.6,2.62,2.55,2.61,2.61,685400
2000-02-08,2.61,2.63,2.59,2.61,2.61,870000
2000-02-09,2.6,2.66,2.55,2.55,2.55,1058700
2000-02-10,2.63,2.65,2.55,2.65,2.65,704800
2000-02-11,2.62,2.63,2.45,2.45,2.45,3347100
2000-02-14,2.57,2.75,2.52,2.7,2.7,1334100
2000-02-15,2.7,2.75,2.65,2.67,2.67,1664600
2000-02-16,2.7,2.72,2.48,2.56,2.56,1599300
2000-02-17,2.54,2.67,2.5,2.62,2.62,2088900
