Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,8.32,8.38,8.08,8.08,4.26,557800
2000-01-03,8.2,8.26,8.02,8.26,4.36,394700
2000-01-04,8.2,8.26,8.02,8.2,4.32,516400
2000-01-05,8.14,8.2,7.89,7.89,4.16,256600
2000-01-06,7.89,8.02,7.83,8.02,4.23,676400
2000-01-07,8.02,8.26,7.95,8.14,4.29,684000
2000-01-10,8.2,8.57,8.14,8.57,4.52,690800
2000-01-11,8.5,8.63,8.44,8.63,4.55,2059800
2000-01-12,8.63,8.69,8.5,8.69,4.58,504100
2000-01-13,8.63,8.75,8.57,8.69,4.58,1741300
2000-01-14,8.69,8.81,8.63,8.81,4.65,2214800
2000-01-18,8.81,9.12,8.75,8.87,4.68,1099300
2000-01-19,9.12,9.42,9.06,9.36,4.94,1435600
2000-01-20,9.3,9.36,9.12,9.18,4.84,1133300
2000-01-21,9.18,9.24,8.93,8.99,4.74,524700
2000-01-24,9.12,9.3,8.99,8.99,4.74,1226800
2000-01-25,9.12,9.3,8.87,9.12,4.81,711400
2000-01-26,9.06,9.24,9.06,9.12,4.81,362100
2000-01-27,9.12,9.24,8.93,9.06,4.78,1224800
2000-01-28,9.06,9.06,8.75,8.81,4.65,1186900
2000-01-31,8.81,8.81,8.57,8.69,4.58,459600
2000-02-01,8.81,8.99,8.69,8.93,4.71,266800
2000-02-02,8.93,8.99,8.75,8.93,4.71,479500
2000-02-03,8.93,8.99,8.87,8.99,4.74,276200
2000-02-04,8.99,9.06,8.93,8.99,4.74,843900
2000-02-07,8.99,9.3,8.99,9.12,4.81,544400
2000-02-08,9.18,9.3,9.12,9.24,4.87,431400
2000-02-09,9.18,9.3,9.18,9.24,4.87,678800
2000-02-10,9.18,9.36,9.12,9.18,4.84,366200
2000-02-11,9.12,9.18,8.87,8.93,4.71,372700
2000-02-14,8.93,9.06,8.81,8.99,4.74,964700
2000-02-15,8.93,9.06,8.87,8.99,4.74,483400
2000-02-16,8.93,9.12,8.87,9.12,4.81,1242500
2000-02-17,9.12,9.3,8.99,9.24,4.87,899100
2000-02-18,9.18,9.24,9.06,9.06,4.78,900200
2000-02-22,8.93,9.06,8.81,8.87,4.68,607000
2000-02-23,8.87,8.93,8.81,8.93,4.71,336800
2000-02-24,8.93,8.93,8.69,8.81,4.65,711300
2000-02-25,8.81,8.81,8.57,8.75,4.61,420300
2000-02-28,8.63,8.75,8.63,8.69,4.58,317600
2000-02-29,8.69,8.81,8.57,8.69,4.58,469400
2000-03-01,8.69,8.75,8.5,8.5,4.49,459900
2000-03-02,8.57,8.63,8.32,8.5,4.49,2714100
2000-03-03,8.44,8.5,8.38,8.44,4.45,329500
2000-03-06,8.44,8.69,8.38,8.69,4.58,1036200
2000-03-07,8.63,8.75,8.44,8.57,4.52,537900
2000-03-08,8.5,8.63,8.44,8.63,4.55,333300
2000-03-09,8.69,8.75,8.57,8.69,4.58,656000
2000-03-10,8.75,8.99,8.75,8.75,4.61,763000
2000-03-13,8.81,8.81,8.69,8.75,4.61,135300
2000-03-14,8.75,8.81,8.57,8.69,4.58,387200
2000-03-15,8.69,8.75,8.57,8.75,4.61,267000
2000-03-16,8.81,9.06,8.75,8.75,4.61,939500
2000-03-17,8.87,8.99,8.75,8.81,4.65,411300
2000-03-20,8.81,8.93,8.69,8.81,4.65,354600
2000-03-21,8.75,8.87,8.63,8.69,4.58,286400
2000-03-22,8.69,8.75,8.63,8.75,4.61,832900
2000-03-23,8.75,8.81,8.63,8.75,4.61,292700
2000-03-24,8.69,8.81,8.69,8.69,4.58,501000
2000-03-27,8.69,8.69,8.44,8.5,4.49,462400
2000-03-28,8.38,8.69,8.32,8.69,4.58,531500
2000-03-29,8.44,8.63,8.32,8.5,4.59,465700
2000-03-30,8.44,8.75,8.44,8.63,4.66,455300
2000-03-31,8.63,8.81,8.63,8.69,4.69,328900
2000-04-03,8.81,8.87,8.75,8.75,4.73,502500
2000-04-04,8.81,8.87,8.69,8.75,4.73,272600
2000-04-05,8.75,8.99,8.63,8.63,4.66,896500
2000-04-06,8.75,9.3,8.75,9.3,5.02,565100
2000-04-07,9.24,9.61,9.18,9.61,5.19,817500
2000-04-10,9.73,9.79,9.61,9.67,5.22,797800
2000-04-11,9.73,9.85,9.67,9.73,5.26,799800
2000-04-12,9.73,10.4,9.73,10.22,5.52,3580600
2000-04-13,10.22,10.34,9.97,10.1,5.45,1169200
2000-04-14,10.1,10.1,9.54,9.79,5.29,543700
2000-04-17,9.73,9.79,9.42,9.67,5.22,412000
2000-04-18,9.54,9.85,9.54,9.79,5.29,497900
2000-04-19,9.79,9.79,9.48,9.61,5.19,591000
2000-04-20,9.73,9.85,9.73,9.73,5.26,316200
2000-04-24,9.79,10.03,9.73,10.03,5.42,477700
2000-04-25,10.1,10.22,10.03,10.22,5.52,463200
2000-04-26,10.22,10.22,9.91,9.97,5.39,419800
2000-04-27,9.85,10.4,9.79,10.34,5.59,752300
2000-04-28,10.34,10.52,10.16,10.46,5.65,509300
2000-05-01,10.52,10.58,10.4,10.46,5.65,518900
2000-05-02,10.22,10.28,10.1,10.28,5.55,740800
2000-05-03,10.22,10.4,10.1,10.16,5.49,722500
2000-05-04,10.22,10.22,9.85,10.1,5.45,279300
2000-05-05,9.97,10.03,9.67,10.03,5.42,1351600
2000-05-08,10.03,10.03,9.73,9.79,5.29,483300
2000-05-09,9.73,9.79,9.73,9.73,5.26,174800
2000-05-10,9.79,9.91,9.73,9.91,5.35,553200
2000-05-11,9.85,9.91,9.73,9.85,5.32,502800
2000-05-12,9.85,9.85,9.73,9.85,5.32,575100
2000-05-15,9.91,9.91,9.79,9.91,5.35,1267200
2000-05-16,9.85,10.03,9.79,10.03,5.42,442400
2000-05-17,10.03,10.03,9.85,9.91,5.35,220600
2000-05-18,9.91,9.97,9.79,9.79,5.29,363400
2000-05-19,9.79,9.91,9.73,9.79,5.29,274600
2000-05-22,9.79,9.85,9.67,9.73,5.26,227300
2000-05-23,9.73,9.79,9.48,9.54,5.16,292600
2000-05-24,9.61,9.61,9.42,9.48,5.12,817300
2000-05-25,9.48,9.54,9.18,9.3,5.02,439700
2000-05-26,9.3,9.36,9.18,9.3,5.02,513400
2000-05-30,9.24,9.36,9.18,9.24,4.99,423700
2000-05-31,9.3,9.42,9.24,9.42,5.09,836900
2000-06-01,9.42,9.42,9.18,9.3,5.02,998100
2000-06-02,9.3,9.48,9.18,9.42,5.09,872300
2000-06-05,9.48,9.54,9.3,9.36,5.06,353800
2000-06-06,9.36,9.48,9.24,9.3,5.02,548500
2000-06-07,9.3,9.42,9.24,9.3,5.02,556200
2000-06-08,9.24,9.36,9.12,9.24,4.99,580500
2000-06-09,9.12,9.36,9.12,9.3,5.02,853000
2000-06-12,9.3,9.3,9.18,9.3,5.02,192800
2000-06-13,9.3,9.36,9.24,9.36,5.06,475000
2000-06-14,9.36,9.61,9.3,9.61,5.19,1015700
2000-06-15,9.61,9.61,9.42,9.42,5.09,279700
2000-06-16,9.48,9.61,9.3,9.61,5.19,745500
2000-06-19,9.48,9.61,9.48,9.61,5.19,266600
2000-06-20,9.54,9.54,9.48,9.54,5.16,225700
2000-06-21,9.54,9.67,9.48,9.54,5.16,1237100
2000-06-22,9.48,9.61,9.42,9.54,5.16,221700
2000-06-23,9.61,9.67,9.42,9.42,5.09,351200
2000-06-26,9.48,9.48,9.3,9.36,5.06,174600
2000-06-27,9.36,9.42,9.3,9.3,5.02,266900
2000-06-28,9.18,9.36,9.06,9.12,5.04,290800
2000-06-29,9.12,9.42,9.06,9.3,5.14,626500
2000-06-30,9.3,9.48,9.12,9.16,5.06,1017500
2000-07-03,9.3,9.42,9.24,9.36,5.17,167500
2000-07-05,9.24,9.54,9.24,9.48,5.24,263300
2000-07-06,9.54,9.79,9.42,9.79,5.41,528200
2000-07-07,9.73,9.97,9.61,9.85,5.44,581900
2000-07-10,9.79,10.03,9.79,10.03,5.54,398800
2000-07-11,10.1,10.1,9.91,10.03,5.54,241400
2000-07-12,10.03,10.28,10.03,10.22,5.64,411900
2000-07-13,10.22,10.22,9.97,10.1,5.58,262300
2000-07-14,10.03,10.1,9.73,9.73,5.37,405800
2000-07-17,9.85,10.03,9.79,10.03,5.54,275200
2000-07-18,9.97,9.97,9.73,9.85,5.44,523900
2000-07-19,9.85,10.22,9.79,10.22,5.64,782100
2000-07-20,10.22,10.28,10.1,10.28,5.68,579300
