Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,8.06,8.19,7.88,8.19,7.58,724600
2000-01-03,8.31,8.38,7.38,7.56,7.01,1287300
2000-01-04,7.38,7.88,7.38,7.62,7.06,1238300
2000-01-05,7.5,7.88,7.5,7.81,7.24,1096300
2000-01-06,7.75,8.25,7.5,8.12,7.53,1026700
2000-01-07,8.19,9.12,8.06,8.75,8.11,2419300
2000-01-10,8.88,8.94,8.38,8.38,7.76,1276200
2000-01-11,8.38,8.75,8.25,8.25,7.64,693700
2000-01-12,8.38,8.69,8.25,8.44,7.82,764000
2000-01-13,8.56,9.5,8.56,9.25,8.57,1760600
2000-01-14,9.38,9.62,8.25,8.25,7.64,1429000
2000-01-18,9.0,9.0,8.38,8.62,7.99,776600
2000-01-19,8.69,8.69,8.0,8.0,7.41,1220100
2000-01-20,8.0,8.06,7.69,7.75,7.18,1744500
2000-01-21,7.75,8.06,7.69,7.81,7.24,1670100
2000-01-24,7.94,8.12,7.62,7.94,7.35,1001400
2000-01-25,7.5,7.81,7.5,7.75,7.18,994500
2000-01-26,7.75,8.06,7.75,7.88,7.3,821500
2000-01-27,8.0,8.06,7.62,7.62,7.06,421200
2000-01-28,7.38,8.06,7.12,7.62,7.06,1775700
2000-01-31,7.62,8.19,7.62,8.0,7.41,858700
2000-02-01,8.0,8.38,8.0,8.25,7.64,783600
2000-02-02,8.31,8.62,8.25,8.31,7.7,597300
2000-02-03,8.31,8.62,8.31,8.44,7.82,773500
2000-02-04,8.56,8.75,8.38,8.38,7.76,481200
2000-02-07,8.5,8.62,8.31,8.44,7.82,574300
2000-02-08,8.44,8.56,8.06,8.19,7.58,713800
2000-02-09,7.81,8.12,7.44,7.56,7.01,1495000
2000-02-10,7.44,7.5,7.0,7.19,6.66,1307800
2000-02-11,7.12,7.12,6.69,6.88,6.37,983900
2000-02-14,6.94,7.5,6.81,7.44,6.89,902200
2000-02-15,7.56,7.69,7.38,7.56,7.01,753600
2000-02-16,7.56,7.69,7.19,7.38,6.83,535300
2000-02-17,7.44,7.44,7.06,7.12,6.6,417200
2000-02-18,7.12,7.25,7.0,7.06,6.54,357400
2000-02-22,7.0,7.06,6.88,7.06,6.54,517200
2000-02-23,7.0,7.25,6.81,7.12,6.6,628800
2000-02-24,7.25,7.25,6.88,6.88,6.37,467600
2000-02-25,6.88,7.06,6.62,6.62,6.14,457300
2000-02-28,6.81,6.88,6.5,6.62,6.14,496300
2000-02-29,6.62,6.94,6.56,6.81,6.31,528900
2000-03-01,7.38,7.75,6.75,7.75,7.18,1445100
2000-03-02,7.75,7.88,6.88,6.94,6.43,1200200
2000-03-03,7.19,7.38,7.06,7.31,6.77,904700
2000-03-06,7.06,7.12,6.88,7.0,6.48,479500
2000-03-07,7.0,7.0,6.12,6.12,5.67,759200
2000-03-08,6.56,6.75,6.25,6.5,6.02,1122700
2000-03-09,6.44,6.69,6.31,6.56,6.08,523300
2000-03-10,6.5,6.56,6.31,6.44,5.96,487000
2000-03-13,6.44,6.75,6.44,6.69,6.2,448100
2000-03-14,6.69,6.81,6.5,6.62,6.14,464800
2000-03-15,6.75,7.19,6.56,7.19,6.66,718100
2000-03-16,7.06,7.31,6.88,7.25,6.72,513900
2000-03-17,7.25,7.31,6.88,7.0,6.48,527100
2000-03-20,7.19,7.19,7.0,7.12,6.6,303000
2000-03-21,7.25,7.31,7.06,7.19,6.66,417300
2000-03-22,7.06,7.38,7.06,7.19,6.66,316200
2000-03-23,7.12,7.5,7.06,7.5,6.95,504200
2000-03-24,7.31,7.5,7.25,7.31,6.77,274300
2000-03-27,7.38,7.38,7.12,7.19,6.66,303100
2000-03-28,7.06,7.38,7.06,7.31,6.77,287000
2000-03-29,7.25,7.75,7.25,7.5,6.95,566200
2000-03-30,7.62,8.0,7.56,7.56,7.01,768900
2000-03-31,7.44,7.56,7.25,7.31,6.77,370500
2000-04-03,7.44,7.88,7.38,7.69,7.12,392300
2000-04-04,7.5,7.75,7.19,7.62,7.06,437700
2000-04-05,7.62,7.62,7.19,7.5,6.95,317200
2000-04-06,7.5,8.06,7.5,7.94,7.35,734700
2000-04-07,7.94,8.25,7.94,8.19,7.58,709200
2000-04-10,8.06,8.44,8.06,8.31,7.7,716600
2000-04-11,8.19,8.25,8.0,8.12,7.53,638000
2000-04-12,8.12,8.19,8.0,8.06,7.47,673600
2000-04-13,7.56,7.88,7.56,7.81,7.24,720100
2000-04-14,7.75,7.75,7.12,7.12,6.6,636500
2000-04-17,7.12,7.38,7.0,7.19,6.66,580500
2000-04-18,7.19,7.5,7.06,7.31,6.77,417300
2000-04-19,7.5,8.0,7.5,7.88,7.3,494700
2000-04-20,7.88,8.0,7.69,7.88,7.3,280600
2000-04-24,7.81,8.81,7.81,8.69,8.05,1399200
2000-04-25,8.38,8.62,8.31,8.44,7.82,516600
2000-04-26,8.69,8.75,8.12,8.19,7.58,319100
2000-04-27,8.12,8.44,8.06,8.38,7.76,1046400
2000-04-28,8.38,8.44,7.69,7.69,7.12,729200
2000-05-01,7.69,7.94,7.62,7.75,7.18,678300
2000-05-02,7.44,8.0,7.44,8.0,7.41,530000
2000-05-03,7.62,7.69,6.56,6.69,6.2,1594200
2000-05-04,6.94,6.94,6.44,6.62,6.14,1084600
2000-05-05,6.62,7.0,6.44,7.0,6.48,459700
2000-05-08,6.69,6.75,6.38,6.5,6.02,682100
2000-05-09,6.5,6.56,6.25,6.31,5.85,527200
2000-05-10,6.5,6.5,6.06,6.12,5.67,837100
2000-05-11,6.25,6.44,6.12,6.31,5.85,457400
