Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,109.19,109.5,106.62,107.88,71.9,2870300
2000-01-03,112.44,116.0,111.88,116.0,77.31,10347700
2000-01-04,114.0,114.5,110.88,112.06,74.69,8227800
2000-01-05,112.94,119.75,112.12,116.0,77.31,12733200
2000-01-06,118.0,118.94,113.5,114.0,75.98,7971900
2000-01-07,117.25,117.94,110.62,113.5,75.65,11856700
2000-01-10,117.25,119.38,115.38,118.0,78.65,8540500
2000-01-11,117.88,121.12,116.62,119.0,79.31,7873300
2000-01-12,119.62,122.0,118.25,119.5,79.65,6803800
2000-01-13,119.94,121.0,115.75,118.25,78.81,8489700
2000-01-14,120.94,123.31,117.5,119.62,79.73,10956600
2000-01-18,119.69,119.75,115.0,115.75,77.15,7643900
2000-01-19,115.56,122.0,112.69,119.5,79.65,8634500
2000-01-20,123.0,124.75,119.0,119.0,79.31,17783400
2000-01-21,121.88,123.0,119.94,121.5,80.98,7868700
2000-01-24,121.88,122.88,116.56,121.5,80.98,6499200
2000-01-25,116.75,119.5,116.0,119.12,79.4,6936900
2000-01-26,119.06,119.94,116.0,116.75,77.81,4895100
2000-01-27,118.0,118.44,111.62,113.5,75.65,8324600
2000-01-28,112.75,114.19,110.06,111.56,74.36,6669400
2000-01-31,111.38,112.81,109.62,112.25,74.81,6202700
2000-02-01,112.38,113.44,109.12,110.0,73.31,7304700
2000-02-02,112.0,115.81,110.38,113.5,75.65,7707700
2000-02-03,115.0,117.5,114.06,117.12,78.06,6213800
2000-02-04,118.19,118.44,114.81,115.62,77.06,5405300
2000-02-07,116.0,116.88,113.12,114.12,76.06,5779500
2000-02-08,116.94,119.0,116.19,118.81,79.27,5464300
2000-02-09,119.0,119.75,117.0,117.38,78.31,5374700
2000-02-10,117.69,119.12,116.88,119.12,79.48,4446600
2000-02-11,119.06,119.44,114.56,115.38,76.98,5749400
2000-02-14,116.0,116.38,114.5,116.06,77.44,4544000
2000-02-15,115.88,117.44,113.88,117.12,78.15,5177500
2000-02-16,116.5,117.31,115.25,115.75,77.23,3966900
2000-02-17,116.5,118.88,115.75,116.75,77.9,5237500
2000-02-18,115.25,115.94,111.5,112.5,75.06,7673400
2000-02-22,112.0,113.44,108.75,111.0,74.06,7654800
2000-02-23,110.5,110.5,108.5,108.75,72.56,7435300
2000-02-24,108.81,111.0,108.19,110.5,73.73,9112000
2000-02-25,109.88,109.88,104.94,108.0,72.06,10312200
2000-02-28,104.62,106.5,103.94,104.5,69.72,8479900
2000-02-29,105.56,105.56,100.94,102.75,68.55,10484900
2000-03-01,102.0,105.5,100.06,100.25,66.89,10807800
2000-03-02,100.5,105.44,99.5,103.12,68.8,11192900
2000-03-03,107.25,110.0,106.06,108.0,72.06,10162800
2000-03-06,109.94,111.0,101.0,103.06,68.76,10747400
2000-03-07,106.0,107.0,101.69,103.0,68.72,10035100
2000-03-08,103.0,106.88,102.75,106.25,70.89,8376400
2000-03-09,106.5,108.0,104.12,108.0,72.06,6334100
2000-03-10,107.62,109.0,105.0,105.25,70.22,7093200
2000-03-13,104.0,109.0,102.5,107.69,71.85,7871000
2000-03-14,107.75,110.0,107.38,108.62,72.47,7973700
2000-03-15,107.5,108.25,106.12,107.0,71.39,5665900
2000-03-16,109.0,109.81,107.88,109.0,72.72,6622500
2000-03-17,108.25,111.69,107.69,110.0,73.39,8857300
2000-03-20,110.0,113.38,109.94,112.75,75.23,6563500
2000-03-21,112.81,114.69,111.94,113.5,75.73,6771600
2000-03-22,114.5,115.38,113.88,114.25,76.23,6137800
2000-03-23,115.88,115.88,111.62,115.25,76.89,6492400
2000-03-24,115.38,122.25,115.06,120.62,80.48,12125600
2000-03-27,125.0,128.25,124.62,126.88,84.65,11862900
2000-03-28,125.75,127.0,122.06,122.5,81.73,8149600
2000-03-29,122.31,122.44,118.5,119.0,79.4,7312300
2000-03-30,118.88,123.0,118.69,122.75,81.9,9158000
