Date,Open,High,Low,Close,Adj Close,Volume
2005-11-16,7.8,8.84,7.71,7.85,7.22,97759000
2005-11-17,8.06,8.35,6.8,7.05,6.48,34308500
2005-11-18,7.24,7.39,6.91,7.0,6.43,12810000
2005-11-21,7.05,7.19,6.96,7.18,6.6,6404000
2005-11-22,7.09,7.09,6.86,6.99,6.42,6533000
2005-11-23,6.94,6.99,6.31,6.79,6.24,12421000
2005-11-25,6.75,6.89,6.73,6.83,6.28,1316000
2005-11-28,6.78,6.78,6.51,6.66,6.12,3155000
2005-11-29,6.66,6.7,6.25,6.39,5.88,4477500
2005-11-30,6.42,6.48,6.32,6.46,5.94,3894500
2005-12-01,6.46,7.04,6.43,7.0,6.43,5688500
2005-12-02,7.0,7.26,6.98,7.22,6.64,5120000
2005-12-05,7.24,7.49,7.24,7.36,6.77,4592500
2005-12-06,7.36,7.52,7.29,7.32,6.72,3202500
2005-12-07,7.33,7.33,6.9,7.09,6.52,2473000
2005-12-08,7.14,7.26,7.11,7.2,6.62,1823500
2005-12-09,7.2,7.29,7.16,7.24,6.65,808000
2005-12-12,7.29,7.3,7.21,7.29,6.7,953500
2005-12-13,7.29,7.29,7.1,7.12,6.54,1843000
2005-12-14,7.1,7.14,6.96,7.0,6.43,1422000
2005-12-15,6.99,6.99,6.73,6.8,6.25,3273000
2005-12-16,6.77,6.9,6.7,6.84,6.29,8170500
2005-12-19,6.8,6.88,6.77,6.87,6.32,2242000
2005-12-20,6.92,7.08,6.88,6.99,6.42,2423500
2005-12-21,6.98,7.0,6.91,6.96,6.4,916500
2005-12-22,6.96,6.96,6.86,6.94,6.38,1171000
2005-12-23,6.89,6.94,6.81,6.85,6.3,985000
2005-12-27,6.9,7.09,6.9,7.05,6.48,1214000
2005-12-28,7.05,7.09,7.01,7.02,6.45,581000
2005-12-29,6.98,7.24,6.98,7.23,6.64,1076500
2005-12-30,7.25,7.27,7.09,7.27,6.68,923500
2006-01-03,7.3,7.65,7.2,7.57,6.96,2993000
2006-01-04,7.58,7.58,7.27,7.38,6.78,1196500
2006-01-05,7.64,7.95,7.64,7.86,7.23,3478500
2006-01-06,7.85,8.08,7.82,8.06,7.41,2306500
2006-01-09,8.2,8.86,8.18,8.72,8.02,8702000
2006-01-10,8.67,9.36,8.67,9.2,8.46,8667500
2006-01-11,9.3,9.64,9.07,9.38,8.63,7560000
2006-01-12,9.47,9.57,8.65,8.79,8.08,4841500
2006-01-13,8.74,8.92,8.6,8.91,8.19,2010500
2006-01-17,9.1,9.4,9.0,9.28,8.53,2609500
2006-01-18,9.27,9.27,9.0,9.16,8.42,1397500
2006-01-19,9.14,9.56,8.8,9.49,8.72,3307000
2006-01-20,9.6,9.68,9.25,9.26,8.51,2309500
2006-01-23,9.26,9.56,9.23,9.55,8.78,1744500
2006-01-24,9.55,10.68,9.38,10.56,9.7,5615000
2006-01-25,10.7,11.03,10.03,10.6,9.74,7019000
2006-01-26,10.65,10.83,10.44,10.49,9.64,2424000
2006-01-27,10.01,10.52,9.71,10.2,9.38,6929000
2006-01-30,10.05,10.24,9.66,9.82,9.03,2970000
2006-01-31,9.82,10.2,9.21,10.16,9.34,6552500
2006-02-01,10.5,11.4,10.38,11.13,10.23,7184500
2006-02-02,11.08,11.6,10.61,11.04,10.15,10589500
2006-02-03,11.24,11.68,11.06,11.1,10.2,5790500
2006-02-06,11.46,11.46,10.94,11.14,10.24,3958000
2006-02-07,11.11,11.23,10.28,10.69,9.83,3575000
2006-02-08,10.9,10.96,10.52,10.7,9.83,1954000
2006-02-09,10.75,10.87,10.56,10.6,9.74,2131500
2006-02-10,10.65,10.65,9.79,10.35,9.51,3580500
2006-02-13,10.2,10.73,10.2,10.55,9.7,1660500
2006-02-14,10.55,10.6,10.34,10.4,9.56,1478000
2006-02-15,10.4,10.46,10.32,10.4,9.56,882000
2006-02-16,10.45,10.47,10.22,10.31,9.48,848000
2006-02-17,10.35,10.39,10.03,10.27,9.44,1626500
2006-02-21,10.27,10.28,9.75,9.93,9.13,2389500
2006-02-22,9.83,9.97,9.63,9.85,9.05,3314500
2006-02-23,10.04,10.38,9.8,9.98,9.17,7781500
2006-02-24,10.36,11.15,10.36,10.9,10.02,11018000
2006-02-27,11.0,11.44,10.86,11.37,10.45,4822000
2006-02-28,11.32,11.58,10.81,10.95,10.06,4038000
2006-03-01,11.0,11.37,11.0,11.35,10.43,3081000
2006-03-02,11.32,11.88,11.16,11.87,10.91,4253000
2006-03-03,12.1,12.59,12.0,12.12,11.14,6878500
2006-03-06,12.3,12.6,12.01,12.26,11.27,4600500
2006-03-07,12.26,12.26,11.83,12.0,11.03,3193000
2006-03-08,12.2,12.2,11.75,11.84,10.88,5132500
2006-03-09,11.89,12.9,11.89,12.8,11.76,5446500
2006-03-10,12.8,13.48,12.54,13.43,12.34,7088000
2006-03-13,13.65,14.3,13.48,14.26,13.1,9415500
2006-03-14,14.3,14.44,13.61,13.72,12.61,9242500
2006-03-15,13.75,14.22,13.5,13.86,12.74,5496000
2006-03-16,13.86,14.04,13.02,13.36,12.28,7085500
2006-03-17,13.36,13.68,12.88,13.62,12.52,5977000
2006-03-20,13.81,14.23,13.81,14.23,13.08,5575500
2006-03-21,14.34,14.72,13.92,14.05,12.91,6876500
2006-03-22,13.71,13.81,13.13,13.6,12.5,6843500
2006-03-23,13.55,13.86,13.26,13.41,12.33,2925500
2006-03-24,13.2,13.66,13.15,13.44,12.35,2114000
2006-03-27,13.57,14.14,13.45,13.97,12.84,5238500
2006-03-28,13.97,14.15,13.54,13.72,12.61,3080000
2006-03-29,13.72,13.94,13.5,13.55,12.45,1981000
2006-03-30,13.9,14.36,13.85,14.26,13.11,5514000
2006-03-31,14.35,14.63,13.46,13.81,12.69,9687000
2006-04-03,13.99,14.02,12.43,12.62,11.6,10266000
2006-04-04,12.81,13.24,12.12,13.0,11.95,9966500
2006-04-05,13.15,13.18,12.38,12.57,11.55,9132500
2006-04-06,12.57,12.89,11.75,11.96,10.99,12852000
2006-04-07,11.6,11.6,10.47,10.6,9.74,24447000
2006-04-10,10.65,10.98,10.52,10.91,10.03,7960000
2006-04-11,10.97,11.35,10.93,11.32,10.41,9023500
2006-04-12,11.37,11.57,10.91,11.53,10.6,7027000
2006-04-13,11.53,11.84,11.32,11.75,10.8,4786000
2006-04-17,11.85,11.99,11.5,11.57,10.64,4060000
2006-04-18,11.8,13.28,11.78,13.23,12.16,13185500
2006-04-19,13.25,13.91,12.88,13.86,12.74,11672500
2006-04-20,13.91,14.08,13.46,14.0,12.87,8156500
2006-04-21,14.0,14.1,13.68,13.8,12.68,4925500
2006-04-24,13.62,13.68,13.35,13.45,12.36,6188500
2006-04-25,13.3,13.96,13.27,13.96,12.83,5205000
2006-04-26,13.95,14.1,13.72,14.06,12.93,4119000
2006-04-27,13.96,14.55,13.66,14.32,13.16,4162500
2006-04-28,14.2,14.47,14.12,14.26,13.11,4768000
2006-05-01,14.26,14.26,13.16,13.39,12.31,7722000
2006-05-02,13.89,13.9,13.11,13.54,12.45,7205500
2006-05-03,13.5,14.14,13.46,14.03,12.89,3033500
2006-05-04,13.98,14.04,13.8,13.8,12.69,3575000
2006-05-05,13.8,15.0,13.7,14.84,13.64,8049000
2006-05-08,14.9,15.91,14.61,15.77,14.49,9139000
2006-05-09,15.61,16.11,15.4,15.44,14.19,6700500
2006-05-10,15.4,15.92,15.15,15.56,14.3,3869500
2006-05-11,15.8,16.48,15.42,15.83,14.55,6002500
2006-05-12,15.88,15.88,15.02,15.12,13.89,4223000
2006-05-15,14.99,15.56,14.82,15.28,14.05,5013000
2006-05-16,15.29,15.44,14.87,15.16,13.93,2744000
2006-05-17,15.0,15.01,13.84,14.0,12.87,8265500
2006-05-18,14.05,14.43,13.35,13.59,12.49,7894500
2006-05-19,13.79,14.17,13.38,14.0,12.87,6728500
2006-05-22,13.59,13.59,11.45,11.93,10.96,24043000
2006-05-23,12.13,12.38,11.79,11.79,10.83,11621500
2006-05-24,11.82,11.88,10.64,10.86,9.98,12526000
2006-05-25,11.0,11.28,10.48,11.2,10.29,10506000
2006-05-26,11.42,11.55,11.14,11.49,10.56,6745000
2006-05-30,11.41,11.41,10.58,10.63,9.77,6343500
2006-05-31,10.72,11.16,10.7,11.14,10.24,8712500
2006-06-01,11.05,11.27,10.63,11.15,10.25,7566000
2006-06-02,11.34,11.45,10.77,10.95,10.07,6612000
2006-06-05,11.18,11.25,10.28,10.32,9.48,8163000
2006-06-06,10.32,10.44,9.71,10.07,9.26,7579000
2006-06-07,10.1,10.36,9.87,10.14,9.32,4884500
2006-06-08,9.95,10.2,9.14,9.99,9.19,8556000
2006-06-09,10.25,10.37,10.04,10.17,9.35,5121000
2006-06-12,10.22,10.28,9.76,9.8,9.01,5649000
2006-06-13,9.8,10.04,9.2,9.2,8.46,5019000
2006-06-14,9.24,9.49,9.05,9.4,8.64,4730500
2006-06-15,9.5,10.0,9.46,9.8,9.01,5053500
2006-06-16,9.65,10.17,9.36,10.12,9.3,7662000
2006-06-19,10.31,10.31,9.83,10.03,9.22,4722500
2006-06-20,10.03,10.14,9.73,9.92,9.12,2499500
2006-06-21,9.96,10.92,9.86,10.74,9.87,5212500
2006-06-22,10.8,10.82,10.4,10.6,9.74,3363000
2006-06-23,10.5,11.05,10.45,10.89,10.01,3818500
2006-06-26,10.94,11.05,10.72,10.95,10.06,1952000
2006-06-27,10.96,10.96,10.63,10.71,9.84,3021500
2006-06-28,10.6,10.67,10.02,10.41,9.57,3552000
2006-06-29,10.46,11.1,10.46,11.07,10.17,3985000
2006-06-30,11.18,11.59,10.74,11.59,10.65,8582500
2006-07-03,11.54,11.93,11.34,11.87,10.91,3111000
2006-07-05,11.6,11.67,11.18,11.6,10.66,6241500
2006-07-06,11.6,11.9,11.33,11.51,10.58,3361500
2006-07-07,11.31,11.49,10.94,10.97,10.09,4047000
2006-07-10,10.97,11.05,10.55,10.56,9.71,6166000
2006-07-11,10.56,11.11,10.35,11.1,10.2,8526500
2006-07-12,11.09,11.94,11.07,11.7,10.75,9963000
2006-07-13,11.7,12.33,11.54,11.96,10.99,11870500
2006-07-14,11.91,12.06,11.55,11.92,10.96,11385000
2006-07-17,11.92,11.92,11.33,11.62,10.68,9507000
2006-07-18,11.44,11.64,11.11,11.26,10.35,28285000
2006-07-19,11.38,11.81,11.21,11.76,10.81,9992500
2006-07-20,11.8,11.99,11.54,11.59,10.65,5661000
2006-07-21,11.56,11.62,10.96,11.62,10.68,7576500
2006-07-24,11.77,12.32,11.73,12.15,11.17,8118000
2006-07-25,12.29,12.3,11.92,12.03,11.06,4889000
2006-07-26,12.03,12.06,11.4,11.44,10.52,8244500
2006-07-27,11.48,11.74,11.29,11.4,10.48,4263000
2006-07-28,11.76,11.82,11.58,11.79,10.84,6926500
2006-07-31,11.76,11.93,11.59,11.92,10.96,2619500
2006-08-01,11.82,11.99,11.64,11.82,10.87,2487000
2006-08-02,11.82,11.93,11.82,11.88,10.92,2370500
2006-08-03,11.83,11.87,11.55,11.72,10.77,4509000
2006-08-04,11.85,11.95,11.73,11.89,10.93,3209000
2006-08-07,11.79,11.89,11.72,11.75,10.8,2429000
2006-08-08,11.79,12.08,11.79,11.94,10.97,3949000
2006-08-09,11.98,12.18,11.95,11.96,10.99,3563500
2006-08-10,11.92,12.41,11.78,12.3,11.3,5616000
2006-08-11,12.46,12.46,11.97,12.05,11.08,3737000
2006-08-14,12.1,12.17,11.9,12.01,11.04,2581500
2006-08-15,12.0,12.2,12.0,12.17,11.19,3994500
2006-08-16,12.07,12.58,12.07,12.5,11.49,4044000
2006-08-17,12.49,12.91,12.4,12.77,11.74,4913000
2006-08-18,12.72,12.89,12.61,12.87,11.83,2513500
2006-08-21,12.87,13.02,12.71,12.93,11.88,4001500
2006-08-22,12.93,12.96,12.44,12.48,11.47,3108500
2006-08-23,12.6,12.74,12.5,12.51,11.49,2539000
2006-08-24,12.51,12.54,12.15,12.16,11.17,2737500
2006-08-25,12.16,12.47,12.16,12.42,11.42,2704000
2006-08-28,12.42,12.42,12.18,12.28,11.28,2708000
2006-08-29,12.25,12.4,12.22,12.39,11.39,1600000
2006-08-30,12.39,12.79,12.34,12.72,11.69,4468000
2006-08-31,12.69,12.97,12.6,12.65,11.63,4234500
2006-09-01,12.7,12.85,12.55,12.73,11.7,2447500
2006-09-05,12.8,13.16,12.78,13.04,11.99,5042500
2006-09-06,12.94,13.27,12.93,13.04,11.99,4680500
2006-09-07,13.0,13.09,12.79,12.82,11.79,2855500
2006-09-08,12.84,13.01,12.8,12.81,11.78,2335500
2006-09-11,12.7,12.85,12.62,12.68,11.66,3550500
2006-09-12,12.58,12.68,12.46,12.66,11.63,5207000
2006-09-13,12.78,13.4,12.77,12.94,11.9,9162000
2006-09-14,12.94,13.24,12.85,12.93,11.88,5021000
2006-09-15,13.6,14.98,13.45,14.87,13.67,30382000
2006-09-18,15.01,15.58,14.46,15.23,14.0,24093500
2006-09-19,15.19,15.32,14.62,14.79,13.6,10079500
2006-09-20,14.81,15.07,14.42,14.49,13.32,4453500
2006-09-21,14.48,15.39,14.48,15.38,14.13,11229000
2006-09-22,15.04,15.23,14.66,14.74,13.55,5949500
2006-09-25,14.74,14.8,13.86,13.89,12.77,12280500
2006-09-26,14.0,14.4,13.62,14.0,12.87,12580000
2006-09-27,14.08,14.47,13.75,14.32,13.16,8278000
2006-09-28,14.31,14.45,14.11,14.43,13.27,4873500
2006-09-29,14.44,15.23,14.44,15.01,13.8,11371500
2006-10-02,14.43,15.19,14.43,14.89,13.69,6783000
2006-10-03,15.11,15.71,15.09,15.44,14.19,15588000
2006-10-04,15.46,16.31,15.41,16.25,14.94,18027000
2006-10-05,16.36,16.86,16.11,16.81,15.45,11307000
2006-10-06,16.63,17.12,16.37,17.08,15.7,10219500
2006-10-09,16.7,17.37,16.7,16.98,15.61,6013500
2006-10-10,16.8,17.49,16.64,17.47,16.05,11099500
2006-10-11,17.4,17.77,17.21,17.56,16.14,10036000
2006-10-12,17.56,17.63,16.73,16.78,15.42,13162000
2006-10-13,16.86,16.9,16.41,16.59,15.25,12662000
2006-10-16,16.45,16.6,15.35,15.46,14.21,27830500
2006-10-17,16.28,16.62,15.95,16.33,15.01,35360500
2006-10-18,16.44,16.48,16.0,16.38,15.05,16060500
2006-10-19,16.28,16.33,16.01,16.31,14.99,9358000
2006-10-20,16.31,16.48,16.16,16.36,15.03,7047000
2006-10-23,16.36,16.76,16.19,16.48,15.15,11321500
2006-10-24,16.5,16.87,16.42,16.76,15.41,9915500
2006-10-25,16.81,17.03,16.6,16.71,15.36,7313000
2006-10-26,16.67,17.33,16.65,17.13,15.75,6712500
2006-10-27,17.08,17.23,16.82,16.89,15.53,6543500
2006-10-30,16.77,16.87,16.26,16.43,15.1,7742000
2006-10-31,17.0,17.08,16.5,16.88,15.52,9998000
2006-11-01,16.98,17.49,16.87,16.98,15.61,11351000
2006-11-02,17.33,17.46,16.5,16.66,15.31,13449000
2006-11-03,16.66,16.82,16.28,16.35,15.03,6335000
2006-11-06,16.35,17.1,16.31,16.98,15.61,7163500
2006-11-07,17.22,17.84,17.14,17.42,16.02,13303500
2006-11-08,17.34,17.83,17.14,17.58,16.16,8236000
2006-11-09,17.69,17.92,16.69,16.7,15.35,15286500
2006-11-10,16.7,17.38,16.6,17.02,15.65,10232000
2006-11-13,16.92,17.75,16.91,17.7,16.27,9567500
2006-11-14,17.95,19.51,17.95,19.31,17.75,28838000
2006-11-15,19.28,19.46,18.66,19.13,17.58,20166000
