Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,4.09,4.17,3.97,4.03,4.03,678400
2000-01-03,4.01,4.06,3.98,4.02,4.02,1220000
2000-01-04,3.95,3.98,3.62,3.66,3.66,4204000
2000-01-05,3.75,3.81,3.69,3.77,3.77,3565200
2000-01-06,3.77,3.78,3.72,3.75,3.75,2865200
2000-01-07,3.76,3.97,3.69,3.95,3.95,2336000
2000-01-10,3.95,4.11,3.92,4.09,4.09,620400
2000-01-11,4.11,4.45,4.09,4.44,4.44,2500800
2000-01-12,4.34,4.44,4.3,4.38,4.38,1569600
2000-01-13,4.42,4.44,4.31,4.44,4.44,1152400
2000-01-14,4.39,4.55,4.31,4.42,4.42,1019600
2000-01-18,4.39,4.41,4.28,4.28,4.28,3671600
2000-01-19,4.29,4.3,4.19,4.22,4.22,2106800
2000-01-20,4.19,4.22,3.97,4.12,4.12,1270400
2000-01-21,4.12,4.17,4.07,4.09,4.09,461600
2000-01-24,4.09,4.11,4.0,4.02,4.02,758400
2000-01-25,4.01,4.03,3.77,3.78,3.78,5472800
2000-01-26,3.84,4.12,3.8,3.98,3.98,2132400
2000-01-27,3.97,4.0,3.91,3.91,3.91,740400
2000-01-28,4.02,4.22,3.89,4.0,4.0,723600
2000-01-31,3.91,3.94,3.66,3.77,3.77,1909200
2000-02-01,3.84,4.16,3.73,4.06,4.06,1814000
2000-02-02,3.99,4.16,3.94,4.11,4.11,1836000
2000-02-03,4.17,4.38,4.12,4.38,4.38,1960400
2000-02-04,4.32,4.48,4.31,4.42,4.42,1971200
2000-02-07,4.47,4.5,4.44,4.48,4.48,1440400
2000-02-08,4.5,4.81,4.47,4.72,4.72,1374400
2000-02-09,4.59,4.64,4.48,4.48,4.48,709600
2000-02-10,4.56,4.56,4.44,4.5,4.5,1322000
2000-02-11,4.5,4.56,4.47,4.49,4.49,762000
2000-02-14,4.48,4.62,4.47,4.58,4.58,912400
2000-02-15,4.53,4.72,4.48,4.53,4.53,1932800
2000-02-16,4.62,5.19,4.53,5.06,5.06,1170000
2000-02-17,4.97,5.25,4.94,5.16,5.16,1514000
2000-02-18,5.22,5.23,4.88,4.97,4.97,1434800
2000-02-22,4.97,5.09,4.97,5.09,5.09,845200
2000-02-23,5.03,5.81,5.03,5.75,5.75,1756800
2000-02-24,5.77,6.25,5.62,6.08,6.08,1912400
2000-02-25,6.02,7.61,5.94,7.05,7.05,7387600
2000-02-28,7.02,7.22,6.75,7.14,7.14,4328400
2000-02-29,7.09,7.5,6.95,7.39,7.39,4144800
2000-03-01,7.38,7.48,7.08,7.28,7.28,2490800
2000-03-02,7.18,7.25,7.03,7.17,7.17,1358400
2000-03-03,7.12,7.25,7.12,7.25,7.25,830800
2000-03-06,7.17,7.31,7.03,7.09,7.09,3761200
2000-03-07,7.0,7.02,6.75,6.92,6.92,2091200
2000-03-08,6.8,7.03,6.41,7.0,7.0,1628800
2000-03-09,6.94,7.16,6.88,7.12,7.12,1281600
2000-03-10,7.06,7.47,6.91,6.98,6.98,2014000
2000-03-13,6.93,6.94,6.62,6.62,6.62,855200
2000-03-14,6.62,6.81,6.19,6.39,6.39,1654000
2000-03-15,6.39,6.91,6.28,6.67,6.67,1332800
2000-03-16,6.82,7.05,6.69,7.05,7.05,1070000
2000-03-17,6.95,7.09,6.23,6.45,6.45,702800
2000-03-20,6.41,6.91,6.28,6.59,6.59,1115600
2000-03-21,6.59,6.77,6.48,6.77,6.77,796800
2000-03-22,6.78,6.81,6.53,6.77,6.77,984400
2000-03-23,6.75,6.81,6.7,6.77,6.77,429200
2000-03-24,6.74,6.8,6.69,6.72,6.72,794000
2000-03-27,6.62,6.78,6.59,6.7,6.7,1518000
2000-03-28,6.69,6.72,6.53,6.55,6.55,1005200
2000-03-29,6.5,6.55,6.38,6.38,6.38,781200
2000-03-30,6.39,6.39,5.44,5.5,5.5,574400
2000-03-31,5.75,5.94,5.12,5.83,5.83,1414800
2000-04-03,5.84,5.84,5.47,5.73,5.73,414400
2000-04-04,5.78,5.78,5.42,5.5,5.5,503200
2000-04-05,5.47,5.75,5.41,5.55,5.55,950400
2000-04-06,5.53,5.92,5.53,5.92,5.92,258800
2000-04-07,5.88,5.95,5.52,5.73,5.73,282800
2000-04-10,5.78,5.97,5.48,5.48,5.48,336000
2000-04-11,5.48,5.59,5.28,5.33,5.33,418400
2000-04-12,5.44,5.5,5.31,5.44,5.44,944000
2000-04-13,5.47,6.16,5.31,5.56,5.56,1354800
2000-04-14,5.56,6.12,5.53,5.92,5.92,1571200
2000-04-17,5.88,6.34,5.88,6.34,6.34,2034000
2000-04-18,6.25,6.31,6.17,6.2,6.2,1342400
2000-04-19,6.22,6.3,6.16,6.16,6.16,1090800
2000-04-20,6.16,6.45,6.16,6.44,6.44,1204800
2000-04-24,6.22,6.25,6.17,6.22,6.22,614000
2000-04-25,6.22,6.62,6.22,6.23,6.23,1476400
2000-04-26,6.19,6.34,6.19,6.31,6.31,582800
2000-04-27,6.19,6.34,6.12,6.34,6.34,393200
2000-04-28,6.28,6.56,6.28,6.56,6.56,1351200
2000-05-01,7.34,7.44,6.84,7.03,7.03,2441600
2000-05-02,7.01,7.02,6.61,6.64,6.64,420000
2000-05-03,6.7,6.7,6.16,6.33,6.33,726800
2000-05-04,6.27,6.41,6.27,6.38,6.38,330400
2000-05-05,6.34,6.83,6.31,6.47,6.47,590000
2000-05-08,6.47,6.78,6.47,6.75,6.75,281600
2000-05-09,6.75,6.76,6.41,6.72,6.72,418000
2000-05-10,6.73,6.73,6.34,6.45,6.45,546000
2000-05-11,6.5,6.77,6.44,6.73,6.73,677600
2000-05-12,6.67,6.78,6.62,6.69,6.69,472400
2000-05-15,6.57,6.88,6.53,6.84,6.84,660400
2000-05-16,6.75,6.92,6.75,6.91,6.91,450000
2000-05-17,6.78,6.86,6.66,6.69,6.69,601600
2000-05-18,6.69,6.69,6.41,6.48,6.48,1360400
2000-05-19,6.31,6.53,6.25,6.5,6.5,641600
2000-05-22,6.5,6.5,6.19,6.31,6.31,792000
2000-05-23,6.3,6.41,6.25,6.31,6.31,909600
2000-05-24,6.31,6.45,6.25,6.38,6.38,400800
2000-05-25,6.43,6.44,6.25,6.25,6.25,374800
2000-05-26,6.25,6.5,6.03,6.06,6.06,554000
2000-05-30,5.91,6.22,5.88,6.19,6.19,457200
2000-05-31,6.19,6.39,6.09,6.2,6.2,539600
2000-06-01,5.81,6.3,5.81,6.12,6.12,1314000
2000-06-02,6.12,6.42,6.12,6.34,6.34,1023600
2000-06-05,6.31,6.31,5.91,6.0,6.0,961200
2000-06-06,5.94,6.44,5.91,6.41,6.41,952400
2000-06-07,6.45,6.52,6.3,6.52,6.52,1326800
2000-06-08,6.52,6.53,6.19,6.2,6.2,471200
2000-06-09,6.25,6.25,5.97,6.12,6.12,2187600
2000-06-12,6.22,6.22,5.62,5.62,5.62,1516400
2000-06-13,5.86,5.89,5.73,5.84,5.84,1870400
2000-06-14,5.91,5.98,5.84,5.95,5.95,1384000
2000-06-15,5.94,6.0,5.8,5.92,5.92,1548400
2000-06-16,5.8,5.97,5.7,5.89,5.89,2506400
2000-06-19,5.91,5.92,5.84,5.88,5.88,1150800
2000-06-20,5.86,5.89,5.73,5.77,5.77,256400
2000-06-21,5.7,5.88,5.62,5.84,5.84,472800
2000-06-22,5.75,5.81,5.59,5.61,5.61,669200
2000-06-23,5.62,5.69,5.53,5.61,5.61,858800
2000-06-26,5.58,5.86,5.53,5.78,5.78,782000
2000-06-27,5.77,5.78,5.64,5.64,5.64,2342000
2000-06-28,5.64,5.67,5.47,5.48,5.48,3856400
2000-06-29,5.47,5.53,5.44,5.5,5.5,3847600
2000-06-30,5.47,5.75,5.47,5.72,5.72,5700800
2000-07-03,5.53,5.75,5.47,5.69,5.69,436000
2000-07-05,5.56,5.72,5.44,5.47,5.47,905600
2000-07-06,5.48,5.59,5.45,5.53,5.53,1499600
2000-07-07,5.53,5.56,5.42,5.5,5.5,1243600
2000-07-10,5.42,5.5,5.33,5.36,5.36,1328400
2000-07-11,5.41,5.47,5.36,5.38,5.38,399200
2000-07-12,5.47,5.47,5.27,5.34,5.34,494000
2000-07-13,5.33,5.34,5.25,5.3,5.3,822400
2000-07-14,5.25,5.45,5.12,5.25,5.25,1355600
2000-07-17,5.3,5.53,5.16,5.3,5.3,1546800
2000-07-18,5.36,5.88,5.31,5.67,5.67,3486400
2000-07-19,5.69,5.69,5.47,5.53,5.53,566400
2000-07-20,5.62,5.66,5.53,5.59,5.59,429200
2000-07-21,5.62,5.62,5.2,5.25,5.25,482000
2000-07-24,5.42,5.94,5.42,5.91,5.91,1972000
2000-07-25,6.02,6.03,5.62,5.69,5.69,2123200
2000-07-26,5.69,6.25,5.66,6.02,6.02,841600
2000-07-27,6.0,6.05,5.72,5.88,5.88,803600
2000-07-28,5.95,6.09,5.84,5.88,5.88,663200
2000-07-31,5.86,6.09,5.69,6.06,6.06,496000
2000-08-01,6.02,6.3,5.8,6.3,6.3,716400
2000-08-02,6.25,6.36,6.06,6.14,6.14,488000
2000-08-03,6.19,6.52,6.06,6.31,6.31,682400
2000-08-04,6.31,6.62,6.09,6.38,6.38,527600
2000-08-07,6.31,6.52,6.25,6.5,6.5,488400
2000-08-08,6.44,6.48,6.31,6.38,6.38,2885200
2000-08-09,6.34,6.48,6.34,6.41,6.41,1374400
2000-08-10,6.41,6.47,6.31,6.38,6.38,518000
2000-08-11,6.38,6.69,6.38,6.69,6.69,699200
2000-08-14,6.5,6.78,6.47,6.67,6.67,456000
