Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,13.14,13.5,13.14,13.5,9.86,70800
2000-01-03,13.56,13.56,13.33,13.42,9.8,148600
2000-01-04,13.36,13.36,12.67,12.81,9.35,63400
2000-01-05,12.81,12.86,12.5,12.75,9.31,84600
2000-01-06,12.69,12.94,12.58,12.75,9.31,61200
2000-01-07,12.69,13.17,12.69,13.11,9.58,40000
2000-01-10,13.19,13.25,12.94,13.25,9.68,62100
2000-01-11,13.19,13.33,13.17,13.25,9.68,35500
2000-01-12,13.19,13.28,13.19,13.28,9.7,37800
2000-01-13,13.14,13.67,13.14,13.5,9.91,78000
2000-01-14,13.5,13.78,13.5,13.69,10.05,44200
2000-01-18,13.53,13.69,13.25,13.53,9.93,76900
2000-01-19,13.53,13.72,13.39,13.69,10.05,67600
2000-01-20,13.64,13.94,13.64,13.94,10.23,46000
2000-01-21,13.78,13.78,13.61,13.67,10.03,55500
2000-01-24,13.86,13.86,13.11,13.11,9.62,54100
2000-01-25,13.14,13.14,12.36,12.5,9.17,95800
2000-01-26,12.5,12.58,12.39,12.39,9.09,66600
2000-01-27,12.28,12.31,12.03,12.03,8.83,120700
2000-01-28,12.03,12.17,12.0,12.11,8.89,257500
2000-01-31,12.11,12.17,11.94,11.94,8.77,114700
2000-02-01,11.97,11.97,11.75,11.81,8.66,57100
2000-02-02,11.81,11.81,11.11,11.11,8.15,123000
2000-02-03,11.22,11.22,10.89,11.03,8.09,147700
2000-02-04,10.83,11.22,10.83,11.19,8.22,322600
2000-02-07,11.19,11.78,11.19,11.78,8.64,128700
2000-02-08,11.89,12.06,11.61,11.94,8.77,154300
2000-02-09,12.0,12.08,11.83,11.89,8.72,99100
2000-02-10,11.89,11.89,11.56,11.67,8.56,56700
2000-02-11,11.61,11.61,11.39,11.39,8.36,53500
2000-02-14,11.17,11.17,10.67,10.75,7.89,195400
2000-02-15,10.67,10.69,10.11,10.28,7.54,403800
2000-02-16,10.33,10.78,10.22,10.78,7.91,81900
2000-02-17,10.72,10.78,10.47,10.64,7.81,166500
2000-02-18,10.72,10.78,10.61,10.61,7.79,73500
2000-02-22,10.61,10.69,10.39,10.67,7.83,79300
2000-02-23,10.58,11.0,10.56,10.94,8.03,66600
2000-02-24,10.89,10.89,10.28,10.28,7.54,79800
2000-02-25,10.33,10.33,10.22,10.25,7.52,74400
2000-02-28,10.31,10.56,10.25,10.56,7.75,107700
2000-02-29,10.44,11.06,10.44,11.0,8.07,187300
2000-03-01,11.06,11.61,11.03,11.44,8.4,175900
2000-03-02,11.33,11.36,11.14,11.17,8.19,130500
2000-03-03,11.06,11.36,11.06,11.28,8.28,34300
2000-03-06,11.22,11.33,11.22,11.33,8.32,92800
2000-03-07,11.31,11.56,11.28,11.47,8.42,130900
2000-03-08,11.36,11.61,11.36,11.53,8.46,88800
2000-03-09,11.47,11.53,11.28,11.53,8.46,39700
2000-03-10,11.53,11.58,11.22,11.36,8.34,367200
2000-03-13,11.31,11.47,11.25,11.33,8.32,31000
2000-03-14,11.22,11.33,11.11,11.17,8.19,276700
2000-03-15,11.17,11.36,11.06,11.31,8.3,139500
2000-03-16,11.36,12.17,11.31,12.17,8.93,261000
2000-03-17,12.0,12.39,12.0,12.39,9.09,84700
2000-03-20,12.28,12.56,12.19,12.33,9.05,81900
2000-03-21,12.28,12.28,11.97,12.22,8.97,65800
2000-03-22,12.17,12.42,12.03,12.42,9.11,57300
2000-03-23,12.42,12.53,12.25,12.28,9.01,37800
2000-03-24,12.39,12.61,12.39,12.56,9.21,35200
2000-03-27,12.5,12.5,12.39,12.5,9.17,26700
2000-03-28,12.44,12.47,12.17,12.19,8.95,87900
2000-03-29,12.25,12.31,12.03,12.31,9.03,114000
2000-03-30,12.31,12.31,12.0,12.0,8.81,61200
2000-03-31,12.03,12.61,11.75,12.11,8.89,401100
2000-04-03,12.17,12.17,11.97,12.0,8.81,151300
2000-04-04,11.94,12.14,11.81,11.94,8.77,104800
2000-04-05,12.06,12.08,12.0,12.06,8.85,86400
2000-04-06,12.11,12.25,12.06,12.17,8.93,115300
2000-04-07,12.22,12.22,12.06,12.11,8.89,58200
2000-04-10,12.06,12.44,12.0,12.0,8.81,63400
2000-04-11,12.0,12.08,11.92,11.92,8.75,85600
2000-04-12,11.86,12.22,11.86,12.06,8.85,32400
2000-04-13,11.97,12.36,11.89,12.06,8.89,26100
2000-04-14,12.0,12.28,12.0,12.08,8.91,91000
2000-04-17,12.08,12.39,11.97,12.39,9.14,71500
2000-04-18,12.44,13.0,12.33,13.0,9.59,175600
2000-04-19,13.0,13.39,12.92,13.33,9.84,99100
2000-04-20,13.33,13.33,12.78,12.78,9.43,124300
2000-04-24,12.83,12.86,12.67,12.67,9.34,27900
2000-04-25,12.64,13.61,12.64,13.58,10.02,54000
2000-04-26,13.56,13.56,13.28,13.33,9.84,100000
2000-04-27,13.28,13.94,13.28,13.78,10.16,166600
2000-04-28,13.78,13.89,13.69,13.89,10.25,158100
2000-05-01,13.94,14.5,13.86,14.44,10.66,133300
2000-05-02,14.44,14.44,14.11,14.14,10.43,79300
2000-05-03,14.14,14.14,13.75,13.75,10.14,51400
2000-05-04,13.64,13.86,13.47,13.83,10.2,46500
2000-05-05,13.81,14.22,13.81,14.22,10.49,51900
2000-05-08,14.14,14.19,14.08,14.19,10.47,43600
2000-05-09,14.17,14.31,14.11,14.31,10.55,84300
2000-05-10,14.22,14.25,13.97,13.97,10.31,61200
2000-05-11,14.0,14.33,13.97,14.33,10.57,84300
2000-05-12,14.33,14.39,14.17,14.33,10.57,100300
2000-05-15,14.28,14.33,14.03,14.33,10.57,34200
2000-05-16,14.33,14.33,14.22,14.31,10.55,62100
2000-05-17,14.22,14.33,14.08,14.28,10.53,83200
2000-05-18,14.33,14.33,14.22,14.22,10.49,55300
2000-05-19,14.25,14.25,13.47,13.89,10.25,125200
2000-05-22,13.94,14.33,13.81,14.33,10.57,55000
2000-05-23,14.33,14.44,14.17,14.33,10.57,108600
2000-05-24,14.25,15.0,14.19,15.0,11.07,161100
2000-05-25,15.0,15.14,14.53,14.53,10.72,187200
2000-05-26,14.53,14.64,14.39,14.56,10.74,84700
2000-05-30,14.58,14.64,14.42,14.64,10.8,37500
2000-05-31,14.64,14.83,14.53,14.83,10.94,150300
2000-06-01,14.83,15.17,14.83,15.17,11.19,138300
2000-06-02,15.14,15.44,15.11,15.25,11.25,76900
2000-06-05,15.25,15.39,15.06,15.06,11.11,78400
2000-06-06,14.94,15.06,14.94,14.94,11.02,23800
2000-06-07,14.97,14.97,14.86,14.89,10.98,54100
2000-06-08,14.94,15.0,14.83,14.89,10.98,13000
2000-06-09,15.0,15.0,14.78,14.86,10.96,30600
2000-06-12,14.92,14.92,14.33,14.33,10.57,47200
2000-06-13,14.44,14.72,14.36,14.72,10.86,48600
2000-06-14,14.67,14.67,14.5,14.56,10.74,38800
2000-06-15,14.56,15.0,14.44,14.81,10.92,118000
2000-06-16,14.94,14.94,14.61,14.61,10.78,90400
2000-06-19,14.56,14.83,14.39,14.75,10.88,81100
2000-06-20,14.69,14.69,14.53,14.58,10.76,16600
2000-06-21,14.5,14.69,14.5,14.61,10.78,73500
2000-06-22,14.69,14.75,14.36,14.36,10.59,49900
2000-06-23,14.31,14.31,13.81,13.97,10.31,52200
2000-06-26,13.94,14.39,13.89,14.36,10.59,37800
2000-06-27,14.36,14.69,14.31,14.33,10.57,66100
2000-06-28,14.28,14.81,14.26,14.81,10.92,123400
2000-06-29,14.69,14.78,14.5,14.56,10.74,41400
2000-06-30,14.56,14.64,14.02,14.02,10.34,108400
2000-07-03,14.03,14.36,14.03,14.36,10.59,37800
2000-07-05,14.42,14.47,14.31,14.36,10.59,41400
2000-07-06,14.39,14.72,14.33,14.67,10.82,46000
2000-07-07,14.67,14.67,14.56,14.67,10.82,68800
2000-07-10,14.64,14.67,14.5,14.53,10.72,63600
2000-07-11,14.5,14.64,14.44,14.61,10.78,33400
2000-07-12,14.61,14.83,14.53,14.83,10.94,34600
2000-07-13,14.72,15.03,14.67,14.81,10.97,174300
2000-07-14,14.78,14.94,14.72,14.75,10.93,50500
2000-07-17,14.67,14.69,14.61,14.64,10.84,19800
2000-07-18,14.61,15.0,14.61,14.97,11.09,131800
2000-07-19,14.94,14.94,14.67,14.67,10.86,28500
2000-07-20,14.69,14.81,14.69,14.72,10.91,45000
2000-07-21,14.78,14.89,14.44,14.56,10.78,37900
2000-07-24,14.58,14.64,14.47,14.53,10.76,63000
2000-07-25,14.47,14.64,14.28,14.64,10.84,145000
2000-07-26,14.58,14.67,14.44,14.67,10.86,25200
2000-07-27,14.56,14.64,14.44,14.53,10.76,45000
2000-07-28,14.42,14.58,14.22,14.47,10.72,36400
2000-07-31,14.47,14.67,14.25,14.67,10.86,120100
2000-08-01,14.67,14.67,14.5,14.67,10.86,103600
2000-08-02,14.61,14.61,14.36,14.47,10.72,22900
2000-08-03,14.42,14.47,14.28,14.39,10.66,37800
2000-08-04,14.44,14.44,14.25,14.28,10.58,29200
2000-08-07,14.33,14.44,14.25,14.39,10.66,16800
2000-08-08,14.31,14.5,14.25,14.36,10.64,50400
2000-08-09,14.42,14.47,14.33,14.36,10.64,47200
