Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,37.75,38.0,36.69,37.62,24.42,116600
2000-01-03,37.62,37.94,35.0,35.56,23.08,312300
2000-01-04,35.0,35.5,34.56,35.12,22.79,318300
2000-01-05,34.88,35.75,34.56,35.44,23.0,255400
2000-01-06,35.12,37.12,35.0,36.25,23.52,212700
2000-01-07,36.5,37.62,36.38,37.31,24.21,153000
2000-01-10,36.75,36.88,35.75,36.38,23.6,185400
2000-01-11,36.25,36.81,35.81,36.44,23.64,140500
2000-01-12,36.69,37.25,36.0,36.31,23.56,183400
2000-01-13,36.25,37.56,36.25,36.94,23.97,209400
2000-01-14,36.38,37.25,36.06,36.94,23.97,406000
2000-01-18,36.0,36.75,35.75,36.44,23.64,185100
2000-01-19,36.31,37.06,36.22,36.69,23.81,248300
2000-01-20,36.69,37.06,36.56,36.81,23.89,236200
2000-01-21,37.5,37.5,36.56,36.62,23.77,246300
2000-01-24,36.38,36.56,35.81,35.81,23.24,283600
2000-01-25,35.56,36.19,34.88,35.62,23.12,404600
2000-01-26,35.62,36.25,34.75,36.19,23.48,245600
2000-01-27,35.75,36.38,35.38,36.06,23.4,154900
2000-01-28,36.06,36.19,34.69,35.88,23.28,425100
2000-01-31,35.88,36.12,35.5,35.69,23.16,206000
2000-02-01,35.44,35.62,35.0,35.44,23.0,169500
2000-02-02,35.38,35.62,35.0,35.31,22.91,269300
2000-02-03,35.0,36.31,35.0,36.19,23.48,320200
2000-02-04,36.19,36.19,35.44,35.5,23.04,224700
2000-02-07,35.25,35.5,34.88,35.0,22.71,317700
2000-02-08,34.0,34.56,33.5,34.56,22.43,326900
2000-02-09,33.88,33.88,32.25,33.31,21.62,510600
2000-02-10,33.31,33.75,32.75,33.5,21.74,274700
2000-02-11,33.0,33.75,31.56,32.56,21.13,374900
2000-02-14,32.0,32.44,31.31,32.44,21.05,274300
2000-02-15,32.25,33.88,32.12,33.5,21.74,276800
2000-02-16,33.5,33.5,32.19,33.12,21.5,204100
2000-02-17,33.38,33.5,31.75,32.38,21.01,257600
2000-02-18,32.0,32.0,31.5,31.75,20.6,196700
2000-02-22,31.31,32.44,31.12,31.69,20.56,375700
2000-02-23,31.75,31.75,30.25,30.31,19.67,381100
2000-02-24,30.38,30.38,29.31,30.25,19.63,780100
2000-02-25,29.94,30.25,29.25,29.75,19.31,224200
2000-02-28,29.75,30.19,29.69,29.81,19.35,476900
2000-02-29,29.56,30.62,29.19,30.0,19.47,471200
2000-03-01,30.25,30.25,29.56,29.94,19.43,296700
2000-03-02,30.19,30.19,29.0,29.31,19.02,5187800
2000-03-03,29.25,32.0,28.81,30.0,19.47,1271000
2000-03-06,30.38,30.38,28.75,29.88,19.39,469300
2000-03-07,29.88,30.44,28.81,29.12,18.9,646000
2000-03-08,29.12,30.69,29.12,29.88,19.39,438400
2000-03-09,30.06,31.62,30.06,30.75,19.95,502100
2000-03-10,30.38,31.62,29.38,31.25,20.28,473100
2000-03-13,31.0,31.38,30.5,31.0,20.12,396700
2000-03-14,31.0,31.25,30.56,31.12,20.2,223400
2000-03-15,31.94,34.19,31.0,33.81,21.94,426500
2000-03-16,33.5,35.5,32.88,35.38,22.96,517700
2000-03-17,35.44,35.44,34.5,35.0,22.71,368500
2000-03-20,35.0,35.0,34.19,34.44,22.35,395800
2000-03-21,34.69,35.12,34.0,34.81,22.59,256800
2000-03-22,34.12,34.25,33.19,33.44,21.94,283400
2000-03-23,33.25,34.75,33.19,34.25,22.47,158200
2000-03-24,34.0,34.5,33.81,34.19,22.43,219100
2000-03-27,33.94,34.0,32.94,32.94,21.61,202500
2000-03-28,33.06,33.88,32.69,32.69,21.45,185800
2000-03-29,32.94,33.94,32.94,33.69,22.1,202400
2000-03-30,33.69,35.06,33.38,33.81,22.18,366100
2000-03-31,34.0,35.5,33.62,35.06,23.0,176900
2000-04-03,35.0,36.38,34.75,35.81,23.5,260900
2000-04-04,35.56,36.88,34.69,35.69,23.41,304100
2000-04-05,35.75,36.44,34.88,35.19,23.09,181400
2000-04-06,34.5,35.19,34.38,34.81,22.84,215900
2000-04-07,34.75,35.31,34.5,34.81,22.84,199100
2000-04-10,34.62,35.69,34.62,35.38,23.21,129900
2000-04-11,36.0,36.75,36.0,36.69,24.07,212000
2000-04-12,36.44,37.81,36.25,36.31,23.82,267200
2000-04-13,36.44,37.38,36.44,36.94,24.23,167300
2000-04-14,36.25,36.69,34.62,34.94,22.92,272700
2000-04-17,35.06,36.62,34.25,36.44,23.91,300000
2000-04-18,36.25,36.25,34.12,35.25,23.13,217700
2000-04-19,35.0,35.0,34.19,34.38,22.55,183500
2000-04-20,35.0,35.38,34.0,34.75,22.8,230700
2000-04-24,35.0,35.38,34.81,35.25,23.13,154600
2000-04-25,35.06,36.12,34.56,36.0,23.62,123300
2000-04-26,36.25,36.5,34.88,35.19,23.09,181500
2000-04-27,37.0,37.0,34.44,34.75,22.8,202500
2000-04-28,34.25,34.69,33.56,34.44,22.59,253300
2000-05-01,33.88,34.75,33.5,34.56,22.68,181200
2000-05-02,34.31,34.5,33.62,34.31,22.51,203200
2000-05-03,34.06,34.12,33.5,33.94,22.27,431100
2000-05-04,33.94,34.31,33.81,33.81,22.18,124900
2000-05-05,33.81,34.12,33.44,33.62,22.06,258800
2000-05-08,33.75,34.0,33.31,33.88,22.22,158300
2000-05-09,34.0,34.25,33.62,34.0,22.31,372900
2000-05-10,33.94,34.31,33.62,33.88,22.22,259600
2000-05-11,33.94,34.0,33.5,33.69,22.1,213500
2000-05-12,33.69,33.81,33.0,33.62,22.06,155700
2000-05-15,33.38,33.81,32.25,32.5,21.32,431900
2000-05-16,32.75,33.44,32.19,33.06,21.69,307400
2000-05-17,32.81,33.06,32.44,32.81,21.53,160100
2000-05-18,32.31,32.94,32.0,32.19,21.12,236600
2000-05-19,32.19,33.31,31.75,32.94,21.61,218300
2000-05-22,33.75,34.19,33.25,33.53,22.0,351500
2000-05-23,33.0,33.75,32.25,32.75,21.49,315300
2000-05-24,32.88,34.25,32.19,33.66,22.08,341700
2000-05-25,33.81,33.81,32.59,33.16,21.75,323900
2000-05-26,33.25,34.25,32.81,33.53,22.0,258500
2000-05-30,33.44,34.62,32.88,34.12,22.39,466400
