Date,Open,High,Low,Close,Adj Close,Volume
2000-07-28,14.94,21.12,14.75,19.59,19.59,18615200
2000-07-31,19.12,19.34,15.75,17.5,17.5,2481800
2000-08-01,17.41,20.06,16.5,17.75,17.75,1216200
2000-08-02,16.81,19.5,16.78,19.06,19.06,856400
2000-08-03,19.06,23.88,18.5,22.12,22.12,1368000
2000-08-04,22.74,22.75,19.88,20.47,20.47,1284200
2000-08-07,21.47,24.12,19.5,21.12,21.12,565600
2000-08-08,21.09,22.25,20.28,20.49,20.49,329600
2000-08-09,20.84,21.41,20.0,21.41,21.41,326800
2000-08-10,21.31,23.62,20.75,22.5,22.5,657800
2000-08-11,22.47,22.5,20.94,20.94,20.94,394800
2000-08-14,21.31,21.38,19.81,20.0,20.0,473400
2000-08-15,20.22,20.5,19.5,20.0,20.0,307000
2000-08-16,21.03,21.88,20.88,21.31,21.31,554200
2000-08-17,21.19,21.94,20.94,20.94,20.94,487200
2000-08-18,20.94,23.5,20.94,22.0,22.0,164800
2000-08-21,22.0,23.88,22.0,22.59,22.59,314400
2000-08-22,22.62,22.62,21.06,21.06,21.06,362600
2000-08-23,21.25,22.0,20.38,20.56,20.56,332400
2000-08-24,20.62,20.94,19.94,20.01,20.01,214000
2000-08-25,20.03,21.19,20.03,20.88,20.88,558400
2000-08-28,21.81,21.88,20.38,20.81,20.81,319200
2000-08-29,20.81,21.25,20.69,21.25,21.25,172400
2000-08-30,20.88,21.0,19.72,20.0,20.0,842800
2000-08-31,19.94,23.62,19.94,22.38,22.38,890600
2000-09-01,23.0,23.5,21.75,23.31,23.31,376200
2000-09-05,23.56,23.72,21.5,22.88,22.88,192000
2000-09-06,23.41,23.41,20.88,21.0,21.0,443000
2000-09-07,21.88,22.5,20.56,22.5,22.5,324800
2000-09-08,22.5,22.5,21.19,21.47,21.47,353000
2000-09-11,21.5,22.0,20.19,20.56,20.56,601600
2000-09-12,20.62,20.81,19.5,20.38,20.38,247800
2000-09-13,19.95,20.5,17.56,18.25,18.25,617400
2000-09-14,18.45,18.81,17.94,18.5,18.5,275800
2000-09-15,18.5,19.0,18.25,18.88,18.88,232200
2000-09-18,17.75,18.5,16.09,17.0,17.0,342000
2000-09-19,17.0,17.59,16.5,16.66,16.66,567200
2000-09-20,16.94,17.59,16.31,17.0,17.0,483200
2000-09-21,17.72,17.81,17.44,17.69,17.69,72400
2000-09-22,17.03,19.94,17.03,19.62,19.62,174400
