Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,21.82,22.06,21.59,21.99,13.4,338200
2000-01-03,21.79,21.82,20.54,21.17,12.89,1454300
2000-01-04,21.07,21.27,20.52,20.74,12.63,1998400
2000-01-05,20.72,21.27,20.47,20.72,12.62,1633100
2000-01-06,20.82,21.87,20.42,21.84,13.3,2998700
2000-01-07,22.76,22.86,22.34,22.86,13.93,2458100
2000-01-10,23.06,23.06,22.06,22.39,13.64,1834600
2000-01-11,22.49,22.86,22.14,22.14,13.49,1377900
2000-01-12,22.04,22.51,21.72,21.79,13.27,1491800
2000-01-13,21.57,21.91,21.29,21.29,12.97,2022900
2000-01-14,21.44,21.64,21.09,21.29,12.97,1325100
2000-01-18,21.12,21.37,20.84,21.17,12.89,887600
2000-01-19,21.27,21.29,20.49,20.77,12.65,2840200
2000-01-20,20.77,20.97,19.64,20.21,12.31,2695300
2000-01-21,19.79,19.84,18.97,19.24,11.72,2646400
2000-01-24,19.14,19.27,18.65,18.84,11.48,2824000
2000-01-25,18.67,18.77,17.77,18.35,11.18,3114900
2000-01-26,18.87,19.74,18.2,19.67,11.98,3690800
2000-01-27,19.17,20.07,18.62,19.12,11.65,2300600
2000-01-28,18.82,19.04,18.72,18.77,11.43,1783500
2000-01-31,18.87,18.87,18.5,18.79,11.45,1205600
2000-02-01,18.67,18.99,18.3,18.4,11.21,969200
2000-02-02,18.77,19.12,18.55,18.55,11.3,1243400
2000-02-03,18.55,18.87,18.12,18.3,11.14,1929300
2000-02-04,18.47,18.62,18.07,18.57,11.31,2673700
2000-02-07,18.47,18.52,17.87,18.0,10.96,1675900
2000-02-08,18.0,18.27,17.65,17.72,10.8,1785800
2000-02-09,17.77,17.92,17.07,17.07,10.4,2367500
2000-02-10,17.17,17.72,15.87,16.05,9.78,7445800
2000-02-11,16.25,16.35,15.28,15.55,9.57,3446500
2000-02-14,15.62,16.45,15.55,16.42,10.11,3434200
2000-02-15,16.52,17.47,16.25,17.22,10.6,3998100
2000-02-16,17.22,17.57,16.75,16.97,10.45,1920500
2000-02-17,16.92,16.95,16.41,16.7,10.28,1023300
2000-02-18,16.62,16.65,15.87,16.22,9.99,1460500
2000-02-22,16.12,16.4,15.77,16.27,10.02,1108500
2000-02-23,15.97,16.02,14.78,14.9,9.17,3158200
2000-02-24,15.3,15.3,14.23,14.28,8.79,4772800
2000-02-25,14.58,14.6,14.03,14.13,8.7,2896300
2000-02-28,14.13,15.13,14.05,14.83,9.13,3467000
2000-02-29,14.73,15.5,14.73,15.3,9.42,3519600
2000-03-01,15.23,15.28,14.78,15.1,9.3,1467300
2000-03-02,15.0,15.0,14.0,14.35,8.84,2306600
2000-03-03,14.68,15.33,14.45,14.73,9.07,4114500
2000-03-06,14.98,15.5,14.58,14.9,9.17,3233600
2000-03-07,15.13,15.23,13.9,13.93,8.57,2785700
2000-03-08,14.03,14.63,13.98,13.98,8.61,2604100
2000-03-09,13.98,14.45,13.63,14.33,8.82,1893500
2000-03-10,14.45,14.73,14.18,14.38,8.85,1333600
2000-03-13,14.18,14.28,14.03,14.18,8.73,1921300
2000-03-14,14.28,14.43,14.03,14.13,8.7,2012200
2000-03-15,14.13,15.53,14.13,15.28,9.4,2476900
2000-03-16,15.58,17.45,15.48,17.15,10.56,3212100
2000-03-17,17.15,17.15,16.05,16.17,9.96,1957300
2000-03-20,16.52,16.87,16.32,16.52,10.17,1907000
2000-03-21,16.52,17.5,16.07,17.05,10.5,2454900
2000-03-22,17.05,17.37,16.7,16.77,10.33,2208000
2000-03-23,16.67,17.07,16.5,16.92,10.42,3826100
2000-03-24,16.82,17.05,16.6,16.9,10.4,1673400
2000-03-27,16.95,17.27,16.2,16.2,9.97,1914800
2000-03-28,16.77,17.37,16.37,16.6,10.22,2376000
2000-03-29,16.92,17.17,16.6,17.15,10.56,2217700
2000-03-30,17.27,19.12,17.17,18.15,11.17,3254600
2000-03-31,18.12,18.4,17.67,17.67,10.88,2326700
2000-04-03,17.77,17.8,17.27,17.67,10.88,1811300
2000-04-04,17.72,19.12,17.67,18.77,11.56,3674300
2000-04-05,18.52,18.99,17.87,18.2,11.2,1558400
2000-04-06,18.22,18.72,17.95,18.07,11.13,997300
2000-04-07,18.07,18.15,17.57,17.62,10.85,1236700
2000-04-10,17.52,18.32,17.3,18.17,11.19,1748700
2000-04-11,18.07,18.62,17.92,18.0,11.08,1313800
2000-04-12,17.9,19.29,17.9,18.7,11.51,2824200
2000-04-13,18.79,19.39,18.79,19.27,11.86,2025900
2000-04-14,18.77,18.77,16.57,16.75,10.31,3897700
2000-04-17,16.85,18.12,16.85,17.4,10.71,2500900
2000-04-18,17.5,17.77,17.17,17.3,10.65,3928200
2000-04-19,17.47,17.57,16.45,16.47,10.14,2087300
2000-04-20,17.02,17.82,17.0,17.6,10.83,2102100
2000-04-24,17.42,18.47,17.42,18.3,11.26,1852900
2000-04-25,17.9,18.52,17.75,18.47,11.37,1750700
2000-04-26,18.52,18.65,17.77,18.12,11.16,1777500
2000-04-27,18.12,18.97,17.92,18.77,11.56,1703700
2000-04-28,18.67,18.82,18.12,18.75,11.54,1868400
2000-05-01,18.65,18.72,18.22,18.6,11.45,2027700
2000-05-02,18.7,19.09,18.42,18.94,11.66,1207600
2000-05-03,18.77,18.82,18.42,18.55,11.42,1224200
2000-05-04,18.45,18.47,18.17,18.2,11.2,1306500
2000-05-05,18.22,18.62,18.17,18.52,11.4,535800
2000-05-08,18.37,18.87,18.37,18.62,11.46,1151800
2000-05-09,18.32,18.59,18.1,18.3,11.26,933400
2000-05-10,18.2,18.42,17.9,18.07,11.13,1099700
2000-05-11,18.27,18.77,18.22,18.32,11.28,765200
2000-05-12,18.55,18.67,18.12,18.47,11.48,1926000
2000-05-15,18.57,19.54,18.57,19.29,11.99,1223400
2000-05-16,19.92,20.52,19.77,20.29,12.61,2572300
2000-05-17,19.89,20.19,19.77,19.79,12.3,1909800
2000-05-18,19.67,19.69,19.32,19.59,12.18,1279500
2000-05-19,19.34,19.52,18.89,19.07,11.85,1150300
2000-05-22,19.32,19.32,18.89,19.09,11.87,907100
2000-05-23,19.17,19.17,18.52,18.57,11.54,842800
