Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.54,10.82,10.32,10.77,5.82,139600
2000-01-03,10.77,10.77,9.74,9.77,5.28,666000
2000-01-04,9.77,9.96,9.17,9.46,5.11,354400
2000-01-05,9.41,9.46,9.16,9.16,4.95,669600
2000-01-06,9.23,9.23,8.99,9.07,4.9,662600
2000-01-07,9.11,9.17,8.97,9.04,4.88,626100
2000-01-10,9.05,9.58,9.04,9.5,5.13,1627800
2000-01-11,9.5,9.72,9.5,9.6,5.19,243800
2000-01-12,9.58,9.58,9.11,9.23,4.98,320000
2000-01-13,9.29,9.31,9.02,9.31,5.03,463600
2000-01-14,9.31,9.38,9.28,9.29,5.02,156800
2000-01-18,9.23,9.23,8.9,8.95,4.84,440200
2000-01-19,9.0,9.05,8.93,8.95,4.84,117500
2000-01-20,8.93,9.21,8.93,9.17,4.96,207500
2000-01-21,9.17,9.58,9.11,9.45,5.1,749200
2000-01-24,9.46,9.77,9.46,9.55,5.16,1513300
2000-01-25,9.55,9.55,9.21,9.21,4.97,441100
2000-01-26,9.21,9.57,9.17,9.17,4.96,471300
2000-01-27,9.21,9.38,9.17,9.17,4.96,914300
2000-01-28,9.21,9.41,9.04,9.31,5.03,367500
2000-01-31,9.38,9.52,9.0,9.04,4.88,466800
2000-02-01,9.0,9.0,8.78,8.93,4.83,503400
2000-02-02,8.87,9.31,8.73,9.14,4.94,284000
2000-02-03,9.07,9.38,9.07,9.21,4.97,398900
2000-02-04,9.11,9.55,9.11,9.53,5.15,162000
2000-02-07,9.48,9.48,8.97,9.04,4.88,595100
2000-02-08,9.11,9.41,9.04,9.34,5.05,520100
2000-02-09,9.31,9.31,8.8,8.8,4.75,298600
2000-02-10,8.8,8.8,8.37,8.61,4.65,534000
2000-02-11,8.61,8.9,8.45,8.59,4.64,657300
2000-02-14,8.57,8.57,7.94,8.22,4.44,1189100
2000-02-15,8.28,8.59,8.28,8.51,4.59,708300
2000-02-16,8.47,8.52,8.47,8.51,4.59,279100
2000-02-17,8.51,9.29,8.51,9.16,4.95,445600
2000-02-18,9.16,9.21,8.88,8.97,4.84,273000
2000-02-22,8.87,8.87,8.76,8.78,4.74,93500
2000-02-23,8.76,8.76,7.94,8.57,4.63,767700
2000-02-24,8.57,8.57,8.25,8.35,4.51,342400
2000-02-25,8.35,8.35,7.6,8.01,4.33,1035500
2000-02-28,7.94,8.15,7.67,7.99,4.32,598000
2000-02-29,7.98,8.59,7.94,8.35,4.51,1394100
2000-03-01,8.22,8.49,8.22,8.34,4.5,523000
2000-03-02,8.37,8.49,8.28,8.42,4.55,296600
2000-03-03,8.45,8.59,8.44,8.57,4.63,217100
2000-03-06,8.56,9.11,8.56,9.11,4.92,774100
2000-03-07,9.11,9.14,8.78,8.78,4.74,888200
2000-03-08,8.78,8.88,8.63,8.71,4.71,375900
2000-03-09,8.68,8.9,8.59,8.81,4.76,189800
2000-03-10,8.68,8.69,8.59,8.59,4.64,280500
2000-03-13,8.52,9.0,8.52,8.83,4.77,709000
2000-03-14,8.83,9.24,8.68,8.88,4.8,1001400
2000-03-15,8.81,9.19,8.64,9.02,4.87,514100
2000-03-16,8.99,9.17,8.93,9.04,4.88,1146500
2000-03-17,8.95,9.04,8.87,8.87,4.79,482600
2000-03-20,8.83,8.87,8.45,8.76,4.73,809800
2000-03-21,8.66,8.95,8.59,8.95,4.84,445000
2000-03-22,8.92,9.52,8.92,9.26,5.0,576100
2000-03-23,9.21,9.38,9.14,9.28,5.01,360300
2000-03-24,9.21,9.45,9.17,9.21,4.97,717700
2000-03-27,9.17,9.21,9.16,9.19,4.96,225000
2000-03-28,9.19,9.31,9.11,9.17,4.96,576400
2000-03-29,9.17,9.34,9.17,9.26,5.0,503100
2000-03-30,9.31,9.52,9.14,9.23,4.98,546400
2000-03-31,9.19,9.52,9.19,9.33,5.04,606700
2000-04-03,9.34,9.4,9.23,9.23,4.98,325800
2000-04-04,9.23,9.4,8.99,9.12,4.93,433900
2000-04-05,9.0,9.31,9.0,9.31,5.03,509700
2000-04-06,9.24,9.31,9.12,9.16,4.95,393800
2000-04-07,9.21,9.21,8.78,8.83,4.77,253200
2000-04-10,8.56,8.73,8.42,8.42,4.55,400300
2000-04-11,8.56,8.56,8.16,8.23,4.45,323400
2000-04-12,8.28,8.87,8.28,8.87,4.79,465900
2000-04-13,8.85,9.11,8.85,9.04,4.88,499600
2000-04-14,8.97,9.38,8.66,8.66,4.68,1090600
2000-04-17,8.59,8.73,8.11,8.49,4.59,405500
2000-04-18,8.69,9.02,8.56,9.02,4.87,680700
2000-04-19,8.97,9.14,8.92,9.07,4.9,281400
2000-04-20,9.09,9.33,8.97,9.28,5.01,275200
2000-04-24,9.21,9.38,9.12,9.38,5.07,360300
2000-04-25,9.38,9.57,9.23,9.45,5.1,826200
2000-04-26,9.43,9.43,9.31,9.4,5.08,135000
2000-04-27,9.34,9.57,9.31,9.55,5.16,701200
2000-04-28,9.48,9.74,9.45,9.6,5.19,340500
2000-05-01,9.55,9.7,9.52,9.7,5.24,324200
2000-05-02,9.67,10.06,9.5,9.76,5.27,755700
2000-05-03,9.72,9.79,9.48,9.65,5.21,644100
2000-05-04,9.65,9.86,9.58,9.6,5.19,352900
2000-05-05,9.58,9.76,9.58,9.72,5.25,233700
2000-05-08,9.65,9.82,9.5,9.76,5.27,315600
2000-05-09,9.76,9.76,9.52,9.52,5.14,1224000
2000-05-10,9.55,9.55,9.17,9.23,4.98,567400
2000-05-11,9.29,9.76,9.29,9.72,5.25,382100
2000-05-12,9.69,9.69,9.45,9.48,5.12,245300
2000-05-15,9.48,9.48,9.24,9.26,5.0,82700
2000-05-16,9.33,9.79,9.33,9.5,5.13,306800
2000-05-17,9.5,9.5,9.24,9.24,4.99,110100
2000-05-18,9.21,9.58,9.19,9.53,5.15,384100
2000-05-19,9.55,9.55,9.31,9.31,5.03,84100
2000-05-22,9.38,9.45,9.11,9.4,5.08,268200
2000-05-23,9.43,9.62,9.43,9.62,5.2,561800
2000-05-24,9.62,9.81,9.6,9.7,5.24,641400
2000-05-25,9.74,9.82,9.65,9.67,5.22,320800
2000-05-26,9.72,9.72,9.65,9.69,5.23,133000
2000-05-30,9.69,9.86,9.69,9.81,5.3,309600
2000-05-31,9.77,10.05,9.77,10.0,5.4,464500
2000-06-01,9.98,10.03,9.86,10.03,5.42,362200
2000-06-02,10.03,10.08,9.96,9.98,5.39,276200
2000-06-05,10.0,10.01,9.38,9.4,5.08,270100
2000-06-06,9.45,9.58,9.41,9.45,5.1,204600
2000-06-07,9.45,9.45,9.11,9.31,5.03,556400
2000-06-08,9.34,9.52,9.33,9.52,5.14,301000
2000-06-09,9.52,9.82,9.52,9.79,5.29,209700
2000-06-12,9.81,9.86,9.77,9.77,5.28,265900
2000-06-13,9.79,9.79,9.28,9.31,5.03,94800
2000-06-14,9.34,9.6,9.34,9.45,5.1,281800
2000-06-15,9.41,9.43,9.26,9.36,5.06,347700
2000-06-16,9.36,9.43,8.99,9.07,4.9,528200
2000-06-19,9.11,9.14,8.76,8.93,4.83,627500
2000-06-20,8.97,9.07,8.87,8.95,4.84,735300
2000-06-21,8.97,9.02,8.59,8.66,4.68,385600
2000-06-22,8.69,8.83,8.69,8.76,4.73,663100
2000-06-23,8.69,8.75,8.56,8.75,4.72,420700
2000-06-26,8.73,8.87,8.49,8.87,4.79,596900
2000-06-27,8.8,8.92,8.57,8.66,4.68,822500
2000-06-28,8.69,9.04,8.68,9.04,4.88,484400
2000-06-29,9.04,9.04,8.61,8.69,4.7,1286000
2000-06-30,8.69,9.31,8.66,9.28,5.02,2045600
2000-07-03,9.19,9.41,9.14,9.41,5.08,416400
2000-07-05,9.41,9.62,9.26,9.26,5.0,302500
2000-07-06,9.16,9.16,8.8,9.04,4.88,396700
2000-07-07,9.04,9.38,9.04,9.26,5.0,304700
2000-07-10,9.07,9.07,9.0,9.02,4.87,55600
2000-07-11,8.97,8.99,8.81,8.97,4.84,323400
2000-07-12,9.04,9.19,8.97,9.19,4.96,232400
2000-07-13,9.29,9.29,9.16,9.28,5.01,276600
2000-07-14,9.21,9.41,9.21,9.28,5.01,235100
2000-07-17,9.29,9.34,9.04,9.11,4.92,290600
2000-07-18,9.16,9.52,9.16,9.4,5.08,755300
2000-07-19,9.36,9.48,9.36,9.41,5.08,232800
2000-07-20,9.43,9.43,9.24,9.41,5.08,158700
2000-07-21,9.41,9.41,9.07,9.07,4.9,189800
2000-07-24,9.11,9.38,9.11,9.38,5.07,287900
2000-07-25,9.33,9.46,9.19,9.21,4.97,208800
2000-07-26,9.17,9.26,8.8,9.11,4.92,394300
2000-07-27,9.14,9.45,9.14,9.26,5.0,755300
2000-07-28,9.28,9.34,9.19,9.21,4.97,402200
2000-07-31,9.24,9.6,9.24,9.58,5.18,1031200
2000-08-01,9.58,9.58,9.28,9.31,5.03,676200
2000-08-02,9.31,9.34,9.29,9.31,5.03,225500
2000-08-03,9.34,9.36,9.17,9.21,4.97,127600
2000-08-04,9.24,9.41,9.23,9.23,4.98,261400
2000-08-07,9.23,9.38,9.19,9.29,5.02,626500
2000-08-08,9.26,9.48,9.24,9.33,5.04,447900
2000-08-09,9.33,9.38,9.29,9.31,5.03,204600
2000-08-10,9.33,9.33,9.24,9.31,5.03,129900
2000-08-11,9.34,9.4,9.28,9.38,5.07,253600
2000-08-14,9.4,9.4,9.23,9.28,5.01,142200
2000-08-15,9.24,9.24,9.14,9.16,4.95,326600
2000-08-16,9.12,9.12,8.97,9.0,4.86,206500
2000-08-17,9.02,9.05,9.0,9.05,4.89,248300
2000-08-18,9.04,9.21,9.04,9.16,4.95,473200
2000-08-21,9.21,9.23,9.04,9.09,4.91,312000
2000-08-22,9.07,9.07,9.04,9.07,4.9,84700
2000-08-23,9.07,9.11,9.0,9.0,4.86,233700
2000-08-24,9.0,9.11,9.0,9.07,4.9,503400
2000-08-25,9.05,9.17,9.04,9.11,4.92,399300
2000-08-28,9.14,9.24,9.14,9.24,4.99,81900
2000-08-29,9.24,9.53,9.24,9.31,5.03,707900
2000-08-30,9.34,9.34,9.21,9.26,5.0,74000
2000-08-31,9.26,9.4,9.24,9.34,5.05,287900
2000-09-01,9.31,9.41,9.31,9.34,5.05,173300
2000-09-05,9.34,9.43,9.31,9.33,5.04,97000
2000-09-06,9.33,9.45,9.31,9.38,5.07,158700
2000-09-07,9.38,9.4,9.16,9.33,5.04,349700
2000-09-08,9.38,9.43,9.28,9.43,5.09,325200
2000-09-11,9.43,9.45,9.26,9.28,5.01,276000
2000-09-12,9.28,9.28,9.07,9.19,4.96,637500
2000-09-13,9.23,9.5,9.23,9.46,5.11,373300
2000-09-14,9.48,9.58,9.45,9.57,5.17,401200
2000-09-15,9.57,9.58,9.29,9.31,5.03,604700
2000-09-18,9.26,9.28,8.97,9.04,4.88,238200
2000-09-19,9.07,9.07,8.9,8.93,4.83,227000
2000-09-20,8.93,8.97,8.85,8.87,4.79,173700
2000-09-21,8.83,8.85,8.73,8.73,4.72,360700
2000-09-22,8.66,8.73,8.51,8.57,4.63,573500
2000-09-25,8.63,8.8,8.52,8.52,4.6,351200
2000-09-26,8.52,8.97,8.49,8.9,4.81,330100
2000-09-27,8.9,9.38,8.9,9.38,5.07,457700
2000-09-28,9.58,9.93,9.45,9.7,5.24,2303000
2000-09-29,9.7,10.13,9.58,10.13,5.47,772800
2000-10-02,10.0,10.0,9.65,9.7,5.24,571700
2000-10-03,9.65,9.76,9.41,9.74,5.26,176900
2000-10-04,9.76,9.82,9.55,9.74,5.26,379700
2000-10-05,9.72,10.03,9.71,9.94,5.37,490900
2000-10-06,9.94,9.96,9.67,9.7,5.24,362200
2000-10-09,9.67,9.69,9.58,9.6,5.19,216800
2000-10-10,9.58,9.89,9.58,9.86,5.33,496000
2000-10-11,9.79,9.88,9.64,9.65,5.21,423600
2000-10-12,9.58,9.64,9.28,9.58,5.18,674300
2000-10-13,9.6,9.84,9.6,9.81,5.3,247400
2000-10-16,9.74,9.76,9.52,9.55,5.16,205100
