Date,Open,High,Low,Close,Adj Close,Volume
2000-06-16,6.04,6.17,6.0,6.08,6.08,173700
2000-06-19,6.08,6.17,6.0,6.0,6.0,454200
2000-06-20,6.02,6.54,5.25,6.25,6.25,392400
2000-06-21,6.67,7.42,6.42,7.33,7.33,780600
2000-06-22,7.38,7.42,6.35,6.58,6.58,285900
2000-06-23,6.79,7.08,6.67,6.92,6.92,204900
2000-06-26,7.0,7.08,6.5,6.67,6.67,152700
2000-06-27,6.67,6.96,6.0,6.33,6.33,205200
2000-06-28,6.42,6.58,6.08,6.42,6.42,276000
2000-06-29,6.58,6.58,6.0,6.0,6.0,278100
2000-06-30,6.21,6.42,6.08,6.29,6.29,286500
2000-07-03,6.5,6.5,6.33,6.42,6.42,48000
2000-07-05,6.5,6.67,6.33,6.67,6.67,207300
2000-07-06,6.67,6.71,6.29,6.5,6.5,194700
2000-07-07,6.69,7.75,6.38,6.83,6.83,1190400
2000-07-10,7.38,8.83,6.96,8.38,8.38,943500
2000-07-11,9.04,9.5,7.92,8.5,8.5,2005500
2000-07-12,9.31,10.29,8.46,10.0,10.0,1641900
2000-07-13,12.0,12.08,10.75,11.17,11.17,1830300
2000-07-14,11.75,11.83,9.92,10.33,10.33,845700
2000-07-17,10.67,10.75,10.17,10.42,10.42,276600
2000-07-18,10.46,10.62,9.58,9.67,9.67,201300
2000-07-19,9.58,9.67,8.75,9.33,9.33,264300
2000-07-20,9.21,11.08,9.08,10.58,10.58,394800
2000-07-21,10.58,11.42,10.42,11.42,11.42,285900
2000-07-24,11.33,11.83,10.71,11.17,11.17,279300
2000-07-25,11.25,11.5,10.33,10.75,10.75,144900
2000-07-26,10.75,11.67,9.42,11.58,11.58,294600
2000-07-27,11.17,12.67,11.0,11.42,11.42,334800
2000-07-28,11.42,11.46,10.33,10.83,10.83,227100
2000-07-31,10.67,12.71,9.92,12.58,12.58,479400
2000-08-01,11.96,12.08,11.58,11.62,11.62,148800
2000-08-02,11.67,12.12,11.33,11.38,11.38,99300
2000-08-03,11.33,12.0,11.0,11.71,11.71,73500
2000-08-04,12.0,12.04,11.25,11.38,11.38,122100
2000-08-07,11.33,11.58,10.33,10.67,10.67,174000
2000-08-08,11.17,11.17,10.33,10.5,10.5,49500
2000-08-09,10.48,10.62,9.67,9.79,9.79,118200
2000-08-10,9.83,10.42,9.75,9.83,9.83,75300
2000-08-11,9.54,9.83,8.79,9.33,9.33,129300
2000-08-14,9.77,9.77,9.33,9.33,9.33,55800
2000-08-15,9.29,9.33,8.42,8.42,8.42,205500
2000-08-16,8.5,9.46,8.5,9.12,9.12,81000
2000-08-17,9.33,9.67,9.08,9.67,9.67,179100
2000-08-18,9.69,9.75,9.33,9.33,9.33,38700
2000-08-21,9.27,9.29,8.83,9.04,9.04,24600
2000-08-22,8.83,9.04,8.75,8.83,8.83,26700
2000-08-23,8.67,8.75,8.33,8.71,8.71,63600
2000-08-24,8.58,8.67,8.33,8.58,8.58,73800
2000-08-25,8.52,10.08,8.33,10.08,10.08,216300
2000-08-28,10.06,10.08,9.42,9.58,9.58,61500
