Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,33.03,33.78,32.88,33.78,22.37,415600
2000-01-03,30.25,32.41,30.19,31.94,21.15,6250200
2000-01-04,31.81,31.84,30.25,30.5,20.2,2799600
2000-01-05,30.5,31.12,30.03,30.88,20.45,2350800
2000-01-06,30.44,30.88,30.25,30.66,20.3,2038800
2000-01-07,31.19,32.69,31.12,32.62,21.61,3213800
2000-01-10,32.69,33.31,32.66,33.25,22.02,1856800
2000-01-11,33.22,33.84,32.59,32.91,21.79,1698200
2000-01-12,32.91,33.19,32.41,32.5,21.53,1353000
2000-01-13,32.5,34.5,32.5,34.16,22.62,2671600
2000-01-14,34.28,34.34,33.66,33.75,22.35,1230200
2000-01-18,33.12,33.22,32.25,32.28,21.38,1415200
2000-01-19,32.06,32.44,31.75,32.19,21.32,1249200
2000-01-20,32.5,32.56,31.25,31.47,20.84,884600
2000-01-21,32.12,32.19,31.06,31.22,20.68,2320800
2000-01-24,31.38,31.38,30.5,30.66,20.3,1092000
2000-01-25,30.66,30.69,29.28,29.81,19.75,2350800
2000-01-26,29.94,30.19,29.31,30.16,19.97,1829200
2000-01-27,30.19,30.78,29.75,29.88,19.79,1382000
2000-01-28,29.75,29.88,28.75,28.75,19.04,1109200
2000-01-31,29.0,29.81,28.47,29.25,19.37,1644000
2000-02-01,29.38,29.84,29.16,29.66,19.64,1235800
2000-02-02,29.66,29.97,29.34,29.66,19.64,1505400
2000-02-03,30.0,30.88,29.78,30.19,19.99,1542600
2000-02-04,30.31,30.31,29.97,30.16,19.97,1257200
2000-02-07,30.09,30.44,30.03,30.28,20.06,1020400
2000-02-08,30.41,30.66,29.72,29.84,19.77,1516200
2000-02-09,29.81,29.94,29.59,29.62,19.62,1234400
2000-02-10,29.72,29.81,28.0,28.5,18.88,1108200
2000-02-11,28.62,28.62,27.38,27.84,18.44,1299200
2000-02-14,27.84,27.94,27.12,27.34,18.11,1680400
2000-02-15,27.31,29.84,27.25,29.25,19.37,1787400
2000-02-16,29.22,29.81,28.34,28.91,19.15,1355800
2000-02-17,28.91,29.16,28.69,28.78,19.06,1224600
2000-02-18,28.0,29.12,28.0,28.16,18.65,1978000
2000-02-22,28.69,29.16,28.03,28.94,19.17,1065200
2000-02-23,28.38,29.78,28.25,29.62,19.62,1305400
2000-02-24,29.0,29.03,27.34,28.28,18.73,1966200
2000-02-25,28.0,28.0,25.94,26.38,17.47,2002600
2000-02-28,25.56,26.47,25.56,26.12,17.3,2485600
2000-02-29,26.12,26.38,25.53,25.84,17.12,2145000
2000-03-01,25.97,26.75,25.81,26.5,17.55,1582400
2000-03-02,26.5,26.72,26.19,26.5,17.55,1181200
2000-03-03,26.5,28.0,26.5,27.56,18.26,1019600
2000-03-06,27.94,28.19,26.59,26.97,17.86,1176200
2000-03-07,26.97,27.22,26.06,26.25,17.39,1689200
2000-03-08,26.34,27.41,26.25,27.03,17.9,1656200
2000-03-09,26.91,27.47,26.75,27.44,18.17,1481600
2000-03-10,27.31,27.44,26.78,27.19,18.01,1005800
2000-03-13,26.5,27.25,26.0,27.09,17.94,1565600
2000-03-14,27.16,27.47,26.81,27.0,17.88,1161000
2000-03-15,27.12,29.62,26.94,29.25,19.37,2499200
2000-03-16,29.34,32.38,29.16,32.19,21.32,2386200
2000-03-17,32.19,32.81,31.5,32.41,21.46,2389800
2000-03-20,32.28,32.31,31.03,31.12,20.61,1743400
2000-03-21,31.16,31.28,30.31,31.03,20.55,1084600
2000-03-22,31.0,31.09,30.38,30.59,20.26,1086600
2000-03-23,30.5,30.53,29.28,30.12,19.95,1639000
2000-03-24,30.12,30.38,29.31,29.78,19.72,1993200
2000-03-27,29.5,29.78,28.81,29.2,19.34,1303800
2000-03-28,29.03,29.78,28.38,28.5,18.88,1790800
2000-03-29,28.41,29.19,28.31,28.69,19.06,1705000
2000-03-30,28.69,29.69,27.91,29.03,19.29,2237400
2000-03-31,29.03,30.16,27.62,27.62,18.35,1917200
2000-04-03,28.0,29.88,28.0,29.59,19.66,1432400
2000-04-04,29.5,30.69,28.88,30.0,19.93,1708000
2000-04-05,30.38,30.5,29.16,29.53,19.62,1655800
2000-04-06,29.91,30.44,29.19,29.38,19.52,1000600
2000-04-07,29.75,29.97,28.97,29.12,19.35,807600
2000-04-10,29.09,30.06,28.88,29.66,19.7,864400
2000-04-11,30.12,30.47,29.78,30.0,19.93,1189400
2000-04-12,30.25,32.25,30.25,32.0,21.26,2041000
2000-04-13,31.5,31.75,30.88,31.03,20.62,1292200
2000-04-14,31.06,31.31,29.53,29.56,19.64,1719000
2000-04-17,29.62,30.62,29.12,30.53,20.29,1199600
2000-04-18,30.5,30.53,29.5,29.56,19.64,2115600
2000-04-19,29.62,30.38,29.53,30.25,20.1,1127400
2000-04-20,30.25,30.62,29.94,30.22,20.08,944000
2000-04-24,30.09,31.06,30.0,30.97,20.58,1353400
2000-04-25,30.97,32.5,30.5,31.84,21.16,1516000
2000-04-26,31.75,31.78,30.88,31.22,20.74,1653600
2000-04-27,31.28,31.66,31.06,31.38,20.85,939400
2000-04-28,31.5,32.16,31.03,32.03,21.28,957800
2000-05-01,31.91,32.41,31.84,31.88,21.18,1436600
2000-05-02,31.88,32.47,31.38,32.19,21.39,1317800
2000-05-03,32.31,32.38,30.16,31.44,20.89,1634400
