Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,22.73,22.73,22.58,22.6,12.86,1700
2000-01-03,22.5,22.5,22.3,22.3,12.69,11200
2000-01-04,22.4,22.62,21.92,21.92,12.48,40700
2000-01-05,20.9,21.0,20.6,21.0,11.95,28000
2000-01-06,21.05,21.17,20.7,20.75,11.81,38700
2000-01-07,21.05,21.52,21.0,21.52,12.25,33500
2000-01-10,21.52,22.05,21.4,21.4,12.18,37200
2000-01-11,22.4,22.6,21.8,21.95,12.49,50500
2000-01-12,22.0,22.2,21.98,22.2,12.64,8500
2000-01-13,22.9,23.3,22.9,23.2,13.21,45200
2000-01-14,23.35,23.6,23.3,23.38,13.3,34200
2000-01-18,24.7,25.4,24.2,24.2,13.77,56200
2000-01-19,23.9,23.9,23.4,23.6,13.43,18700
2000-01-20,23.1,23.1,22.4,22.7,12.92,9000
2000-01-21,22.6,22.7,22.3,22.62,12.88,33200
2000-01-24,22.9,23.17,22.9,23.17,13.19,33000
2000-01-25,22.85,22.85,22.4,22.77,12.96,25000
2000-01-26,22.2,22.2,21.6,21.77,12.39,25000
2000-01-27,21.75,21.75,21.35,21.6,12.29,29000
2000-01-28,21.5,21.5,21.4,21.4,12.18,4000
2000-01-31,21.3,21.8,21.3,21.67,12.34,18700
2000-02-01,21.6,22.0,21.55,22.0,12.52,12700
2000-02-02,21.75,22.9,21.5,22.55,12.84,70700
2000-02-03,22.15,22.3,21.9,22.2,12.64,45500
2000-02-04,22.3,22.8,22.3,22.65,12.89,13700
2000-02-07,22.7,23.3,22.7,23.15,13.18,22500
2000-02-08,23.25,24.1,23.25,23.9,13.6,44200
2000-02-09,24.3,24.3,23.83,24.1,13.72,26000
2000-02-10,23.9,23.9,22.8,22.88,13.02,43000
2000-02-11,22.83,22.83,22.5,22.5,12.81,5500
2000-02-14,22.4,22.45,22.35,22.45,12.78,26500
2000-02-15,21.6,21.6,20.9,21.5,12.24,31700
2000-02-16,22.25,22.8,22.25,22.6,12.86,35700
2000-02-17,23.0,23.2,23.0,23.2,13.21,10700
2000-02-18,23.9,23.9,23.4,23.5,13.38,31000
2000-02-22,23.5,23.62,23.48,23.62,13.45,21000
2000-02-23,23.4,23.4,23.05,23.1,13.15,28200
2000-02-24,23.1,23.4,23.1,23.4,13.32,14000
2000-02-25,23.4,23.4,23.3,23.38,13.3,6000
2000-02-28,22.4,22.77,22.4,22.77,12.96,19700
2000-02-29,22.73,22.83,22.55,22.83,12.99,10000
2000-03-01,22.83,23.2,22.7,23.0,13.09,20200
2000-03-02,22.9,23.8,22.9,23.6,13.43,11000
2000-03-03,24.2,24.5,24.0,24.0,13.66,25200
2000-03-06,24.75,25.1,24.65,24.65,14.03,29200
2000-03-07,24.98,25.4,24.2,24.2,13.77,36200
2000-03-08,24.92,25.1,24.77,24.8,14.12,30200
2000-03-09,24.83,25.7,24.83,25.45,14.49,30200
2000-03-10,25.4,25.4,24.9,24.9,14.17,22500
2000-03-13,24.3,24.3,23.8,23.8,13.55,17000
2000-03-14,23.9,24.27,23.9,24.25,13.8,22500
2000-03-15,23.98,23.98,23.8,23.95,13.63,20500
2000-03-16,23.95,24.8,23.9,24.65,14.03,18000
2000-03-17,25.38,25.45,25.0,25.0,14.23,35700
2000-03-20,25.27,25.6,25.12,25.12,14.3,28000
2000-03-21,25.75,27.75,25.75,27.5,15.65,139700
2000-03-22,27.5,27.5,27.1,27.4,15.6,20500
2000-03-23,27.15,27.15,26.8,27.0,15.37,18500
2000-03-24,27.05,27.5,27.05,27.4,15.6,10500
2000-03-27,27.5,28.0,27.5,27.6,15.71,35700
2000-03-28,27.6,27.65,27.35,27.35,15.57,9700
2000-03-29,27.4,27.4,27.25,27.25,15.51,4200
2000-03-30,27.2,27.35,26.85,27.0,15.37,15200
2000-03-31,27.1,29.3,27.1,28.4,16.16,129500
2000-04-03,27.7,28.8,27.7,28.5,16.22,44000
2000-04-04,28.0,28.0,26.88,27.02,15.38,79700
2000-04-05,26.85,27.2,26.85,27.2,15.59,8200
