Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.31,3.55,3.31,3.46,2.9,361200
2000-01-03,3.56,3.61,3.27,3.36,2.82,246000
2000-01-04,3.27,3.31,3.19,3.19,2.67,279600
2000-01-05,3.25,3.31,3.16,3.22,2.7,145600
2000-01-06,3.25,3.34,3.25,3.31,2.78,223600
2000-01-07,3.34,3.48,3.27,3.31,2.78,165600
2000-01-10,3.34,3.41,3.19,3.22,2.7,272400
2000-01-11,3.28,3.31,3.22,3.27,2.74,134400
2000-01-12,3.19,3.27,3.17,3.23,2.71,229200
2000-01-13,3.22,3.28,3.22,3.25,2.72,300800
2000-01-14,3.22,3.27,3.17,3.25,2.72,172000
2000-01-18,3.22,3.28,3.17,3.22,2.7,259600
2000-01-19,3.16,3.19,3.11,3.11,2.61,179600
2000-01-20,3.11,3.23,3.11,3.22,2.7,267600
2000-01-21,3.22,3.22,3.08,3.08,2.58,192800
2000-01-24,3.12,3.14,3.0,3.03,2.54,211600
2000-01-25,3.09,3.16,3.0,3.0,2.51,222400
2000-01-26,3.03,3.25,3.03,3.22,2.7,244800
2000-01-27,3.22,3.3,3.06,3.1,2.6,382000
2000-01-28,3.11,3.17,3.03,3.17,2.66,214000
2000-01-31,3.0,3.19,2.94,3.16,2.65,976800
2000-02-01,3.13,3.14,3.06,3.11,2.62,166800
2000-02-02,3.11,3.22,3.09,3.17,2.67,256000
2000-02-03,3.16,3.19,3.12,3.14,2.64,254400
2000-02-04,3.11,3.19,3.11,3.12,2.63,103200
2000-02-07,3.13,3.14,3.06,3.08,2.59,298400
2000-02-08,3.03,3.16,3.03,3.08,2.59,278400
2000-02-09,3.03,3.12,3.03,3.06,2.58,713600
2000-02-10,3.06,3.09,3.0,3.02,2.54,149600
2000-02-11,3.0,3.08,2.97,3.05,2.56,118000
2000-02-14,3.0,3.09,2.95,3.08,2.59,224000
2000-02-15,3.06,3.08,2.81,2.91,2.45,529600
2000-02-16,2.92,2.94,2.84,2.87,2.41,512800
2000-02-17,2.94,2.94,2.67,2.72,2.29,570400
2000-02-18,2.78,2.81,2.69,2.72,2.29,498400
2000-02-22,2.73,2.75,2.69,2.73,2.3,342400
2000-02-23,2.87,2.87,2.75,2.8,2.35,530800
2000-02-24,2.77,2.81,2.7,2.77,2.33,970800
