Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,7.86,8.12,7.86,8.12,7.9,161200
2000-01-03,8.14,8.14,7.98,7.98,7.76,422400
2000-01-04,7.98,8.03,7.91,7.94,7.72,252000
2000-01-05,7.91,8.06,7.91,7.98,7.76,409200
2000-01-06,7.97,8.06,7.94,8.02,7.8,502800
2000-01-07,8.06,8.22,8.06,8.2,7.97,257600
2000-01-10,8.25,8.28,8.06,8.25,8.02,200000
2000-01-11,8.22,8.22,8.17,8.22,7.99,114400
2000-01-12,8.23,8.23,8.0,8.05,7.82,63200
2000-01-13,8.05,8.2,8.02,8.09,7.87,176400
2000-01-14,8.09,8.14,8.08,8.11,7.88,172800
2000-01-18,8.16,8.16,7.86,7.91,7.68,430800
2000-01-19,7.88,8.08,7.88,7.94,7.72,231200
2000-01-20,7.94,7.98,7.75,7.78,7.56,434400
2000-01-21,7.72,7.73,7.45,7.5,7.29,450000
2000-01-24,7.5,7.64,7.45,7.47,7.26,344800
2000-01-25,7.34,7.41,7.3,7.36,7.15,349600
2000-01-26,7.36,7.5,7.36,7.41,7.2,437200
2000-01-27,7.41,7.52,7.38,7.44,7.23,490400
2000-01-28,7.47,7.5,7.44,7.44,7.23,620400
2000-01-31,7.47,7.5,7.38,7.38,7.17,474800
2000-02-01,7.38,7.59,7.27,7.58,7.37,686400
2000-02-02,7.58,7.8,7.58,7.75,7.53,586800
2000-02-03,7.73,7.88,7.7,7.73,7.52,473200
2000-02-04,7.72,7.83,7.66,7.73,7.52,236000
2000-02-07,7.8,7.8,7.72,7.73,7.52,336000
2000-02-08,7.72,7.73,7.52,7.55,7.34,314800
2000-02-09,7.61,7.61,7.48,7.48,7.27,512800
2000-02-10,7.42,7.48,7.27,7.28,7.08,480800
2000-02-11,7.28,7.42,7.17,7.17,6.97,447600
2000-02-14,7.19,7.19,7.0,7.08,6.88,390800
2000-02-15,7.11,7.14,6.97,7.12,6.93,292800
2000-02-16,7.12,7.22,7.0,7.14,6.94,326800
2000-02-17,7.12,7.25,7.09,7.14,6.94,395200
2000-02-18,7.08,7.08,6.94,7.0,6.8,168400
2000-02-22,7.06,7.22,6.98,7.2,7.0,386000
2000-02-23,7.2,7.2,6.88,6.92,6.73,260800
2000-02-24,6.98,7.05,6.88,6.92,6.73,152000
2000-02-25,6.92,6.94,6.83,6.86,6.67,94800
2000-02-28,6.83,6.84,6.75,6.84,6.65,169600
2000-02-29,6.97,7.06,6.89,7.02,6.82,452000
2000-03-01,7.02,7.16,7.0,7.11,6.91,236800
2000-03-02,7.14,7.14,7.06,7.12,6.93,248400
2000-03-03,7.14,7.14,6.88,6.98,6.79,326000
2000-03-06,6.95,7.02,6.92,7.0,6.8,688800
2000-03-07,7.02,7.05,6.78,6.78,6.59,130400
2000-03-08,6.81,6.86,6.8,6.84,6.65,318000
2000-03-09,6.91,7.05,6.91,7.0,6.8,329600
2000-03-10,6.97,7.0,6.94,6.95,6.76,378400
2000-03-13,6.91,6.95,6.81,6.81,6.62,238800
2000-03-14,6.81,6.81,6.69,6.73,6.55,375600
2000-03-15,6.67,6.94,6.55,6.91,6.71,426000
2000-03-16,6.94,7.62,6.94,7.52,7.31,706400
2000-03-17,7.52,7.66,7.44,7.48,7.27,361200
2000-03-20,7.55,7.92,7.53,7.53,7.32,765600
2000-03-21,7.48,7.48,7.2,7.33,7.12,323200
2000-03-22,7.34,7.34,7.19,7.31,7.11,502800
2000-03-23,7.28,7.67,7.27,7.64,7.43,409600
2000-03-24,7.58,7.69,7.48,7.66,7.44,346400
2000-03-27,7.62,7.72,7.47,7.62,7.41,254000
2000-03-28,7.56,7.61,7.42,7.52,7.31,161600
2000-03-29,7.5,7.59,7.41,7.52,7.31,256800
2000-03-30,7.55,7.72,7.55,7.62,7.41,285600
2000-03-31,7.64,8.06,7.53,7.97,7.75,725200
2000-04-03,8.0,8.08,7.88,7.97,7.75,226000
2000-04-04,7.91,7.91,7.44,7.59,7.38,305200
2000-04-05,7.59,7.64,7.5,7.61,7.4,342000
2000-04-06,7.61,7.66,7.49,7.62,7.41,487200
2000-04-07,7.66,7.66,7.53,7.61,7.4,166800
2000-04-10,7.61,7.84,7.58,7.77,7.55,627600
2000-04-11,7.73,7.77,7.72,7.73,7.52,254000
2000-04-12,7.73,7.8,7.72,7.73,7.52,186800
2000-04-13,7.73,7.77,7.7,7.73,7.52,192400
2000-04-14,7.67,7.67,7.45,7.55,7.34,252800
2000-04-17,7.55,7.61,7.42,7.47,7.26,282800
2000-04-18,7.44,7.53,7.39,7.5,7.29,100000
2000-04-19,7.53,7.7,7.52,7.7,7.49,165200
2000-04-20,7.7,7.7,7.52,7.69,7.47,118000
2000-04-24,7.66,7.67,7.45,7.45,7.24,84000
2000-04-25,7.41,7.45,7.34,7.41,7.2,354800
2000-04-26,7.44,7.8,7.44,7.75,7.53,380400
2000-04-27,7.69,7.72,7.62,7.69,7.47,144400
2000-04-28,7.69,7.84,7.58,7.83,7.61,348400
2000-05-01,7.81,7.95,7.8,7.83,7.61,261200
2000-05-02,7.73,7.92,7.72,7.75,7.53,229200
2000-05-03,7.75,7.8,7.62,7.8,7.58,477600
2000-05-04,7.83,8.0,7.77,7.94,7.72,894400
2000-05-05,7.95,8.44,7.95,8.44,8.2,725600
2000-05-08,8.38,8.47,8.38,8.42,8.19,566000
2000-05-09,8.39,8.39,7.75,7.92,7.7,1351200
2000-05-10,7.75,7.8,7.67,7.78,7.56,994000
2000-05-11,7.84,7.91,7.84,7.86,7.64,349200
2000-05-12,7.86,8.36,7.86,8.34,8.11,945200
2000-05-15,8.31,8.38,8.2,8.34,8.11,1074000
2000-05-16,8.41,8.42,8.28,8.33,8.09,526000
2000-05-17,8.38,8.41,8.31,8.38,8.14,623600
2000-05-18,8.38,8.41,8.34,8.34,8.11,232000
2000-05-19,8.28,8.33,8.22,8.33,8.09,178000
2000-05-22,8.33,8.33,8.14,8.14,7.91,301200
2000-05-23,8.17,8.3,8.11,8.11,7.88,352400
2000-05-24,8.12,8.34,8.08,8.34,8.11,693600
2000-05-25,8.34,8.41,8.34,8.36,8.13,246400
2000-05-26,8.38,8.41,8.31,8.39,8.16,212000
2000-05-30,8.44,8.53,8.44,8.5,8.26,311600
2000-05-31,8.5,8.5,8.31,8.31,8.08,247200
2000-06-01,8.38,8.44,8.36,8.38,8.14,398800
2000-06-02,8.44,8.7,8.44,8.7,8.46,257600
2000-06-05,8.7,8.84,8.66,8.84,8.6,258000
2000-06-06,8.97,8.97,8.83,8.88,8.63,419200
2000-06-07,8.84,8.86,8.7,8.75,8.5,245600
2000-06-08,8.73,8.88,8.72,8.8,8.55,128800
2000-06-09,8.8,8.97,8.8,8.95,8.7,147600
2000-06-12,8.94,8.94,8.75,8.75,8.5,170000
2000-06-13,8.75,8.78,8.66,8.78,8.54,151200
2000-06-14,8.7,8.81,8.67,8.78,8.54,142800
2000-06-15,8.72,9.06,8.72,9.06,8.81,246400
2000-06-16,9.12,9.2,8.92,9.05,8.79,325600
2000-06-19,9.03,9.03,8.83,8.94,8.69,162000
2000-06-20,8.94,8.94,8.67,8.8,8.55,318400
2000-06-21,8.77,8.78,8.5,8.58,8.34,315600
2000-06-22,8.58,8.73,8.5,8.56,8.32,310800
2000-06-23,8.53,8.55,8.42,8.44,8.2,151600
2000-06-26,8.25,8.28,8.19,8.27,8.03,368400
2000-06-27,8.28,8.36,8.19,8.22,7.99,417600
2000-06-28,8.23,8.38,8.2,8.33,8.09,456000
2000-06-29,8.27,8.42,8.22,8.23,8.0,395200
2000-06-30,8.23,8.23,8.16,8.17,7.94,362800
2000-07-03,8.23,8.36,8.23,8.36,8.13,112800
2000-07-05,8.39,8.39,8.25,8.25,8.02,472400
2000-07-06,8.25,8.27,8.22,8.25,8.02,690800
2000-07-07,8.31,8.55,8.31,8.45,8.22,990400
2000-07-10,8.56,8.69,8.56,8.69,8.44,587200
2000-07-11,8.84,8.88,8.73,8.77,8.52,419200
2000-07-12,8.75,8.81,8.75,8.8,8.55,122800
2000-07-13,8.78,8.78,8.75,8.77,8.52,304800
2000-07-14,8.75,8.77,8.72,8.72,8.47,190800
2000-07-17,8.7,8.78,8.66,8.7,8.46,318800
2000-07-18,8.72,8.8,8.69,8.73,8.49,905200
2000-07-19,8.7,8.73,8.64,8.69,8.44,720000
2000-07-20,8.69,9.06,8.69,9.03,8.78,520400
2000-07-21,9.0,9.16,8.97,9.02,8.76,210400
