Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,56.17,57.33,55.83,56.67,51.12,2059800
2000-01-03,58.19,58.33,55.5,57.33,51.72,5626200
2000-01-04,55.56,58.83,53.5,54.81,49.45,6387000
2000-01-05,53.84,56.67,52.33,54.4,49.07,7562400
2000-01-06,54.5,56.5,51.35,52.0,46.91,3063600
2000-01-07,50.62,54.17,50.0,54.15,48.85,4957200
2000-01-10,56.48,56.5,52.93,54.25,48.94,18047400
2000-01-11,54.79,57.67,53.96,53.98,48.7,8139000
2000-01-12,54.83,54.83,48.83,51.29,46.27,11376000
2000-01-13,52.99,53.0,51.0,52.41,47.28,6484800
2000-01-14,55.5,57.17,55.0,56.69,51.14,10500600
2000-01-18,55.12,60.0,55.12,59.38,53.56,8448000
2000-01-19,60.88,61.25,56.81,59.5,53.68,9051000
2000-01-20,60.25,60.28,57.44,58.47,52.75,6099400
2000-01-21,59.06,75.09,58.25,74.97,67.63,15106000
2000-01-24,74.31,74.88,69.41,70.69,63.77,7957200
2000-01-25,71.5,72.94,67.0,71.44,64.45,5003800
2000-01-26,72.5,74.56,70.62,71.88,64.84,3699800
2000-01-27,72.62,74.0,70.56,71.22,64.25,3553200
2000-01-28,69.5,72.94,69.22,70.38,63.49,3815800
2000-01-31,69.0,69.31,62.53,67.66,61.03,2956200
2000-02-01,68.19,71.69,67.09,69.25,62.47,2484800
2000-02-02,70.5,72.41,68.5,68.53,61.82,2109200
2000-02-03,70.56,78.12,70.25,77.47,69.89,8828200
2000-02-04,78.0,86.47,78.0,85.0,76.68,8400600
2000-02-07,92.06,92.16,84.38,86.5,78.03,4766200
2000-02-08,86.0,87.06,84.75,84.81,76.51,6035400
2000-02-09,86.25,102.34,85.75,92.97,83.87,10104200
2000-02-10,94.5,107.0,90.31,104.25,94.05,6848600
2000-02-11,108.03,115.0,103.5,107.94,97.37,7086800
2000-02-14,111.0,115.5,100.41,102.03,92.04,6503800
2000-02-15,103.38,109.25,100.12,106.44,96.02,4894000
2000-02-16,107.5,111.0,103.56,110.25,99.46,5243800
2000-02-17,112.12,125.62,111.5,120.62,108.82,6202600
2000-02-18,124.44,134.88,115.22,119.16,107.49,8021600
2000-02-22,122.75,123.69,110.25,115.38,104.08,4641600
2000-02-23,117.0,124.88,111.25,117.47,105.97,3046000
2000-02-24,119.94,121.0,111.62,114.5,103.29,4270800
2000-02-25,114.88,119.47,114.84,116.38,104.98,1924400
2000-02-28,116.31,120.0,114.38,114.53,103.32,2423800
2000-02-29,119.88,140.38,116.47,137.16,123.73,8118000
2000-03-01,141.5,147.88,132.12,135.5,122.24,6176800
2000-03-02,138.69,139.0,130.0,130.12,117.39,3247200
2000-03-03,137.0,138.25,130.25,132.22,119.28,4632400
2000-03-06,134.88,142.43,133.5,135.31,122.07,3950800
2000-03-07,139.69,140.5,132.22,139.34,125.7,4547800
2000-03-08,143.75,143.75,129.25,137.31,123.87,4872400
2000-03-09,138.22,139.81,133.56,138.0,124.49,4309000
2000-03-10,137.5,150.62,135.5,141.22,127.4,4848000
2000-03-13,134.0,139.03,131.19,131.94,119.02,4513600
2000-03-14,137.69,137.72,122.5,122.78,110.76,3861600
