Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,52.0,52.25,51.79,51.79,28.78,1160400
2000-01-03,49.83,50.25,48.08,48.58,27.0,12019200
2000-01-04,47.08,47.46,46.12,47.25,26.41,11723400
2000-01-05,46.83,48.38,46.0,46.96,26.24,8714500
2000-01-06,46.75,48.62,46.5,47.62,26.62,8369200
2000-01-07,48.42,49.0,47.33,48.5,27.11,6571900
2000-01-10,48.5,48.92,47.67,47.67,26.64,4723500
2000-01-11,46.67,46.96,45.5,46.54,26.01,8405500
2000-01-12,46.46,47.25,46.33,46.83,26.17,7271800
2000-01-13,47.42,48.33,47.04,47.54,26.57,6918900
2000-01-14,49.29,50.5,48.54,49.25,27.52,9731800
2000-01-18,49.29,49.67,46.83,47.33,26.45,5296600
2000-01-19,48.17,50.25,48.17,49.42,27.62,15734700
2000-01-20,50.25,50.67,48.5,49.38,27.59,7770300
2000-01-21,49.25,49.33,48.42,48.62,27.18,5160600
2000-01-24,49.58,49.71,48.12,48.67,27.2,6459100
2000-01-25,48.67,50.5,48.67,49.75,27.8,7579900
2000-01-26,50.25,52.67,50.0,52.29,29.22,8386600
2000-01-27,52.96,54.33,52.38,53.79,30.06,8165800
2000-01-28,53.04,53.04,51.08,51.12,28.57,7500000
2000-01-31,51.21,54.33,51.21,53.79,30.06,7160200
2000-02-01,54.96,56.33,54.21,55.83,31.2,9651000
2000-02-02,55.33,56.12,54.25,54.92,30.69,7126200
2000-02-03,55.67,56.58,53.5,55.46,30.99,9200200
2000-02-04,55.0,55.54,54.38,54.5,30.46,5115100
2000-02-07,54.79,55.58,54.5,54.79,30.62,4684200
2000-02-08,56.04,57.42,56.0,56.71,31.69,6318600
2000-02-09,56.62,57.58,54.96,55.25,30.88,9818500
2000-02-10,55.42,55.83,54.25,55.42,30.97,6880500
2000-02-11,55.5,56.67,54.67,55.08,30.79,7052500
2000-02-14,54.83,55.62,52.71,52.71,29.46,5904700
2000-02-15,53.38,55.0,53.08,54.04,30.2,8965500
