Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,12.88,13.25,12.75,13.16,8.03,422400
2000-01-03,13.09,13.19,12.75,12.88,7.86,882200
2000-01-04,12.62,12.75,12.34,12.38,7.55,696800
2000-01-05,12.34,12.47,12.09,12.16,7.42,556200
2000-01-06,12.31,12.97,12.16,12.75,7.78,1264800
2000-01-07,13.12,13.19,12.62,12.75,7.78,869800
2000-01-10,12.69,12.72,12.5,12.62,7.7,444600
2000-01-11,12.56,12.62,12.34,12.47,7.61,1162800
2000-01-12,12.44,12.47,11.91,11.97,7.3,762800
2000-01-13,11.88,11.88,11.28,11.44,6.98,1588200
2000-01-14,11.56,11.84,11.47,11.59,7.07,954600
2000-01-18,11.34,11.5,11.12,11.25,6.87,989800
2000-01-19,11.25,11.78,11.16,11.62,7.09,943000
2000-01-20,11.62,11.69,11.31,11.34,6.92,785800
2000-01-21,11.5,11.62,11.12,11.16,6.81,748600
2000-01-24,11.25,11.31,10.94,10.94,6.67,828600
2000-01-25,10.88,11.16,10.84,10.97,6.69,800000
2000-01-26,11.03,11.53,10.94,11.44,6.98,860400
2000-01-27,11.44,11.56,11.12,11.25,6.87,1138400
2000-01-28,11.12,11.19,10.81,10.91,6.66,892200
2000-01-31,10.91,11.0,10.66,11.0,6.71,898200
2000-02-01,10.97,11.16,10.69,11.03,6.73,852000
2000-02-02,11.0,11.25,10.94,11.06,6.75,578000
2000-02-03,11.09,11.69,11.09,11.25,6.87,1094000
2000-02-04,11.31,11.5,11.19,11.5,7.02,1251000
2000-02-07,11.47,11.62,11.28,11.31,6.9,1569800
2000-02-08,11.31,12.12,11.31,11.88,7.25,1053000
2000-02-09,11.75,11.84,11.44,11.44,6.98,1945400
2000-02-10,11.44,11.66,11.44,11.47,7.0,1234000
2000-02-11,11.47,11.47,11.0,11.0,6.71,1961600
2000-02-14,10.62,10.69,9.5,10.5,6.41,4257000
2000-02-15,10.25,10.28,10.12,10.22,6.24,993200
2000-02-16,10.28,10.28,9.62,9.78,5.97,1363200
2000-02-17,9.75,9.94,9.12,9.94,6.06,2174200
2000-02-18,10.34,10.72,10.03,10.5,6.41,2130000
2000-02-22,10.53,10.88,10.5,10.62,6.48,1613000
2000-02-23,10.5,10.62,10.5,10.5,6.41,865000
2000-02-24,10.5,10.5,9.94,10.0,6.1,1776000
2000-02-25,10.03,10.62,10.0,10.19,6.24,1099400
2000-02-28,10.25,10.5,10.12,10.22,6.26,960800
2000-02-29,10.12,10.88,10.06,10.66,6.53,1988200
2000-03-01,10.66,10.78,10.5,10.66,6.53,464800
2000-03-02,10.78,11.22,10.56,10.69,6.55,1357200
2000-03-03,11.12,12.0,11.0,11.25,6.89,1637200
2000-03-06,11.25,11.25,10.81,11.0,6.74,1032600
2000-03-07,10.78,10.84,10.56,10.62,6.51,790600
2000-03-08,10.53,11.06,10.44,10.91,6.68,798800
2000-03-09,10.94,11.47,10.91,11.16,6.84,837600
2000-03-10,11.31,11.31,11.0,11.06,6.78,648600
2000-03-13,10.97,10.97,10.66,10.78,6.61,678600
2000-03-14,10.88,10.94,10.53,10.62,6.51,1002000
2000-03-15,10.59,11.62,10.59,11.62,7.12,1186600
2000-03-16,11.69,12.75,11.69,12.44,7.62,2197000
2000-03-17,12.44,12.44,11.81,11.97,7.33,1402400
2000-03-20,12.31,12.44,11.75,12.06,7.39,1047200
2000-03-21,12.06,12.56,11.94,12.47,7.64,1177000
2000-03-22,12.22,12.38,11.94,12.31,7.54,584600
2000-03-23,12.38,13.88,12.22,13.78,8.44,2851800
2000-03-24,13.81,15.12,13.75,14.0,8.58,2583200
2000-03-27,14.12,14.75,14.06,14.41,8.83,1282200
2000-03-28,14.28,14.47,14.03,14.03,8.6,933400
2000-03-29,14.0,14.34,13.59,13.81,8.46,1146400
2000-03-30,13.69,14.19,13.28,14.09,8.64,1573600
2000-03-31,14.41,14.97,14.09,14.75,9.04,2177600
2000-04-03,14.97,15.44,14.59,15.16,9.29,1941600
2000-04-04,15.38,16.44,14.72,15.47,9.48,3195200
2000-04-05,15.25,16.5,15.19,16.28,9.98,1828400
2000-04-06,16.25,16.38,15.81,15.97,9.78,1606400
2000-04-07,15.88,16.0,15.53,15.84,9.71,947400
2000-04-10,15.78,16.34,15.72,16.0,9.8,673200
2000-04-11,16.0,16.16,15.84,16.09,9.86,921000
2000-04-12,16.25,17.25,16.19,16.88,10.34,1698200
2000-04-13,17.06,17.19,16.66,16.78,10.28,971200
2000-04-14,15.5,16.12,14.5,14.75,9.04,2118000
2000-04-17,14.62,14.75,13.75,13.97,8.56,1409800
2000-04-18,14.09,15.22,14.06,14.94,9.15,932000
2000-04-19,14.84,15.38,14.84,15.25,9.34,539400
2000-04-20,15.0,15.06,14.66,14.81,9.08,750800
2000-04-24,14.94,15.56,14.91,15.5,9.5,2033000
2000-04-25,15.53,16.38,15.5,16.28,9.98,1715000
2000-04-26,16.34,16.34,15.41,15.44,9.46,2027000
2000-04-27,15.12,15.12,14.0,14.19,8.69,1638000
2000-04-28,14.19,14.25,13.75,13.91,8.52,1235000
2000-05-01,13.91,15.0,13.91,14.88,9.11,996400
2000-05-02,14.75,14.81,14.44,14.62,8.96,988600
2000-05-03,13.75,13.88,13.12,13.41,8.21,1235200
2000-05-04,13.5,13.84,13.22,13.44,8.23,1208000
2000-05-05,13.38,13.88,13.31,13.81,8.46,770600
2000-05-08,13.62,14.0,13.44,13.88,8.5,568600
2000-05-09,13.75,14.09,13.69,14.0,8.58,617000
2000-05-10,13.91,13.94,13.44,13.59,8.33,407800
2000-05-11,13.69,13.88,13.28,13.31,8.16,1051600
2000-05-12,12.75,12.97,12.53,12.66,7.75,1606600
2000-05-15,12.62,12.88,12.38,12.69,7.77,1484200
2000-05-16,12.94,13.22,12.91,12.94,7.93,1763400
2000-05-17,12.62,12.81,12.5,12.5,7.66,2426600
2000-05-18,12.62,12.91,12.56,12.81,7.85,981600
2000-05-19,12.69,12.75,12.28,12.28,7.52,1204200
2000-05-22,12.5,12.75,12.41,12.47,7.64,633000
2000-05-23,12.34,12.72,12.25,12.5,7.66,372600
2000-05-24,12.41,12.41,11.81,11.97,7.33,823000
2000-05-25,12.09,12.28,11.88,12.0,7.35,1081600
2000-05-26,12.06,12.06,11.66,11.72,7.21,575600
2000-05-30,11.75,12.22,11.72,12.09,7.44,438000
2000-05-31,12.0,12.62,12.0,12.56,7.73,436600
2000-06-01,12.5,12.56,11.75,11.97,7.36,1140200
2000-06-02,12.0,12.38,11.94,12.25,7.53,1162400
2000-06-05,12.12,12.22,11.91,11.97,7.36,634200
2000-06-06,11.66,11.78,11.06,11.22,6.9,1861200
2000-06-07,11.81,13.16,11.75,12.84,7.9,3165600
2000-06-08,12.5,12.62,12.0,12.16,7.48,776400
2000-06-09,12.28,12.62,12.03,12.03,7.4,891600
2000-06-12,12.06,12.34,11.95,11.95,7.35,427800
2000-06-13,11.91,12.12,11.81,11.97,7.36,644400
2000-06-14,12.19,12.75,12.19,12.59,7.75,1193200
2000-06-15,12.69,12.84,12.59,12.66,7.78,616400
2000-06-16,12.66,12.75,12.0,12.12,7.46,797600
2000-06-19,12.19,12.38,12.0,12.22,7.51,380800
2000-06-20,12.16,12.16,11.88,11.94,7.34,452200
2000-06-21,11.97,11.97,11.56,11.69,7.19,779200
2000-06-22,11.56,11.94,11.44,11.81,7.26,986000
2000-06-23,11.88,12.19,11.81,12.19,7.5,458400
2000-06-26,12.19,12.5,12.0,12.12,7.46,809200
2000-06-27,12.25,12.81,12.03,12.62,7.76,1070400
2000-06-28,12.69,12.88,12.31,12.57,7.73,544800
2000-06-29,12.5,12.5,11.81,12.03,7.4,1277200
2000-06-30,12.0,12.34,12.0,12.06,7.42,770800
2000-07-03,12.0,12.19,11.78,11.78,7.25,453600
2000-07-05,11.94,11.97,11.69,11.88,7.3,1406800
2000-07-06,11.38,11.38,10.94,11.25,6.92,3642800
2000-07-07,11.25,11.62,11.12,11.62,7.15,1744200
2000-07-10,11.62,12.69,11.5,12.59,7.75,1443800
2000-07-11,12.47,12.56,12.16,12.5,7.69,534000
2000-07-12,12.38,12.56,12.22,12.25,7.53,495400
2000-07-13,12.25,12.31,11.69,11.72,7.21,1025200
2000-07-14,11.72,12.09,11.72,12.06,7.42,354800
2000-07-17,12.0,12.12,11.75,11.97,7.36,357600
2000-07-18,11.84,12.09,11.78,12.03,7.4,602000
2000-07-19,12.0,12.03,11.47,11.53,7.09,726800
2000-07-20,11.56,11.72,11.34,11.41,7.01,667800
2000-07-21,11.28,11.38,11.0,11.12,6.84,909200
2000-07-24,11.06,11.12,10.72,10.72,6.59,700800
2000-07-25,10.81,10.97,10.62,10.84,6.67,1003400
2000-07-26,10.97,11.44,10.91,11.12,6.84,866200
2000-07-27,11.19,11.34,10.94,11.09,6.82,1196600
