Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,22.12,22.25,22.0,22.12,11.64,561500
2000-01-03,21.5,21.62,20.56,20.75,10.91,1291100
2000-01-04,20.5,20.62,19.94,20.5,10.78,1921900
2000-01-05,20.81,20.94,20.06,20.12,10.58,1671500
2000-01-06,20.12,21.0,19.94,20.88,10.98,1127500
2000-01-07,21.25,21.44,20.81,21.44,11.27,909300
2000-01-10,21.69,21.69,20.56,20.75,10.91,873000
2000-01-11,20.25,20.94,20.25,20.75,10.91,1049500
2000-01-12,20.69,21.19,20.62,21.0,11.04,846900
2000-01-13,21.25,21.69,21.12,21.56,11.34,757100
2000-01-14,21.94,22.12,21.62,22.0,11.57,920300
2000-01-18,21.44,21.56,20.94,21.12,11.11,861500
2000-01-19,21.25,21.81,20.5,20.62,10.85,1410600
2000-01-20,20.88,20.88,20.25,20.5,10.78,999700
2000-01-21,20.56,21.44,20.31,21.38,11.24,2572600
2000-01-24,21.5,21.56,20.38,20.44,10.75,1335700
2000-01-25,20.5,20.69,19.81,20.12,10.58,1966900
2000-01-26,20.38,21.62,20.25,21.56,11.34,1775500
2000-01-27,21.5,21.62,20.69,21.06,11.08,1158700
2000-01-28,21.0,21.0,20.38,20.5,10.78,1075600
2000-01-31,20.62,21.0,20.19,21.0,11.04,1499400
2000-02-01,20.94,21.06,20.56,20.75,10.91,1311300
2000-02-02,20.75,20.75,20.44,20.5,10.78,1037700
2000-02-03,20.56,20.75,20.38,20.44,10.75,1351500
2000-02-04,20.5,20.62,20.06,20.12,10.58,1255600
2000-02-07,20.12,20.31,19.94,20.0,10.52,1078400
2000-02-08,20.0,20.38,19.94,20.38,10.72,1166700
2000-02-09,20.06,20.06,19.44,19.5,10.26,1393500
2000-02-10,19.31,19.5,18.38,18.75,9.86,2713700
2000-02-11,18.5,18.94,18.19,18.69,9.83,2172900
2000-02-14,18.44,18.5,18.0,18.19,9.57,1438000
2000-02-15,18.38,18.75,17.88,18.56,9.76,2061300
2000-02-16,18.25,18.44,17.81,17.88,9.4,1970700
2000-02-17,18.31,18.44,17.75,17.94,9.43,993600
2000-02-18,17.69,17.81,17.0,17.25,9.07,2011700
2000-02-22,17.44,17.69,17.31,17.44,9.17,1760900
2000-02-23,17.44,17.5,17.19,17.19,9.04,1511500
2000-02-24,17.38,17.5,16.81,17.44,9.17,1818600
2000-02-25,17.44,17.56,16.81,17.0,9.09,1988400
2000-02-28,17.0,17.25,16.81,17.0,9.09,2103200
2000-02-29,17.0,17.12,16.56,16.94,9.05,1340600
2000-03-01,17.0,17.12,16.56,17.12,9.15,1556100
2000-03-02,17.0,17.06,16.62,16.94,9.05,1080600
2000-03-03,17.5,17.69,16.94,17.44,9.32,1646600
2000-03-06,17.44,17.62,17.0,17.38,9.29,1088500
2000-03-07,17.25,17.25,15.94,16.0,8.55,2859400
2000-03-08,16.25,16.31,15.56,15.69,8.39,2702700
2000-03-09,15.69,15.81,15.56,15.81,8.45,2084900
2000-03-10,16.0,16.19,15.88,16.06,8.59,1970900
2000-03-13,16.25,16.31,15.81,16.25,8.69,1596800
