Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,62.2,62.74,62.02,62.74,33.25,430100
2000-01-03,61.84,62.32,60.52,61.3,32.49,1168300
2000-01-04,60.82,61.18,59.74,60.76,32.2,1340500
2000-01-05,61.0,61.24,59.5,60.46,32.04,1753200
2000-01-06,60.46,61.66,59.8,61.36,32.52,2070800
2000-01-07,62.32,63.22,61.72,63.16,33.47,1856700
2000-01-10,63.76,65.2,62.86,64.6,34.24,1995400
2000-01-11,65.2,65.32,62.32,63.16,33.47,1349300
2000-01-12,63.1,63.28,62.08,62.68,33.22,1323500
2000-01-13,62.92,63.76,61.78,63.22,33.51,1657600
2000-01-14,63.28,63.28,62.02,62.74,33.25,1130100
2000-01-18,62.62,62.62,61.18,61.42,32.55,1959900
2000-01-19,62.56,62.68,60.52,61.54,32.62,1409300
2000-01-20,61.6,63.28,61.42,61.6,32.65,1786900
2000-01-21,63.4,63.4,61.3,62.02,32.87,2180700
2000-01-24,61.6,61.72,58.72,60.46,32.04,1897700
2000-01-25,61.6,61.6,58.37,59.68,31.63,1823100
2000-01-26,60.58,62.86,60.58,62.26,33.0,2754900
2000-01-27,62.26,63.34,61.96,62.38,33.06,2215400
2000-01-28,61.84,62.26,59.62,60.52,32.08,1056800
2000-01-31,60.52,60.52,58.25,59.56,31.57,1843100
2000-02-01,59.38,60.04,57.95,59.02,31.28,1452100
2000-02-02,58.19,59.14,57.89,59.08,31.31,1918500
2000-02-03,58.31,59.86,58.31,59.86,31.73,1891600
2000-02-04,59.86,60.4,58.13,59.02,31.28,1741300
2000-02-07,58.49,58.96,57.59,58.84,31.19,1258400
2000-02-08,59.44,60.34,59.26,59.38,31.47,1691900
2000-02-09,59.32,59.32,57.71,58.49,31.0,1817600
2000-02-10,58.13,58.13,54.89,56.21,29.79,1827200
2000-02-11,55.97,56.03,52.43,55.55,29.44,2944400
2000-02-14,56.33,56.57,54.41,54.95,29.12,1364000
2000-02-15,53.69,56.15,53.69,55.61,29.47,1814600
2000-02-16,55.19,55.67,53.69,54.89,29.09,1522800
2000-02-17,54.89,55.37,52.55,52.73,27.95,1955600
2000-02-18,52.01,52.61,49.74,50.7,26.87,1961300
2000-02-22,50.81,53.93,50.81,53.03,28.11,1717000
2000-02-23,52.79,53.81,52.19,52.61,27.88,2130200
2000-02-24,52.73,53.21,50.34,51.05,27.06,2611300
2000-02-25,49.98,50.52,48.96,49.32,26.14,1886500
2000-02-28,49.2,50.46,48.66,49.77,26.38,2415200
2000-02-29,49.86,50.34,49.38,49.38,26.17,2275600
2000-03-01,49.32,49.38,46.5,46.86,24.84,3054800
2000-03-02,46.98,47.7,46.38,47.22,25.03,2346300
2000-03-03,47.46,50.46,47.34,49.68,26.33,1936400
2000-03-06,48.48,49.02,47.04,48.54,25.72,1858500
2000-03-07,40.51,44.64,40.27,43.5,23.06,7966500
2000-03-08,44.82,48.0,44.4,46.98,25.05,5733000
2000-03-09,46.98,48.12,46.32,48.12,25.66,2634900
2000-03-10,47.94,48.24,44.52,45.54,24.28,3196700
2000-03-13,44.46,46.02,44.22,45.72,24.38,2059600
2000-03-14,45.78,45.9,43.92,44.58,23.77,2406900
2000-03-15,44.22,49.62,44.1,48.78,26.01,3404800
2000-03-16,50.34,55.01,49.86,53.33,28.43,3481700
2000-03-17,52.61,54.59,50.76,51.77,27.6,2750500
2000-03-20,51.77,52.43,50.81,51.23,27.32,1925400
2000-03-21,51.35,52.67,50.16,50.81,27.09,1856000
2000-03-22,49.5,50.58,48.9,49.68,26.49,1526000
2000-03-23,49.62,51.59,49.32,51.23,27.32,2213000
2000-03-24,51.23,52.67,50.58,50.93,27.16,1929200
2000-03-27,50.93,51.77,49.68,49.86,26.58,1592400
2000-03-28,48.9,50.34,48.9,49.56,26.42,1900000
2000-03-29,49.56,51.11,49.5,50.93,27.16,2188000
2000-03-30,51.41,55.43,51.05,54.29,28.95,2639900
2000-03-31,54.53,55.85,52.91,53.75,28.66,2505800
2000-04-03,54.05,56.87,53.87,56.87,30.32,1593200
2000-04-04,56.87,58.84,53.93,56.63,30.19,2401500
2000-04-05,56.63,56.63,53.57,53.57,28.56,1710500
2000-04-06,54.41,54.71,53.21,53.81,28.69,1107000
2000-04-07,53.93,54.53,53.39,53.93,28.75,824000
2000-04-10,53.81,55.61,53.51,53.75,28.66,1603500
2000-04-11,54.11,56.27,53.81,55.19,29.43,1594700
2000-04-12,55.07,57.95,55.07,57.11,30.45,2456600
2000-04-13,57.11,58.01,55.13,58.01,30.93,2354800
2000-04-14,56.57,56.69,53.63,54.53,29.07,2007100
2000-04-17,53.57,56.33,51.77,56.33,30.03,2391900
2000-04-18,55.85,56.57,54.65,55.85,29.78,2529700
2000-04-19,55.85,55.97,55.19,55.61,29.65,1545200
2000-04-20,55.61,57.53,55.25,57.17,30.48,1555400
2000-04-24,56.57,57.95,56.45,57.89,30.86,1787400
2000-04-25,57.95,59.2,56.45,58.49,31.18,3356600
2000-04-26,57.77,58.13,56.99,57.53,30.67,2118000
2000-04-27,56.57,57.05,55.79,56.45,30.1,1749000
2000-04-28,55.85,56.21,53.99,55.55,29.62,1679000
2000-05-01,54.17,56.15,54.17,54.77,29.2,1480300
2000-05-02,54.83,55.67,53.87,55.49,29.58,1782600
2000-05-03,54.65,55.55,54.65,55.43,29.55,1066100
2000-05-04,55.49,56.51,54.71,56.03,29.87,1797000
2000-05-05,56.09,56.87,55.43,56.51,30.13,1569000
2000-05-08,55.97,56.99,55.85,56.21,29.97,892800
2000-05-09,56.69,58.31,56.51,57.95,30.89,1215700
2000-05-10,57.53,58.13,56.81,57.53,30.67,1538300
2000-05-11,57.77,59.68,57.47,59.02,31.47,1396900
2000-05-12,58.78,58.78,56.69,57.74,30.78,1019900
2000-05-15,57.77,59.44,57.59,58.49,31.18,1096000
2000-05-16,58.72,59.92,57.53,58.72,31.31,1199900
2000-05-17,58.37,60.34,58.13,59.98,31.98,1265000
2000-05-18,59.32,59.5,57.89,58.37,31.12,1148700
2000-05-19,57.41,58.01,57.05,58.01,30.93,1096100
2000-05-22,59.2,59.2,57.35,57.53,30.67,1429800
2000-05-23,57.29,57.59,55.37,57.29,30.54,1091200
2000-05-24,57.35,58.31,57.29,57.35,30.58,842400
2000-05-25,57.11,57.17,55.67,56.03,29.87,1113900
2000-05-26,56.09,56.21,54.95,55.61,29.65,806400
2000-05-30,55.73,56.51,55.67,56.21,29.97,1437300
2000-05-31,56.09,58.43,55.61,58.01,30.93,1996700
2000-06-01,57.53,59.5,57.23,58.72,31.31,1767600
2000-06-02,58.72,59.38,56.75,57.47,30.64,1103700
2000-06-05,57.53,58.01,56.99,57.17,30.48,952700
2000-06-06,57.23,58.6,56.99,58.13,30.99,957500
2000-06-07,57.53,57.95,56.21,56.27,30.13,1630400
2000-06-08,54.47,56.69,54.47,55.85,29.91,2446500
2000-06-09,56.09,57.29,56.09,56.51,30.26,1194400
2000-06-12,56.39,56.93,56.21,56.3,30.15,1159300
2000-06-13,56.45,56.45,54.83,55.55,29.75,1552400
2000-06-14,55.55,57.47,55.55,56.81,30.42,1406600
2000-06-15,57.47,57.83,56.45,57.05,30.55,1364100
2000-06-16,55.61,56.39,55.01,56.21,30.1,1735700
2000-06-19,55.97,56.69,55.19,55.25,29.59,1567500
2000-06-20,55.37,55.37,51.11,52.13,27.92,3421100
2000-06-21,52.13,52.73,50.81,52.43,28.08,3032100
2000-06-22,52.49,53.39,51.35,52.07,27.89,2123400
2000-06-23,52.43,53.33,51.95,52.67,28.21,1327000
2000-06-26,52.67,54.17,52.49,52.61,28.18,1376200
2000-06-27,52.73,53.81,52.25,53.39,28.59,2379900
2000-06-28,53.93,54.35,51.83,51.88,27.78,2147400
2000-06-29,51.89,54.89,51.29,54.05,28.95,3038400
2000-06-30,53.33,55.19,52.13,55.01,29.46,4013400
2000-07-03,54.89,55.73,53.57,55.07,29.49,777000
2000-07-05,55.31,56.21,53.93,55.25,29.59,1771300
2000-07-06,55.31,56.03,53.93,53.93,28.88,1862900
2000-07-07,54.53,54.83,52.97,53.81,28.82,1184500
2000-07-10,53.81,55.55,53.75,54.59,29.24,1282500
2000-07-11,55.25,56.15,54.95,55.91,29.94,1067600
2000-07-12,55.85,56.03,54.59,55.91,29.94,1296400
2000-07-13,56.51,56.93,55.97,56.45,30.23,1544100
2000-07-14,57.35,57.53,55.67,55.79,29.88,978100
2000-07-17,56.57,56.81,54.71,55.37,29.65,943200
2000-07-18,55.37,55.49,54.65,54.83,29.36,1651700
2000-07-19,54.71,55.19,54.35,55.19,29.56,1009200
2000-07-20,55.13,55.91,54.71,55.13,29.52,1008200
2000-07-21,55.19,55.37,53.39,54.41,29.14,1660900
2000-07-24,55.73,55.85,54.41,54.59,29.24,1147100
2000-07-25,54.83,55.49,53.99,54.71,29.3,902400
2000-07-26,56.09,57.83,55.07,57.29,30.68,3816800
2000-07-27,57.89,57.89,56.27,56.69,30.36,1842200
2000-07-28,57.17,57.53,56.63,57.47,30.78,1380300
2000-07-31,57.41,57.65,55.01,55.07,29.49,1810000
2000-08-01,55.37,57.47,55.13,57.05,30.55,1823900
2000-08-02,56.81,59.26,56.69,58.84,31.51,1727700
2000-08-03,58.84,59.26,57.83,57.83,30.97,1261400
2000-08-04,57.59,58.01,56.75,56.87,30.46,1411000
2000-08-07,56.87,57.53,56.57,56.57,30.29,1146700
