Date,Open,High,Low,Close,Adj Close,Volume
2011-02-11,31.7,32.14,30.75,31.05,21.74,50610600.0
2011-02-14,31.05,31.3,30.7,30.7,21.49,6275900.0
2011-02-15,30.9,31.15,30.73,30.94,21.66,4337800.0
2011-02-16,31.05,31.44,30.66,30.72,21.51,4627100.0
2011-02-17,30.68,31.09,30.51,30.55,21.39,3290700.0
2011-02-18,30.68,31.38,30.4,31.37,21.96,2583800.0
2011-02-22,31.14,31.43,30.71,30.72,21.51,2454300.0
2011-02-23,30.76,30.9,30.25,30.42,21.3,2671200.0
2011-02-24,30.55,30.65,30.3,30.46,21.33,1698000.0
2011-02-25,30.53,30.75,30.3,30.5,21.35,2225900.0
2011-02-28,30.57,30.79,30.42,30.5,21.35,2380400.0
2011-03-01,30.65,30.78,30.23,30.45,21.32,1908000.0
2011-03-02,30.57,30.69,30.26,30.57,21.4,2197000.0
2011-03-03,30.68,30.77,30.53,30.77,21.54,1901800.0
2011-03-04,30.8,30.94,30.66,30.85,21.6,892300.0
2011-03-07,30.94,31.04,30.7,30.9,21.63,1049600.0
2011-03-08,30.8,31.04,30.8,30.97,21.68,827400.0
2011-03-09,30.9,30.98,30.74,30.75,21.53,294100.0
2011-03-10,30.71,30.71,29.75,30.1,21.07,2715200.0
2011-03-11,30.1,30.48,29.97,30.1,21.07,1896900.0
2011-03-14,30.0,30.22,29.8,29.99,21.0,1967700.0
2011-03-15,29.81,30.2,29.6,29.88,20.92,1968400.0
2011-03-16,29.89,30.16,29.76,30.05,21.04,2062200.0
2011-03-17,30.2,30.41,30.06,30.15,21.11,1511400.0
2011-03-18,30.21,30.5,30.08,30.5,21.35,1906600.0
2011-03-21,30.53,31.0,30.4,30.82,21.58,1253000.0
2011-03-22,30.9,30.98,30.57,30.7,21.49,1014700.0
2011-03-23,30.53,30.67,29.95,30.02,21.02,2570500.0
2011-03-24,30.1,30.25,29.9,30.05,21.04,1411600.0
2011-03-25,30.01,30.09,29.5,29.52,20.67,2687100.0
2011-03-28,29.74,29.93,29.56,29.62,20.74,1552900.0
2011-03-29,29.75,29.89,29.54,29.79,20.86,1313800.0
2011-03-30,29.87,29.89,29.58,29.69,20.79,769700.0
2011-03-31,29.8,29.87,29.51,29.64,20.75,884400.0
2011-04-01,29.79,29.85,29.49,29.5,20.65,1869200.0
2011-04-04,29.44,29.7,29.25,29.44,20.61,1177900.0
2011-04-05,29.49,29.64,29.0,29.44,20.61,1021200.0
2011-04-06,29.46,29.49,29.21,29.46,20.63,725100.0
2011-04-07,29.52,29.56,29.13,29.22,20.46,1226100.0
2011-04-08,29.22,29.42,29.12,29.33,20.54,934800.0
2011-04-11,29.3,29.41,29.07,29.25,20.48,1160900.0
2011-04-12,29.1,29.24,28.27,28.73,20.12,1278100.0
2011-04-13,28.74,29.02,28.66,28.83,20.19,2766900.0
2011-04-14,28.79,29.16,28.57,29.12,20.39,785800.0
2011-04-15,29.11,29.15,28.69,28.88,20.22,863900.0
2011-04-18,28.79,28.84,28.23,28.52,19.97,882400.0
2011-04-19,28.59,28.86,28.53,28.78,20.15,1121200.0
2011-04-20,28.98,29.6,28.79,29.45,20.62,2054000.0
2011-04-21,29.32,29.93,29.07,29.63,20.75,1516900.0
2011-04-25,29.81,29.81,29.07,29.36,20.56,604100.0
2011-04-26,29.54,29.59,29.05,29.12,20.39,1100000.0
2011-04-27,29.3,29.49,28.75,28.86,20.21,1479600.0
2011-04-28,28.84,28.95,28.69,28.83,20.28,1041000.0
2011-04-29,29.04,29.29,28.35,28.58,20.11,1843400.0
2011-05-02,28.73,28.99,28.38,28.82,20.28,1036600.0
2011-05-03,28.84,28.89,28.05,28.19,19.83,1158700.0
2011-05-04,28.2,28.36,27.31,27.96,19.67,2537800.0
2011-05-05,28.02,28.26,27.41,27.98,19.69,1618300.0
2011-05-06,28.08,28.41,27.85,28.0,19.7,653600.0
2011-05-09,28.11,28.45,28.01,28.29,19.9,752100.0
2011-05-10,28.27,28.69,28.08,28.52,20.07,777800.0
2011-05-11,28.53,28.63,28.01,28.31,19.92,1400100.0
2011-05-12,28.2,28.45,27.82,28.45,20.02,1800000.0
2011-05-13,28.37,28.37,27.75,27.93,19.65,1344100.0
2011-05-16,28.06,28.48,27.4,27.54,19.38,1737600.0
2011-05-17,27.6,27.71,26.87,27.5,19.35,2404600.0
2011-05-18,27.77,27.88,27.42,27.56,19.39,895200.0
2011-05-19,27.68,28.34,27.53,28.29,19.9,1096500.0
2011-05-20,28.25,28.9,27.97,28.5,20.05,1535400.0
2011-05-23,28.41,28.57,28.19,28.33,19.93,2927600.0
2011-05-24,28.53,29.06,28.47,29.06,20.45,2587700.0
2011-05-25,28.98,29.28,28.8,29.02,20.42,3304700.0
2011-05-26,29.1,29.22,28.61,28.69,20.19,1507000.0
2011-05-27,28.9,29.18,28.5,29.18,20.53,1896600.0
2011-05-31,29.53,29.76,29.0,29.29,20.61,5489900.0
2011-06-01,29.4,29.47,28.85,29.0,20.4,1042800.0
2011-06-02,29.15,29.38,28.44,29.38,20.67,978400.0
