Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,9.5,9.56,9.38,9.44,7.59,2836600
2000-01-03,9.56,9.62,9.38,9.47,7.62,11339200
2000-01-04,9.41,9.84,9.38,9.78,7.87,17990600
2000-01-05,9.72,10.09,9.69,9.94,8.0,15291000
2000-01-06,9.94,9.94,9.28,9.56,7.7,17686400
2000-01-07,9.5,9.62,9.34,9.47,7.62,13358200
2000-01-10,9.47,9.47,9.22,9.22,7.42,8824000
2000-01-11,8.97,9.25,8.91,9.16,7.37,9792600
2000-01-12,9.12,9.53,9.12,9.28,7.47,6635800
2000-01-13,9.31,9.59,9.16,9.5,7.65,11179800
2000-01-14,9.53,9.56,9.12,9.22,7.42,6856800
2000-01-18,9.31,9.31,8.81,9.0,7.24,9452200
2000-01-19,9.0,9.09,8.88,9.0,7.24,5676200
2000-01-20,9.03,9.03,8.59,8.69,6.99,7137800
2000-01-21,8.72,8.72,8.34,8.41,6.76,8151000
2000-01-24,8.5,8.56,8.03,8.16,6.56,11600200
2000-01-25,8.09,8.12,7.91,8.06,6.49,7716600
2000-01-26,8.03,8.41,8.03,8.25,6.64,13237000
2000-01-27,8.44,8.84,8.41,8.47,6.82,14937000
2000-01-28,8.41,8.56,8.28,8.28,6.66,8821200
2000-01-31,8.47,8.81,8.41,8.69,6.99,8737600
2000-02-01,8.72,8.88,8.59,8.88,7.14,6502000
2000-02-02,8.84,9.12,8.66,9.09,7.32,7734200
2000-02-03,9.12,9.25,8.81,9.0,7.24,11771600
2000-02-04,8.88,8.91,8.47,8.81,7.09,8523000
2000-02-07,8.47,8.75,8.44,8.47,6.82,5190200
2000-02-08,8.56,8.91,8.5,8.91,7.17,6891400
2000-02-09,8.81,8.81,8.47,8.5,6.84,5223600
2000-02-10,8.5,8.69,7.97,8.09,6.51,10187400
2000-02-11,8.22,8.47,8.12,8.38,6.74,8325200
2000-02-14,8.22,8.25,7.94,8.19,6.59,7594200
2000-02-15,8.16,8.62,8.06,8.5,6.84,7580000
2000-02-16,8.41,8.5,8.09,8.41,6.76,5244400
2000-02-17,8.25,8.31,7.91,7.97,6.41,7695000
2000-02-18,7.94,7.97,7.5,7.5,6.04,8752400
2000-02-22,7.53,7.75,7.5,7.59,6.11,7441800
2000-02-23,7.53,7.69,7.44,7.53,6.06,9155800
2000-02-24,7.59,7.62,7.19,7.38,5.93,8360400
2000-02-25,7.19,7.31,7.03,7.09,5.71,13766200
2000-02-28,7.5,7.69,7.28,7.56,6.09,9052800
2000-02-29,7.56,7.66,7.38,7.47,6.01,9811600
2000-03-01,7.47,7.53,7.31,7.41,5.96,6097000
2000-03-02,7.47,7.47,7.25,7.28,5.86,6579800
2000-03-03,7.44,7.53,7.34,7.38,5.93,9071400
2000-03-06,7.47,7.62,7.31,7.47,6.01,6285200
2000-03-07,7.44,7.47,7.25,7.38,5.93,7321200
2000-03-08,7.34,7.75,7.12,7.69,6.19,11982000
2000-03-09,7.66,7.66,7.25,7.41,5.96,9740600
2000-03-10,7.41,7.56,7.28,7.38,5.93,8901800
2000-03-13,7.34,7.5,7.25,7.47,6.01,8371400
2000-03-14,7.44,7.47,7.19,7.22,5.81,17360800
2000-03-15,7.22,7.5,7.03,7.44,5.99,16044000
2000-03-16,7.5,7.84,7.44,7.78,6.26,19580000
2000-03-17,7.91,8.75,7.88,8.34,6.71,24912800
