Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,139.5,150.0,139.25,149.25,70.02,221700
2000-01-03,147.0,147.12,140.12,141.0,66.15,629400
2000-01-04,138.0,139.75,132.75,133.75,62.75,392600
2000-01-05,132.0,132.88,127.75,129.62,60.81,289300
2000-01-06,129.75,136.75,129.25,133.75,62.75,324200
2000-01-07,133.38,134.12,131.0,133.75,62.75,206400
2000-01-10,143.0,143.0,138.25,140.0,65.68,431800
2000-01-11,138.25,139.0,135.0,135.25,63.45,355000
2000-01-12,135.5,135.62,131.0,131.38,61.63,286100
2000-01-13,133.38,137.88,132.62,137.25,64.39,333100
2000-01-14,139.5,142.0,138.0,139.62,65.5,463200
2000-01-18,139.25,139.62,135.75,137.12,64.33,301300
2000-01-19,137.12,138.88,137.12,137.62,64.57,221800
2000-01-20,138.75,139.38,134.0,136.75,64.16,270400
2000-01-21,138.5,142.12,136.25,140.38,65.86,264900
2000-01-24,142.0,149.88,142.0,143.25,67.2,536600
2000-01-25,143.25,143.75,138.88,140.5,65.91,173700
2000-01-26,141.5,142.12,136.25,140.88,66.09,226400
2000-01-27,148.0,154.12,145.75,147.5,69.2,549900
2000-01-28,145.5,146.25,137.5,138.62,65.03,257300
2000-01-31,136.38,138.38,131.88,138.38,64.92,382700
2000-02-01,133.5,137.5,132.62,137.0,64.27,279800
2000-02-02,137.5,140.88,137.0,140.12,65.74,124000
2000-02-03,140.88,146.88,140.38,141.88,66.56,290400
2000-02-04,142.75,148.62,141.5,147.12,69.02,307000
2000-02-07,147.75,149.62,146.62,147.0,68.96,194600
2000-02-08,146.5,149.25,146.5,149.12,69.96,250600
2000-02-09,150.25,152.5,145.75,146.75,68.85,250600
2000-02-10,146.75,147.75,142.75,144.12,67.62,157900
2000-02-11,144.62,144.75,140.25,140.88,66.09,135600
2000-02-14,140.88,144.5,140.88,142.5,66.85,194300
2000-02-15,143.0,146.88,141.88,146.75,68.85,191500
2000-02-16,147.0,147.38,141.0,142.5,66.85,288000
2000-02-17,144.0,147.0,142.5,143.88,67.5,215700
2000-02-18,143.38,143.5,140.5,141.12,66.21,189700
2000-02-22,140.38,144.0,136.12,142.75,66.97,386400
2000-02-23,142.75,147.0,141.0,146.0,68.49,458200
2000-02-24,150.0,154.0,149.25,153.0,71.78,462300
2000-02-25,153.0,164.0,152.75,157.25,73.77,677200
2000-02-28,157.75,159.75,155.0,156.12,73.24,312100
2000-02-29,156.75,158.88,156.25,157.5,73.89,349500
2000-03-01,158.5,170.0,158.5,170.0,79.75,642100
2000-03-02,170.0,171.75,166.88,170.5,79.99,391200
2000-03-03,170.25,180.0,170.25,180.0,84.45,379200
