Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.15,10.17,10.05,10.11,8.58,436200
2000-01-03,10.03,10.08,9.82,9.84,8.35,2482200
2000-01-04,9.8,9.92,9.77,9.78,8.3,2046000
2000-01-05,9.77,9.89,9.72,9.72,8.24,1801800
2000-01-06,9.62,9.69,9.58,9.66,8.19,2002800
2000-01-07,9.64,9.85,9.62,9.81,8.32,1503600
2000-01-10,9.83,9.88,9.65,9.76,8.28,2595000
2000-01-11,9.73,9.88,9.73,9.75,8.27,1872600
2000-01-12,9.78,9.92,9.78,9.88,8.38,1212600
2000-01-13,9.88,10.11,9.88,10.03,8.51,1309800
2000-01-14,10.11,10.16,9.94,10.06,8.54,1128600
2000-01-18,10.19,10.19,10.06,10.1,8.57,2151600
2000-01-19,10.06,10.17,9.51,10.0,8.48,1426800
2000-01-20,9.96,9.98,9.7,9.73,8.25,890400
2000-01-21,9.73,9.83,9.73,9.77,8.29,1683000
2000-01-24,9.78,9.78,9.58,9.58,8.13,1977000
2000-01-25,9.58,9.64,9.49,9.5,8.06,1738800
2000-01-26,9.54,9.58,9.46,9.52,8.08,2653800
2000-01-27,9.56,9.56,9.36,9.39,7.96,1755600
2000-01-28,9.35,9.38,9.25,9.27,7.9,1549200
2000-01-31,9.2,9.41,9.2,9.33,7.95,2562000
2000-02-01,9.33,9.5,9.3,9.5,8.09,1656600
2000-02-02,9.46,9.54,9.43,9.45,8.05,794400
2000-02-03,9.46,9.65,9.44,9.55,8.14,1750800
2000-02-04,9.53,9.64,9.51,9.56,8.15,1390200
2000-02-07,9.56,9.66,9.44,9.5,8.09,7752000
2000-02-08,9.43,9.43,8.77,8.8,7.5,1936200
2000-02-09,8.8,9.04,8.64,8.74,7.45,1831800
2000-02-10,8.74,8.88,8.68,8.68,7.39,1872000
2000-02-11,8.68,8.7,8.39,8.42,7.17,1985400
2000-02-14,8.42,8.42,8.25,8.25,7.03,2212800
2000-02-15,8.22,8.23,8.04,8.07,6.88,3124200
2000-02-16,8.09,8.15,8.05,8.15,6.94,2446800
2000-02-17,8.16,8.17,8.05,8.07,6.88,1983000
2000-02-18,8.0,8.01,7.72,7.8,6.65,1925400
