Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,21.19,21.66,21.03,21.66,8.01,325600
2000-01-03,21.72,21.84,20.16,20.28,7.5,1927000
2000-01-04,20.22,20.56,19.81,19.88,7.35,2400400
2000-01-05,19.81,19.97,19.59,19.59,7.24,870800
2000-01-06,20.03,20.03,18.94,19.28,7.13,2113800
2000-01-07,19.56,19.62,19.19,19.41,7.17,1561600
2000-01-10,19.34,19.5,19.12,19.16,7.08,1368800
2000-01-11,19.19,19.31,18.44,18.56,6.86,1772600
2000-01-12,18.62,18.84,18.09,18.34,6.78,1457600
2000-01-13,18.31,18.34,17.47,17.53,6.48,2292600
2000-01-14,17.31,18.09,17.31,17.56,6.49,2094400
2000-01-18,17.47,17.81,16.94,17.09,6.32,1042200
2000-01-19,17.12,17.25,16.75,17.0,6.28,1651000
2000-01-20,16.88,17.16,16.39,17.03,6.3,1502800
2000-01-21,17.22,17.22,16.56,16.66,6.16,2530200
2000-01-24,16.66,16.66,15.91,16.38,6.05,1082000
2000-01-25,16.19,16.56,16.16,16.28,6.02,2511200
2000-01-26,16.62,16.72,16.22,16.31,6.03,1421200
2000-01-27,16.56,16.72,15.75,15.91,5.88,3000600
2000-01-28,15.94,15.97,15.09,15.25,5.64,3739200
2000-01-31,15.38,15.47,15.16,15.34,5.67,1326400
2000-02-01,15.44,16.06,15.38,15.56,5.75,3048000
2000-02-02,16.0,17.5,15.81,16.62,6.15,3575000
2000-02-03,17.5,18.0,16.88,17.41,6.43,4656600
2000-02-04,17.53,17.78,17.28,17.75,6.56,3462200
2000-02-07,17.84,17.84,17.41,17.47,6.46,2669600
2000-02-08,17.75,17.81,17.44,17.75,6.56,2202400
2000-02-09,17.75,17.78,17.12,17.25,6.38,1298000
2000-02-10,17.38,17.38,17.03,17.16,6.34,1409600
2000-02-11,17.19,17.19,16.56,16.66,6.16,1173600
2000-02-14,16.69,16.81,16.34,16.75,6.19,1408000
2000-02-15,16.88,17.06,16.84,16.91,6.25,1385000
2000-02-16,16.88,16.88,15.25,15.56,5.75,2590400
2000-02-17,15.69,15.91,15.31,15.34,5.67,1853000
2000-02-18,15.22,15.44,15.09,15.31,5.66,1404800
2000-02-22,15.75,15.84,15.34,15.72,5.81,1406200
2000-02-23,15.84,16.12,15.25,15.34,5.67,2602400
2000-02-24,15.38,15.41,14.44,14.59,5.39,3143400
2000-02-25,14.56,15.12,14.56,15.06,5.57,2918200
2000-02-28,15.62,15.81,15.19,15.66,5.79,2390600
2000-02-29,16.0,17.0,15.81,17.0,6.28,2631400
2000-03-01,16.66,16.88,16.28,16.81,6.24,2553800
2000-03-02,16.81,16.91,16.53,16.81,6.24,3417200
2000-03-03,16.81,16.91,16.53,16.91,6.28,1615800
2000-03-06,16.75,16.84,16.41,16.75,6.22,1577000
2000-03-07,16.91,16.91,15.94,15.97,5.93,2318200
2000-03-08,16.19,16.22,15.78,16.12,5.99,1767800
2000-03-09,16.0,17.0,16.0,17.0,6.31,1925000
2000-03-10,17.0,17.03,16.72,17.0,6.31,1226800
2000-03-13,16.94,16.94,16.44,16.72,6.21,1224200
2000-03-14,16.72,16.88,16.41,16.69,6.2,1561200
2000-03-15,16.59,18.22,16.59,17.84,6.62,1921800
2000-03-16,17.84,19.78,17.84,19.75,7.33,3149600
2000-03-17,19.38,19.41,18.62,18.69,6.94,1778200
2000-03-20,18.5,19.31,18.44,18.97,7.04,1266200
2000-03-21,19.22,19.75,19.16,19.28,7.16,2773400
2000-03-22,19.25,19.25,18.75,19.12,7.1,2342200
2000-03-23,19.12,19.22,18.97,19.16,7.11,2043400
2000-03-24,19.16,19.47,19.06,19.34,7.18,634000
2000-03-27,19.22,19.78,19.16,19.69,7.31,1734800
2000-03-28,19.88,19.94,19.19,19.28,7.16,1206800
2000-03-29,19.34,19.66,19.31,19.66,7.3,712000
2000-03-30,19.72,20.69,19.53,20.66,7.67,2398800
2000-03-31,20.25,21.41,20.25,21.06,7.82,2661600
2000-04-03,21.09,21.94,21.09,21.72,8.06,2674400
2000-04-04,21.72,21.75,19.66,20.59,7.65,2885200
2000-04-05,20.44,20.97,20.28,20.84,7.74,1312000
2000-04-06,22.5,23.75,21.94,23.41,8.69,7465000
2000-04-07,23.5,25.75,23.47,24.38,9.05,5611600
2000-04-10,24.31,24.75,23.66,24.41,9.06,2386800
2000-04-11,24.44,25.88,24.41,25.72,9.55,3145200
2000-04-12,25.25,25.38,23.91,23.91,8.88,1727800
2000-04-13,24.0,24.75,23.44,23.44,8.7,1383000
2000-04-14,23.28,23.41,22.0,22.09,8.2,1771200
2000-04-17,22.09,22.38,20.94,21.47,7.97,3108600
2000-04-18,21.75,22.41,21.56,22.0,8.17,2177400
2000-04-19,21.88,22.47,21.88,22.38,8.31,1488200
2000-04-20,22.25,22.38,21.53,21.97,8.16,1635600
2000-04-24,21.69,23.31,21.69,23.12,8.59,1849800
2000-04-25,23.5,23.69,23.03,23.34,8.67,1800000
2000-04-26,23.41,23.88,23.12,23.34,8.67,2688000
2000-04-27,23.06,23.34,22.19,22.47,8.34,2936200
2000-04-28,22.5,22.91,22.44,22.59,8.39,1942800
2000-05-01,22.72,24.34,22.69,24.31,9.03,2526200
2000-05-02,24.19,25.0,23.41,25.0,9.28,2837200
2000-05-03,23.28,23.66,22.06,22.25,8.26,3123400
2000-05-04,22.25,23.03,22.22,22.84,8.48,2293000
2000-05-05,22.72,23.69,22.56,23.69,8.79,2044000
2000-05-08,23.56,23.91,23.38,23.91,8.88,958800
2000-05-09,24.0,24.69,24.0,24.69,9.17,1179800
2000-05-10,24.56,24.56,24.28,24.56,9.12,2628000
2000-05-11,24.56,24.69,24.31,24.69,9.17,875800
2000-05-12,24.94,25.0,24.72,24.81,9.21,1016600
2000-05-15,23.75,25.06,23.75,25.06,9.31,2769400
2000-05-16,24.62,25.44,24.47,24.81,9.21,2280400
2000-05-17,24.81,24.81,23.59,24.22,8.99,2768200
2000-05-18,23.94,24.47,23.94,24.25,9.0,651000
2000-05-19,23.81,24.31,23.62,24.31,9.03,1008600
2000-05-22,24.31,24.81,24.25,24.62,9.14,1179400
2000-05-23,24.5,24.84,24.16,24.38,9.05,1263200
2000-05-24,24.38,24.38,23.12,23.97,8.9,1991800
2000-05-25,24.09,25.84,24.09,24.75,9.19,3719200
2000-05-26,24.66,25.0,23.53,23.69,8.79,4770200
2000-05-30,23.75,24.28,23.75,24.06,8.93,2342400
2000-05-31,24.0,24.44,23.81,24.12,8.96,1612900
2000-06-01,24.31,24.38,23.25,23.62,8.77,1284100
2000-06-02,23.62,24.31,23.62,23.81,8.84,3052200
2000-06-05,23.88,24.5,23.69,24.25,9.0,1466400
2000-06-06,24.0,24.19,22.88,23.0,8.54,1467500
2000-06-07,22.62,24.12,22.38,22.88,8.52,5579300
2000-06-08,23.5,23.5,22.81,22.88,8.52,992700
2000-06-09,23.25,23.38,22.31,22.44,8.36,635500
2000-06-12,22.62,22.62,21.81,22.12,8.24,1614700
2000-06-13,21.88,22.19,21.69,22.0,8.19,1063400
2000-06-14,22.0,22.44,21.88,22.12,8.24,388700
2000-06-15,22.38,22.62,22.38,22.62,8.43,2768700
2000-06-16,22.5,22.62,22.06,22.19,8.26,1415700
2000-06-19,22.81,22.81,21.75,21.81,8.12,908000
2000-06-20,21.75,22.12,21.69,21.94,8.17,932400
2000-06-21,22.19,22.19,21.56,21.62,8.06,547400
