Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,21.38,21.5,21.06,21.44,10.71,124800
2000-01-03,21.25,21.38,20.06,20.56,10.27,361300
2000-01-04,20.31,20.31,19.44,19.5,9.74,560900
2000-01-05,19.62,19.75,19.0,19.5,9.74,870300
2000-01-06,19.31,19.62,19.06,19.44,9.71,776400
2000-01-07,19.5,19.75,19.06,19.75,9.87,485400
2000-01-10,19.88,19.94,19.06,19.69,9.84,435400
2000-01-11,19.5,20.19,19.5,19.81,9.9,402200
2000-01-12,19.81,19.88,19.19,19.19,9.59,421100
2000-01-13,19.19,19.25,18.69,19.19,9.59,472200
2000-01-14,19.25,19.44,18.88,19.31,9.65,341500
2000-01-18,19.12,19.31,18.94,19.31,9.65,368600
2000-01-19,19.25,19.31,18.94,19.0,9.49,332300
2000-01-20,18.94,19.06,18.38,18.5,9.24,494300
2000-01-21,19.0,19.12,18.5,19.06,9.52,661100
2000-01-24,19.12,19.31,18.5,18.69,9.34,293400
2000-01-25,18.56,18.69,17.81,18.06,9.02,467600
2000-01-26,18.25,18.44,17.62,18.19,9.09,528700
2000-01-27,18.0,18.56,17.75,18.12,9.06,358100
2000-01-28,18.12,18.25,17.75,17.94,8.96,355600
2000-01-31,17.81,18.0,17.56,18.0,8.99,498000
2000-02-01,17.88,18.5,17.38,18.25,9.12,699600
2000-02-02,18.0,18.0,17.56,17.69,8.84,467900
2000-02-03,17.75,18.5,17.69,18.19,9.09,595600
2000-02-04,17.94,18.38,17.56,17.62,8.81,582900
2000-02-07,17.56,17.62,17.0,17.31,8.65,520400
2000-02-08,17.56,17.75,17.25,17.5,8.74,304400
2000-02-09,17.25,18.0,17.06,17.31,8.65,548700
2000-02-10,17.44,17.44,16.94,17.06,8.52,431800
2000-02-11,16.94,17.25,16.69,16.75,8.37,384500
2000-02-14,17.0,17.31,16.69,16.75,8.37,461900
2000-02-15,16.75,16.81,16.31,16.5,8.24,907300
2000-02-16,16.56,17.0,16.56,16.81,8.4,443400
2000-02-17,16.88,17.06,16.62,16.81,8.4,312400
2000-02-18,16.56,16.81,16.06,16.25,8.12,551900
2000-02-22,16.5,16.69,16.19,16.31,8.15,335200
2000-02-23,16.19,16.44,16.0,16.31,8.2,388700
2000-02-24,16.31,16.56,16.06,16.06,8.07,906800
2000-02-25,16.12,16.44,15.94,16.06,8.07,694800
2000-02-28,16.31,16.31,15.88,16.06,8.07,620400
2000-02-29,16.12,16.94,15.94,16.81,8.45,716600
2000-03-01,16.75,16.75,16.19,16.31,8.2,1226700
2000-03-02,16.38,16.81,16.0,16.19,8.14,1154700
2000-03-03,16.19,16.5,15.88,16.0,8.04,489000
2000-03-06,16.0,16.06,15.38,15.56,7.82,514400
2000-03-07,15.56,15.81,15.25,15.44,7.76,324900
2000-03-08,15.31,15.88,15.31,15.81,7.95,418000
2000-03-09,15.75,16.94,15.44,16.88,8.48,871300
2000-03-10,17.0,17.38,16.94,17.0,8.55,629600
2000-03-13,17.06,17.06,16.5,16.81,8.45,306600
2000-03-14,16.81,17.75,16.31,16.69,8.39,640100
2000-03-15,16.75,18.31,16.25,18.25,9.17,802100
2000-03-16,18.19,19.81,18.06,19.81,9.96,837100
2000-03-17,21.69,21.81,19.62,20.0,10.05,1116900
2000-03-20,20.0,20.12,19.12,19.12,9.61,364500
2000-03-21,20.12,20.12,19.44,20.0,10.05,286300
2000-03-22,19.75,19.75,18.88,19.31,9.71,349200
2000-03-23,19.12,19.69,18.62,19.69,9.9,485000
2000-03-24,19.62,20.12,19.19,19.31,9.71,385700
2000-03-27,19.56,19.75,19.19,19.31,9.71,216100
2000-03-28,19.31,19.31,18.75,19.12,9.61,589000
2000-03-29,19.31,20.25,19.06,20.12,10.12,656700
2000-03-30,20.31,20.62,19.88,19.88,9.99,706100
2000-03-31,19.94,21.56,19.94,21.5,10.81,814200
2000-04-03,21.5,21.69,20.69,20.94,10.53,358700
2000-04-04,21.12,21.94,20.06,21.06,10.59,449700
2000-04-05,20.81,20.94,20.31,20.81,10.46,561700
2000-04-06,21.0,21.75,21.0,21.38,10.75,433300
2000-04-07,21.25,21.69,21.0,21.25,10.68,488700
2000-04-10,21.25,21.75,21.19,21.56,10.84,414100
2000-04-11,21.38,21.94,21.38,21.75,10.93,281700
2000-04-12,21.88,22.19,21.75,22.0,11.06,557100
2000-04-13,22.5,22.56,21.75,22.0,11.06,789400
2000-04-14,22.12,22.12,21.06,21.06,10.59,684700
2000-04-17,21.19,21.44,20.5,21.25,10.68,544300
2000-04-18,21.25,22.0,20.94,21.44,10.78,578500
2000-04-19,21.56,21.56,20.94,21.25,10.68,209400
2000-04-20,21.0,21.94,20.88,21.5,10.81,382500
2000-04-24,21.69,21.94,21.12,21.69,10.9,408100
2000-04-25,21.75,22.38,21.69,22.25,11.19,611200
2000-04-26,22.38,22.38,21.69,21.75,10.93,540100
