Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,8.05,8.11,7.87,7.99,6.13,339200
2000-01-03,7.93,8.02,7.74,7.84,6.01,387000
2000-01-04,7.71,7.87,7.71,7.77,5.96,548100
2000-01-05,7.77,7.9,7.77,7.8,5.98,222700
2000-01-06,7.77,7.84,7.71,7.8,5.98,511100
2000-01-07,7.8,8.02,7.77,7.96,6.1,914200
2000-01-10,7.96,8.11,7.87,8.02,6.15,2106000
2000-01-11,8.05,8.05,7.87,7.87,6.03,580500
2000-01-12,7.99,8.14,7.74,7.93,6.08,908500
2000-01-13,8.05,8.24,8.05,8.11,6.22,312000
2000-01-14,8.17,8.36,8.14,8.14,6.24,401300
2000-01-18,8.17,8.2,8.08,8.08,6.2,681500
2000-01-19,7.9,8.17,7.9,8.02,6.15,449500
2000-01-20,8.02,8.11,7.99,8.08,6.2,677300
2000-01-21,8.05,8.11,7.93,8.02,6.15,1111300
2000-01-24,8.02,8.11,7.99,8.02,6.15,1095500
2000-01-25,8.05,8.08,7.93,7.96,6.1,1067600
2000-01-26,8.02,8.02,7.9,7.93,6.08,1342000
2000-01-27,7.93,8.05,7.9,7.96,6.1,817600
2000-01-28,8.02,8.02,7.74,7.74,5.94,649200
2000-01-31,7.87,7.93,7.8,7.84,6.01,455200
2000-02-01,7.87,7.93,7.84,7.87,6.03,639600
2000-02-02,7.87,7.9,7.84,7.87,6.03,311800
2000-02-03,7.9,8.36,7.87,8.05,6.18,642700
2000-02-04,8.08,8.24,8.02,8.17,6.28,2411500
2000-02-07,8.11,8.24,7.99,8.02,6.16,1357000
2000-02-08,7.96,8.48,7.93,7.93,6.09,475100
2000-02-09,8.05,8.17,8.05,8.14,6.25,359800
2000-02-10,8.11,8.11,7.9,7.96,6.11,538300
2000-02-11,7.9,7.93,7.77,7.77,5.97,303600
2000-02-14,7.87,7.87,7.74,7.8,5.99,243400
2000-02-15,7.8,8.17,7.8,8.17,6.28,582500
2000-02-16,8.05,8.08,7.87,7.87,6.04,217600
2000-02-17,7.9,9.16,7.9,8.33,6.39,2888200
2000-02-18,8.42,8.6,8.05,8.17,6.28,939500
2000-02-22,8.24,8.3,8.02,8.02,6.16,529400
2000-02-23,8.02,8.05,7.74,7.84,6.02,1203100
2000-02-24,7.96,7.96,7.5,7.74,5.95,829800
2000-02-25,7.74,7.74,7.65,7.68,5.9,265800
2000-02-28,7.65,7.84,7.59,7.84,6.02,236300
2000-02-29,7.71,8.11,7.71,8.11,6.23,278800
2000-03-01,8.08,8.3,8.02,8.3,6.37,319500
2000-03-02,8.3,8.42,8.27,8.3,6.37,262900
2000-03-03,8.42,8.6,8.36,8.39,6.44,333300
2000-03-06,8.39,8.54,8.17,8.33,6.39,320900
2000-03-07,8.2,8.39,7.99,7.99,6.13,192000
2000-03-08,8.05,8.2,8.05,8.14,6.25,340400
2000-03-09,7.99,8.3,7.99,8.3,6.37,233200
2000-03-10,8.3,8.42,8.17,8.3,6.37,361400
2000-03-13,8.11,8.39,8.11,8.27,6.35,242400
2000-03-14,8.2,8.45,8.2,8.3,6.37,206200
2000-03-15,8.3,9.06,8.2,8.85,6.8,772300
2000-03-16,8.88,9.77,8.88,9.4,7.22,1270200
2000-03-17,9.71,10.2,9.65,10.2,7.83,1285600
2000-03-20,10.14,10.45,9.99,10.45,8.02,706400
2000-03-21,10.48,10.48,10.08,10.26,7.88,953500
2000-03-22,10.23,10.29,10.05,10.08,7.74,778000
2000-03-23,10.08,10.42,10.08,10.39,7.98,970400
2000-03-24,10.39,10.42,10.02,10.36,7.95,787300
2000-03-27,10.32,10.32,10.14,10.26,7.88,358700
2000-03-28,10.26,10.29,10.08,10.14,7.79,521100
2000-03-29,10.14,10.17,10.08,10.11,7.76,317300
2000-03-30,10.11,10.54,10.08,10.29,7.9,1125600
2000-03-31,10.32,10.69,10.29,10.66,8.19,569100
2000-04-03,10.57,10.6,9.86,10.14,7.79,997400
2000-04-04,10.39,10.39,9.65,9.65,7.41,626000
2000-04-05,9.53,10.26,9.53,10.08,7.74,936200
2000-04-06,10.17,10.26,10.05,10.05,7.72,398000
2000-04-07,10.08,10.23,10.05,10.08,7.74,581900
2000-04-10,10.02,10.17,9.96,9.96,7.65,569500
2000-04-11,9.99,9.99,9.77,9.8,7.53,518800
2000-04-12,9.83,10.36,9.83,10.08,7.74,531800
2000-04-13,10.17,10.29,10.11,10.11,7.76,250300
2000-04-14,10.17,10.17,9.31,9.37,7.2,593900
2000-04-17,9.25,9.34,9.03,9.16,7.03,651800
2000-04-18,9.16,9.65,9.0,9.65,7.41,540600
2000-04-19,9.53,9.65,9.46,9.56,7.34,292000
2000-04-20,9.53,9.77,9.4,9.65,7.41,321700
2000-04-24,9.65,9.68,9.34,9.34,7.17,259300
2000-04-25,9.46,9.59,9.34,9.49,7.29,615600
2000-04-26,9.46,9.46,9.22,9.25,7.1,275400
2000-04-27,9.34,9.34,9.22,9.31,7.15,303800
2000-04-28,9.34,9.37,8.94,9.16,7.03,622200
2000-05-01,9.22,9.43,9.22,9.28,7.13,187700
2000-05-02,9.16,9.25,8.97,9.0,6.91,361000
2000-05-03,8.91,9.28,8.79,9.03,6.95,725100
2000-05-04,8.97,9.28,8.97,9.1,6.99,319700
2000-05-05,8.97,9.25,8.97,9.25,7.11,540800
2000-05-08,9.19,9.19,8.82,8.85,6.81,363400
2000-05-09,8.91,9.19,8.85,8.91,6.85,884900
2000-05-10,9.0,9.0,8.6,8.6,6.62,443400
2000-05-11,8.73,9.28,8.73,9.1,6.99,519400
2000-05-12,9.16,9.4,8.94,9.22,7.09,316000
2000-05-15,9.1,9.31,8.94,9.31,7.16,233500
2000-05-16,9.31,9.49,9.16,9.46,7.28,394100
2000-05-17,9.34,9.49,9.22,9.34,7.18,482800
2000-05-18,9.28,9.43,9.16,9.16,7.04,316200
2000-05-19,8.85,8.94,8.6,8.85,6.81,501700
2000-05-22,8.97,8.97,8.54,8.85,6.81,226100
2000-05-23,8.73,8.79,8.57,8.73,6.71,194600
2000-05-24,8.82,9.31,8.73,9.19,7.06,670200
2000-05-25,9.31,9.49,9.16,9.16,7.04,897400
2000-05-26,9.28,9.28,8.88,9.0,6.92,181200
2000-05-30,9.13,9.37,9.1,9.34,7.18,200700
2000-05-31,9.25,9.59,9.25,9.28,7.14,287200
2000-06-01,9.46,9.49,8.79,8.85,6.81,375000
2000-06-02,9.1,9.8,9.1,9.68,7.44,1280400
2000-06-05,9.68,9.68,9.34,9.49,7.3,476100
2000-06-06,9.4,9.62,9.4,9.59,7.37,500900
2000-06-07,9.53,9.53,9.25,9.34,7.18,315000
2000-06-08,9.34,9.43,9.28,9.37,7.21,214300
2000-06-09,9.43,9.62,9.34,9.59,7.37,351800
2000-06-12,9.4,9.49,9.03,9.13,7.02,247900
2000-06-13,9.03,9.59,9.03,9.59,7.37,384200
2000-06-14,9.46,9.74,9.4,9.62,7.4,284900
2000-06-15,9.62,9.77,9.53,9.68,7.44,419400
2000-06-16,9.8,9.8,9.25,9.34,7.18,257000
2000-06-19,9.25,9.65,9.25,9.65,7.42,176500
2000-06-20,9.59,9.62,9.22,9.22,7.09,127100
2000-06-21,9.46,9.46,9.1,9.13,7.02,184800
2000-06-22,9.16,9.22,9.0,9.06,6.97,254800
2000-06-23,9.1,9.1,9.0,9.0,6.92,285100
2000-06-26,9.0,9.13,9.0,9.06,6.97,199500
2000-06-27,9.0,9.71,9.0,9.46,7.28,477100
2000-06-28,9.43,9.56,9.16,9.37,7.21,213700
2000-06-29,9.96,10.11,9.89,10.02,7.7,1286700
2000-06-30,9.89,10.02,9.4,9.96,7.66,1111900
2000-07-03,9.8,10.02,9.68,9.99,7.68,281000
2000-07-05,10.14,10.69,10.08,10.66,8.2,1254100
2000-07-06,10.6,11.43,10.6,10.69,8.22,3562900
2000-07-07,10.94,12.01,10.79,11.0,8.46,6655000
2000-07-10,11.0,11.28,10.72,10.72,8.25,1278900
2000-07-11,10.72,10.94,10.69,10.79,8.29,839600
2000-07-12,10.91,11.37,10.85,11.37,8.74,888000
2000-07-13,11.25,11.37,11.12,11.25,8.65,620100
2000-07-14,11.25,11.43,11.25,11.31,8.7,527400
2000-07-17,11.52,11.52,11.31,11.34,8.72,285100
2000-07-18,11.25,11.28,10.91,11.06,8.51,244600
2000-07-19,11.18,11.22,10.97,11.06,8.51,243400
2000-07-20,11.15,11.28,11.09,11.22,8.62,142700
2000-07-21,11.28,11.62,11.23,11.55,8.88,862000
2000-07-24,11.55,11.65,11.18,11.4,8.77,590000
2000-07-25,11.34,11.62,11.31,11.58,8.91,836500
2000-07-26,11.52,11.52,11.4,11.46,8.81,280400
2000-07-27,11.49,11.71,11.4,11.62,8.93,454100
2000-07-28,11.55,11.8,11.4,11.43,8.79,434400
2000-07-31,11.52,11.89,11.52,11.8,9.07,833300
2000-08-01,11.83,12.11,11.8,12.08,9.29,796900
2000-08-02,11.98,12.05,11.77,11.77,9.05,875400
2000-08-03,11.62,12.05,11.62,12.05,9.27,650200
2000-08-04,12.05,12.48,12.05,12.48,9.6,802200
2000-08-07,12.54,13.43,12.54,13.43,10.34,1502100
2000-08-08,13.52,14.01,13.46,13.8,10.62,2892100
2000-08-09,13.89,13.98,13.46,13.49,10.38,965500
2000-08-10,13.4,13.55,13.37,13.43,10.34,551800
2000-08-11,13.46,13.86,13.46,13.8,10.62,903700
2000-08-14,13.83,14.47,13.8,14.13,10.88,1769100
2000-08-15,14.01,14.07,13.43,13.77,10.6,1089800
2000-08-16,13.27,13.52,12.97,13.21,10.17,1154000
2000-08-17,13.34,13.34,12.78,13.06,10.05,905100
2000-08-18,13.15,13.17,12.69,12.97,9.98,560100
2000-08-21,13.03,13.18,12.94,13.03,10.03,636800
2000-08-22,12.91,12.91,12.54,12.78,9.84,427900
2000-08-23,12.78,12.78,12.23,12.29,9.46,383600
2000-08-24,12.41,12.75,12.26,12.66,9.75,535100
2000-08-25,12.66,13.0,12.63,12.91,9.93,336000
2000-08-28,12.81,13.03,12.72,12.72,9.79,376200
2000-08-29,12.48,13.0,12.48,12.84,9.89,444000
2000-08-30,12.87,13.52,12.81,13.46,10.36,986200
2000-08-31,13.46,13.95,13.46,13.58,10.45,1133100
2000-09-01,13.67,13.74,13.37,13.67,10.53,262700
2000-09-05,13.77,13.77,13.4,13.4,10.31,685000
2000-09-06,13.52,13.61,13.21,13.37,10.29,557700
2000-09-07,13.49,13.49,12.97,13.37,10.29,356500
2000-09-08,13.27,13.34,13.18,13.27,10.22,214500
2000-09-11,13.4,13.92,13.27,13.92,10.72,546700
2000-09-12,13.89,13.89,13.27,13.4,10.31,250700
2000-09-13,13.49,13.49,13.27,13.4,10.31,472700
2000-09-14,13.77,13.89,13.43,13.77,10.6,411800
2000-09-15,13.64,13.7,13.12,13.18,10.15,667100
2000-09-18,13.27,13.31,12.63,12.72,9.79,758400
2000-09-19,12.72,12.94,12.6,12.91,9.93,560500
2000-09-20,13.12,13.49,13.06,13.38,10.3,847900
2000-09-21,13.52,13.67,13.06,13.57,10.44,949600
2000-09-22,13.46,13.77,13.31,13.7,10.55,452100
2000-09-25,13.8,13.89,13.49,13.89,10.69,1473600
2000-09-26,13.64,13.86,13.61,13.7,10.55,479800
2000-09-27,13.7,14.13,13.7,13.95,10.74,576800
2000-09-28,14.01,14.38,14.01,14.32,11.02,1448400
2000-09-29,14.23,14.75,14.1,14.63,11.26,983200
2000-10-02,14.84,14.93,14.6,14.84,11.42,1024300
2000-10-03,14.87,15.49,14.87,15.36,11.83,1066600
2000-10-04,15.0,15.49,15.0,15.43,11.87,629300
2000-10-05,15.12,15.15,13.49,14.01,10.79,1818500
2000-10-06,14.01,14.32,13.89,14.29,11.0,1427800
2000-10-09,14.41,15.46,14.35,15.46,11.9,1504700
2000-10-10,15.43,15.52,14.93,15.18,11.68,1469700
2000-10-11,15.15,15.27,14.75,15.03,11.57,1125400
2000-10-12,15.03,15.06,14.38,14.63,11.26,1535200
2000-10-13,14.47,14.6,14.01,14.04,10.81,1408100
2000-10-16,14.04,14.53,14.04,14.41,11.09,881300
2000-10-17,14.6,14.63,14.35,14.38,11.07,1201200
2000-10-18,14.32,14.32,13.83,14.2,10.93,516000
2000-10-19,14.07,14.72,14.07,14.63,11.26,788300
2000-10-20,14.72,14.75,14.5,14.5,11.16,532700
2000-10-23,14.38,14.72,14.32,14.35,11.05,472400
2000-10-24,14.29,14.69,14.26,14.69,11.31,586800
2000-10-25,14.56,14.56,14.04,14.07,10.83,488500
2000-10-26,14.38,14.53,14.23,14.53,11.19,752500
2000-10-27,14.41,14.6,14.17,14.47,11.14,355700
2000-10-30,14.47,15.46,14.47,15.46,11.9,1042600
2000-10-31,15.33,15.86,15.15,15.79,12.16,1310500
2000-11-01,15.76,15.82,15.58,15.73,12.11,654300
2000-11-02,15.98,16.29,15.98,16.16,12.45,727500
2000-11-03,16.1,16.56,16.1,16.38,12.62,510100
2000-11-06,16.38,16.84,16.35,16.72,12.88,1093800
2000-11-07,16.84,16.84,16.62,16.81,12.95,627800
2000-11-08,16.84,17.15,16.59,17.05,13.14,580500
2000-11-09,16.84,16.93,16.35,16.87,13.0,714500
2000-11-10,16.62,16.69,15.73,15.73,12.12,431200
2000-11-13,15.73,16.29,15.73,16.29,12.55,626400
2000-11-14,16.59,16.59,15.95,16.07,12.38,804400
2000-11-15,16.01,16.19,15.89,16.1,12.4,530200
2000-11-16,16.04,16.13,15.73,15.76,12.14,204600
2000-11-17,16.01,16.19,15.82,16.01,12.33,423200
2000-11-20,16.13,16.13,15.79,15.89,12.24,571900
2000-11-21,15.76,16.44,15.76,16.38,12.62,641300
2000-11-22,16.25,16.32,15.98,16.1,12.4,1151000
2000-11-24,16.1,16.22,15.98,16.19,12.48,315800
2000-11-27,16.22,16.72,16.22,16.62,12.81,969200
2000-11-28,16.59,16.78,16.25,16.78,12.93,885400
2000-11-29,16.81,16.81,16.25,16.38,12.62,585500
2000-11-30,16.22,16.22,15.49,15.58,12.0,1063300
2000-12-01,15.7,16.41,15.64,16.41,12.64,580300
2000-12-04,16.41,16.41,16.04,16.13,12.43,1149600
2000-12-05,16.07,17.94,16.07,17.94,13.82,2549200
2000-12-06,17.21,17.67,16.84,17.15,13.21,1414600
2000-12-07,17.18,18.16,17.18,17.88,13.78,1408700
2000-12-08,17.91,18.65,17.91,18.65,14.37,1823000
2000-12-11,18.68,19.36,18.59,19.33,14.89,1610300
2000-12-12,18.96,19.3,17.82,17.82,13.73,1270200
2000-12-13,17.82,18.65,17.82,18.22,14.04,1080200
2000-12-14,18.25,18.28,17.48,17.91,13.8,1131500
2000-12-15,17.73,17.88,17.39,17.51,13.49,1925900
2000-12-18,17.64,17.64,17.39,17.48,13.47,1564700
2000-12-19,17.51,17.67,17.21,17.21,13.26,2278200
2000-12-20,17.27,17.27,15.89,15.92,12.26,1717100
2000-12-21,16.1,16.32,15.92,16.16,12.45,1248000
2000-12-22,16.29,16.78,16.19,16.62,12.81,1320200
2000-12-26,16.65,17.79,16.65,17.58,13.54,1253900
2000-12-27,17.7,17.79,17.05,17.45,13.45,686800
2000-12-28,17.58,18.56,17.58,18.5,14.25,1927400
2000-12-29,18.53,18.9,17.82,17.82,13.73,1283800
2001-01-02,18.31,18.31,17.05,17.27,13.3,969600
2001-01-03,17.45,18.84,17.27,18.84,14.51,2591100
