Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,12.46,12.67,12.46,12.61,9.05,160800
2000-01-03,12.64,12.64,12.08,12.25,8.79,670600
2000-01-04,12.13,12.13,11.37,11.78,8.45,893700
2000-01-05,11.81,11.81,11.46,11.66,8.37,429500
2000-01-06,11.72,11.75,11.46,11.57,8.31,430300
2000-01-07,11.69,11.81,11.51,11.81,8.48,486600
2000-01-10,11.87,11.99,11.75,11.81,8.48,868700
2000-01-11,11.63,11.75,11.22,11.51,8.26,631600
2000-01-12,11.81,12.05,11.78,11.84,8.5,1073200
2000-01-13,11.84,13.14,11.78,12.99,9.32,1501600
2000-01-14,12.93,13.82,12.75,13.82,9.92,1070200
2000-01-18,13.58,13.97,13.05,13.32,9.56,954400
2000-01-19,12.96,13.11,12.55,13.11,9.41,879900
2000-01-20,13.05,13.99,13.05,13.7,9.83,1570700
2000-01-21,13.94,14.02,13.52,13.61,9.77,1061100
2000-01-24,13.64,14.08,13.29,13.43,9.64,1357500
2000-01-25,13.55,13.76,13.32,13.76,9.87,755200
2000-01-26,13.4,15.23,13.4,15.12,10.85,2592200
2000-01-27,15.12,15.74,15.09,15.44,11.08,1991500
2000-01-28,15.41,15.41,13.88,14.61,10.49,1195300
2000-01-31,14.38,14.41,13.7,13.7,9.83,1160000
2000-02-01,13.99,15.12,13.82,14.85,10.66,1160200
2000-02-02,14.85,14.88,14.26,14.56,10.45,727300
2000-02-03,14.94,15.12,14.44,15.03,10.78,932800
2000-02-04,14.91,15.18,14.85,15.12,10.85,769600
2000-02-07,14.82,15.29,14.82,14.94,10.72,477900
2000-02-08,15.06,15.29,14.91,15.06,10.81,591600
2000-02-09,15.06,16.45,15.0,15.71,11.27,1598200
2000-02-10,15.77,15.83,15.23,15.53,11.15,1237500
2000-02-11,15.35,15.35,14.47,14.97,10.74,840300
2000-02-14,15.03,15.44,14.97,15.15,10.87,1118100
2000-02-15,15.21,15.47,15.12,15.35,11.02,940000
2000-02-16,15.35,15.35,15.0,15.09,10.83,1076800
2000-02-17,15.03,15.12,14.73,14.94,10.72,548200
2000-02-18,14.91,14.97,14.76,14.88,10.68,307700
2000-02-22,14.59,14.59,13.64,14.5,10.4,1098200
2000-02-23,14.38,14.88,14.14,14.29,10.26,2277900
2000-02-24,14.44,15.12,14.41,14.94,10.72,1919900
2000-02-25,14.88,15.0,14.73,14.91,10.7,1227100
2000-02-28,14.88,14.88,14.5,14.67,10.53,430100
2000-02-29,14.88,15.06,14.61,15.06,10.81,1037600
2000-03-01,15.0,15.12,14.56,14.61,10.49,951500
2000-03-02,14.5,16.12,14.5,16.12,11.57,1219500
2000-03-03,16.09,16.36,15.71,16.0,11.5,773700
2000-03-06,15.88,16.62,15.83,16.36,11.76,602000
2000-03-07,16.36,16.74,15.71,15.77,11.33,647500
2000-03-08,15.77,16.03,15.29,15.74,11.31,772400
