Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,39.88,40.06,39.25,40.0,25.44,102400
2000-01-03,38.88,39.31,38.25,39.06,24.84,512000
2000-01-04,38.88,39.06,37.56,37.94,24.13,729300
2000-01-05,37.94,39.06,36.56,36.62,23.29,520000
2000-01-06,37.0,37.5,36.19,37.0,23.72,518400
2000-01-07,37.75,39.06,37.19,37.94,24.32,279700
2000-01-10,38.5,38.69,36.38,38.0,24.36,624700
2000-01-11,37.12,37.62,37.12,37.44,24.0,330800
2000-01-12,37.5,37.5,35.5,37.25,23.88,794700
2000-01-13,38.0,39.62,37.88,39.5,25.32,786600
2000-01-14,41.38,41.38,38.44,38.88,24.92,470600
2000-01-18,38.0,38.44,37.62,37.94,24.32,335500
2000-01-19,37.0,37.62,35.62,36.62,23.48,603200
2000-01-20,36.62,36.62,34.38,34.75,22.27,702600
2000-01-21,35.0,36.5,33.62,35.81,22.96,999500
2000-01-24,36.5,36.75,34.56,34.94,22.39,710600
2000-01-25,34.62,36.0,34.5,35.88,23.0,1016700
2000-01-26,35.62,36.31,34.38,36.25,23.24,504900
2000-01-27,35.75,36.56,35.69,36.06,23.12,586400
2000-01-28,34.88,36.81,34.88,35.81,22.96,607200
2000-01-31,35.94,36.94,35.81,36.94,23.68,347100
2000-02-01,38.0,39.38,37.5,37.69,24.16,964500
2000-02-02,37.25,38.81,37.0,38.44,24.64,911400
2000-02-03,37.38,38.12,36.25,37.5,24.04,610800
2000-02-04,36.75,37.62,35.94,36.19,23.2,592000
2000-02-07,36.75,36.88,34.12,34.25,21.95,1175400
2000-02-08,34.69,35.56,34.38,35.25,22.59,776800
2000-02-09,34.44,35.12,33.56,33.56,21.51,511100
2000-02-10,33.06,33.88,32.5,33.06,21.19,483800
2000-02-11,32.81,33.88,32.25,32.25,20.67,387900
2000-02-14,32.75,32.75,31.75,32.25,20.67,355100
2000-02-15,32.44,33.06,32.12,32.62,20.91,503500
2000-02-16,30.75,31.94,30.75,31.5,20.19,551900
2000-02-17,31.62,32.0,30.88,30.94,19.83,489700
2000-02-18,30.88,31.69,30.31,30.38,19.47,537500
2000-02-22,29.5,30.69,28.38,29.75,19.07,834700
2000-02-23,30.0,30.06,28.75,29.69,19.03,721600
2000-02-24,29.5,29.94,28.5,29.56,18.95,853200
2000-02-25,29.56,29.69,28.0,28.38,18.19,1324600
2000-02-28,27.5,28.69,27.12,28.25,18.11,1265700
2000-02-29,28.12,28.19,27.62,27.62,17.71,532800
2000-03-01,27.81,29.38,27.19,28.5,18.27,774200
2000-03-02,28.5,28.5,26.81,27.12,17.39,3139500
2000-03-03,27.62,27.62,27.0,27.06,17.35,899800
2000-03-06,27.25,27.38,25.94,26.5,16.99,790100
2000-03-07,26.25,26.5,24.5,24.56,15.74,944400
2000-03-08,25.0,25.44,24.0,24.19,15.5,859600
2000-03-09,25.0,25.94,24.06,25.0,16.02,818500
2000-03-10,25.25,25.69,24.62,25.06,16.06,545400
2000-03-13,25.25,25.25,23.62,24.25,15.54,625000
2000-03-14,24.25,24.31,22.62,23.19,14.86,1081200
2000-03-15,23.31,25.5,23.31,25.06,16.06,1759600
2000-03-16,26.38,28.81,26.0,28.25,18.11,2460500
2000-03-17,28.25,29.62,28.0,28.0,17.95,1251200
2000-03-20,28.31,28.94,27.81,28.25,18.11,846900
2000-03-21,28.62,30.0,27.5,29.31,18.79,939900
2000-03-22,29.0,29.19,28.69,29.12,18.67,798400
2000-03-23,29.5,31.38,29.5,31.12,19.95,947200
2000-03-24,31.06,33.0,30.62,32.06,20.55,1343000
2000-03-27,32.31,32.69,30.12,30.5,19.55,855800
2000-03-28,30.0,30.62,29.38,30.19,19.35,1092600
2000-03-29,31.0,31.88,30.75,31.31,20.07,816500
2000-03-30,32.25,35.88,32.25,35.0,22.43,1344000
2000-03-31,35.0,35.0,33.38,33.5,21.47,1436400
2000-04-03,33.69,33.69,32.12,33.06,21.19,838000
2000-04-04,34.25,34.25,32.5,33.12,21.23,1257400
2000-04-05,33.06,33.38,31.88,32.88,21.07,953300
2000-04-06,32.12,32.31,30.81,31.44,20.33,802500
2000-04-07,32.0,32.06,30.69,30.81,19.93,520800
2000-04-10,31.06,31.12,29.0,30.94,20.01,1065200
2000-04-11,31.75,31.94,30.69,31.69,20.49,547200
2000-04-12,31.62,33.44,31.62,32.88,21.26,660500
2000-04-13,34.62,35.31,33.62,34.69,22.43,1298500
2000-04-14,33.75,33.75,31.0,31.44,20.33,608900
2000-04-17,31.75,32.31,30.5,31.44,20.33,503400
2000-04-18,31.5,32.06,30.69,31.81,20.57,461900
2000-04-19,32.38,32.75,31.25,32.19,20.82,731000
2000-04-20,32.75,33.56,31.75,33.25,21.5,475100
2000-04-24,32.81,34.62,32.5,34.56,22.35,645600
