Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,34.29,37.29,34.21,37.19,34.08,1418400
2000-01-03,37.67,38.0,33.79,37.46,34.33,3183900
2000-01-04,36.41,37.17,35.38,35.83,32.84,3295800
2000-01-05,35.67,36.33,34.25,35.31,32.36,3094800
2000-01-06,34.94,36.33,34.33,35.06,32.13,2642100
2000-01-07,35.17,35.75,33.17,35.58,32.61,3684600
2000-01-10,35.71,38.33,35.69,37.42,34.29,5637300
2000-01-11,36.92,39.62,36.67,36.96,33.87,4290300
2000-01-12,37.25,38.75,35.96,38.0,34.82,5138100
2000-01-13,38.23,38.42,36.96,37.92,34.75,2729100
2000-01-14,38.69,43.88,38.67,43.25,39.64,8557200
2000-01-18,42.58,43.92,41.75,43.23,39.62,5704800
2000-01-19,43.44,46.25,41.79,45.46,41.66,5329800
2000-01-20,46.1,48.21,44.62,47.69,43.7,6240900
2000-01-21,49.83,49.85,44.98,46.31,42.44,7509000
2000-01-24,48.29,48.38,44.58,44.83,41.09,4511700
2000-01-25,45.29,46.67,43.5,45.96,42.12,3595200
2000-01-26,45.42,46.5,42.92,43.0,39.41,5359800
2000-01-27,43.82,45.56,43.0,43.17,39.56,3150000
2000-01-28,43.15,43.67,40.0,41.29,37.84,3143700
2000-01-31,40.81,41.83,38.98,41.62,38.15,4373700
2000-02-01,41.65,43.94,40.83,43.79,40.13,3675000
2000-02-02,43.81,46.04,43.15,45.75,41.93,3025200
2000-02-03,45.9,47.04,44.56,46.73,42.82,3256200
2000-02-04,46.92,47.85,44.62,45.69,41.87,3343200
2000-02-07,46.08,47.29,45.29,46.33,42.46,2998800
2000-02-08,46.83,47.15,45.33,46.29,42.42,2817300
2000-02-09,45.58,47.71,44.77,45.6,41.79,2868300
2000-02-10,45.56,48.25,44.52,47.98,43.97,2640300
2000-02-11,47.46,48.08,45.79,46.73,42.82,2209500
2000-02-14,47.04,48.33,46.73,48.12,44.1,2211300
2000-02-15,48.12,48.15,45.98,47.67,43.68,2331300
2000-02-16,47.81,50.0,47.08,47.38,43.42,4583100
2000-02-17,47.5,48.85,45.5,48.67,44.6,3402300
2000-02-18,48.85,49.0,45.67,46.15,42.29,2366400
2000-02-22,45.73,47.25,43.08,46.31,42.44,2783100
2000-02-23,46.94,49.0,46.75,48.88,44.79,4065900
2000-02-24,49.23,50.0,46.35,47.67,43.68,3259500
2000-02-25,47.71,48.33,45.42,45.83,42.0,3014400
2000-02-28,45.52,46.83,43.75,46.02,42.18,2604000
2000-02-29,46.56,52.04,46.56,52.04,47.69,8060400
2000-03-01,52.33,53.04,48.5,50.25,46.05,4890600
2000-03-02,50.5,51.38,49.33,50.1,45.92,3993300
2000-03-03,50.67,52.67,49.75,50.6,46.38,5136000
2000-03-06,50.71,52.12,50.08,50.46,46.24,2339700
2000-03-07,51.85,53.0,50.1,50.67,46.43,3320100
2000-03-08,51.4,51.4,47.79,48.96,44.87,2707800
2000-03-09,48.69,53.21,48.27,53.04,48.61,3059400
2000-03-10,52.33,55.0,52.04,54.15,49.62,5348100
2000-03-13,53.9,53.9,50.83,51.5,47.2,2388600
2000-03-14,51.92,52.46,47.67,47.75,43.76,3015300
2000-03-15,47.98,47.98,44.21,44.38,40.67,4043700
2000-03-16,45.65,47.12,42.0,44.71,40.97,8624700
2000-03-17,42.88,49.25,42.5,49.0,44.91,5323200
2000-03-20,48.75,50.94,48.0,48.81,44.73,2796600
2000-03-21,48.75,49.5,45.94,48.5,44.45,3597800
2000-03-22,48.62,52.0,48.56,50.81,46.57,2973200
2000-03-23,52.11,54.44,50.5,52.19,47.83,2643000
2000-03-24,54.38,55.88,53.25,54.25,49.72,4955100
2000-03-27,55.81,56.12,52.62,53.0,48.57,1994300
2000-03-28,53.5,54.31,49.25,49.88,45.71,1585800
2000-03-29,50.0,50.25,44.75,45.31,41.53,2994800
2000-03-30,44.38,46.94,43.88,45.56,41.75,4207000
2000-03-31,48.56,48.62,43.25,45.06,41.3,2280400
2000-04-03,45.19,45.25,38.5,39.0,35.74,4652600
2000-04-04,39.19,42.0,33.88,40.94,37.52,7629400
2000-04-05,39.62,50.0,39.5,46.25,42.39,5680500
2000-04-06,48.94,51.25,48.0,49.75,45.59,4979400
2000-04-07,50.0,55.75,50.0,55.56,50.92,5967700
2000-04-10,56.81,56.81,48.25,49.25,45.13,3895100
2000-04-11,47.94,52.5,47.0,49.5,45.36,4384600
2000-04-12,51.41,51.81,46.88,47.5,43.53,2941300
2000-04-13,48.81,50.06,42.5,42.94,39.35,3466500
2000-04-14,42.5,45.75,36.0,36.5,33.45,3913100
2000-04-17,36.38,43.0,36.0,42.88,39.29,5242800
2000-04-18,44.25,49.12,42.38,48.88,44.79,5656600
2000-04-19,48.12,48.12,41.19,42.56,39.01,6711500
2000-04-20,43.0,44.12,40.44,42.81,39.23,2844100
2000-04-24,38.75,42.12,37.31,40.0,36.66,3760600
2000-04-25,42.06,43.0,37.88,41.5,38.03,7505800
2000-04-26,41.75,43.5,38.38,39.06,35.8,3853900
2000-04-27,37.5,45.19,37.38,44.75,41.01,4537100
2000-04-28,45.25,47.25,44.75,45.88,42.04,3111500
2000-05-01,46.62,47.25,43.5,44.12,40.44,3653500
2000-05-02,43.62,45.88,42.06,42.31,38.78,3318700
2000-05-03,42.12,42.25,37.62,39.0,35.74,3735500
2000-05-04,39.94,40.5,38.12,38.38,35.17,3326700
2000-05-05,39.06,41.0,38.75,40.0,36.66,5274900
2000-05-08,39.31,40.12,36.0,36.19,33.16,5447600
2000-05-09,38.12,38.12,33.0,33.44,30.64,5732500
2000-05-10,32.81,35.75,32.06,32.44,29.73,4949100
2000-05-11,33.5,35.0,32.06,32.75,30.01,5990200
2000-05-12,33.97,36.0,33.31,33.38,30.59,4568200
2000-05-15,34.38,34.44,32.19,34.19,31.33,2653300
2000-05-16,36.12,36.5,33.88,35.0,32.08,3573300
2000-05-17,34.0,36.0,33.62,34.31,31.45,2689800
2000-05-18,35.0,35.25,33.25,33.62,30.82,1994100
2000-05-19,33.25,33.38,29.44,30.38,27.84,4467200
2000-05-22,30.62,30.69,26.75,29.44,26.98,4723600
2000-05-23,28.31,30.88,26.38,26.44,24.23,5900900
2000-05-24,26.25,27.81,23.25,27.12,24.86,11386700
2000-05-25,27.75,29.75,27.0,27.62,25.32,7874600
2000-05-26,28.22,29.0,26.62,27.88,25.55,2987500
2000-05-30,29.0,32.31,29.0,32.06,29.38,4495100
2000-05-31,31.86,34.25,30.25,32.12,29.44,5345600
2000-06-01,33.62,37.06,33.5,36.06,33.05,6596100
2000-06-02,39.75,42.12,39.5,40.56,37.17,6955300
2000-06-05,40.25,41.19,38.0,38.94,35.68,3624600
2000-06-06,38.59,40.38,36.75,37.19,34.08,4346400
2000-06-07,37.88,38.88,36.62,38.81,35.57,2941100
2000-06-08,39.0,42.25,39.0,39.94,36.6,4123400
2000-06-09,41.81,42.56,41.38,41.69,38.2,2660700
2000-06-12,42.56,42.62,39.31,39.69,36.37,2439600
2000-06-13,39.62,40.94,38.06,40.44,37.06,2086100
2000-06-14,40.84,40.84,38.56,38.62,35.4,2086900
2000-06-15,39.06,39.12,37.44,38.19,35.0,2005900
2000-06-16,38.44,40.12,37.5,39.56,36.26,2994000
2000-06-19,39.5,44.75,39.44,44.0,40.32,4560800
2000-06-20,44.5,46.0,42.0,42.94,39.35,5096900
2000-06-21,42.06,44.44,41.44,43.48,39.85,2786000
2000-06-22,43.38,44.5,41.88,42.0,38.49,2522200
2000-06-23,42.47,42.5,40.25,40.62,37.23,1470100
2000-06-26,41.25,41.69,39.38,40.25,36.89,1732200
2000-06-27,40.19,41.31,38.0,38.75,35.51,2732000
2000-06-28,39.62,41.62,38.5,40.19,36.83,2567500
2000-06-29,39.62,39.75,37.38,37.62,34.48,2867300
2000-06-30,38.75,38.75,35.81,37.5,34.37,7427100
2000-07-03,37.75,39.38,37.0,39.19,35.91,1015200
2000-07-05,37.06,37.5,32.0,32.38,29.67,6663000
2000-07-06,33.44,35.56,33.0,35.12,32.19,4346000
2000-07-07,37.12,37.25,35.81,36.62,33.56,3907200
2000-07-10,36.56,38.25,36.56,36.88,33.79,3736300
2000-07-11,37.0,40.0,34.94,35.62,32.65,4726400
2000-07-12,37.0,37.0,35.5,36.0,32.99,4946100
2000-07-13,36.88,37.56,35.94,36.25,33.22,3164400
2000-07-14,37.0,38.06,36.0,37.94,34.77,2516100
2000-07-17,37.97,40.19,37.88,39.62,36.31,4422400
2000-07-18,39.06,39.12,35.0,35.38,32.42,6750000
2000-07-19,35.12,35.19,31.12,31.25,28.64,9115500
2000-07-20,32.12,32.44,28.25,28.94,26.52,15209100
2000-07-21,28.88,29.25,26.06,26.25,24.06,14235700
2000-07-24,27.44,28.81,26.88,28.06,25.72,7418500
2000-07-25,29.38,30.12,28.12,29.75,27.26,5596300
2000-07-26,29.69,29.69,27.0,28.75,26.35,6337800
2000-07-27,27.31,28.0,26.0,27.12,24.86,7060000
2000-07-28,27.75,29.06,26.75,28.0,25.66,4264400
2000-07-31,29.31,29.62,27.88,29.25,26.81,3286400
2000-08-01,29.56,29.88,27.38,27.61,25.3,2413500
2000-08-02,27.69,28.88,27.12,27.62,25.32,1834700
2000-08-03,25.06,25.12,21.25,23.0,21.08,21766900
2000-08-04,23.94,24.19,21.75,23.75,21.77,7383900
2000-08-07,23.62,24.5,22.81,23.11,21.18,5947400
2000-08-08,23.0,23.44,22.44,22.75,20.85,4506200
2000-08-09,23.5,23.69,22.75,23.19,21.25,6079400
2000-08-10,22.94,23.0,21.31,21.62,19.82,6782500
2000-08-11,21.12,22.0,19.62,21.94,20.1,4330100
2000-08-14,22.25,24.44,22.0,23.94,21.94,5299600
2000-08-15,24.5,26.88,24.25,26.0,23.83,8917700
2000-08-16,26.94,27.75,26.38,26.62,24.4,6151900
2000-08-17,26.59,28.25,25.5,27.88,25.55,5613600
2000-08-18,28.44,29.88,28.0,29.31,26.86,7093000
2000-08-21,29.75,29.88,27.0,28.56,26.18,4811400
2000-08-22,28.75,28.75,27.25,27.75,25.43,4094100
2000-08-23,27.5,30.75,27.19,30.25,27.72,5009700
2000-08-24,30.81,30.94,29.25,29.62,27.15,3294400
2000-08-25,29.5,30.5,29.44,29.81,27.32,1996100
2000-08-28,30.0,31.38,29.75,30.25,27.72,3224200
2000-08-29,30.59,31.75,30.0,31.62,28.98,3763900
2000-08-30,31.5,31.56,29.06,29.38,26.92,5370800
2000-08-31,29.62,30.62,29.56,30.12,27.61,3553200
2000-09-01,30.69,31.69,30.25,31.12,28.52,3908600
2000-09-05,31.06,31.06,29.0,29.06,26.63,3120800
2000-09-06,28.0,28.25,26.25,27.12,24.86,5593300
2000-09-07,27.12,29.0,26.62,28.62,26.23,4563700
2000-09-08,27.81,28.0,26.62,26.88,24.63,3327300
2000-09-11,26.94,28.0,25.81,26.0,23.83,3950900
2000-09-12,25.75,26.25,24.75,24.88,22.8,4773500
2000-09-13,24.12,25.38,23.62,25.25,23.14,4792200
2000-09-14,26.31,26.5,24.5,25.0,22.91,6328900
2000-09-15,24.62,24.75,23.75,23.94,21.94,2772200
2000-09-18,24.5,25.06,23.44,23.56,21.59,3814000
2000-09-19,24.19,25.81,23.62,25.62,23.48,4682600
2000-09-20,25.81,26.44,24.31,25.62,23.48,5322100
2000-09-21,25.44,25.5,23.5,23.94,21.94,3794000
2000-09-22,21.94,23.44,21.75,23.31,21.36,5513200
2000-09-25,24.0,24.0,21.5,21.62,19.82,3856500
2000-09-26,23.5,23.5,21.69,22.25,20.39,7521100
2000-09-27,23.0,23.0,21.5,22.31,20.45,4751700
2000-09-28,22.0,22.69,21.38,21.94,20.1,7223900
2000-09-29,21.69,21.69,20.0,20.94,19.19,6154300
2000-10-02,21.62,23.25,21.19,22.75,20.85,15266800
2000-10-03,22.88,23.69,21.88,22.06,20.22,5518800
2000-10-04,22.12,23.94,22.12,23.69,21.71,2341400
