Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.88,11.0,10.75,10.75,9.9,1666000
2000-01-03,10.79,10.92,10.46,10.58,9.74,3277800
2000-01-04,10.58,10.75,10.29,10.29,9.47,4702000
2000-01-05,10.29,10.42,10.21,10.25,9.44,3432900
2000-01-06,10.25,10.33,10.12,10.21,9.4,2809500
2000-01-07,10.25,10.67,10.21,10.58,9.74,4967100
2000-01-10,10.58,10.83,10.58,10.71,9.86,3171900
2000-01-11,11.0,11.33,10.96,11.04,10.16,5224200
2000-01-12,11.04,11.25,11.0,11.08,10.2,1955800
2000-01-13,10.92,10.96,10.71,10.71,9.86,2787700
2000-01-14,10.83,10.92,10.71,10.79,9.93,2140300
2000-01-18,10.62,10.67,10.46,10.5,9.67,3635700
2000-01-19,10.38,10.46,10.25,10.33,9.51,2875800
2000-01-20,10.25,10.29,10.04,10.08,9.28,3356500
2000-01-21,10.25,10.25,10.0,10.21,9.4,3174400
2000-01-24,10.08,10.25,10.08,10.08,9.28,3064000
2000-01-25,10.25,10.29,10.17,10.25,9.44,4117800
2000-01-26,10.33,10.5,10.33,10.38,9.55,3324300
2000-01-27,10.54,10.75,10.46,10.67,9.82,3115500
2000-01-28,10.38,10.67,10.38,10.46,9.63,2853100
2000-01-31,10.46,10.67,10.42,10.62,9.78,3591300
2000-02-01,10.58,10.71,10.38,10.46,9.63,5635600
2000-02-02,10.46,10.79,10.38,10.67,9.82,3649000
2000-02-03,10.79,10.79,10.58,10.58,9.74,2733600
2000-02-04,10.79,10.83,10.58,10.75,9.9,2754600
2000-02-07,10.83,10.88,10.71,10.79,9.93,2359800
2000-02-08,10.79,10.83,10.67,10.79,9.93,2560000
2000-02-09,10.71,10.79,10.67,10.67,9.82,3334800
2000-02-10,10.71,10.71,10.42,10.5,9.67,3782100
2000-02-11,10.5,10.54,10.08,10.29,9.47,4571400
2000-02-14,10.17,10.29,10.08,10.25,9.44,3789900
2000-02-15,10.25,10.38,10.08,10.33,9.51,4568400
2000-02-16,10.21,10.96,10.17,10.75,9.9,7750600
2000-02-17,10.75,10.96,10.67,10.92,10.05,4811800
2000-02-18,10.96,11.08,10.71,10.79,9.93,4742400
2000-02-22,10.83,11.21,10.83,10.96,10.09,4987500
2000-02-23,11.08,11.92,11.0,11.79,10.85,6440400
2000-02-24,11.96,11.96,11.33,11.62,10.7,5136000
2000-02-25,11.5,12.08,11.33,12.08,11.12,4131300
2000-02-28,11.92,12.08,11.58,11.79,10.85,2525400
2000-02-29,11.79,12.29,11.5,12.29,11.31,2841400
2000-03-01,12.17,12.17,11.88,12.17,11.2,2479300
2000-03-02,11.96,12.0,11.62,11.88,10.93,3307000
2000-03-03,12.0,12.12,11.88,12.04,11.09,3061600
2000-03-06,11.75,11.79,11.54,11.71,10.78,1802700
2000-03-07,11.42,11.54,10.62,11.0,10.13,3199900
2000-03-08,10.83,11.92,10.75,11.75,10.82,2966200
2000-03-09,11.96,12.38,11.83,12.12,11.17,4165600
2000-03-10,12.17,12.48,12.12,12.46,11.47,3063600
2000-03-13,12.17,12.62,11.92,12.62,11.63,2751100
2000-03-14,12.67,12.96,12.46,12.62,11.63,2849400
2000-03-15,12.62,13.25,12.58,13.0,11.97,4568100
2000-03-16,13.0,13.33,12.79,13.25,12.2,3268900
2000-03-17,13.25,13.33,12.67,13.33,12.28,3407500
2000-03-20,12.71,13.33,12.71,13.25,12.2,2671200
2000-03-21,13.29,13.5,13.17,13.46,12.39,2194200
2000-03-22,13.46,13.46,13.0,13.04,12.01,1931500
2000-03-23,12.92,13.58,12.88,13.54,12.47,2545200
2000-03-24,13.42,13.5,13.04,13.33,12.28,2242800
2000-03-27,13.21,13.42,13.0,13.08,12.05,2069200
2000-03-28,13.33,13.62,13.25,13.62,12.55,2548500
2000-03-29,13.67,13.92,13.25,13.42,12.35,2015100
2000-03-30,13.42,13.46,12.92,13.29,12.24,2015700
2000-03-31,13.33,13.88,13.0,13.88,12.78,3444300
2000-04-03,13.75,13.83,13.5,13.58,12.51,2561700
2000-04-04,13.83,14.0,13.33,13.58,12.51,3457900
2000-04-05,13.92,14.33,13.83,14.17,13.05,3707400
