Date,Open,High,Low,Close,Adj Close,Volume
2004-12-15,41.9,49.45,41.65,46.56,32.03,26246300
2004-12-16,48.1,50.6,47.9,49.11,33.78,7778200
2004-12-17,49.11,53.25,48.11,53.0,36.46,4755800
2004-12-20,52.7,53.98,48.33,48.6,33.43,6098000
2004-12-21,48.6,49.18,45.6,47.38,32.59,3209500
2004-12-22,47.2,49.55,46.9,48.51,33.37,1837400
2004-12-23,48.61,49.35,48.3,48.5,33.36,633500
2004-12-27,48.51,49.01,46.91,47.65,32.78,800700
2004-12-28,47.45,48.3,46.5,48.1,33.09,1169600
2004-12-29,48.1,48.2,47.55,47.89,32.94,566500
2004-12-30,48.05,48.65,47.49,47.85,32.92,758300
2004-12-31,47.9,48.1,47.45,48.0,33.02,645400
2005-01-03,49.35,49.4,47.55,48.51,33.37,1055900
2005-01-04,48.51,49.6,48.3,49.46,34.02,1660100
2005-01-05,49.71,49.9,48.79,48.85,33.6,697400
2005-01-06,48.75,48.79,47.5,47.99,33.01,1015300
2005-01-07,47.85,47.86,45.31,45.55,31.33,2178900
2005-01-10,45.05,46.3,44.75,45.13,31.04,1247300
2005-01-11,44.5,45.83,43.27,44.72,30.76,1503300
2005-01-12,44.91,45.2,42.9,43.1,29.65,1658100
2005-01-13,42.65,43.0,41.41,42.5,29.24,2414800
2005-01-14,42.79,43.59,42.15,43.4,29.85,992800
2005-01-18,43.35,45.21,42.8,45.21,31.1,879800
2005-01-19,45.29,46.17,44.15,44.35,30.51,864600
2005-01-20,44.35,44.7,43.56,43.76,30.1,453600
2005-01-21,43.3,43.49,41.9,43.05,29.61,1626200
2005-01-24,44.63,44.76,41.5,42.05,28.93,1875100
2005-01-25,42.3,43.1,42.05,42.1,28.96,613900
2005-01-26,42.25,42.75,42.02,42.06,28.93,365500
2005-01-27,42.18,42.6,41.86,42.05,28.93,646000
2005-01-28,42.1,42.3,41.75,42.2,29.03,400200
2005-01-31,42.8,43.59,42.53,43.4,29.85,621800
2005-02-01,44.0,44.5,43.1,43.24,29.74,780400
2005-02-02,43.75,45.5,43.36,45.15,31.06,899300
2005-02-03,45.4,45.89,44.55,45.75,31.47,731000
2005-02-04,46.15,48.0,45.9,47.62,32.76,1227400
2005-02-07,48.05,49.49,48.0,48.95,33.67,1102400
