Date,Open,High,Low,Close,Adj Close,Volume
2010-04-28,22.25,22.25,21.7,22.0,13.41,5244400
2010-04-29,22.0,23.25,21.9,23.0,14.02,8773600
2010-04-30,22.95,23.0,22.25,22.3,13.59,1644400
2010-05-03,22.75,22.95,22.65,22.8,13.9,3302700
2010-05-04,22.8,22.8,21.5,21.5,13.1,2276500
2010-05-05,22.0,22.0,20.0,20.59,12.55,6999200
2010-05-06,20.5,20.55,18.45,19.45,11.85,8029400
2010-05-07,19.5,19.55,17.9,18.6,11.34,3881500
2010-05-10,19.75,19.85,18.7,19.01,11.59,3861100
2010-05-11,18.75,19.28,18.75,18.9,11.52,2626900
2010-05-12,19.2,20.04,19.2,19.8,12.07,5714300
2010-05-13,19.85,20.1,19.6,19.65,11.98,2475900
2010-05-14,19.3,19.4,18.75,18.75,11.43,3133400
2010-05-17,19.0,19.2,18.7,18.85,11.49,10117000
2010-05-18,19.05,19.32,18.25,18.79,11.45,6219800
2010-05-19,18.9,18.93,17.55,17.7,10.79,6227700
2010-05-20,17.14,17.14,16.2,16.9,10.3,10248400
2010-05-21,16.35,17.12,16.25,16.55,10.09,4560800
2010-05-24,16.7,17.15,16.68,16.9,10.3,1761300
2010-05-25,16.79,16.79,16.2,16.57,10.1,4649600
2010-05-26,16.99,17.4,16.8,17.15,10.45,2079300
2010-05-27,17.65,18.0,17.65,17.9,10.91,3156100
2010-05-28,17.9,17.9,16.25,17.77,10.83,222200
2010-06-01,17.65,17.8,17.2,17.5,10.67,900800
2010-06-02,17.61,17.66,17.22,17.33,10.56,829900
2010-06-03,17.45,17.5,17.15,17.33,10.56,2173600
2010-06-04,17.05,17.1,16.75,17.05,10.39,3147200
2010-06-07,17.15,17.2,16.74,16.89,10.29,2826800
2010-06-08,17.03,17.03,16.5,16.75,10.21,2037700
2010-06-09,16.79,17.1,16.7,16.79,10.23,1410200
2010-06-10,16.97,17.07,16.85,16.97,10.34,1401000
2010-06-11,16.94,17.19,16.94,17.14,10.45,452500
2010-06-14,17.19,17.58,17.19,17.49,10.66,1008500
2010-06-15,17.48,18.0,17.35,17.97,10.95,1974300
2010-06-16,17.93,17.97,17.63,17.64,10.75,1041500
2010-06-17,17.68,17.75,17.14,17.3,10.54,1090600
2010-06-18,17.33,17.35,17.15,17.21,10.49,1373700
2010-06-21,17.45,17.53,17.09,17.1,10.42,514100
2010-06-22,17.09,17.1,16.8,16.84,10.26,1502900
2010-06-23,16.9,16.95,16.6,16.65,10.15,1125700
2010-06-24,16.69,16.92,16.35,16.8,10.24,2151600
2010-06-25,16.9,16.92,16.7,16.82,10.25,612000
2010-06-28,16.87,16.87,16.7,16.87,10.28,355800
2010-06-29,16.74,16.74,16.25,16.25,9.9,2561000
2010-06-30,16.27,16.5,16.15,16.15,9.84,1534100
2010-07-01,16.24,16.3,15.4,15.55,9.48,4006100
2010-07-02,15.58,15.69,15.4,15.48,9.43,231700
2010-07-06,15.5,15.59,14.9,15.06,9.18,833700
2010-07-07,15.05,15.15,14.86,15.0,9.14,2137200
2010-07-08,14.95,15.15,14.95,15.05,9.17,2422200
2010-07-09,15.1,16.02,15.0,15.8,9.63,1478700
2010-07-12,15.82,16.02,15.8,15.82,9.64,786100
2010-07-13,15.83,16.5,15.83,16.4,10.0,1647300
2010-07-14,16.4,16.45,16.25,16.4,10.0,1537200
2010-07-15,16.43,16.43,16.0,16.37,9.98,905900
2010-07-16,16.3,16.3,16.0,16.2,9.87,624700
2010-07-19,16.18,16.7,16.11,16.45,10.03,497300
2010-07-20,16.44,16.44,16.15,16.19,9.87,1244700
2010-07-21,16.19,16.3,16.19,16.24,9.9,1801200
2010-07-22,16.26,16.59,16.26,16.55,10.09,1126300
2010-07-23,16.55,16.79,16.52,16.78,10.23,1415100
2010-07-26,17.0,17.7,17.0,17.65,10.76,3400400
2010-07-27,17.92,18.34,17.25,18.23,11.11,5778800
2010-07-28,18.22,18.22,17.82,17.93,10.93,2440000
2010-07-29,18.1,18.15,17.84,17.94,10.93,1598500
2010-07-30,17.92,18.07,17.68,18.0,10.97,2023100
2010-08-02,18.15,18.26,18.05,18.06,11.01,1543000
2010-08-03,18.09,18.12,17.7,17.9,10.91,1558700
2010-08-04,17.9,18.46,17.9,18.3,11.15,4194300
2010-08-05,18.3,18.3,18.2,18.24,11.12,252300
2010-08-06,18.22,18.25,17.92,18.0,10.97,500600
2010-08-09,18.0,18.15,17.99,18.05,11.0,1252900
2010-08-10,18.05,18.05,17.9,17.99,10.96,1056300
2010-08-11,17.8,17.8,17.6,17.61,10.73,2021000
2010-08-12,17.63,17.63,17.4,17.5,10.67,3260500
2010-08-13,17.51,18.03,17.51,18.02,10.98,2973700
2010-08-16,18.85,19.3,18.65,18.7,11.4,10729700
2010-08-17,18.95,19.2,18.95,19.07,11.62,4572800
2010-08-18,19.1,20.05,19.1,19.8,12.07,3564800
2010-08-19,19.89,20.09,19.0,19.8,12.07,5313000
2010-08-20,19.8,20.02,19.76,19.89,12.12,3292700
2010-08-23,19.9,20.25,19.9,20.06,12.23,2222900
2010-08-24,19.8,20.05,19.7,19.99,12.18,5178500
2010-08-25,19.94,20.05,19.87,19.93,12.15,3994300
2010-08-26,19.95,20.5,19.95,20.0,12.19,2807100
2010-08-27,20.14,20.44,19.98,20.44,12.46,1984200
2010-08-30,20.4,20.8,20.22,20.22,12.32,1728000
2010-08-31,20.22,20.51,20.22,20.5,12.49,2316300
2010-09-01,20.5,21.3,20.49,21.02,12.81,5464700
2010-09-02,21.05,21.05,20.76,20.95,12.77,1548700
2010-09-03,20.99,21.3,20.99,21.13,12.88,1072600
2010-09-07,21.12,21.12,20.8,20.96,12.77,1540000
2010-09-08,20.95,21.13,20.95,20.99,12.79,2135400
2010-09-09,21.0,21.15,20.67,20.7,12.62,2958400
2010-09-10,20.71,20.82,20.69,20.79,12.67,806500
2010-09-13,20.78,21.41,20.78,21.38,13.03,3431400
2010-09-14,21.39,21.57,21.31,21.51,13.11,2403900
2010-09-15,21.51,21.64,21.45,21.56,13.14,1302100
2010-09-16,21.75,22.28,21.75,21.85,13.32,4179800
2010-09-17,22.19,22.25,22.01,22.25,13.56,2845700
2010-09-20,22.25,22.27,22.19,22.2,13.53,1651400
2010-09-21,22.21,22.27,22.17,22.21,13.54,3081900
2010-09-22,22.24,22.28,21.85,21.94,13.37,1636900
2010-09-23,21.85,21.95,21.6,21.85,13.32,1356500
2010-09-24,22.0,22.47,22.0,22.46,13.69,2632000
2010-09-27,22.69,23.11,22.69,23.1,14.08,4341200
2010-09-28,23.1,23.64,23.03,23.45,14.29,2932200
2010-09-29,23.38,23.95,23.37,23.62,14.4,3805000
2010-09-30,23.65,23.95,23.26,23.9,14.57,4344600
2010-10-01,23.92,24.06,23.71,23.87,14.55,6646000
2010-10-04,24.03,24.4,23.93,24.09,14.68,3833700
2010-10-05,24.04,25.0,24.03,24.79,15.11,7091600
2010-10-06,24.85,24.88,23.95,24.22,14.76,1901200
2010-10-07,24.26,24.54,24.19,24.45,14.9,2172800
2010-10-08,24.7,25.28,24.7,25.25,15.39,6419900
2010-10-11,25.19,26.6,25.13,26.16,15.94,8024800
2010-10-12,26.1,26.35,25.45,26.3,16.03,7003500
2010-10-13,26.4,27.12,26.29,26.97,16.44,12316200
2010-10-14,26.97,27.65,24.45,27.02,16.47,9197400
2010-10-15,27.1,27.1,26.5,26.5,16.15,3207600
2010-10-18,26.6,27.04,26.41,26.75,16.3,4034900
2010-10-19,26.99,26.99,26.44,26.52,16.16,7782900
2010-10-20,26.7,27.2,26.65,27.13,16.54,6081700
2010-10-21,27.19,28.0,27.1,27.56,16.8,6521800
2010-10-22,27.6,27.68,27.3,27.55,16.79,2442100
2010-10-25,27.84,28.27,27.72,27.96,17.04,3935100
2010-10-26,28.07,28.12,26.5,27.72,16.9,5532600
2010-10-27,27.83,27.83,26.85,27.21,16.58,3619200
2010-10-28,27.38,27.79,26.99,27.51,16.77,3821600
2010-10-29,27.85,28.25,26.6,26.86,16.37,7190600
2010-11-01,26.76,27.16,25.7,26.0,15.85,4165000
2010-11-02,26.3,26.79,26.18,26.63,16.23,3387900
2010-11-03,26.91,27.47,26.35,26.95,16.43,3338400
2010-11-04,27.25,27.56,26.99,27.41,16.71,5118300
2010-11-05,27.45,28.53,26.76,28.35,17.28,7669000
2010-11-08,28.5,28.85,28.24,28.85,17.58,4110700
2010-11-09,29.02,29.1,28.17,28.44,17.33,2267300
2010-11-10,28.4,28.5,27.74,28.34,17.27,2717000
2010-11-11,28.12,28.8,28.02,28.29,17.24,2478300
2010-11-12,28.32,28.37,27.33,27.4,16.7,4365200
2010-11-15,27.25,27.99,27.2,27.66,16.86,4142500
2010-11-16,27.57,27.65,26.25,26.7,16.27,2919300
2010-11-17,26.74,27.31,26.34,27.23,16.6,3193800
2010-11-18,28.06,28.23,27.54,27.69,16.88,3376600
2010-11-19,27.77,28.88,27.5,28.75,17.52,17483400
2010-11-22,28.63,29.82,28.55,29.68,18.09,6153800
2010-11-23,29.25,29.25,28.81,28.95,17.64,4384400
2010-11-24,29.1,29.54,28.86,29.5,17.98,3341100
2010-11-26,29.2,29.55,29.15,29.38,17.91,740600
2010-11-29,29.9,29.97,28.86,29.75,18.13,3414900
2010-11-30,29.23,29.5,29.06,29.21,17.8,2831300
2010-12-01,29.69,30.04,29.63,29.88,18.21,7132500
2010-12-02,30.21,30.5,29.41,30.49,18.58,7641100
2010-12-03,30.04,30.71,29.53,30.52,18.6,5584300
2010-12-06,30.62,31.12,30.5,31.08,18.94,4628200
2010-12-07,31.5,31.75,30.93,31.6,19.26,6296400
2010-12-08,31.6,31.85,30.73,30.86,18.81,3558100
2010-12-09,31.23,31.34,29.6,30.61,18.66,4306200
2010-12-10,30.56,31.17,30.46,31.1,18.96,3383400
2010-12-13,31.08,31.97,31.03,31.86,19.42,38066400
2010-12-14,31.61,32.46,31.07,31.99,19.5,3875100
2010-12-15,31.99,32.19,31.52,31.75,19.35,1458700
2010-12-16,32.01,32.07,30.91,31.2,19.02,2498500
2010-12-17,31.14,32.0,30.72,31.87,19.42,3980000
2010-12-20,31.91,32.12,31.62,32.1,19.56,2500900
2010-12-21,32.0,32.57,32.0,32.55,19.84,3301200
2010-12-22,32.34,32.98,32.34,32.95,20.08,3212600
2010-12-23,32.95,33.0,32.79,32.93,20.07,724400
2010-12-27,32.67,33.03,32.65,32.96,20.09,679600
2010-12-28,32.94,33.3,32.83,33.28,20.28,1111600
2010-12-29,33.21,33.45,33.18,33.4,20.36,1290400
2010-12-30,33.43,33.82,33.26,33.76,20.58,1605600
2010-12-31,33.85,34.54,33.83,34.4,20.97,1877900
2011-01-03,34.75,34.99,34.43,34.56,21.06,3403400
2011-01-04,34.8,34.95,34.54,34.87,21.25,5475700
2011-01-05,34.68,35.0,34.63,34.85,21.24,2780800
2011-01-06,34.93,35.11,34.72,34.97,21.31,3249400
2011-01-07,35.18,35.23,34.45,34.62,21.1,1889700
2011-01-10,34.92,35.3,34.6,35.24,21.48,4051600
2011-01-11,35.6,36.58,35.51,36.47,22.23,4729500
2011-01-12,36.66,37.0,36.51,36.74,22.39,2867900
2011-01-13,36.84,36.84,35.85,36.4,22.19,4404500
2011-01-14,36.28,37.0,36.04,36.61,22.31,3841100
2011-01-18,36.95,37.0,36.46,36.5,22.25,2166600
2011-01-19,36.67,36.7,35.53,35.66,21.73,3682500
2011-01-20,35.26,35.77,33.57,35.42,21.59,7837700
2011-01-21,35.88,36.22,34.4,35.05,21.36,3647600
2011-01-24,35.6,35.74,34.75,35.65,21.73,2489700
2011-01-25,35.7,36.15,35.53,35.7,21.76,6351500
2011-01-26,35.78,36.25,35.54,36.0,21.94,2325700
2011-01-27,36.06,36.51,35.83,36.2,22.06,2718800
2011-01-28,36.3,36.48,34.62,34.86,21.25,1961300
2011-01-31,34.77,36.04,34.77,35.94,21.91,2250400
2011-02-01,36.19,37.0,35.97,36.84,22.45,2823400
2011-02-02,36.51,36.88,36.17,36.55,22.28,1646500
2011-02-03,36.83,37.44,36.0,36.12,22.01,3667200
2011-02-04,36.44,36.76,35.34,36.17,22.05,4087000
2011-02-07,36.49,36.77,35.29,35.52,21.65,4454900
2011-02-08,35.77,35.85,34.36,35.48,21.62,5053800
2011-02-09,35.24,35.95,34.59,35.84,21.84,5237600
2011-02-10,35.33,36.83,35.33,36.75,22.4,2841300
2011-02-11,36.17,38.89,35.76,37.07,22.59,4639500
2011-02-14,37.42,37.44,36.81,37.4,22.79,2764300
2011-02-15,37.39,37.67,36.56,37.48,22.84,2470500
2011-02-16,37.47,37.8,37.09,37.54,22.88,2955500
2011-02-17,37.59,38.6,37.26,38.59,23.52,6305700
2011-02-18,36.9,38.12,35.34,37.95,23.13,15389100
2011-02-22,36.53,38.75,35.74,35.84,21.84,6342400
2011-02-23,35.55,37.0,34.88,36.64,22.33,6188600
2011-02-24,36.66,37.39,36.26,36.7,22.37,4456100
2011-02-25,37.52,38.54,37.5,38.17,23.26,4899300
2011-02-28,38.88,40.0,37.71,38.08,23.21,12466200
2011-03-01,38.37,38.85,36.76,37.06,22.59,3520100
2011-03-02,37.2,38.58,36.84,38.07,23.2,3930500
2011-03-03,38.65,39.85,38.65,39.56,24.11,5558300
2011-03-04,40.2,40.3,39.34,39.64,24.16,4308600
2011-03-07,40.19,40.3,39.46,39.83,24.28,4343300
2011-03-08,39.72,41.08,39.36,40.73,24.82,3269300
2011-03-09,40.92,41.12,40.31,40.9,24.93,2698300
2011-03-10,40.38,41.0,38.53,39.69,24.19,7360400
2011-03-11,39.05,39.66,38.2,39.16,23.87,3965500
2011-03-14,39.08,40.41,38.75,39.19,23.89,1751000
2011-03-15,37.45,38.64,37.33,38.28,23.33,3694900
2011-03-16,38.12,39.41,37.99,38.09,23.22,3071500
2011-03-17,38.83,39.31,38.77,38.99,23.76,1526200
2011-03-18,39.52,39.58,38.21,38.4,23.4,2805700
2011-03-21,39.35,40.0,38.8,39.67,24.18,2810700
2011-03-22,39.63,39.69,38.69,39.05,23.8,1433600
2011-03-23,38.83,39.97,38.51,39.87,24.3,1289300
2011-03-24,40.0,40.6,39.75,40.39,24.62,1852300
2011-03-25,40.4,40.87,39.92,40.36,24.6,1493600
2011-03-28,40.5,40.82,39.42,40.21,24.51,3532800
2011-03-29,39.94,40.74,39.9,40.14,24.46,2103700
2011-03-30,40.39,40.39,39.49,39.68,24.18,2951200
2011-03-31,39.66,40.13,39.28,39.55,24.11,3555600
2011-04-01,39.99,40.28,39.56,40.27,24.54,4105400
2011-04-04,40.5,41.0,40.36,40.65,24.78,1992700
2011-04-05,40.47,41.51,40.29,41.34,25.2,2558000
2011-04-06,41.4,42.05,41.27,41.61,25.36,2955900
2011-04-07,41.63,41.75,40.72,41.5,25.29,3235600
2011-04-08,41.58,43.28,41.49,42.58,25.95,4861400
2011-04-11,42.6,43.2,41.81,42.49,25.9,2362700
2011-04-12,42.03,42.28,40.36,40.53,24.7,4195500
2011-04-13,40.74,40.88,40.09,40.63,24.76,2475100
2011-04-14,40.4,40.63,39.63,40.42,24.64,1606500
2011-04-15,40.42,41.18,39.99,41.01,25.0,2073400
2011-04-18,40.68,41.12,39.8,40.06,24.42,2265900
2011-04-19,40.05,41.07,39.85,40.78,24.85,3088000
2011-04-20,41.46,42.0,41.36,42.0,25.6,2382100
2011-04-21,42.05,42.8,41.93,42.73,26.04,2375100
2011-04-25,42.81,43.74,42.42,43.26,26.37,2144700
2011-04-26,43.53,44.0,42.98,43.79,26.69,2800000
2011-04-27,43.99,44.41,43.4,43.7,26.63,3105000
2011-04-28,43.78,44.54,43.62,44.44,27.09,3637300
2011-04-29,44.66,45.36,44.27,44.5,27.12,3716100
2011-05-02,48.09,48.12,44.63,45.62,27.8,6359900
2011-05-03,45.7,46.28,44.46,44.57,27.22,4248600
2011-05-04,44.41,44.53,42.0,42.83,26.16,4965300
2011-05-05,42.74,43.39,41.29,41.65,25.44,5150500
2011-05-06,41.74,42.79,40.88,41.08,25.09,7247600
2011-05-09,41.08,42.29,41.03,41.5,25.35,4505400
2011-05-10,42.03,42.5,41.75,42.24,25.8,4993700
2011-05-11,42.5,43.31,41.46,42.22,25.79,6643600
2011-05-12,42.0,42.33,41.17,41.33,25.25,4061300
2011-05-13,41.63,41.75,39.36,39.68,24.24,4637200
2011-05-16,38.32,39.25,37.73,38.1,23.27,10085100
2011-05-17,38.1,39.22,38.07,38.95,23.79,8988700
2011-05-18,39.11,41.06,38.94,41.0,25.04,7016500
2011-05-19,41.25,41.57,40.49,41.0,25.04,3130900
2011-05-20,40.7,40.83,39.67,40.0,24.43,4038400
2011-05-23,38.91,39.35,38.16,38.9,23.76,4454000
2011-05-24,39.43,40.0,39.25,39.75,24.28,4469600
2011-05-25,39.5,42.08,39.49,41.59,25.4,4805000
2011-05-26,41.63,42.2,40.78,41.76,25.51,4563200
2011-05-27,42.12,42.74,41.82,42.74,26.11,2684500
2011-05-31,43.47,43.82,42.84,43.81,26.76,8699000
2011-06-01,43.67,44.21,42.11,42.28,25.83,4180100
2011-06-02,42.66,42.98,41.06,41.7,25.47,3664300
2011-06-03,40.5,40.71,39.21,39.89,24.37,6642400
2011-06-06,40.05,40.08,38.12,38.24,23.36,5518300
2011-06-07,39.43,39.49,38.43,38.88,23.75,4363600
2011-06-08,38.5,39.5,38.24,39.22,23.96,4387500
2011-06-09,39.55,40.18,39.22,40.0,24.43,3302800
2011-06-10,39.55,39.94,38.78,39.3,24.01,3219200
2011-06-13,39.4,39.76,38.11,38.3,23.39,3357500
2011-06-14,39.14,40.25,39.06,39.88,24.36,4451000
2011-06-15,39.28,39.59,38.08,38.36,23.43,4910700
2011-06-16,38.46,38.62,36.16,37.01,22.61,8190900
2011-06-17,37.55,37.71,36.27,36.88,22.53,6585000
2011-06-20,36.47,36.87,35.88,36.56,22.33,5519200
2011-06-21,37.09,38.76,36.97,38.61,23.58,5852000
2011-06-22,38.64,39.51,38.29,38.7,23.64,4575300
2011-06-23,37.87,38.1,36.64,38.06,23.25,4695900
2011-06-24,38.24,38.83,37.52,37.58,22.95,19002500
2011-06-27,37.65,37.83,35.84,37.26,22.76,7024600
2011-06-28,37.7,37.7,36.47,37.48,22.89,5326300
2011-06-29,37.74,39.29,37.68,38.29,23.39,4354400
2011-06-30,38.3,39.05,37.86,38.52,23.53,3257400
2011-07-01,39.41,39.59,38.43,38.92,23.77,4650200
2011-07-05,39.01,40.11,38.75,39.89,24.37,3880100
2011-07-06,39.63,39.75,38.8,39.45,24.1,4517500
2011-07-07,39.95,41.35,39.95,41.23,25.18,5828900
2011-07-08,40.51,40.92,39.96,40.88,24.97,3542000
2011-07-11,39.99,40.0,37.9,38.48,23.5,4543700
2011-07-12,38.32,38.95,37.99,38.4,23.46,2300700
2011-07-13,38.86,39.1,38.15,38.47,23.5,2697100
2011-07-14,38.5,38.97,37.81,37.92,23.16,2439700
2011-07-15,38.2,38.31,37.67,38.09,23.27,2566200
2011-07-18,37.85,38.14,36.2,36.84,22.5,3953600
2011-07-19,37.28,37.7,36.87,37.08,22.65,3996300
2011-07-20,37.39,38.07,37.19,37.6,22.97,3548700
2011-07-21,37.93,39.43,37.67,39.09,23.88,4992500
2011-07-22,38.95,39.65,38.25,39.54,24.15,3996700
2011-07-25,38.81,39.29,38.22,38.31,23.4,3420900
2011-07-26,38.29,39.31,38.16,38.94,23.79,3110900
2011-07-27,38.55,39.09,37.62,38.0,23.21,3987800
2011-07-28,38.0,38.45,37.12,37.55,22.94,3514800
2011-07-29,38.0,39.98,36.89,39.46,24.1,8271700
2011-08-01,40.96,41.93,38.41,40.33,24.63,6165400
2011-08-02,40.0,40.07,37.35,37.39,22.84,5618900
2011-08-03,37.61,38.04,35.05,37.29,22.78,10588700
2011-08-04,36.6,36.6,32.29,33.51,20.47,12484200
2011-08-05,34.22,35.15,30.18,33.11,20.22,9313700
2011-08-08,31.49,32.57,26.52,28.47,17.39,14254800
2011-08-09,29.41,31.85,29.09,31.84,19.45,12420900
2011-08-10,30.86,32.48,30.31,31.13,19.02,6956500
2011-08-11,31.34,34.74,31.27,34.02,20.78,6043100
2011-08-12,34.1,34.54,33.0,33.9,20.71,5040200
2011-08-15,34.16,35.02,33.49,33.94,20.85,4467900
2011-08-16,33.49,33.54,32.07,32.62,20.04,3897100
2011-08-17,32.94,33.38,31.36,31.91,19.61,4899400
2011-08-18,30.6,30.96,28.83,29.05,17.85,7548500
2011-08-19,28.67,29.5,27.92,27.98,17.19,5068500
2011-08-22,29.21,30.43,28.24,28.75,17.67,5459500
2011-08-23,29.08,30.31,28.47,29.85,18.34,4824400
