Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,24.88,25.38,24.88,25.28,16.64,576000
2000-01-03,25.12,25.53,23.88,25.19,16.58,2493200
2000-01-04,24.69,24.88,24.09,24.47,16.1,1527000
2000-01-05,24.56,25.0,24.12,24.94,16.41,1755400
2000-01-06,25.0,25.0,24.16,24.72,16.27,1663200
2000-01-07,24.62,25.5,24.53,25.41,16.72,2078400
2000-01-10,25.44,26.59,25.44,26.19,17.23,2877200
2000-01-11,26.66,26.94,25.28,25.34,16.68,2632600
2000-01-12,25.41,25.56,24.81,25.28,16.64,2691600
2000-01-13,25.12,25.84,24.91,25.62,16.86,2756200
2000-01-14,25.62,25.81,23.0,23.94,15.75,10037800
2000-01-18,23.41,24.06,23.41,23.97,15.77,4181000
2000-01-19,24.06,24.66,23.69,23.91,15.73,2492200
2000-01-20,23.81,23.81,22.5,23.13,15.22,2733400
2000-01-21,22.5,22.5,21.66,21.94,14.44,2467600
2000-01-24,22.06,22.25,20.53,20.62,13.57,2281400
2000-01-25,21.06,21.84,20.75,21.53,14.17,1846800
2000-01-26,21.84,22.56,21.38,22.5,14.81,2991200
2000-01-27,22.12,22.12,21.06,21.34,14.05,2234200
2000-01-28,21.22,21.38,20.69,20.81,13.7,1333400
2000-01-31,20.75,21.22,20.5,20.81,13.7,1602400
2000-02-01,20.81,21.66,20.72,21.06,13.86,1742400
2000-02-02,21.0,21.44,20.75,21.41,14.09,1183800
2000-02-03,21.47,21.47,20.5,20.66,13.59,2862400
2000-02-04,20.53,20.62,19.69,19.97,13.14,3182000
2000-02-07,19.97,19.97,18.47,18.66,12.28,3232600
2000-02-08,19.03,19.5,18.91,19.44,12.79,6074600
2000-02-09,19.5,19.53,18.44,18.97,12.48,3477400
2000-02-10,19.0,19.16,18.53,18.84,12.4,1630800
2000-02-11,18.97,19.0,18.41,18.47,12.15,1697400
2000-02-14,18.5,18.69,18.03,18.41,12.11,1433000
2000-02-15,18.28,19.16,18.19,18.97,12.48,2237400
2000-02-16,18.78,18.84,17.62,17.84,11.74,1616600
2000-02-17,18.16,18.22,17.0,17.16,11.29,3291000
2000-02-18,17.28,17.62,16.84,16.91,11.13,1854600
2000-02-22,17.0,17.53,16.66,17.5,11.52,2618800
2000-02-23,17.56,17.62,16.91,17.09,11.25,2976800
2000-02-24,16.97,17.0,15.81,16.22,10.67,3960800
2000-02-25,16.59,16.69,16.28,16.28,10.71,2091600
2000-02-28,16.81,17.81,16.69,17.62,11.6,3169800
2000-02-29,18.69,18.88,18.09,18.34,12.07,4292200
2000-03-01,19.19,19.22,17.91,18.16,11.95,3475000
2000-03-02,18.03,18.47,18.0,18.22,11.99,1482800
2000-03-03,18.22,18.66,18.06,18.06,11.89,1469800
2000-03-06,17.97,18.12,17.03,17.22,11.33,1874400
2000-03-07,16.88,17.16,16.5,16.5,10.86,2211800
2000-03-08,16.62,17.25,16.44,17.03,11.21,1747600
2000-03-09,16.91,17.25,16.69,17.09,11.25,2206200
2000-03-10,17.22,18.0,17.16,17.66,11.62,1836600
2000-03-13,17.25,17.69,16.84,17.41,11.45,1562600
2000-03-14,17.41,18.19,17.12,17.75,11.68,1639200
2000-03-15,17.62,20.0,17.62,19.66,12.94,4094600
2000-03-16,20.0,21.38,19.88,20.53,13.51,3160800
2000-03-17,19.75,20.81,19.75,20.03,13.18,2336600
2000-03-20,20.0,20.47,19.25,20.31,13.37,2537400
2000-03-21,20.34,21.44,20.34,21.03,13.84,1856400
2000-03-22,20.91,20.91,19.97,20.25,13.33,2506200
2000-03-23,20.38,20.38,19.62,19.91,13.1,1937400
2000-03-24,19.91,20.97,19.84,20.0,13.16,2256600
