Date,Open,High,Low,Close,Adj Close,Volume
2006-05-25,4.03,4.61,4.02,4.6,4.3,395343000
2006-05-26,4.63,4.67,4.41,4.49,4.2,103044000
2006-05-30,4.5,4.5,4.28,4.4,4.11,49898000
2006-05-31,4.43,4.54,4.43,4.49,4.2,30002000
2006-06-01,4.49,4.81,4.49,4.75,4.44,62344000
2006-06-02,4.85,4.87,4.68,4.7,4.39,37253000
2006-06-05,4.7,4.93,4.7,4.91,4.59,37188000
2006-06-06,5.0,5.06,4.78,4.83,4.51,49045000
2006-06-07,4.83,4.84,4.68,4.76,4.45,25013000
2006-06-08,4.76,4.77,4.55,4.77,4.46,34439000
2006-06-09,4.88,4.88,4.77,4.78,4.46,13372000
2006-06-12,4.8,4.82,4.63,4.7,4.38,14546000
2006-06-13,4.62,4.74,4.53,4.55,4.25,16716000
2006-06-14,4.49,4.55,4.44,4.51,4.21,15971000
2006-06-15,4.54,4.61,4.51,4.59,4.29,16500000
2006-06-16,4.55,4.6,4.5,4.5,4.2,12280000
2006-06-19,4.55,4.55,4.41,4.43,4.14,11509000
2006-06-20,4.47,4.5,4.35,4.4,4.11,23792000
2006-06-21,4.4,4.59,4.4,4.53,4.23,18063000
2006-06-22,4.64,4.7,4.59,4.66,4.35,13038000
2006-06-23,4.7,4.79,4.69,4.7,4.38,11612000
2006-06-26,4.7,4.75,4.64,4.75,4.44,8565000
2006-06-27,4.75,4.8,4.72,4.73,4.42,9826000
2006-06-28,4.68,4.74,4.65,4.7,4.39,8756000
2006-06-29,4.7,4.81,4.7,4.8,4.48,14470000
2006-06-30,4.76,4.8,4.66,4.8,4.48,25964000
2006-07-03,4.79,4.8,4.68,4.73,4.42,7029000
2006-07-05,4.74,4.78,4.67,4.76,4.45,13266000
2006-07-06,4.72,4.74,4.68,4.68,4.37,8097000
2006-07-07,4.68,4.68,4.57,4.61,4.31,8380000
2006-07-10,4.62,4.66,4.61,4.65,4.34,4978000
2006-07-11,4.65,4.65,4.53,4.64,4.33,8079000
2006-07-12,4.64,4.64,4.55,4.55,4.25,7672000
2006-07-13,4.52,4.52,4.43,4.47,4.18,16625000
2006-07-14,4.46,4.47,4.39,4.39,4.1,9663000
2006-07-17,4.39,4.42,4.38,4.4,4.11,6458000
2006-07-18,4.4,4.41,4.37,4.39,4.1,12483000
2006-07-19,4.39,4.55,4.38,4.53,4.23,15840000
2006-07-20,4.54,4.58,4.51,4.55,4.25,8829000
2006-07-21,4.55,4.55,4.48,4.53,4.23,8510000
2006-07-24,4.55,4.55,4.5,4.5,4.2,5017000
2006-07-25,4.52,4.64,4.52,4.61,4.3,6900000
