Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,22.44,22.75,22.44,22.62,7.43,28100
2000-01-03,22.62,22.88,22.44,22.5,7.39,28800
2000-01-04,22.44,22.62,22.38,22.62,7.43,38800
2000-01-05,22.5,22.88,22.38,22.38,7.35,62900
2000-01-06,22.38,23.0,22.38,22.75,7.47,29000
2000-01-07,22.62,23.0,22.62,22.94,7.53,17700
2000-01-10,22.94,22.94,22.69,22.75,7.47,20400
2000-01-11,22.75,22.75,22.44,22.5,7.39,35000
2000-01-12,22.44,22.56,22.44,22.5,7.39,18400
2000-01-13,22.44,22.56,22.44,22.5,7.39,17500
2000-01-14,22.44,22.75,22.31,22.44,7.37,36600
2000-01-18,22.56,23.0,22.56,23.0,7.55,33900
2000-01-19,23.12,23.38,23.12,23.25,7.64,56800
2000-01-20,22.5,22.75,22.25,22.25,7.49,64300
2000-01-21,22.38,22.44,22.12,22.44,7.56,10600
2000-01-24,22.25,22.38,22.06,22.12,7.45,24100
2000-01-25,22.06,22.38,22.06,22.25,7.49,15100
2000-01-26,22.12,22.44,22.06,22.06,7.43,17200
2000-01-27,22.25,22.25,22.0,22.06,7.43,24000
2000-01-28,22.19,22.38,22.0,22.06,7.43,20400
2000-01-31,22.25,22.38,22.12,22.12,7.45,13800
2000-02-01,22.38,22.38,22.0,22.19,7.47,47700
2000-02-02,22.25,22.25,22.0,22.12,7.45,26400
2000-02-03,22.19,22.31,22.0,22.19,7.47,26400
2000-02-04,22.06,22.19,22.0,22.06,7.43,28600
2000-02-07,22.06,22.31,22.06,22.25,7.49,27100
2000-02-08,22.38,22.44,22.12,22.25,7.49,22400
2000-02-09,22.25,22.25,22.12,22.25,7.49,20500
2000-02-10,22.19,22.44,22.19,22.31,7.52,21300
2000-02-11,22.31,22.38,22.25,22.38,7.54,24900
2000-02-14,22.25,22.38,22.19,22.31,7.52,24500
2000-02-15,22.31,22.5,22.25,22.5,7.58,76600
2000-02-16,22.5,22.56,22.06,22.44,7.56,85300
2000-02-17,22.44,22.44,22.38,22.44,7.56,17000
2000-02-18,22.44,22.5,22.38,22.38,7.54,20100
2000-02-22,22.19,22.25,22.06,22.19,7.47,21200
2000-02-23,22.19,22.38,22.12,22.38,7.54,10800
2000-02-24,22.31,22.38,22.25,22.25,7.49,42500
2000-02-25,22.31,22.38,22.0,22.19,7.47,30900
2000-02-28,22.31,22.44,22.25,22.38,7.54,18200
2000-02-29,22.31,22.88,22.31,22.81,7.68,39400
2000-03-01,22.5,22.62,22.25,22.5,7.58,20400
2000-03-02,22.38,22.88,22.31,22.5,7.58,44100
2000-03-03,22.5,22.62,22.38,22.5,7.58,27600
2000-03-06,22.5,22.62,22.5,22.62,7.62,42500
2000-03-07,22.5,22.62,22.0,22.12,7.45,98400
