Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,20.26,20.52,20.0,20.28,12.42,603400
2000-01-03,20.31,20.56,19.22,20.13,12.33,2923600
2000-01-04,20.5,20.56,18.67,18.69,11.44,3087400
2000-01-05,18.89,19.15,18.07,18.83,11.53,2150500
2000-01-06,18.54,18.85,17.89,18.33,11.23,2461900
2000-01-07,18.46,18.46,17.41,17.85,10.93,3445300
2000-01-10,18.33,19.41,18.22,19.15,11.73,4130500
2000-01-11,19.0,19.46,18.24,18.46,11.31,2642800
2000-01-12,18.7,20.3,18.52,19.94,12.21,4586100
2000-01-13,20.56,21.19,19.93,21.11,12.93,3752200
2000-01-14,21.41,21.56,19.7,19.76,12.1,9643600
2000-01-18,20.0,20.24,19.41,19.54,11.96,3206800
2000-01-19,19.81,20.44,19.56,19.98,12.24,1948600
2000-01-20,20.37,20.81,20.15,20.8,12.74,2058300
2000-01-21,20.83,20.83,19.52,19.63,12.02,3086700
2000-01-24,19.61,20.67,18.96,19.19,11.75,1301400
2000-01-25,19.28,20.0,18.76,20.0,12.25,1641100
2000-01-26,20.02,20.33,18.81,19.07,11.68,1444500
2000-01-27,19.2,20.06,18.11,18.41,11.27,2739100
2000-01-28,18.37,18.41,16.74,17.24,10.56,2898400
2000-01-31,17.22,18.63,16.67,18.63,11.41,2992200
2000-02-01,18.43,19.03,17.78,18.65,11.42,1821100
2000-02-02,18.74,19.41,18.24,19.04,11.66,1233400
2000-02-03,19.33,20.74,19.33,20.59,12.61,2885500
2000-02-04,20.3,20.78,19.85,20.1,12.31,3479500
2000-02-07,19.93,20.78,19.83,20.59,12.61,1066000
2000-02-08,20.89,22.19,20.72,21.04,12.89,2747800
2000-02-09,21.33,21.72,20.39,21.14,12.95,1632100
2000-02-10,21.31,22.22,21.14,22.11,13.54,1861600
2000-02-11,22.17,22.39,20.94,21.22,13.0,1783800
2000-02-14,21.17,22.58,21.11,21.89,13.4,1259500
2000-02-15,21.72,22.0,20.89,21.31,13.05,2114700
2000-02-16,21.78,22.22,21.33,21.39,13.1,1863000
2000-02-17,22.11,22.22,21.11,22.11,13.54,1273900
2000-02-18,22.06,22.08,20.89,21.17,12.96,1410900
2000-02-22,21.17,21.56,20.17,20.94,12.83,1429300
2000-02-23,20.83,22.56,20.83,21.97,13.46,1662700
2000-02-24,21.99,24.06,21.97,23.92,14.65,2621700
2000-02-25,24.22,24.58,22.69,22.69,13.9,1960600
2000-02-28,22.75,24.0,21.94,23.69,14.51,2289600
2000-02-29,24.56,28.25,24.56,27.75,16.99,5396800
2000-03-01,27.69,28.11,26.61,27.51,16.85,4497900
2000-03-02,27.72,29.11,26.28,27.47,16.82,3032500
2000-03-03,28.0,30.0,27.94,29.92,18.32,2674900
2000-03-06,30.11,33.33,30.0,31.17,19.09,2920500
2000-03-07,32.17,34.39,29.78,32.11,19.66,3088800
