Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,11.06,11.12,11.0,11.06,8.6,255600
2000-01-03,11.06,11.06,10.81,10.81,8.41,1356800
2000-01-04,10.81,10.88,10.44,10.5,8.16,1126600
2000-01-05,10.5,10.5,10.19,10.31,8.02,1278800
2000-01-06,10.31,10.44,10.31,10.31,8.02,2142800
2000-01-07,10.5,10.62,10.5,10.56,8.21,2784200
2000-01-10,10.56,10.62,10.5,10.56,8.21,964200
2000-01-11,10.56,10.75,10.56,10.69,8.31,1656400
2000-01-12,10.69,10.75,10.62,10.62,8.26,1719400
2000-01-13,10.69,10.94,10.69,10.81,8.41,947800
2000-01-14,10.81,10.88,10.69,10.69,8.31,739400
2000-01-18,10.62,10.62,10.44,10.44,8.12,802800
2000-01-19,10.44,10.94,10.44,10.62,8.26,1146000
2000-01-20,10.62,10.62,10.5,10.5,8.16,1032800
2000-01-21,10.5,10.69,10.5,10.56,8.21,1961400
2000-01-24,10.56,10.62,10.44,10.44,8.12,1661000
2000-01-25,10.44,10.5,10.12,10.19,7.92,2578600
2000-01-26,10.12,10.12,9.69,9.69,7.53,2074600
2000-01-27,9.69,9.88,9.56,9.81,7.63,1875800
2000-01-28,9.75,9.75,9.56,9.56,7.44,1590000
2000-01-31,9.56,9.56,9.44,9.44,7.34,1802800
2000-02-01,9.44,9.81,9.44,9.75,7.58,1504600
2000-02-02,9.75,9.81,9.69,9.75,7.58,955200
2000-02-03,9.75,10.0,9.69,9.81,7.63,1320200
2000-02-04,9.81,9.81,9.75,9.75,7.58,2108000
2000-02-07,9.75,9.88,9.75,9.81,7.63,760800
2000-02-08,9.81,10.06,9.81,9.94,7.73,1197000
2000-02-09,9.94,9.94,9.81,9.81,7.63,1901400
2000-02-10,9.81,9.88,9.44,9.62,7.48,1941800
2000-02-11,9.56,9.56,9.25,9.44,7.34,4416200
2000-02-14,9.44,9.88,9.44,9.88,7.68,2297400
2000-02-15,10.06,10.69,10.06,10.19,7.92,2778000
2000-02-16,10.19,10.19,9.94,10.06,7.97,2960800
2000-02-17,10.06,10.31,10.0,10.25,8.12,4666200
2000-02-18,10.25,10.5,10.12,10.19,8.07,2250000
2000-02-22,10.19,10.38,10.0,10.31,8.17,1162000
2000-02-23,10.31,10.5,10.19,10.25,8.12,5380600
2000-02-24,10.25,10.25,10.12,10.19,8.07,1238200
2000-02-25,10.19,10.31,10.0,10.06,7.97,1841200
2000-02-28,10.06,10.06,9.88,10.0,7.92,1085600
2000-02-29,9.88,9.88,9.69,9.81,7.77,2504000
2000-03-01,9.81,9.94,9.75,9.94,7.87,1148000
2000-03-02,9.94,9.94,9.75,9.81,7.77,1337200
2000-03-03,9.81,10.06,9.75,9.94,7.87,996200
2000-03-06,9.94,10.06,9.75,9.81,7.77,728000
2000-03-07,9.81,9.81,9.56,9.62,7.62,841600
2000-03-08,9.62,9.88,9.56,9.69,7.67,1077000
2000-03-09,9.69,10.0,9.69,10.0,7.92,1225400
2000-03-10,10.0,10.06,9.75,9.88,7.82,802600
2000-03-13,9.88,10.5,9.88,10.06,7.97,1546200
2000-03-14,10.19,10.5,10.19,10.31,8.17,1142200
2000-03-15,10.31,10.88,10.12,10.81,8.56,1365000
