Date,Open,High,Low,Close,Adj Close,Volume
2001-06-13,31.5,32.0,31.09,31.25,13.06,69567200.0
2001-06-14,31.0,31.0,29.5,30.15,12.6,31979800.0
2001-06-15,30.0,30.75,29.95,30.6,12.79,14369300.0
2001-06-18,30.06,30.6,30.06,30.32,12.67,4019800.0
2001-06-19,30.6,30.71,30.21,30.4,12.71,5690300.0
2001-06-20,30.4,30.59,30.18,30.3,12.67,3791600.0
2001-06-21,30.35,30.35,30.0,30.0,12.54,6027200.0
2001-06-22,30.0,30.02,29.76,30.0,12.54,4847700.0
2001-06-25,30.0,30.15,29.85,30.15,12.6,2420300.0
2001-06-26,30.0,30.08,29.81,30.04,12.56,3333300.0
2001-06-27,29.95,30.0,29.81,29.94,12.51,3182300.0
2001-06-28,29.98,30.44,29.97,30.41,12.71,2778100.0
2001-06-29,30.5,31.0,30.33,31.0,12.96,5777800.0
2001-07-02,30.7,30.7,30.42,30.47,12.74,3167600.0
2001-07-03,30.46,30.64,30.42,30.56,12.77,608700.0
2001-07-05,30.75,31.03,30.63,30.93,12.93,2085500.0
2001-07-06,30.98,30.98,30.5,30.65,12.81,945300.0
2001-07-09,30.6,30.74,30.25,30.38,12.7,2295300.0
2001-07-10,30.45,30.85,30.28,30.35,12.69,3301300.0
2001-07-11,30.36,30.36,30.0,30.3,12.67,2023000.0
2001-07-12,30.65,30.9,30.2,30.9,12.92,1912500.0
2001-07-13,30.9,30.98,30.46,30.73,12.84,995400.0
2001-07-16,30.73,31.01,30.65,30.71,12.84,1198100.0
2001-07-17,30.89,31.45,30.85,31.45,13.15,3792700.0
2001-07-18,31.45,31.5,30.8,31.49,13.16,5645100.0
2001-07-19,31.74,31.74,30.19,31.32,13.09,3326000.0
2001-07-20,31.25,31.34,31.01,31.2,13.04,1390900.0
2001-07-23,31.1,31.19,30.92,31.0,12.96,1756000.0
2001-07-24,31.18,31.19,30.9,31.07,12.99,1146500.0
2001-07-25,31.0,31.0,30.51,30.7,12.83,860600.0
2001-07-26,30.95,31.19,30.62,31.12,13.01,1901900.0
2001-07-27,31.2,31.2,30.81,30.91,12.92,1541800.0
2001-07-30,31.09,31.1,30.5,30.6,12.79,1233900.0
2001-07-31,30.5,31.16,30.5,30.95,12.94,2020200.0
2001-08-01,30.9,31.01,30.58,30.78,12.87,2302200.0
2001-08-02,30.7,31.17,30.65,30.95,12.94,2700000.0
2001-08-03,30.86,30.98,30.5,30.7,12.83,456800.0
2001-08-06,30.71,30.84,30.25,30.35,12.69,847600.0
2001-08-07,30.45,30.54,30.28,30.5,12.75,991400.0
2001-08-08,30.7,30.7,30.0,30.01,12.54,1517200.0
2001-08-09,30.05,30.37,30.0,30.37,12.69,752900.0
2001-08-10,30.25,31.12,30.15,30.8,12.87,1119700.0
2001-08-13,30.96,31.19,30.92,31.1,13.0,1749200.0
2001-08-14,31.2,31.25,31.0,31.1,13.0,1365300.0
2001-08-15,31.1,31.2,30.97,30.98,12.95,2106500.0
2001-08-16,30.98,31.27,30.95,31.15,13.02,1351200.0
2001-08-17,31.15,31.35,30.91,31.35,13.1,1164200.0
2001-08-20,31.39,31.76,31.27,31.72,13.26,2020900.0
2001-08-21,31.95,32.1,31.75,32.08,13.41,2699600.0
2001-08-22,32.8,33.01,32.42,32.9,13.75,3184700.0
2001-08-23,32.89,32.94,32.57,32.89,13.75,2358900.0
2001-08-24,32.89,32.89,32.35,32.35,13.52,1173700.0
2001-08-27,32.0,32.47,32.0,32.3,13.5,866500.0
2001-08-28,32.5,32.58,31.75,31.9,13.33,965300.0
2001-08-29,31.9,32.29,31.58,32.29,13.5,1504200.0
2001-08-30,32.09,32.65,32.05,32.65,13.65,1569700.0
2001-08-31,32.65,32.98,32.19,32.25,13.48,1536500.0
2001-09-04,32.7,33.29,32.2,33.05,13.81,1841800.0
2001-09-05,33.0,33.35,32.87,33.35,13.94,1770400.0
2001-09-06,33.4,34.8,33.35,34.0,14.21,3816000.0
2001-09-07,33.5,34.2,33.44,34.0,14.21,2900700.0
