Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,36.81,37.19,36.38,36.44,26.83,697200
2000-01-03,33.0,35.25,32.75,34.25,25.21,9266900
2000-01-04,34.31,35.5,34.25,34.5,25.4,5109300
2000-01-05,35.0,36.94,34.62,36.62,26.99,5841200
2000-01-06,36.56,38.31,36.31,38.0,28.01,6130500
2000-01-07,39.75,43.0,39.31,42.25,31.14,11537600
2000-01-10,41.62,43.25,41.44,41.94,30.91,6966700
2000-01-11,41.56,43.06,41.44,42.12,31.05,4413700
2000-01-12,41.62,42.06,41.31,42.06,31.0,3243300
2000-01-13,42.0,44.12,41.94,43.5,32.06,5029300
2000-01-14,44.75,44.94,43.62,43.88,32.34,5759600
2000-01-18,44.5,44.88,43.88,44.38,32.71,5947800
2000-01-19,44.62,45.62,44.25,44.94,33.12,4288100
2000-01-20,45.75,46.12,44.0,44.0,32.43,6083200
2000-01-21,45.0,45.0,43.31,43.56,32.11,6105200
2000-01-24,44.25,44.94,42.38,43.06,31.74,5749800
2000-01-25,43.75,45.0,43.62,44.56,32.84,3742800
2000-01-26,44.75,46.31,44.5,46.12,34.0,6589300
2000-01-27,46.88,47.5,45.31,46.44,34.23,4539700
2000-01-28,46.19,46.19,44.31,44.81,33.03,3981200
2000-01-31,44.81,45.75,43.25,45.75,33.72,3717100
2000-02-01,45.5,46.5,44.97,46.38,34.18,2960700
2000-02-02,46.12,46.56,44.75,45.0,33.17,3099000
2000-02-03,45.38,45.81,44.0,45.75,33.72,3275900
2000-02-04,46.0,49.62,45.94,48.06,35.42,5717100
2000-02-07,47.88,49.25,47.5,49.25,36.3,4373700
2000-02-08,49.0,49.69,48.69,49.62,36.58,3328600
2000-02-09,49.5,49.69,48.75,48.88,36.02,3685400
2000-02-10,49.0,49.19,48.0,48.0,35.38,2088800
2000-02-11,48.75,48.75,45.0,46.0,33.9,6163300
2000-02-14,46.38,48.06,46.19,46.38,34.18,4625300
2000-02-15,46.62,46.62,44.88,45.44,33.49,4631000
2000-02-16,45.44,46.0,44.06,44.25,32.61,4768700
2000-02-17,46.25,47.25,46.19,46.56,34.32,5653400
2000-02-18,47.5,48.38,47.38,47.69,35.15,5579200
2000-02-22,48.0,49.88,47.69,49.19,36.25,4152000
2000-02-23,49.19,49.25,47.56,48.5,35.75,3148900
2000-02-24,49.0,49.94,48.12,49.5,36.48,6309100
2000-02-25,49.75,49.81,46.38,47.44,34.96,3017400
