Date,Open,High,Low,Close,Adj Close,Volume
2000-04-05,12.92,14.04,12.76,13.81,9.4,77084700
2000-04-06,13.7,14.15,13.59,13.87,9.43,17167700
2000-04-07,13.7,13.87,13.48,13.65,9.28,15131500
2000-04-10,13.76,13.81,13.59,13.76,9.36,6324900
2000-04-11,13.65,13.7,13.42,13.48,9.17,6087800
2000-04-12,13.59,14.93,13.48,14.43,9.81,12169800
2000-04-13,14.48,15.37,14.2,15.15,10.31,11922400
2000-04-14,15.1,15.15,14.09,14.15,9.62,10659300
2000-04-17,14.26,14.65,14.26,14.37,9.78,3951900
2000-04-18,14.43,14.54,13.81,14.37,9.78,6083900
2000-04-19,14.43,14.43,14.04,14.26,9.7,6001300
2000-04-20,14.04,14.2,13.7,13.76,9.36,7755200
2000-04-24,13.81,14.26,13.76,14.2,9.66,3494800
2000-04-25,14.2,14.43,14.15,14.26,9.7,8311100
2000-04-26,14.2,14.32,14.15,14.32,9.74,6666500
2000-04-27,14.2,14.26,13.81,14.2,9.66,2788000
2000-04-28,14.2,15.04,13.7,14.76,10.04,6977400
2000-05-01,15.26,16.04,15.04,16.04,10.91,6605300
2000-05-02,15.71,15.99,15.49,15.88,10.8,3514700
2000-05-03,15.82,15.88,15.37,15.6,10.61,2223500
2000-05-04,15.49,15.6,14.43,15.6,10.61,3848200
2000-05-05,15.37,15.88,15.21,15.65,10.65,2043700
2000-05-08,15.93,16.54,15.88,16.04,10.91,3250900
2000-05-09,16.21,16.38,14.93,15.26,10.38,4750800
2000-05-10,15.15,15.88,15.15,15.65,10.65,3684000
2000-05-11,15.71,16.32,15.49,16.04,10.91,3363000
2000-05-12,16.15,16.54,16.1,16.43,11.18,2162300
2000-05-15,16.93,17.16,16.6,16.88,11.48,3025800
2000-05-16,16.93,17.44,16.77,16.99,11.56,5590500
2000-05-17,16.99,17.55,16.38,16.99,11.56,1769600
2000-05-18,16.93,17.05,16.66,16.86,11.47,3207300
2000-05-19,16.49,16.49,15.93,16.21,11.03,4300100
2000-05-22,16.27,16.38,15.49,16.27,11.06,1921600
2000-05-23,16.27,16.93,16.27,16.82,11.44,2349300
2000-05-24,16.82,17.38,16.6,17.27,11.75,1765000
2000-05-25,17.21,17.27,16.71,17.1,11.63,1944000
2000-05-26,17.05,17.66,16.88,17.6,11.97,2967200
2000-05-30,17.77,17.94,17.38,17.71,12.05,3622900
2000-05-31,17.71,18.27,17.27,18.27,12.43,3982600
2000-06-01,18.22,18.27,17.77,17.83,12.12,3229500
2000-06-02,18.72,18.77,18.16,18.72,12.73,3866500
2000-06-05,18.27,18.61,18.16,18.33,12.47,2666200
2000-06-06,18.61,18.61,18.16,18.22,12.39,3314200
2000-06-07,18.27,18.44,18.1,18.44,12.54,1034900
2000-06-08,18.33,18.38,18.05,18.22,12.39,1083000
2000-06-09,18.27,18.72,18.27,18.72,12.73,1342800
2000-06-12,18.49,18.55,17.55,18.22,12.39,1203400
2000-06-13,18.44,18.55,17.99,18.55,12.62,1093800
2000-06-14,18.33,18.38,17.66,17.83,12.12,2592200
2000-06-15,17.83,18.05,17.71,17.83,12.12,2809900
2000-06-16,17.99,18.05,17.6,17.88,12.16,3592700
2000-06-19,17.83,17.94,17.6,17.83,12.12,1431100
2000-06-20,17.71,17.88,16.54,16.77,11.4,3278500
2000-06-21,16.77,17.05,16.15,16.49,11.22,2741600
2000-06-22,16.66,17.38,16.49,17.1,11.63,2202800
2000-06-23,16.93,17.38,16.71,17.21,11.71,2425300
2000-06-26,17.83,17.94,17.05,17.1,11.63,1898000
2000-06-27,17.32,18.27,17.1,17.71,12.05,2291400
2000-06-28,18.05,18.22,17.27,17.49,11.9,3952600
2000-06-29,17.71,19.22,17.49,19.0,12.92,5514200
2000-06-30,19.39,19.55,16.93,18.69,12.71,4954000
2000-07-03,18.49,19.16,18.44,19.05,12.96,922200
2000-07-05,18.94,18.94,18.27,18.83,12.81,2297800
2000-07-06,18.38,19.61,18.33,19.5,13.26,1764100
2000-07-07,19.39,19.66,19.33,19.5,13.26,1672300
2000-07-10,19.39,19.5,19.11,19.11,13.0,923000
2000-07-11,19.0,19.05,18.27,18.55,12.62,1630800
2000-07-12,18.49,18.61,17.88,18.22,12.39,2226300
2000-07-13,18.22,18.22,17.66,17.66,12.01,2124300
2000-07-14,17.66,18.83,17.66,18.61,12.66,1449000
2000-07-17,18.49,18.49,17.99,18.1,12.31,626400
2000-07-18,17.88,18.22,17.88,18.16,12.35,2688600
2000-07-19,18.22,18.55,17.94,18.22,12.39,1516800
2000-07-20,18.33,18.88,18.33,18.33,12.47,2468100
2000-07-21,18.49,18.72,18.33,18.49,12.58,890300
2000-07-24,18.1,18.27,17.83,18.27,12.43,860000
2000-07-25,18.16,18.88,18.05,18.72,12.73,1466700
2000-07-26,18.72,18.94,18.44,18.55,12.62,1390900
2000-07-27,18.55,18.94,18.05,18.22,12.39,1563100
2000-07-28,17.88,18.22,17.83,18.1,12.31,911900
2000-07-31,18.27,18.83,17.99,18.72,12.73,2730000
2000-08-01,18.66,18.94,18.49,18.83,12.81,2287500
2000-08-02,18.72,18.83,18.44,18.61,12.66,1530700
2000-08-03,18.61,18.66,17.66,17.94,12.2,3767700
2000-08-04,17.94,18.1,17.27,18.1,12.31,4718200
2000-08-07,18.44,19.94,18.38,19.94,13.56,4259500
2000-08-08,21.28,21.72,20.72,20.78,14.13,11405100
2000-08-09,20.72,21.17,20.16,20.28,13.79,3920700
2000-08-10,20.5,21.39,20.28,20.5,13.94,4870800
2000-08-11,21.39,21.61,20.89,21.39,14.55,2556300
2000-08-14,21.39,21.5,20.5,20.5,13.94,1473900
2000-08-15,21.33,21.45,21.0,21.22,14.44,1746600
2000-08-16,21.33,21.39,20.67,20.94,14.25,907100
2000-08-17,21.28,21.5,20.94,21.33,14.51,1054000
2000-08-18,21.0,21.45,20.94,21.33,14.51,1191200
2000-08-21,21.22,21.45,20.61,20.94,14.25,1030600
2000-08-22,21.28,21.56,20.83,21.39,14.55,2063400
2000-08-23,21.17,22.28,21.11,22.23,15.12,1526500
2000-08-24,22.17,22.39,21.5,21.61,14.7,1665000
2000-08-25,21.67,21.67,21.0,21.06,14.32,808500
2000-08-28,20.94,21.17,20.83,20.94,14.25,1019600
2000-08-29,21.06,21.61,20.94,21.39,14.55,1391500
2000-08-30,21.39,22.17,21.33,22.11,15.04,2070800
2000-08-31,22.11,22.23,21.56,21.67,14.74,1320300
2000-09-01,21.84,22.45,21.39,22.17,15.08,1860900
2000-09-05,21.72,22.23,21.17,21.61,14.7,2147100
2000-09-06,21.84,22.06,21.78,21.84,14.85,1396800
2000-09-07,22.06,22.23,21.72,21.95,14.93,1563900
2000-09-08,22.0,22.56,21.89,22.34,15.19,480200
2000-09-11,22.5,22.67,21.61,22.11,15.04,1712900
2000-09-12,22.23,22.23,21.28,21.95,14.93,2205400
2000-09-13,21.95,23.12,21.61,22.73,15.46,2722700
2000-09-14,22.5,22.5,21.89,22.28,15.16,2049600
2000-09-15,22.23,22.28,21.78,21.89,14.89,1037400
2000-09-18,22.06,22.11,21.39,21.61,14.7,1522800
2000-09-19,21.72,22.23,21.22,22.0,14.97,1538300
2000-09-20,22.11,22.28,20.83,21.61,14.7,2333800
2000-09-21,21.56,21.56,21.11,21.45,14.59,2179100
2000-09-22,21.28,22.23,21.17,22.06,15.0,1059100
2000-09-25,22.67,22.89,21.89,21.89,14.89,2600200
2000-09-26,22.17,22.62,22.06,22.56,15.35,1434900
2000-09-27,22.78,23.84,22.28,23.51,15.99,4230600
2000-09-28,23.62,24.62,23.51,24.23,16.48,2183800
2000-09-29,24.06,24.4,23.34,23.4,15.91,1592900
2000-10-02,22.73,23.84,22.39,23.51,15.99,1869000
2000-10-03,23.51,23.67,22.73,22.73,15.46,1330000
2000-10-04,22.84,22.89,22.06,22.17,15.08,1667500
2000-10-05,22.0,23.56,21.95,23.34,15.88,2497100
2000-10-06,23.79,23.84,22.28,23.34,15.88,1627400
2000-10-09,23.28,23.62,22.95,23.17,15.76,509600
2000-10-10,23.06,23.23,22.45,22.84,15.53,1102500
2000-10-11,22.78,23.12,22.45,22.5,15.31,1513900
2000-10-12,22.73,22.78,21.5,21.56,14.66,2412400
2000-10-13,21.72,22.28,21.67,22.28,15.16,1938400
2000-10-16,22.62,23.17,22.17,22.62,15.38,1382400
2000-10-17,22.73,23.17,22.67,22.95,15.61,766200
2000-10-18,22.73,22.95,21.72,22.95,15.61,3413900
2000-10-19,22.84,23.17,22.11,22.17,15.08,2254200
2000-10-20,22.06,22.34,21.39,21.5,14.63,1463700
2000-10-23,21.39,21.56,20.83,21.17,14.4,2250600
2000-10-24,21.06,22.06,21.0,21.84,14.85,1500300
2000-10-25,21.78,23.12,21.72,22.06,15.0,1622200
2000-10-26,22.28,22.56,21.39,21.61,14.7,1796700
2000-10-27,21.84,22.28,21.84,22.11,15.04,1206100
2000-10-30,22.28,24.29,22.28,23.73,16.14,3110200
2000-10-31,24.06,24.84,23.56,24.62,16.75,3206900
2000-11-01,24.45,25.85,24.45,25.4,17.28,2791500
2000-11-02,25.07,25.85,24.29,24.62,16.75,3525900
2000-11-03,24.51,24.68,23.4,23.51,16.11,6294900
2000-11-06,23.06,23.56,23.01,23.23,15.92,1890200
2000-11-07,23.23,24.9,23.17,24.18,16.56,3283000
2000-11-08,24.29,25.57,24.23,24.84,17.02,1410400
2000-11-09,24.96,26.57,24.96,26.46,18.13,2307800
2000-11-10,26.29,27.07,25.96,26.63,18.24,2279700
2000-11-13,26.4,26.4,25.23,25.4,17.4,2480600
2000-11-14,25.51,26.18,25.01,25.12,17.21,2156200
2000-11-15,24.96,26.96,24.96,26.63,18.24,4754300
2000-11-16,26.63,27.35,26.35,27.35,18.74,3016400
2000-11-17,27.35,27.57,26.63,26.68,18.28,1945200
2000-11-20,26.68,26.68,25.4,25.9,17.75,1422200
2000-11-21,25.4,25.57,24.96,25.07,17.17,984800
2000-11-22,24.73,25.01,23.51,23.9,16.37,1989700
2000-11-24,24.12,24.9,24.06,24.9,17.06,745000
2000-11-27,25.12,25.96,25.12,25.46,17.44,1342100
2000-11-28,25.29,25.85,24.96,25.01,17.14,1968300
2000-11-29,25.01,25.29,24.57,24.84,17.02,1386400
2000-11-30,26.91,27.18,26.29,26.4,18.09,11023500
2000-12-01,27.3,27.3,26.24,26.57,18.21,6547600
2000-12-04,27.41,28.41,26.91,28.35,19.43,7270100
2000-12-05,28.74,28.85,27.68,28.63,19.62,6787500
2000-12-06,28.46,29.69,28.3,29.58,20.27,8015400
2000-12-07,29.91,30.86,29.8,30.64,20.99,12732200
2000-12-08,30.08,32.53,28.74,32.53,22.29,82177100
2000-12-11,31.65,31.7,30.58,31.42,21.53,19579400
2000-12-12,30.8,31.36,30.53,31.03,21.26,6208900
2000-12-13,31.03,31.08,29.86,30.02,20.57,5320400
2000-12-14,29.69,30.64,29.52,30.3,20.76,4205400
2000-12-15,30.75,31.31,30.3,31.19,21.37,6801100
2000-12-18,30.53,31.81,30.53,31.31,21.45,2761900
2000-12-19,30.86,31.19,29.91,30.19,20.69,4417700
2000-12-20,30.3,30.47,29.69,29.8,20.42,3256700
2000-12-21,28.63,29.63,28.63,29.3,20.08,4488500
2000-12-22,29.41,30.25,29.13,30.25,20.72,2327300
2000-12-26,30.3,30.58,29.86,30.19,20.69,1887800
2000-12-27,30.19,30.75,30.14,30.53,20.92,1299200
2000-12-28,30.86,31.58,30.8,31.31,21.45,1239400
2000-12-29,31.75,31.97,31.19,31.19,21.37,848400
2001-01-02,31.25,31.31,30.14,30.3,20.76,2783300
2001-01-03,30.53,32.64,30.53,31.08,21.3,3738100
2001-01-04,31.08,31.19,27.96,29.08,19.92,5671700
2001-01-05,29.75,29.86,27.91,28.13,19.27,3510600
2001-01-08,28.13,29.63,28.13,29.3,20.08,2685800
2001-01-09,29.86,30.64,29.75,30.19,20.69,3772500
2001-01-10,30.08,30.14,29.3,29.69,20.34,2963400
2001-01-11,30.19,30.19,28.8,28.97,19.85,3961800
2001-01-12,29.02,29.13,27.13,27.63,18.93,3873100
2001-01-16,26.96,28.3,26.96,27.57,18.89,3011500
2001-01-17,27.8,28.07,27.63,27.8,19.04,1760500
2001-01-18,28.13,28.91,27.41,28.13,19.27,2401700
2001-01-19,28.13,28.24,27.46,27.68,18.97,2499500
2001-01-22,28.19,29.41,27.96,29.24,20.04,11278400
2001-01-23,29.41,29.8,28.8,29.36,20.11,1604900
2001-01-24,29.63,30.25,29.24,30.02,20.57,1356000
2001-01-25,30.25,30.3,29.3,29.69,20.34,1375400
2001-01-26,29.86,29.91,28.91,29.3,20.08,1696400
2001-01-29,29.3,29.86,29.16,29.56,20.26,1600800
2001-01-30,29.19,30.12,29.02,29.85,20.45,998100
2001-01-31,29.77,29.77,29.14,29.25,20.04,2941800
2001-02-01,29.27,29.86,29.25,29.86,20.46,1894400
2001-02-02,30.08,30.17,29.41,29.77,20.4,1847500
2001-02-05,29.99,30.08,29.23,30.08,20.61,1092400
2001-02-06,30.08,30.08,28.52,29.14,19.96,1287400
2001-02-07,29.14,30.03,29.14,29.92,20.5,1010100
2001-02-08,29.5,29.71,28.79,28.97,19.85,1049600
2001-02-09,29.41,29.5,28.52,28.92,19.82,1924000
2001-02-12,28.7,29.63,28.07,29.51,20.22,1849300
2001-02-13,29.41,29.95,28.7,28.81,19.74,1893200
2001-02-14,29.23,29.41,28.79,28.97,19.85,1256700
2001-02-15,28.61,28.83,27.9,28.07,19.24,3758800
