Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,12.78,12.8,12.53,12.58,11.96,609600
2000-01-03,12.58,12.58,11.8,11.81,11.23,1022000
2000-01-04,11.81,11.92,11.56,11.7,11.13,408000
2000-01-05,11.69,11.69,11.44,11.52,10.95,501600
2000-01-06,11.31,12.0,11.2,11.94,11.35,1341200
2000-01-07,11.94,12.09,11.81,11.81,11.23,462400
2000-01-10,11.84,12.19,11.5,12.08,11.49,628400
2000-01-11,12.09,12.09,11.45,11.47,10.91,589200
2000-01-12,11.48,11.81,11.19,11.69,11.11,1372400
2000-01-13,11.72,11.73,11.39,11.41,10.85,617200
2000-01-14,11.47,11.66,11.38,11.53,10.97,336000
2000-01-18,11.59,11.69,11.41,11.53,10.97,389200
2000-01-19,11.47,11.91,11.44,11.89,11.31,1111600
2000-01-20,12.19,12.39,11.84,11.86,11.28,2196000
2000-01-21,11.62,11.62,11.19,11.52,10.95,1934400
2000-01-24,11.56,11.64,10.91,10.95,10.42,747200
2000-01-25,10.95,10.95,10.73,10.88,10.34,1441600
2000-01-26,10.98,10.98,10.75,10.78,10.25,774400
2000-01-27,10.77,10.83,10.34,10.48,9.97,2037600
2000-01-28,10.47,10.66,10.34,10.39,9.88,1698000
2000-01-31,10.42,10.52,10.31,10.34,9.84,1092400
2000-02-01,10.56,10.86,10.53,10.72,10.19,1658400
2000-02-02,10.66,10.86,10.58,10.62,10.1,1158400
2000-02-03,10.69,10.73,10.52,10.53,10.01,334000
2000-02-04,10.64,11.08,10.64,11.08,10.53,1130400
2000-02-07,11.03,11.03,10.59,10.64,10.12,634800
2000-02-08,10.72,10.94,10.69,10.7,10.2,682000
2000-02-09,10.77,10.81,10.56,10.59,10.1,442400
2000-02-10,10.64,10.67,10.5,10.66,10.16,189200
2000-02-11,10.67,10.75,10.55,10.55,10.05,327200
2000-02-14,10.59,10.72,10.5,10.53,10.04,355600
2000-02-15,10.53,10.61,10.38,10.55,10.05,1303200
2000-02-16,10.5,10.61,10.44,10.5,10.01,748400
2000-02-17,10.47,10.92,10.47,10.81,10.31,474000
2000-02-18,10.81,10.81,10.45,10.55,10.05,1572400
2000-02-22,10.53,10.53,10.03,10.09,9.62,535600
2000-02-23,9.78,10.52,9.62,10.45,9.96,3434800
2000-02-24,10.52,10.53,9.69,10.36,9.87,2983600
2000-02-25,10.3,10.3,9.75,9.8,9.34,1814400
2000-02-28,9.91,10.25,9.66,10.09,9.62,732000
2000-02-29,10.09,10.25,9.78,9.94,9.47,567000
2000-03-01,9.88,9.91,9.31,9.5,9.06,944600
2000-03-02,9.25,9.59,9.22,9.5,9.06,1161000
2000-03-03,9.75,9.81,9.38,9.5,9.06,379400
2000-03-06,10.25,10.34,9.62,9.75,9.29,1616600
2000-03-07,9.88,9.88,9.5,9.81,9.35,1732000
2000-03-08,9.88,9.88,9.41,9.62,9.17,899000
2000-03-09,9.62,10.12,9.5,10.06,9.59,1402400
2000-03-10,10.0,10.19,9.84,10.09,9.62,943000
2000-03-13,10.03,10.03,9.62,9.75,9.29,928600
2000-03-14,9.72,9.75,9.44,9.5,9.06,897600
2000-03-15,9.62,10.19,9.56,10.09,9.62,1759800
2000-03-16,10.19,11.25,10.06,11.25,10.72,1802200
2000-03-17,11.12,11.31,10.66,10.78,10.28,1575400
2000-03-20,10.81,11.31,10.41,11.25,10.72,1077400
2000-03-21,11.31,11.31,11.03,11.16,10.63,610000
2000-03-22,11.19,11.34,10.81,11.16,10.63,622400
2000-03-23,11.0,11.03,10.5,10.5,10.01,888000
2000-03-24,10.56,10.56,10.38,10.5,10.01,770200
2000-03-27,10.5,10.5,10.12,10.25,9.77,1865000
2000-03-28,10.12,11.06,10.0,10.97,10.45,3282400
2000-03-29,12.0,12.06,11.41,11.59,11.05,3946400
2000-03-30,11.44,11.5,11.03,11.47,10.93,1691600
2000-03-31,11.5,12.5,11.5,12.0,11.44,3503200
2000-04-03,12.25,12.25,11.88,12.0,11.44,558400
2000-04-04,11.94,12.0,11.5,11.97,11.41,1967400
2000-04-05,11.84,12.38,11.69,12.38,11.8,3566600
2000-04-06,12.31,12.81,12.19,12.69,12.09,1049400
2000-04-07,12.97,13.62,12.88,13.53,12.9,2839400
2000-04-10,13.53,14.22,13.53,14.22,13.55,2741200
2000-04-11,14.31,14.56,14.06,14.34,13.66,2704400
2000-04-12,14.5,14.88,14.12,14.81,14.12,1919000
2000-04-13,14.75,14.75,14.19,14.62,13.94,887800
2000-04-14,14.0,14.0,13.5,13.5,12.87,1673000
2000-04-17,13.5,13.5,12.97,13.09,12.48,2434200
2000-04-18,13.03,14.44,13.03,13.47,12.84,2440800
2000-04-19,13.5,14.06,13.5,13.75,13.11,1065000
2000-04-20,13.75,14.12,13.69,14.12,13.46,1278800
2000-04-24,14.12,14.12,13.62,13.81,13.17,237200
2000-04-25,13.97,14.5,13.94,14.47,13.79,803800
2000-04-26,14.75,14.81,14.19,14.31,13.64,1025200
2000-04-27,14.19,14.19,13.94,14.09,13.43,637200
2000-04-28,14.62,14.97,14.41,14.75,14.06,967800
2000-05-01,14.88,14.97,14.69,14.75,14.06,325800
2000-05-02,14.78,14.97,14.5,14.5,13.82,630400
2000-05-03,14.44,14.44,14.19,14.28,13.61,722800
2000-05-04,14.41,14.84,14.41,14.56,13.88,458000
2000-05-05,14.47,15.25,14.47,14.94,14.24,1306600
2000-05-08,15.0,15.62,15.0,15.5,14.77,2259400
2000-05-09,15.47,15.97,15.47,15.88,15.13,1752000
2000-05-10,15.91,16.19,15.78,15.97,15.22,1425400
2000-05-11,15.97,16.56,15.97,16.56,15.79,3340400
2000-05-12,16.62,17.28,16.62,17.19,16.38,2871200
2000-05-15,17.25,17.62,17.0,17.28,16.47,3009000
2000-05-16,17.19,17.31,16.72,16.88,16.08,2731600
2000-05-17,16.88,17.0,16.62,16.78,16.0,2182000
2000-05-18,16.5,16.66,16.0,16.62,15.85,3014000
2000-05-19,16.62,17.0,16.62,16.84,16.05,2378200
2000-05-22,16.84,16.84,16.5,16.56,15.79,1350600
2000-05-23,16.56,16.72,16.44,16.5,15.73,840000
2000-05-24,16.53,16.53,16.31,16.53,15.76,1275400
2000-05-25,16.44,16.47,16.25,16.44,15.67,1253200
2000-05-26,16.47,16.66,16.44,16.66,15.88,981400
2000-05-30,16.66,16.97,16.66,16.91,16.11,785600
2000-05-31,16.5,16.62,15.94,16.25,15.49,3793800
2000-06-01,16.41,16.69,16.19,16.66,15.88,818600
2000-06-02,16.94,16.94,16.59,16.75,15.97,944200
2000-06-05,16.69,16.69,16.38,16.5,15.73,835400
2000-06-06,16.31,16.59,16.16,16.22,15.46,648200
2000-06-07,16.25,16.44,16.12,16.41,15.64,1010800
2000-06-08,16.38,16.38,15.97,16.22,15.46,983800
2000-06-09,16.41,16.75,16.31,16.41,15.64,1088800
2000-06-12,16.5,16.75,16.31,16.56,15.79,749800
2000-06-13,16.5,16.72,16.38,16.72,15.94,340200
2000-06-14,16.66,17.0,16.62,17.0,16.2,1290800
2000-06-15,17.0,17.28,17.0,17.09,16.29,1017800
2000-06-16,17.22,17.22,17.06,17.16,16.35,451800
2000-06-19,17.09,17.09,16.75,16.75,15.97,426800
2000-06-20,16.62,16.62,16.19,16.31,15.55,440800
2000-06-21,16.19,16.19,15.84,15.97,15.22,1157200
2000-06-22,16.06,16.16,15.94,16.06,15.31,699200
2000-06-23,16.12,16.12,15.78,15.84,15.1,690000
2000-06-26,15.94,16.09,15.84,16.09,15.34,477000
2000-06-27,16.09,16.59,16.09,16.34,15.58,462800
2000-06-28,16.47,16.5,16.28,16.5,15.73,272200
2000-06-29,16.44,16.81,16.41,16.66,15.88,637200
2000-06-30,16.69,16.81,16.06,16.07,15.32,1294200
2000-07-03,16.06,16.5,16.06,16.5,15.73,278000
2000-07-05,16.62,16.81,16.59,16.81,16.03,412200
2000-07-06,16.88,17.0,16.81,17.0,16.2,1311000
2000-07-07,17.12,17.25,17.0,17.03,16.23,815000
2000-07-10,17.06,17.31,17.0,17.19,16.38,529800
2000-07-11,17.19,17.47,17.12,17.38,16.56,824400
2000-07-12,17.38,17.38,17.16,17.31,16.5,851400
2000-07-13,17.41,17.41,17.22,17.25,16.44,1023200
2000-07-14,17.25,17.25,17.0,17.25,16.44,554800
2000-07-17,17.16,17.47,17.03,17.44,16.62,472200
2000-07-18,17.47,17.5,17.19,17.38,16.56,1195800
2000-07-19,17.5,17.56,17.31,17.31,16.5,1650200
2000-07-20,17.44,18.31,17.38,17.88,17.04,2053400
2000-07-21,18.06,18.22,17.91,17.97,17.13,1099400
2000-07-24,18.0,18.03,17.84,17.94,17.1,1364200
2000-07-25,18.0,18.12,17.88,17.97,17.13,326200
2000-07-26,17.88,17.97,17.75,17.97,17.13,371800
2000-07-27,18.0,18.25,17.78,17.91,17.07,2244600
2000-07-28,17.66,17.84,17.25,17.41,16.59,882600
2000-07-31,17.53,17.97,17.34,17.97,17.13,892600
2000-08-01,17.97,18.12,17.5,17.78,16.95,1862800
2000-08-02,17.69,17.81,17.5,17.72,16.89,548800
2000-08-03,17.72,17.72,17.44,17.66,16.83,421200
2000-08-04,17.41,17.59,17.38,17.56,16.74,1341400
2000-08-07,17.56,17.56,17.38,17.38,16.56,850800
2000-08-08,17.38,17.5,17.31,17.38,16.56,1404400
2000-08-09,17.41,17.47,17.12,17.41,16.59,417200
