Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,14.84,15.0,14.84,14.88,9.82,108800
2000-01-03,15.0,15.0,13.69,13.97,9.22,416400
2000-01-04,13.94,14.19,13.78,14.16,9.34,129800
2000-01-05,14.03,14.34,13.91,14.28,9.42,229600
2000-01-06,14.16,14.22,13.66,14.09,9.3,150800
2000-01-07,14.03,14.16,13.94,14.03,9.26,80800
2000-01-10,13.91,13.91,13.38,13.41,8.85,228200
2000-01-11,13.44,13.69,13.28,13.31,8.78,324200
2000-01-12,13.19,13.38,12.56,13.31,8.78,413200
2000-01-13,13.44,14.19,13.44,13.62,8.99,519800
2000-01-14,13.69,14.06,13.69,13.75,9.07,497600
2000-01-18,13.75,13.81,13.0,13.0,8.58,510200
2000-01-19,13.0,13.09,12.38,12.72,8.39,480200
2000-01-20,12.69,12.72,12.5,12.56,8.29,221800
2000-01-21,12.69,12.72,12.28,12.5,8.25,267400
2000-01-24,12.44,12.53,11.91,12.06,7.96,419400
2000-01-25,12.12,12.31,11.88,12.03,7.94,408200
2000-01-26,12.12,12.94,12.12,12.31,8.12,823600
2000-01-27,12.69,13.12,12.59,12.69,8.37,389600
2000-01-28,12.62,13.0,12.38,12.94,8.54,369000
2000-01-31,12.88,13.34,12.88,13.22,8.72,239800
2000-02-01,13.25,13.25,12.72,13.09,8.64,213200
2000-02-02,13.0,13.03,12.16,12.38,8.17,313400
2000-02-03,12.62,13.12,12.56,13.0,8.58,545200
2000-02-04,13.19,13.75,13.0,13.62,8.99,520800
2000-02-07,13.53,13.53,13.06,13.22,8.72,308800
2000-02-08,13.19,13.69,13.19,13.5,8.91,248600
2000-02-09,13.41,13.53,13.34,13.53,8.93,194800
2000-02-10,13.53,13.75,13.5,13.56,8.95,280600
2000-02-11,13.62,13.81,13.53,13.56,8.95,411800
2000-02-14,13.53,13.59,13.47,13.53,8.93,212400
2000-02-15,13.5,14.03,13.5,14.03,9.26,380800
2000-02-16,13.91,13.94,13.69,13.75,9.07,362600
2000-02-17,13.72,13.81,13.62,13.66,9.01,212000
2000-02-18,13.56,13.81,13.56,13.75,9.07,772400
2000-02-22,13.5,13.81,13.5,13.72,9.05,124200
2000-02-23,13.72,14.03,13.69,14.03,9.26,239000
2000-02-24,13.78,13.78,13.16,13.28,8.76,318400
2000-02-25,13.16,13.25,13.09,13.16,8.68,88200
2000-02-28,13.12,13.38,12.78,13.22,8.72,189400
2000-02-29,13.28,13.69,13.16,13.69,9.03,300200
2000-03-01,13.62,13.72,13.41,13.72,9.05,235200
2000-03-02,13.66,13.72,13.31,13.34,8.81,284000
2000-03-03,13.41,13.5,13.16,13.22,8.72,112600
2000-03-06,13.09,13.12,12.62,12.88,8.5,198400
2000-03-07,12.91,12.91,12.48,12.81,8.45,312400
2000-03-08,12.69,13.25,12.44,13.12,8.66,259200
2000-03-09,13.09,13.34,13.09,13.34,8.81,138000
2000-03-10,13.28,13.47,13.19,13.22,8.72,283200
2000-03-13,13.16,13.16,12.72,12.84,8.48,361600
2000-03-14,13.0,13.38,12.84,13.09,8.64,877000
2000-03-15,13.09,15.19,12.94,15.16,10.0,1048000
2000-03-16,14.94,15.5,14.69,15.44,10.19,1524800
2000-03-17,14.88,15.5,14.19,15.09,9.96,810800
2000-03-20,15.09,15.75,15.09,15.22,10.04,614400
2000-03-21,15.19,16.12,15.12,15.88,10.48,674800
2000-03-22,15.88,16.31,15.88,15.97,10.54,667400
2000-03-23,15.97,15.97,15.25,15.47,10.21,223400
2000-03-24,15.41,15.41,14.75,14.88,9.82,483600
2000-03-27,15.0,15.06,14.41,14.56,9.61,348800
2000-03-28,14.62,14.84,14.5,14.75,9.73,838000
2000-03-29,14.69,15.47,14.69,15.38,10.21,743800
2000-03-30,15.25,15.78,15.25,15.62,10.38,496800
2000-03-31,15.75,16.12,15.72,16.12,10.71,816000
2000-04-03,16.12,16.12,15.31,15.5,10.29,1111800
2000-04-04,15.5,15.62,15.0,15.62,10.38,1305600
2000-04-05,15.81,16.75,15.81,16.09,10.69,513400
2000-04-06,16.19,16.81,16.12,16.69,11.08,489200
2000-04-07,16.66,16.97,16.53,16.94,11.25,302400
2000-04-10,16.81,16.91,16.59,16.59,11.02,219200
2000-04-11,16.66,16.94,16.5,16.91,11.23,214200
2000-04-12,16.84,17.69,16.84,17.56,11.66,328200
2000-04-13,18.25,18.28,17.84,18.0,11.95,660600
2000-04-14,17.62,17.62,16.88,16.91,11.23,334200
2000-04-17,16.81,17.34,16.25,17.34,11.52,403600
2000-04-18,17.34,17.34,16.38,16.5,10.96,352600
2000-04-19,16.5,16.59,16.38,16.47,10.94,274800
2000-04-20,16.5,16.66,16.31,16.59,11.02,321400
2000-04-24,16.59,16.88,16.38,16.41,10.9,113400
2000-04-25,16.38,17.0,15.56,16.84,11.19,356000
2000-04-26,16.97,16.97,16.44,16.5,10.96,150000
2000-04-27,16.47,16.47,15.75,15.91,10.56,197200
2000-04-28,15.84,15.84,15.38,15.59,10.36,327600
2000-05-01,15.69,16.03,15.56,15.97,10.61,180000
2000-05-02,15.94,16.22,15.81,15.81,10.5,210600
2000-05-03,15.94,16.38,15.81,15.88,10.54,163400
2000-05-04,16.0,17.5,16.0,17.25,11.46,414600
2000-05-05,17.25,17.25,16.75,16.94,11.25,223800
2000-05-08,16.81,17.38,16.72,17.38,11.54,261200
2000-05-09,17.31,17.56,17.16,17.56,11.66,319800
2000-05-10,17.56,17.56,17.25,17.41,11.56,145600
2000-05-11,17.34,17.72,17.31,17.62,11.71,306000
2000-05-12,17.62,17.62,17.0,17.09,11.35,172800
2000-05-15,17.0,17.62,17.0,17.03,11.31,263800
2000-05-16,17.09,17.12,16.75,16.84,11.19,272600
2000-05-17,16.88,16.88,16.34,16.38,10.88,186000
2000-05-18,16.34,16.56,16.12,16.19,10.75,175200
2000-05-19,16.25,16.69,16.22,16.59,11.02,165800
2000-05-22,16.53,16.94,16.53,16.72,11.1,103400
2000-05-23,16.72,16.81,16.66,16.72,11.1,222400
2000-05-24,16.66,17.06,16.66,16.84,11.19,176800
2000-05-25,16.88,16.91,16.34,16.62,11.04,141200
2000-05-26,16.5,16.5,16.44,16.47,10.94,123200
2000-05-30,16.5,16.5,16.22,16.5,10.96,179400
