Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,40.5,41.31,40.5,41.0,31.06,102600
2000-01-03,41.12,41.31,40.25,40.5,30.68,147600
2000-01-04,40.25,40.5,39.25,39.94,30.26,145100
2000-01-05,39.94,42.5,39.94,42.0,31.82,429900
2000-01-06,42.06,45.38,41.62,45.12,34.19,481300
2000-01-07,44.88,48.38,44.44,47.0,35.61,464500
2000-01-10,47.5,48.06,46.19,46.31,35.08,238800
2000-01-11,46.56,47.38,45.25,45.88,34.75,188100
2000-01-12,45.88,47.75,45.88,47.44,35.94,337100
2000-01-13,47.75,49.62,47.75,49.38,37.41,363300
2000-01-14,49.44,50.0,46.5,47.19,35.75,172100
2000-01-18,47.06,47.94,45.75,46.69,35.37,194200
2000-01-19,46.94,47.19,45.81,46.38,35.13,117800
2000-01-20,46.38,46.38,44.06,44.25,33.52,174600
2000-01-21,44.62,44.94,43.62,43.88,33.24,74500
2000-01-24,44.25,44.94,43.25,44.88,34.0,125700
2000-01-25,43.75,44.31,42.62,42.94,32.53,128600
2000-01-26,43.19,44.56,42.38,43.25,32.76,265600
2000-01-27,43.31,44.06,42.31,43.75,33.14,189100
2000-01-28,43.81,44.69,42.75,44.0,33.33,261000
2000-01-31,43.88,43.88,41.69,42.0,31.82,153800
2000-02-01,42.12,42.62,41.81,42.12,31.91,190500
2000-02-02,42.31,43.5,42.31,43.38,32.86,191600
2000-02-03,43.38,44.5,43.12,44.38,33.62,191100
2000-02-04,44.19,44.75,43.0,43.81,33.19,168800
2000-02-07,43.56,43.75,43.0,43.38,32.86,70900
2000-02-08,43.56,43.75,42.0,42.0,31.82,134900
2000-02-09,42.5,42.5,40.88,41.0,31.06,120000
2000-02-10,41.0,41.0,39.5,40.0,30.3,159300
2000-02-11,40.12,40.38,39.38,39.62,30.02,97000
2000-02-14,39.38,39.56,38.31,39.0,29.55,141400
2000-02-15,39.12,40.25,38.69,39.5,29.92,175400
2000-02-16,39.75,40.62,39.31,39.5,29.92,121200
2000-02-17,39.38,40.0,39.12,39.81,30.16,138700
2000-02-18,39.56,39.75,38.38,38.62,29.26,102800
2000-02-22,38.69,38.69,38.0,38.56,29.21,184300
2000-02-23,38.44,38.44,37.5,38.0,28.79,222000
2000-02-24,37.94,37.94,35.88,36.56,27.7,590900
2000-02-25,36.56,37.75,36.19,36.69,27.79,157200
2000-02-28,36.25,36.88,35.81,36.75,27.94,122800
2000-02-29,36.62,37.75,35.5,35.5,26.99,273200
2000-03-01,35.56,37.0,35.56,36.62,27.84,160200
2000-03-02,37.5,38.44,36.69,36.81,27.99,257200
2000-03-03,37.0,37.69,36.88,37.44,28.46,363200
2000-03-06,37.44,37.5,37.06,37.06,28.18,84100
2000-03-07,37.12,37.31,36.5,37.12,28.22,107400
2000-03-08,37.12,39.12,37.12,38.56,29.32,156400
2000-03-09,38.56,39.06,38.12,38.69,29.41,128000
2000-03-10,38.56,40.25,38.56,39.75,30.22,70900
2000-03-13,39.5,40.12,38.94,39.31,29.89,87800
2000-03-14,38.88,39.19,37.0,37.69,28.65,153400
2000-03-15,37.69,43.5,37.69,42.69,32.45,246200
2000-03-16,42.94,49.12,42.94,47.56,36.16,463800
2000-03-17,47.0,47.38,44.94,45.69,34.73,200700
2000-03-20,45.81,48.5,45.81,47.0,35.73,216700
2000-03-21,47.25,47.62,46.0,46.0,34.97,179500
2000-03-22,46.38,46.5,45.0,45.25,34.4,193200
2000-03-23,45.75,47.44,45.62,46.62,35.45,298900
2000-03-24,46.56,47.12,44.81,45.56,34.64,206400
2000-03-27,45.31,46.62,44.94,45.5,34.59,137800
2000-03-28,45.62,46.44,44.88,45.38,34.5,135300
2000-03-29,44.88,45.5,43.88,45.06,34.26,235300
2000-03-30,45.19,46.81,44.62,45.0,34.21,202200
2000-03-31,45.38,47.5,45.38,47.5,36.11,240300
