Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,47.62,47.91,47.31,47.84,28.93,268200
2000-01-03,47.25,47.31,46.59,47.28,28.59,2166400
2000-01-04,47.0,47.72,44.38,45.16,27.31,4277200
2000-01-05,45.16,45.44,43.06,43.53,26.32,3737600
2000-01-06,44.0,46.38,43.25,46.22,28.09,1836400
2000-01-07,46.19,47.88,45.69,47.69,28.99,1594400
2000-01-10,47.81,48.34,46.81,47.88,29.1,2670000
2000-01-11,47.62,48.47,47.59,48.31,29.37,1653200
2000-01-12,48.5,48.69,47.25,47.91,29.12,2809000
2000-01-13,48.0,48.94,47.88,48.75,29.63,2752000
2000-01-14,49.0,52.38,49.0,51.94,31.57,2783600
2000-01-18,51.81,51.81,50.19,51.03,31.02,1629400
2000-01-19,50.91,52.19,50.88,51.44,31.27,2943400
2000-01-20,51.56,51.81,49.62,50.53,30.71,2499000
2000-01-21,51.5,51.5,50.03,50.75,30.85,2096600
2000-01-24,51.12,51.59,50.88,51.16,31.09,1509800
2000-01-25,51.03,51.12,50.06,50.47,30.68,1800200
2000-01-26,50.5,51.0,49.81,50.38,30.62,1641400
2000-01-27,50.75,50.94,48.59,50.38,30.62,2561600
2000-01-28,48.0,48.56,47.31,48.0,29.18,3298400
2000-01-31,47.38,47.41,44.75,47.0,28.57,2802800
2000-02-01,46.97,49.62,46.62,48.78,29.65,2163200
2000-02-02,48.78,49.34,46.88,47.34,28.78,2407200
2000-02-03,47.69,48.31,47.25,48.31,29.37,1698200
2000-02-04,47.69,48.56,47.25,48.34,29.38,1069000
2000-02-07,47.91,47.91,46.69,47.59,28.93,1446400
2000-02-08,47.81,48.56,47.22,47.5,28.87,1393200
2000-02-09,47.56,47.59,44.62,45.97,27.94,1969400
2000-02-10,45.78,45.78,42.19,43.66,26.54,2713000
2000-02-11,43.91,43.91,41.69,42.22,25.66,2267000
2000-02-14,42.22,42.44,41.28,41.69,25.34,1806000
2000-02-15,41.66,42.69,40.91,42.25,25.68,2192000
2000-02-16,42.19,42.97,41.28,41.38,25.15,1420800
2000-02-17,42.25,43.06,41.38,43.06,26.17,2051800
2000-02-18,43.06,43.31,41.06,41.44,25.19,2002400
2000-02-22,41.12,41.94,40.09,40.72,24.75,1552800
2000-02-23,41.0,41.0,40.0,40.5,24.62,1310600
2000-02-24,40.75,41.0,39.25,39.91,24.26,1742400
2000-02-25,40.03,40.69,37.88,38.81,23.59,1976800
2000-02-28,39.06,39.44,38.22,38.62,23.48,2620400
2000-02-29,37.38,38.88,37.38,38.69,23.52,3786800
2000-03-01,38.38,39.28,38.16,39.03,23.72,1725800
2000-03-02,39.5,40.31,39.0,40.0,24.31,1961000
2000-03-03,39.91,40.56,39.38,39.81,24.2,1448600
2000-03-06,39.81,39.81,38.78,39.0,23.71,918400
2000-03-07,39.75,39.81,36.75,36.78,22.36,1534600
2000-03-08,36.88,37.31,35.72,36.62,22.26,1372600
2000-03-09,36.5,37.62,35.25,36.5,22.19,1550800
2000-03-10,36.62,37.84,36.47,37.28,22.66,1058800
2000-03-13,36.56,38.38,36.44,37.84,23.0,1425400
2000-03-14,38.75,39.91,38.75,39.81,24.2,3709800
2000-03-15,41.88,46.0,41.69,45.28,27.52,4259200
2000-03-16,45.5,49.97,44.88,49.78,30.26,4027400
2000-03-17,48.5,48.62,47.12,47.19,28.68,3181400
