Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,16.44,16.69,16.25,16.38,12.98,312800.0
2000-01-03,17.0,17.06,16.5,16.75,13.27,816800.0
2000-01-04,16.38,16.62,16.19,16.38,12.98,484600.0
2000-01-05,16.38,17.19,16.31,17.0,13.47,703600.0
2000-01-06,17.25,17.81,17.0,17.25,13.67,871300.0
2000-01-07,17.5,17.94,17.38,17.5,13.87,890200.0
2000-01-10,17.75,18.81,17.75,18.62,14.76,900900.0
2000-01-11,18.5,18.75,18.19,18.19,14.41,367900.0
2000-01-12,18.12,18.38,17.94,18.0,14.27,318600.0
2000-01-13,19.38,19.38,18.5,18.75,14.86,1169700.0
2000-01-14,18.69,18.75,18.06,18.12,14.36,692900.0
2000-01-18,18.12,18.69,18.12,18.38,14.56,578200.0
2000-01-19,18.44,18.62,17.69,17.81,14.12,465300.0
2000-01-20,17.88,17.94,17.25,17.25,13.67,314900.0
2000-01-21,17.5,18.0,17.12,17.19,13.62,646700.0
2000-01-24,17.5,17.88,16.94,17.31,13.72,500900.0
2000-01-25,17.06,17.38,16.75,17.12,13.57,407800.0
2000-01-26,17.25,17.25,16.88,16.94,13.42,374300.0
2000-01-27,16.81,16.94,16.19,16.31,12.93,542600.0
2000-01-28,16.5,16.94,16.31,16.88,13.37,335800.0
2000-01-31,16.88,16.88,15.88,16.38,12.98,821100.0
2000-02-01,17.25,17.44,17.0,17.25,13.67,622500.0
2000-02-02,17.06,17.44,17.06,17.19,13.62,720000.0
2000-02-03,17.12,17.31,16.44,16.69,13.22,542600.0
2000-02-04,16.69,16.88,16.25,16.38,12.98,336700.0
2000-02-07,16.75,16.88,16.44,16.56,13.13,377700.0
2000-02-08,16.5,17.0,16.25,16.94,13.42,903300.0
2000-02-09,16.88,16.94,15.88,15.94,12.63,505600.0
2000-02-10,16.06,16.12,15.44,15.62,12.38,509500.0
2000-02-11,15.62,15.88,15.0,15.0,11.89,676200.0
2000-02-14,15.25,16.12,15.12,15.88,12.58,290400.0
2000-02-15,15.94,16.44,15.94,16.0,12.68,475500.0
2000-02-16,16.0,16.19,15.56,15.62,12.38,516900.0
2000-02-17,15.88,16.19,15.5,15.5,12.28,487800.0
2000-02-18,15.38,15.56,14.5,15.0,11.89,701600.0
2000-02-22,14.94,15.38,14.69,15.38,12.18,464300.0
2000-02-23,15.31,15.38,14.56,15.0,11.89,608300.0
2000-02-24,15.0,15.12,14.69,14.75,11.69,295000.0
2000-02-25,14.94,15.06,14.75,14.75,11.69,282800.0
2000-02-28,14.12,15.0,14.12,14.56,11.54,451500.0
2000-02-29,14.62,14.94,13.5,13.5,10.7,2301000.0
2000-03-01,13.62,13.88,13.5,13.75,10.9,343000.0
2000-03-02,13.69,13.94,13.5,13.81,10.95,214100.0
2000-03-03,13.81,14.25,13.75,13.88,11.0,222600.0
2000-03-06,13.81,13.88,12.94,13.06,10.35,514900.0
2000-03-07,13.0,13.25,12.69,12.94,10.25,699100.0
2000-03-08,13.06,13.62,12.75,13.0,10.3,384400.0
2000-03-09,13.12,13.62,12.69,12.88,10.2,1273500.0
2000-03-10,12.88,13.0,12.81,12.94,10.25,950200.0
2000-03-13,12.81,12.81,12.62,12.62,10.07,337200.0
2000-03-14,12.69,13.31,12.62,13.31,10.62,684400.0
2000-03-15,13.25,15.88,13.25,15.0,11.96,2080600.0
2000-03-16,15.5,15.62,15.0,15.44,12.31,1329100.0
2000-03-17,15.44,15.5,14.81,14.94,11.91,320000.0
2000-03-20,15.0,15.38,14.81,15.19,12.11,277300.0
2000-03-21,15.06,15.38,15.0,15.25,12.16,188900.0
2000-03-22,15.44,15.81,15.38,15.69,12.51,261000.0
2000-03-23,15.56,15.56,15.12,15.44,12.31,232500.0
2000-03-24,15.31,15.38,15.06,15.19,12.11,106700.0
2000-03-27,15.12,15.38,14.81,15.06,12.01,209600.0
2000-03-28,15.0,15.38,14.81,15.06,12.01,349900.0
2000-03-29,15.06,15.25,14.25,14.44,11.51,620900.0
2000-03-30,14.56,15.19,14.44,15.06,12.01,635800.0
2000-03-31,15.19,15.69,14.5,14.69,11.71,778300.0
2000-04-03,14.75,15.38,14.75,14.88,11.86,351100.0
2000-04-04,15.12,15.25,14.25,14.81,11.81,509400.0
2000-04-05,14.69,14.88,14.0,14.19,11.31,310700.0
2000-04-06,14.06,14.62,14.0,14.0,11.16,591700.0
2000-04-07,14.38,14.44,13.75,13.75,10.96,627300.0
2000-04-10,14.12,14.31,13.75,13.94,11.11,321000.0
2000-04-11,13.62,13.81,13.25,13.69,10.91,501300.0
2000-04-12,14.0,14.56,13.69,14.5,11.56,682600.0
2000-04-13,14.5,14.69,14.19,14.25,11.36,208300.0
2000-04-14,14.38,14.56,13.62,13.62,10.87,502500.0
2000-04-17,13.75,14.12,13.75,14.12,11.26,568100.0
2000-04-18,14.06,14.44,14.06,14.31,11.41,421700.0
2000-04-19,14.31,14.5,13.38,13.62,10.87,488300.0
2000-04-20,13.75,14.69,13.62,14.25,11.36,416100.0
2000-04-24,13.88,14.38,13.88,14.19,11.31,308700.0
2000-04-25,14.25,15.25,14.06,15.0,11.96,540200.0
2000-04-26,15.62,15.62,15.0,15.31,12.21,669600.0
2000-04-27,15.56,16.0,15.56,15.62,12.46,774600.0
2000-04-28,15.75,15.94,15.38,15.44,12.31,481800.0
2000-05-01,15.62,16.0,15.38,15.81,12.61,476900.0
2000-05-02,15.81,16.56,15.62,16.25,12.96,461600.0
2000-05-03,16.5,16.5,15.19,15.19,12.11,517500.0
2000-05-04,15.44,16.5,15.44,16.44,13.11,951700.0
2000-05-05,16.38,16.75,16.31,16.69,13.31,538000.0
2000-05-08,16.62,17.38,16.5,17.25,13.76,492700.0
2000-05-09,17.31,17.31,17.12,17.25,13.76,291200.0
2000-05-10,17.12,17.19,16.5,16.69,13.31,387100.0
2000-05-11,16.94,17.44,16.94,17.19,13.71,789600.0
2000-05-12,17.19,17.75,17.0,17.19,13.71,444200.0
2000-05-15,17.12,17.75,16.62,16.62,13.26,390400.0
2000-05-16,17.0,17.19,16.75,16.94,13.51,298900.0
2000-05-17,16.75,17.0,16.62,17.0,13.56,265000.0
2000-05-18,17.06,17.19,16.94,17.06,13.61,340900.0
2000-05-19,16.62,17.06,16.62,17.06,13.61,387600.0
2000-05-22,17.06,17.06,16.62,16.69,13.31,441600.0
2000-05-23,16.75,17.25,16.62,17.25,13.76,512800.0
2000-05-24,17.19,17.25,16.88,17.12,13.66,379000.0
2000-05-25,16.75,16.75,15.94,16.44,13.11,794400.0
2000-05-26,16.5,16.5,15.12,15.5,12.36,411000.0
2000-05-30,15.75,16.19,15.62,16.06,12.81,470200.0
2000-05-31,16.06,16.06,15.38,15.38,12.26,395900.0
2000-06-01,15.5,15.81,15.5,15.62,12.46,195700.0
2000-06-02,15.75,15.88,15.44,15.5,12.36,349100.0
2000-06-05,15.5,15.5,15.19,15.38,12.26,208000.0
2000-06-06,15.5,15.5,15.12,15.44,12.31,257800.0
2000-06-07,15.56,15.56,14.94,15.12,12.06,401100.0
2000-06-08,15.19,15.44,14.69,14.88,11.86,321500.0
2000-06-09,14.94,14.94,14.5,14.62,11.66,365400.0
2000-06-12,14.75,15.0,14.56,14.62,11.66,273500.0
2000-06-13,14.62,15.06,14.5,14.94,11.98,307700.0
2000-06-14,14.62,14.75,14.19,14.75,11.83,423000.0
2000-06-15,14.88,14.88,14.56,14.75,11.83,322600.0
2000-06-16,14.62,14.94,14.5,14.88,11.93,499700.0
2000-06-19,14.75,14.88,14.19,14.19,11.38,471600.0
2000-06-20,14.19,14.19,13.56,13.81,11.08,282300.0
2000-06-21,13.94,13.94,13.62,13.88,11.13,116000.0
2000-06-22,14.0,14.0,13.44,13.44,10.77,276800.0
2000-06-23,13.69,13.69,13.31,13.31,10.67,199900.0
2000-06-26,13.38,13.81,13.19,13.69,10.97,366000.0
2000-06-27,14.25,15.12,13.88,13.94,11.18,770000.0
2000-06-28,14.0,14.25,13.88,13.94,11.18,333700.0
2000-06-29,13.94,14.06,13.75,13.81,11.08,277000.0
2000-06-30,13.75,14.12,13.0,13.02,10.44,413100.0
2000-07-03,13.25,13.88,13.12,13.88,11.13,297000.0
2000-07-05,13.75,14.0,13.69,14.0,11.23,264300.0
2000-07-06,13.88,14.38,13.69,13.81,11.08,234000.0
2000-07-07,13.75,14.12,13.75,14.0,11.23,163600.0
2000-07-10,14.0,14.31,14.0,14.19,11.38,181200.0
2000-07-11,14.19,14.94,14.19,14.69,11.78,425600.0
2000-07-12,14.62,14.69,14.19,14.38,11.53,311400.0
2000-07-13,14.31,14.69,14.31,14.44,11.58,411000.0
2000-07-14,14.56,14.56,14.25,14.5,11.63,194600.0
2000-07-17,14.56,14.56,14.0,14.06,11.28,442300.0
2000-07-18,14.06,14.25,13.38,13.56,10.87,509400.0
2000-07-19,13.69,13.69,13.12,13.19,10.57,467700.0
2000-07-20,13.12,13.5,13.0,13.12,10.52,313600.0
2000-07-21,13.25,13.44,13.0,13.19,10.57,182600.0
