Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,70.62,71.44,70.25,71.38,41.97,570000.0
2000-01-03,68.62,69.0,66.06,67.5,39.69,5309000.0
2000-01-04,66.0,66.12,61.5,62.5,36.75,6234400.0
2000-01-05,62.0,62.09,58.62,60.22,35.41,7744200.0
2000-01-06,60.19,62.47,60.12,61.38,36.09,6586000.0
2000-01-07,60.25,63.47,59.72,63.28,37.21,6324800.0
2000-01-10,63.44,65.5,63.28,65.31,38.64,4610200.0
2000-01-11,66.0,66.06,64.75,65.31,38.64,3945600.0
2000-01-12,65.44,67.31,65.25,65.81,38.94,4291600.0
2000-01-13,66.0,66.59,65.0,66.22,39.18,3319200.0
2000-01-14,67.62,68.81,66.72,68.66,40.62,3635800.0
2000-01-18,68.66,69.38,66.84,66.88,39.57,3460400.0
2000-01-19,67.31,68.59,67.25,67.84,40.14,3452200.0
2000-01-20,67.06,68.62,66.62,67.41,39.88,4481000.0
2000-01-21,67.38,67.38,65.75,66.25,39.2,3965000.0
2000-01-24,66.75,67.25,62.72,64.0,37.87,4191000.0
2000-01-25,63.88,65.69,63.5,64.72,38.29,4061400.0
2000-01-26,65.25,66.44,64.12,66.44,39.31,5503200.0
2000-01-27,66.0,68.38,65.62,67.56,39.98,3009900.0
2000-01-28,66.0,67.69,62.88,63.31,37.46,3565800.0
2000-01-31,63.5,66.25,62.5,66.25,39.2,2606800.0
2000-02-01,65.62,65.88,63.56,64.0,37.87,3177500.0
2000-02-02,63.75,67.25,62.62,65.12,38.53,3001000.0
2000-02-03,66.0,66.62,64.25,66.0,39.05,4021700.0
2000-02-04,65.62,65.88,64.06,65.69,38.87,2411100.0
2000-02-07,64.5,65.38,64.0,65.12,38.53,2611500.0
2000-02-08,67.0,68.69,66.5,67.81,40.12,2829000.0
2000-02-09,68.81,68.94,66.5,67.19,39.75,3247900.0
2000-02-10,67.25,68.0,65.81,66.81,39.53,2029600.0
2000-02-11,66.88,69.06,66.38,66.75,39.5,2970400.0
2000-02-14,67.5,67.75,65.75,66.0,39.05,1858800.0
2000-02-15,64.81,65.69,64.5,65.56,38.79,2999100.0
2000-02-16,65.56,66.44,64.25,65.56,38.79,2455100.0
2000-02-17,65.19,65.5,62.88,63.25,37.42,2658800.0
2000-02-18,63.25,64.25,60.12,61.25,36.24,3347800.0
2000-02-22,62.25,62.69,60.5,62.31,36.87,3025700.0
2000-02-23,62.06,67.25,61.62,65.75,38.9,3966300.0
2000-02-24,67.5,70.25,66.12,69.06,40.86,5636000.0
2000-02-25,69.12,71.19,67.75,69.88,41.34,4249800.0
2000-02-28,68.5,69.75,68.0,69.19,40.94,3657500.0
2000-02-29,68.94,70.44,68.12,70.44,41.68,3836300.0
2000-03-01,71.88,75.5,71.5,75.25,44.52,4900700.0
2000-03-02,74.75,77.25,74.06,76.56,45.3,3321500.0
2000-03-03,78.25,79.19,75.88,79.19,46.85,3503000.0
2000-03-06,79.31,81.19,79.25,80.88,47.85,2856400.0
2000-03-07,81.25,82.38,80.12,81.0,47.93,4255700.0
2000-03-08,80.94,81.0,77.88,79.0,46.74,3068100.0
2000-03-09,79.75,83.38,79.0,83.38,49.33,2876600.0
2000-03-10,84.38,89.75,83.94,86.62,51.26,4306600.0
2000-03-13,83.0,85.62,80.62,82.5,48.81,2818300.0
2000-03-14,82.0,84.94,78.31,79.94,47.3,2935800.0
2000-03-15,80.44,80.62,77.75,78.0,46.15,4110900.0
2000-03-16,76.5,81.0,73.75,80.75,47.78,5975900.0
2000-03-17,82.31,88.94,82.06,88.88,52.59,5726800.0
2000-03-20,90.0,91.88,87.5,87.69,51.88,4139200.0
2000-03-21,85.56,89.0,83.38,88.69,52.48,6144000.0
2000-03-22,90.0,90.94,89.44,90.14,53.34,4404400.0
2000-03-23,90.31,95.0,86.25,94.75,56.06,7123900.0
2000-03-24,93.38,97.38,93.38,95.81,56.69,4861600.0
2000-03-27,94.38,94.38,89.38,90.0,53.25,3073500.0
2000-03-28,87.0,89.62,86.56,88.0,52.07,4902000.0
2000-03-29,88.5,89.19,83.81,86.75,51.33,3079000.0
2000-03-30,85.56,88.25,82.81,84.14,49.79,3842200.0
2000-03-31,83.5,84.12,79.5,82.88,49.04,4280200.0
2000-04-03,83.44,86.75,83.44,85.38,50.52,3947200.0
2000-04-04,86.25,86.25,74.12,78.62,46.52,8308000.0
2000-04-05,78.38,80.81,75.81,79.75,47.19,5648200.0
2000-04-06,81.0,85.5,81.0,85.31,50.48,4009600.0
2000-04-07,87.19,87.19,84.56,84.56,50.03,3310900.0
2000-04-10,86.0,90.06,85.75,88.75,52.51,4620900.0
2000-04-11,88.88,90.19,84.5,86.06,50.92,4020800.0
2000-04-12,88.75,88.75,79.5,79.75,47.3,5398400.0
2000-04-13,80.0,80.12,75.0,75.5,44.78,5821500.0
2000-04-14,71.0,71.94,64.75,66.88,39.66,9867100.0
2000-04-17,66.75,69.38,65.25,68.94,40.88,6798900.0
2000-04-18,69.0,76.81,68.69,75.75,44.93,6230100.0
2000-04-19,76.62,76.62,73.12,75.0,44.48,2862300.0
2000-04-20,74.75,75.0,73.06,75.0,44.48,2884500.0
2000-04-24,75.0,77.81,73.38,77.62,46.04,4779200.0
2000-04-25,77.81,80.94,76.38,79.88,47.37,4381900.0
2000-04-26,80.06,82.75,78.81,80.62,47.82,3405300.0
2000-04-27,77.0,80.5,76.25,80.5,47.74,3252400.0
2000-04-28,81.5,81.56,75.88,76.75,45.52,2409500.0
2000-05-01,76.5,82.62,75.56,79.75,47.3,3554500.0
2000-05-02,77.56,79.25,75.5,75.75,44.93,3337200.0
2000-05-03,75.5,76.62,72.5,73.0,43.29,3720000.0
2000-05-04,74.5,74.5,70.31,71.62,42.48,3061200.0
2000-05-05,71.06,74.5,70.38,71.12,42.18,3523400.0
2000-05-08,71.06,72.88,70.5,71.81,42.59,2437500.0
2000-05-09,72.25,73.44,70.25,71.12,42.18,2491600.0
2000-05-10,70.38,70.56,65.0,66.12,39.22,6080000.0
2000-05-11,68.5,68.75,66.25,67.0,39.74,3779500.0
2000-05-12,67.0,69.88,66.0,69.41,41.16,2938500.0
2000-05-15,69.62,75.0,69.5,74.06,43.92,3909700.0
2000-05-16,75.75,79.38,74.19,75.25,44.63,5151900.0
2000-05-17,75.5,76.94,73.12,76.0,45.07,2955000.0
2000-05-18,75.75,77.81,74.06,74.69,44.29,3444200.0
2000-05-19,71.88,72.62,68.25,69.44,41.18,3938700.0
2000-05-22,68.75,69.75,65.81,67.5,40.03,3407400.0
2000-05-23,67.5,69.62,67.25,68.25,40.48,2409000.0
2000-05-24,69.25,70.19,67.25,68.25,40.48,3413600.0
2000-05-25,68.25,71.0,63.56,64.0,37.96,6233200.0
2000-05-26,62.38,64.44,62.38,63.69,37.77,3930900.0
2000-05-30,64.0,67.06,63.88,67.0,39.74,3462400.0
2000-05-31,66.75,71.94,66.38,71.5,42.4,4396300.0
2000-06-01,72.0,76.0,70.12,75.25,44.63,4860400.0
2000-06-02,84.0,84.0,79.62,83.06,49.26,5189900.0
2000-06-05,81.0,82.88,80.31,82.12,48.71,2643600.0
2000-06-06,81.25,81.38,79.25,79.75,47.3,2111200.0
2000-06-07,79.12,82.0,79.12,79.94,47.41,3866200.0
2000-06-08,79.94,79.94,78.12,78.75,46.7,1709000.0
2000-06-09,80.12,81.75,79.06,79.25,47.0,1801400.0
