Date,Open,High,Low,Close,Adj Close,Volume
2007-11-15,23.0,28.45,22.06,26.1,24.5,11770500
2007-11-16,25.98,25.98,23.6,24.96,23.43,1242900
2007-11-19,24.71,25.75,24.53,25.75,24.17,469500
2007-11-20,25.42,29.21,25.26,27.32,25.64,522200
2007-11-21,27.0,27.13,25.94,26.65,25.01,167500
2007-11-23,27.3,28.33,26.82,27.4,25.72,100700
2007-11-26,27.99,29.49,27.53,27.8,26.09,438300
2007-11-27,28.23,28.75,26.28,26.98,25.32,305800
2007-11-28,27.12,27.62,26.68,27.3,25.62,273600
2007-11-29,26.61,27.99,26.6,27.3,25.62,110600
2007-11-30,27.6,28.7,27.1,27.65,25.95,524000
2007-12-03,27.7,28.2,27.4,27.97,26.25,83600
2007-12-04,27.71,29.75,27.24,29.35,27.55,387400
2007-12-05,32.68,32.68,28.89,29.28,27.48,207200
2007-12-06,29.0,29.42,28.44,28.91,27.13,97700
2007-12-07,29.06,29.1,28.5,28.88,27.11,82500
2007-12-10,28.59,29.95,28.59,29.0,27.22,177900
2007-12-11,28.99,29.4,28.25,29.0,27.22,236200
2007-12-12,29.36,29.36,28.3,28.48,26.73,64700
2007-12-13,27.93,29.0,27.93,28.94,27.16,78000
2007-12-14,28.83,28.94,28.33,28.72,26.96,118200
2007-12-17,27.94,29.06,27.67,27.98,26.26,128600
2007-12-18,28.0,28.8,28.0,28.5,26.75,132400
2007-12-19,28.56,29.35,28.56,28.95,27.17,197600
2007-12-20,28.95,29.01,28.89,28.89,27.12,197800
2007-12-21,29.5,34.33,29.4,33.72,31.65,498600
2007-12-24,33.6,34.4,32.55,33.92,31.84,142000
2007-12-26,33.92,36.0,33.8,34.35,32.24,228300
2007-12-27,34.35,37.19,33.8,36.55,34.31,194600
2007-12-28,36.45,38.27,36.0,37.32,35.03,165900
2007-12-31,37.45,38.4,36.0,38.4,36.04,136200
2008-01-02,37.82,37.95,33.12,33.85,31.77,442900
2008-01-03,33.85,33.85,30.56,30.79,28.9,395900
2008-01-04,28.74,31.0,28.11,30.15,28.3,354100
2008-01-07,29.75,29.75,27.75,28.14,26.41,383000
2008-01-08,28.0,28.15,26.01,26.63,24.99,183900
2008-01-09,27.3,29.75,24.74,27.76,26.06,383400
2008-01-10,29.3,31.4,26.8,29.64,27.82,531500
2008-01-11,29.42,32.77,29.21,30.43,28.56,121900
2008-01-14,30.1,30.5,29.75,30.5,28.63,198300
2008-01-15,30.5,30.93,29.72,30.71,28.82,74200
2008-01-16,30.76,30.76,28.5,29.3,27.5,123700
2008-01-17,29.45,29.45,28.65,28.99,27.21,122400
2008-01-18,29.71,29.75,29.0,29.32,27.52,238900
2008-01-22,28.15,29.2,27.33,28.9,27.13,193000
2008-01-23,28.98,32.47,28.38,31.16,29.25,193100
2008-01-24,30.78,33.0,30.24,32.17,30.19,305000
2008-01-25,32.4,32.58,31.13,31.78,29.83,148700
2008-01-28,31.3,34.0,30.03,33.06,31.03,222500
2008-01-29,32.67,33.46,32.35,32.78,30.77,142600
2008-01-30,32.77,33.0,31.0,32.7,30.69,117300
2008-01-31,32.5,33.0,32.1,32.97,30.95,114800
2008-02-01,32.97,35.97,32.4,34.6,32.48,134600
2008-02-04,34.6,34.9,33.0,33.48,31.42,75300
2008-02-05,33.48,33.48,31.98,32.87,30.85,109100
2008-02-06,32.7,32.72,31.09,31.37,29.44,146000
2008-02-07,31.4,32.0,29.52,29.71,27.89,128000
2008-02-08,30.15,31.33,30.14,31.33,29.41,103400
2008-02-11,31.35,31.95,31.0,31.43,29.5,94600
2008-02-12,31.25,31.94,30.43,31.3,29.38,147800
2008-02-13,31.2,33.87,31.2,33.83,31.75,114200
2008-02-14,33.59,33.8,32.15,33.28,31.24,103100
2008-02-15,33.28,33.32,30.33,31.74,29.79,142700
2008-02-19,31.7,32.44,30.36,32.1,30.13,183500
2008-02-20,31.84,34.34,30.94,32.21,30.23,181300
2008-02-21,32.3,33.99,31.6,33.6,31.54,207100
2008-02-22,33.5,34.15,32.48,33.73,31.66,123500
2008-02-25,33.75,34.17,32.85,33.09,31.06,158500
2008-02-26,33.34,35.36,32.62,33.92,31.84,186100
2008-02-27,33.75,34.29,31.32,32.0,30.03,220300
2008-02-28,32.55,32.55,29.18,31.09,29.18,344100
2008-02-29,32.36,32.36,29.33,29.73,27.9,216900
2008-03-03,29.5,30.35,28.29,29.07,27.28,188100
2008-03-04,27.82,29.87,27.19,29.36,27.56,177400
2008-03-05,29.92,32.1,29.72,31.65,29.71,221400
2008-03-06,31.64,31.84,29.56,29.86,28.03,214800
2008-03-07,29.76,30.21,26.47,28.26,26.52,268800
2008-03-10,28.39,28.39,26.84,27.01,25.35,85800
2008-03-11,27.49,30.34,27.25,30.29,28.43,166300
2008-03-12,30.06,31.0,29.6,29.83,28.0,194800
2008-03-13,29.6,30.36,28.76,29.94,28.1,176700
2008-03-14,29.94,29.94,26.25,26.86,25.21,306100
2008-03-17,26.33,26.54,23.29,23.57,22.12,367900
2008-03-18,25.78,27.54,23.73,27.0,25.34,563900
2008-03-19,26.62,27.75,25.9,26.69,25.05,275700
2008-03-20,26.44,28.21,25.9,28.21,26.48,171400
2008-03-24,28.36,30.91,28.22,30.07,28.22,219600
2008-03-25,29.74,30.9,28.62,30.39,28.52,163400
2008-03-26,30.49,30.79,29.4,29.41,27.6,242400
2008-03-27,29.7,30.85,29.33,29.7,27.88,173700
2008-03-28,29.6,31.5,29.38,31.25,29.33,137600
2008-03-31,30.91,30.91,28.07,29.75,27.92,230600
2008-04-01,29.82,31.51,29.66,30.89,28.99,116300
2008-04-02,31.0,32.25,29.68,31.77,29.82,128100
2008-04-03,31.6,32.94,30.7,32.03,30.06,108400
2008-04-04,31.81,33.64,31.67,32.78,30.77,57700
2008-04-07,32.82,32.82,31.15,31.41,29.48,47000
2008-04-08,31.28,31.99,30.17,30.79,28.9,163300
2008-04-09,28.95,29.38,24.65,27.98,26.26,835100
2008-04-10,30.14,30.14,27.57,28.49,26.74,159500
2008-04-11,28.0,28.99,27.13,27.93,26.21,173800
2008-04-14,27.8,28.29,27.41,27.72,26.02,151000
2008-04-15,27.91,28.13,26.76,27.17,25.5,84500
2008-04-16,27.41,28.43,26.5,28.05,26.33,161000
2008-04-17,28.02,28.77,27.44,28.55,26.8,138900
2008-04-18,28.83,29.42,28.1,28.73,26.97,200000
2008-04-21,28.8,28.96,28.01,28.49,26.74,288800
2008-04-22,28.26,28.62,27.61,28.6,26.84,313800
2008-04-23,28.52,29.9,27.91,29.46,27.65,253800
2008-04-24,29.43,29.45,28.85,29.38,27.58,161600
2008-04-25,29.0,29.37,28.29,28.37,26.63,269800
2008-04-28,28.0,29.3,27.76,29.13,27.34,599200
2008-04-29,29.49,31.0,29.35,30.17,28.32,5734000
2008-04-30,30.39,31.23,30.0,31.02,29.12,775200
2008-05-01,31.01,33.2,29.2,32.6,30.6,876200
2008-05-02,32.68,32.83,31.35,31.74,29.79,358300
2008-05-05,32.27,32.27,31.11,31.61,29.67,393700
2008-05-06,32.04,32.2,31.62,31.93,29.97,292900
2008-05-07,31.52,32.15,30.74,32.13,30.16,770300
2008-05-08,32.0,32.25,30.25,32.09,30.12,163900
2008-05-09,31.7,32.25,31.47,32.13,30.16,177700
2008-05-12,32.23,32.5,31.9,32.5,30.5,200000
2008-05-13,32.25,32.55,31.75,32.37,30.38,211100
2008-05-14,32.23,32.6,31.56,32.52,30.52,224800
2008-05-15,32.52,33.8,32.1,33.65,31.58,246600
2008-05-16,33.17,33.3,32.38,33.02,30.99,231700
2008-05-19,32.65,33.29,32.61,33.22,31.18,244100
2008-05-20,33.01,33.22,31.69,33.0,30.97,479900
2008-05-21,32.57,32.76,31.14,32.13,30.16,329600
2008-05-22,32.18,33.22,32.0,33.05,31.02,345600
2008-05-23,32.86,34.59,32.76,34.53,32.41,489800
2008-05-27,34.68,36.41,34.56,35.92,33.71,645600
2008-05-28,36.28,37.75,36.02,37.34,35.05,1035900
2008-05-29,36.95,36.95,34.97,35.22,33.06,912600
2008-05-30,35.58,36.27,35.26,35.55,33.37,797600
2008-06-02,34.85,36.65,33.9,35.79,33.59,450400
2008-06-03,36.0,36.35,35.46,36.01,33.8,355100
2008-06-04,35.75,36.24,35.44,35.75,33.55,338900
2008-06-05,35.55,37.35,35.45,37.25,34.96,403200
2008-06-06,37.58,37.6,36.4,36.45,34.21,197000
2008-06-09,36.22,36.99,34.73,35.76,33.56,375100
2008-06-10,35.39,35.93,34.41,35.86,33.66,193400
2008-06-11,35.76,36.0,33.85,33.99,31.9,130500
2008-06-12,34.31,35.96,34.31,34.85,32.71,217300
2008-06-13,35.45,36.09,35.03,35.74,33.55,344200
2008-06-16,35.55,35.69,34.15,35.01,32.86,273800
2008-06-17,35.42,36.26,34.94,36.17,33.95,242700
2008-06-18,34.63,35.69,34.38,35.55,33.37,437200
2008-06-19,36.42,36.61,35.81,36.12,33.9,260300
2008-06-20,36.06,36.77,35.93,36.55,34.31,339700
2008-06-23,36.57,38.0,36.0,37.12,34.84,569500
2008-06-24,36.83,37.46,36.71,36.87,34.61,323800
2008-06-25,36.87,38.05,36.8,37.59,35.28,151400
2008-06-26,36.87,36.87,35.33,35.99,33.78,245000
2008-06-27,35.8,36.89,35.0,36.15,33.93,2008700
2008-06-30,36.15,37.21,35.43,36.29,34.06,184600
2008-07-01,35.48,35.58,32.85,33.86,31.78,802100
2008-07-02,29.88,32.85,29.33,31.95,29.99,1265800
2008-07-03,32.18,33.25,31.77,32.81,30.8,278500
