Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,58.75,58.88,58.12,58.38,37.68,12517600
2000-01-03,58.69,59.31,56.0,58.28,37.62,53228400
2000-01-04,56.78,58.56,56.12,56.31,36.35,54119000
2000-01-05,55.56,58.19,54.69,56.91,36.74,64059600
2000-01-06,56.09,56.94,54.19,55.0,35.51,54976600
2000-01-07,54.31,56.12,53.66,55.72,35.97,62013600
2000-01-10,56.72,56.84,55.69,56.12,36.23,44963600
2000-01-11,55.75,57.12,54.34,54.69,35.3,46743600
2000-01-12,54.25,54.44,52.22,52.91,34.15,66532400
2000-01-13,52.19,54.31,50.75,53.91,34.8,83144000
2000-01-14,53.59,56.97,52.88,56.12,36.23,73416400
2000-01-18,55.91,58.25,55.88,57.66,37.22,81483600
2000-01-19,55.25,55.75,53.0,53.5,34.54,97568200
2000-01-20,53.53,54.84,52.94,53.0,34.21,56349800
2000-01-21,53.5,53.62,51.62,51.88,33.49,68416200
2000-01-24,51.9,52.84,50.41,50.62,32.68,63597600
2000-01-25,50.5,51.94,49.78,51.41,33.19,59823200
2000-01-26,51.22,51.75,49.56,49.69,32.08,49365000
2000-01-27,49.95,50.59,48.62,49.38,31.87,63654800
2000-01-28,49.06,50.12,48.62,49.12,31.71,58225400
2000-01-31,48.81,49.09,47.44,48.94,31.59,73194200
2000-02-01,49.25,51.62,48.84,51.47,33.23,70196600
2000-02-02,51.22,51.97,50.25,50.41,32.54,49915600
2000-02-03,51.03,52.09,50.06,51.81,33.45,49186000
2000-02-04,52.19,54.0,52.07,53.28,34.4,55365400
2000-02-07,53.41,53.44,52.12,53.31,34.42,40005800
2000-02-08,53.22,55.0,53.22,54.97,35.48,56229000
2000-02-09,54.72,54.72,51.94,52.0,33.57,55090000
2000-02-10,51.95,53.28,51.25,53.0,34.21,54527800
2000-02-11,52.44,52.44,49.56,49.97,32.26,115559000
2000-02-14,50.62,50.88,49.53,49.81,32.16,81028600
2000-02-15,49.88,50.0,49.06,49.28,31.81,71027600
2000-02-16,49.62,50.09,48.56,48.81,31.51,65202600
2000-02-17,49.25,49.84,48.57,49.81,32.16,80343400
2000-02-18,50.0,50.03,47.44,47.53,30.68,79063000
2000-02-22,47.56,48.56,46.41,46.91,30.28,66296200
2000-02-23,46.75,47.88,46.03,47.12,30.42,75847200
2000-02-24,47.12,47.94,46.0,47.38,30.58,69733200
2000-02-25,47.34,47.35,45.25,45.66,29.47,65301400
2000-02-28,45.12,46.06,44.06,45.78,29.55,76131800
2000-02-29,45.88,45.88,44.44,44.69,28.85,58437400
2000-03-01,44.81,47.05,44.47,45.41,29.31,106889800
2000-03-02,45.91,47.69,45.56,46.69,30.14,106932600
2000-03-03,47.38,49.44,46.94,48.06,31.03,101435200
2000-03-06,48.0,48.69,45.06,45.31,29.25,93609400
2000-03-07,48.06,48.75,45.97,46.44,29.98,135061000
2000-03-08,46.91,48.09,45.5,47.78,30.85,94290000
2000-03-09,47.66,50.0,47.5,50.0,32.28,88198800
2000-03-10,49.78,51.25,49.75,50.5,32.6,85589000
2000-03-13,48.81,50.12,48.75,49.0,31.63,61831800
2000-03-14,49.31,49.62,47.56,47.56,30.7,73489200
2000-03-15,47.28,48.31,46.84,47.69,30.78,53208000
2000-03-16,47.97,48.34,46.62,47.69,30.78,77300800
2000-03-17,47.62,49.75,47.25,49.69,32.08,81161600
2000-03-20,49.38,49.88,48.25,48.69,31.43,47773000
2000-03-21,48.38,51.56,48.25,51.38,33.16,81648800
2000-03-22,51.41,52.81,50.56,51.62,33.33,93975800
2000-03-23,53.41,56.44,53.31,55.94,36.11,148224000
2000-03-24,56.31,57.5,54.78,55.84,36.05,112196800
2000-03-27,53.88,54.12,51.97,52.03,33.59,111434000
2000-03-28,51.81,53.72,51.19,52.16,33.67,81114400
2000-03-29,52.59,54.47,52.56,53.59,34.6,64363800
2000-03-30,53.09,54.31,51.25,51.69,33.37,64178400
2000-03-31,53.0,54.12,52.06,53.12,34.29,64281400
2000-04-03,47.22,48.25,45.0,45.44,29.33,260118200
