Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,177.89,179.09,177.36,177.59,134.64,515800.0
2000-01-03,182.41,185.27,176.38,179.7,136.24,3421100.0
2000-01-04,173.06,175.78,165.22,166.28,126.07,4138200.0
2000-01-05,165.22,165.68,157.69,161.91,122.76,4684600.0
2000-01-06,161.0,161.61,142.31,143.52,108.81,4776800.0
2000-01-07,148.34,155.73,147.06,155.35,117.79,6554200.0
2000-01-10,159.65,173.21,158.44,168.54,127.79,5134600.0
2000-01-11,162.96,169.9,159.72,160.1,121.39,3475600.0
2000-01-12,162.66,167.56,160.1,161.38,122.36,3480500.0
2000-01-13,164.47,169.44,161.91,167.11,126.7,2550600.0
2000-01-14,173.67,185.88,173.67,182.11,138.07,5250600.0
2000-01-18,173.06,177.66,172.01,173.67,131.67,6882500.0
2000-01-19,173.36,175.4,168.84,169.75,128.7,3470600.0
2000-01-20,170.8,175.47,169.29,170.05,128.93,3801100.0
2000-01-21,177.59,178.11,172.91,174.12,132.02,3059000.0
2000-01-24,176.68,177.81,167.94,167.94,127.33,2647200.0
2000-01-25,169.29,171.63,165.6,171.4,129.96,3092400.0
2000-01-26,171.1,176.08,164.32,168.24,127.56,3329500.0
2000-01-27,168.84,169.6,163.72,164.02,124.36,3554300.0
2000-01-28,167.03,169.44,150.75,154.67,117.27,4720700.0
2000-01-31,154.97,164.92,152.33,164.02,124.36,4248200.0
2000-02-01,166.13,168.24,160.63,165.07,125.16,3473000.0
2000-02-02,165.22,178.04,165.15,174.42,132.24,4112600.0
2000-02-03,176.23,184.44,176.23,184.22,139.67,4438000.0
2000-02-04,184.44,190.02,181.35,188.14,142.65,4362800.0
2000-02-07,186.48,191.83,184.75,191.61,145.27,2049600.0
2000-02-08,192.96,194.62,188.82,192.81,146.19,3258700.0
2000-02-09,192.96,192.96,183.46,185.2,140.42,3167100.0
2000-02-10,185.5,189.87,185.27,187.27,141.99,3327100.0
2000-02-11,186.33,187.23,179.09,182.41,138.3,3018000.0
2000-02-14,184.07,184.07,176.45,177.59,134.64,3015000.0
2000-02-15,178.87,180.83,172.54,179.62,136.19,3595600.0
2000-02-16,179.62,182.11,177.43,178.34,135.22,2499100.0
2000-02-17,175.47,179.24,172.46,177.59,134.64,3399500.0
2000-02-18,177.43,178.49,174.42,174.8,132.53,2545200.0
2000-02-22,176.08,191.0,174.34,189.04,143.33,4098200.0
2000-02-23,185.58,195.15,182.64,193.87,146.99,4036300.0
2000-02-24,192.66,198.69,190.02,198.09,150.19,4348800.0
2000-02-25,195.37,197.18,190.55,192.06,145.62,2856200.0
2000-02-28,193.19,195.07,186.56,191.15,144.93,2821400.0
2000-02-29,192.96,211.35,192.59,207.43,157.28,5707900.0
2000-03-01,206.83,207.06,198.69,205.17,155.56,3833400.0
2000-03-02,205.02,211.05,200.65,210.07,159.28,4043900.0
2000-03-03,211.66,217.61,210.45,211.43,160.3,3166400.0
2000-03-06,212.86,221.76,212.86,217.84,165.16,2757600.0
2000-03-07,221.91,222.66,213.46,213.84,162.13,3611000.0
2000-03-08,214.75,214.75,202.99,204.34,154.93,5418500.0
2000-03-09,201.71,203.82,192.96,197.79,149.96,4343700.0
2000-03-10,201.4,217.01,199.82,211.05,160.02,8360900.0
2000-03-13,201.4,213.54,198.99,202.01,153.27,4787300.0
2000-03-14,199.9,206.83,193.57,194.39,147.49,4714200.0
2000-03-15,194.7,196.58,180.6,181.96,138.05,5817100.0
2000-03-16,186.78,188.89,173.06,183.01,138.85,6485900.0
2000-03-17,182.11,183.92,178.79,180.3,136.8,5914600.0
2000-03-20,180.15,191.08,180.07,185.88,141.03,4937200.0
2000-03-21,183.46,196.88,180.45,191.68,145.43,4401800.0
2000-03-22,194.77,200.65,193.57,197.71,150.01,4002200.0
2000-03-23,196.66,197.79,194.09,194.77,147.78,3004100.0
2000-03-24,195.37,201.33,192.21,197.26,149.66,3226400.0
2000-03-27,198.39,198.62,194.92,197.18,149.61,2460100.0
2000-03-28,194.77,203.51,194.77,197.79,150.06,4102200.0
2000-03-29,196.58,197.33,182.26,186.93,141.83,5365600.0
2000-03-30,180.9,188.51,168.69,173.67,131.76,6669700.0
2000-03-31,178.19,179.09,168.92,176.08,133.59,5765600.0
2000-04-03,172.46,176.91,164.02,166.73,126.5,5060600.0
2000-04-04,169.14,173.36,155.65,162.36,123.18,8514900.0
2000-04-05,160.4,178.26,157.08,177.28,134.51,7550500.0
2000-04-06,176.08,179.02,171.33,174.57,132.45,3718600.0
2000-04-07,175.1,185.73,175.1,185.42,140.68,3669600.0
2000-04-10,186.33,190.47,178.64,182.11,138.17,5391500.0
