Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,41.4,41.47,41.35,41.42,25.65,47000
2000-01-03,41.5,41.5,40.5,40.66,25.18,119000
2000-01-04,40.63,40.63,38.4,39.35,24.37,103000
2000-01-05,39.54,39.54,38.88,39.53,24.48,49000
2000-01-06,39.53,40.4,39.1,39.99,24.76,285000
2000-01-07,40.0,41.35,39.85,40.7,25.2,330000
2000-01-10,40.55,41.11,40.42,40.72,25.22,61000
2000-01-11,40.7,40.83,39.0,39.53,24.48,56000
2000-01-12,39.45,40.14,39.4,39.99,24.76,128000
2000-01-13,39.99,41.03,39.99,41.03,25.4,28000
2000-01-14,41.0,42.55,41.0,42.03,26.02,56000
2000-01-18,42.3,42.47,42.0,42.0,26.01,56000
2000-01-19,41.6,41.74,41.12,41.2,25.51,75000
2000-01-20,41.3,41.3,40.88,40.88,25.31,28000
2000-01-21,41.01,41.4,41.0,41.18,25.5,66000
2000-01-24,41.2,41.22,40.5,40.5,25.08,222000
2000-01-25,40.7,40.7,40.01,40.5,25.08,171000
2000-01-26,40.0,41.95,40.0,41.95,25.98,224000
2000-01-27,42.17,42.2,41.58,42.0,26.01,169000
2000-01-28,41.65,41.65,40.2,40.65,25.17,48000
2000-01-31,40.6,41.45,40.19,41.1,25.45,106000
2000-02-01,40.8,41.62,40.05,40.15,24.86,50000
2000-02-02,40.17,40.67,40.05,40.4,25.02,73000
2000-02-03,40.7,40.7,40.0,40.02,24.78,92000
2000-02-04,40.02,40.7,40.0,40.53,25.09,84000
2000-02-07,40.55,40.65,40.17,40.22,24.91,74000
2000-02-08,40.25,40.5,40.25,40.35,24.99,96000
2000-02-09,40.1,40.55,40.05,40.11,24.84,133000
2000-02-10,40.15,40.17,40.1,40.1,24.83,211000
2000-02-11,40.11,40.59,40.0,40.0,24.77,145000
2000-02-14,40.0,40.15,39.58,40.0,24.77,115000
2000-02-15,39.7,39.7,38.72,39.2,24.27,46000
2000-02-16,39.2,39.2,38.83,38.85,24.06,196000
2000-02-17,38.85,38.85,37.7,38.47,23.83,87000
2000-02-18,38.33,39.1,37.05,37.6,23.28,87000
2000-02-22,37.5,37.5,36.88,37.2,23.04,111000
2000-02-23,37.2,37.2,36.5,36.8,22.79,48000
2000-02-24,36.7,36.95,35.8,36.95,22.88,125000
2000-02-25,36.4,37.0,35.7,36.93,22.87,224000
2000-02-28,36.81,36.81,36.0,36.74,22.83,249000
2000-02-29,36.9,37.65,36.51,36.9,22.93,113000
2000-03-01,36.9,37.15,36.6,36.99,22.99,127000
2000-03-02,37.28,37.5,36.95,37.0,22.99,263000
2000-03-03,37.0,37.1,36.9,37.0,22.99,236000
2000-03-06,37.0,37.6,37.0,37.5,23.3,77000
2000-03-07,37.45,37.45,36.1,36.8,22.87,69000
2000-03-08,36.7,36.7,36.0,36.4,22.62,59000
2000-03-09,37.12,37.33,36.83,36.85,22.9,188000
2000-03-10,36.86,37.55,36.1,37.38,23.22,45000
2000-03-13,37.85,38.2,37.5,38.14,23.7,79000
2000-03-14,38.24,38.4,38.22,38.36,23.84,76000
2000-03-15,38.36,39.35,37.6,39.35,24.45,140000
2000-03-16,39.4,42.45,39.21,42.45,26.38,152000
2000-03-17,42.64,44.98,42.64,44.96,27.93,179000
2000-03-20,44.5,44.5,43.2,43.79,27.21,66000
2000-03-21,43.5,44.38,43.0,43.7,27.15,108000
2000-03-22,45.81,45.81,43.26,44.35,27.56,192000
2000-03-23,44.1,44.47,43.42,43.83,27.23,168000
2000-03-24,44.12,44.9,44.1,44.88,27.88,54000
2000-03-27,44.88,44.88,44.3,44.5,27.65,31000
2000-03-28,44.4,44.75,44.07,44.22,27.48,8000
2000-03-29,44.22,44.99,44.17,44.99,27.95,66000
2000-03-30,44.94,44.94,44.35,44.35,27.56,65000
2000-03-31,44.35,45.0,43.2,44.65,27.74,168000
2000-04-03,44.8,47.2,44.72,46.6,28.95,175000
2000-04-04,46.35,46.35,46.2,46.21,28.71,64000
2000-04-05,46.16,46.19,45.0,45.5,28.27,10300000
2000-04-06,45.4,46.0,45.4,45.6,28.33,35000
2000-04-07,45.6,45.6,44.31,44.65,27.74,122000
2000-04-10,44.46,44.46,43.5,43.96,27.31,58000
2000-04-11,43.76,46.0,43.76,45.8,28.46,45000
2000-04-12,45.61,46.05,45.55,46.0,28.58,13000
2000-04-13,46.9,46.9,46.77,46.77,29.06,48000
2000-04-14,46.58,46.58,44.67,44.9,27.9,102000
2000-04-17,44.8,44.8,43.0,43.5,27.03,170000
2000-04-18,43.8,44.7,43.09,44.7,27.77,101000
2000-04-19,44.3,44.3,43.6,43.66,27.13,75000
2000-04-20,44.05,44.99,44.05,44.51,27.65,23000
2000-04-24,44.99,44.99,44.6,44.64,27.73,22000
2000-04-25,44.9,46.7,44.7,45.16,28.06,733000
2000-04-26,45.0,45.0,43.5,43.5,27.03,120000
2000-04-27,43.97,43.97,43.0,43.6,27.09,126000
2000-04-28,43.5,43.92,43.5,43.92,27.29,19000
2000-05-01,43.47,43.9,43.47,43.8,27.21,107000
2000-05-02,44.0,44.28,43.65,43.65,27.12,36000
2000-05-03,43.65,43.67,42.5,42.69,26.52,60000
2000-05-04,42.6,42.7,42.42,42.61,26.47,41000
2000-05-05,42.58,44.0,42.56,43.99,27.33,94000
2000-05-08,43.9,43.91,42.83,42.83,26.61,72000
2000-05-09,42.5,42.7,42.11,42.19,26.22,63000
2000-05-10,42.19,42.19,40.05,40.56,25.2,126000
2000-05-11,40.56,41.7,40.56,40.85,25.38,55000
2000-05-12,40.85,41.7,40.85,41.31,25.67,57000
2000-05-15,41.26,41.7,40.78,41.7,25.91,261000
2000-05-16,41.65,41.8,40.8,41.5,25.79,96000
2000-05-17,41.2,41.2,39.95,40.09,24.91,739000
2000-05-18,40.09,41.97,40.05,40.53,25.18,705000
2000-05-19,40.8,40.85,40.0,40.03,24.87,340000
