Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.89,11.19,10.89,11.19,10.58,513600
2000-01-03,11.11,11.17,10.72,10.83,10.24,1853200
2000-01-04,10.69,10.72,10.11,10.33,9.76,1139100
2000-01-05,10.33,10.56,10.25,10.5,9.92,1191100
2000-01-06,10.53,10.67,10.47,10.56,9.97,821700
2000-01-07,10.56,11.19,10.44,11.11,10.5,1631700
2000-01-10,11.11,11.39,11.08,11.33,10.71,1534500
2000-01-11,11.28,12.06,11.11,12.0,11.34,1974600
2000-01-12,12.0,12.19,11.67,11.72,11.08,2009200
2000-01-13,11.78,12.0,11.78,12.0,11.34,1106700
2000-01-14,12.03,12.64,12.03,12.14,11.47,1628200
2000-01-18,12.22,12.33,12.06,12.31,11.63,837600
2000-01-19,12.14,12.42,12.08,12.42,11.73,1120500
2000-01-20,12.31,12.44,12.22,12.31,11.63,1323000
2000-01-21,12.33,12.39,11.78,11.89,11.23,867600
2000-01-24,11.81,11.94,11.14,11.28,10.66,1690200
2000-01-25,11.17,11.33,11.0,11.31,10.68,969300
2000-01-26,11.31,11.31,10.89,11.11,10.5,914400
2000-01-27,11.33,11.47,11.14,11.31,10.68,1448200
2000-01-28,11.33,12.11,10.97,11.67,11.02,1572300
2000-01-31,11.5,11.83,10.72,11.83,11.18,2266600
2000-02-01,11.83,11.83,11.22,11.42,10.79,849100
2000-02-02,11.5,11.61,11.25,11.31,10.68,769600
2000-02-03,11.33,11.39,11.19,11.31,10.68,478300
2000-02-04,11.33,11.36,11.06,11.14,10.52,936900
2000-02-07,11.22,11.33,11.11,11.33,10.71,592600
2000-02-08,11.28,11.33,11.19,11.28,10.66,1368400
2000-02-09,11.28,11.33,11.06,11.08,10.47,1019700
2000-02-10,11.08,11.11,10.89,10.97,10.37,1037700
2000-02-11,10.94,11.06,10.67,10.83,10.24,801900
2000-02-14,10.81,10.81,10.64,10.75,10.16,855100
2000-02-15,10.78,11.06,10.56,10.58,10.0,864000
2000-02-16,10.47,10.61,10.36,10.39,9.82,1132600
2000-02-17,10.36,10.81,10.22,10.81,10.21,1956700
2000-02-18,10.89,11.33,10.83,10.86,10.26,2154700
2000-02-22,11.11,11.17,10.22,10.28,9.71,1121800
2000-02-23,10.39,10.58,10.28,10.28,9.71,960700
2000-02-24,10.47,10.92,10.33,10.53,9.95,1707700
2000-02-25,10.61,10.97,10.31,10.36,9.79,834900
2000-02-28,10.31,10.33,10.0,10.08,9.53,893800
2000-02-29,10.17,10.64,10.17,10.22,9.66,1535500
2000-03-01,10.11,10.42,10.03,10.14,9.58,824400
2000-03-02,10.11,11.17,10.08,10.72,10.13,3292300
2000-03-03,12.0,13.11,11.83,13.11,12.39,6770700
2000-03-06,13.11,13.11,12.06,12.36,11.68,3171300
2000-03-07,12.42,12.42,11.97,12.11,11.44,2250100
2000-03-08,12.22,12.75,12.22,12.42,11.73,1176400
2000-03-09,12.44,12.67,12.25,12.67,11.97,3292600
2000-03-10,12.44,12.44,12.08,12.39,11.71,2845900
2000-03-13,12.17,12.22,11.89,12.17,11.5,1303800
2000-03-14,12.17,12.19,11.56,11.92,11.26,1174200
2000-03-15,11.86,12.33,11.72,12.31,11.63,2686000
2000-03-16,12.44,13.33,12.42,13.33,12.6,4105000
2000-03-17,13.33,13.33,12.97,13.03,12.31,2364000
2000-03-20,13.03,13.06,12.44,12.47,11.78,1526100
2000-03-21,12.53,13.06,12.5,12.94,12.23,955900
2000-03-22,12.78,12.78,12.28,12.53,11.84,2142000
2000-03-23,12.56,12.56,12.11,12.44,11.76,1746400
2000-03-24,12.44,12.67,12.22,12.39,11.71,1551700
2000-03-27,12.42,12.42,11.89,12.0,11.34,1212400
2000-03-28,11.94,11.97,11.53,11.61,10.97,2277600
2000-03-29,11.58,11.83,11.5,11.61,10.99,1380600
2000-03-30,11.64,11.94,11.5,11.58,10.96,1555200
2000-03-31,11.64,12.44,11.64,12.22,11.57,2090400
2000-04-03,12.11,12.31,12.06,12.11,11.46,896400
2000-04-04,12.22,12.89,12.0,12.58,11.91,2735700
2000-04-05,12.56,13.31,12.56,13.17,12.46,1789600
2000-04-06,13.06,13.19,12.92,13.17,12.46,1734300
2000-04-07,13.17,13.61,13.17,13.44,12.72,3109500
2000-04-10,13.33,13.64,13.25,13.44,12.72,1921500
2000-04-11,13.39,13.39,13.11,13.25,12.54,1952700
2000-04-12,13.28,13.31,12.97,13.08,12.38,1032700
2000-04-13,13.14,13.14,12.81,13.14,12.43,924400
2000-04-14,12.97,13.06,12.36,12.83,12.14,1218300
2000-04-17,12.56,12.58,12.08,12.33,11.67,1667400
2000-04-18,12.28,12.83,12.19,12.72,12.04,1025100
2000-04-19,12.83,13.36,12.72,13.14,12.43,1099300
2000-04-20,13.14,13.14,12.64,12.83,12.14,580600
2000-04-24,12.72,13.0,12.58,13.0,12.3,826800
2000-04-25,12.94,13.28,12.44,12.44,11.78,1263100
2000-04-26,12.5,12.67,12.19,12.36,11.7,1475500
2000-04-27,12.28,12.36,12.17,12.33,11.67,537300
2000-04-28,12.22,12.64,12.17,12.61,11.93,507600
2000-05-01,12.61,13.03,12.47,12.78,12.09,622500
2000-05-02,12.94,12.94,12.72,12.78,12.09,558100
2000-05-03,12.78,12.92,12.69,12.69,12.01,511200
2000-05-04,12.58,13.72,12.58,13.72,12.99,1765000
2000-05-05,13.67,14.33,13.39,14.33,13.56,3396600
