Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,5.28,5.38,5.16,5.36,4.47,608800
2000-01-03,5.36,5.36,5.02,5.06,4.22,839600
2000-01-04,5.05,5.05,4.84,4.89,4.08,911200
2000-01-05,4.84,5.02,4.83,4.84,4.04,1540000
2000-01-06,4.81,5.27,4.8,5.12,4.27,2677200
2000-01-07,5.17,5.28,5.16,5.2,4.34,1256800
2000-01-10,5.22,5.22,5.0,5.03,4.2,1205200
2000-01-11,5.02,5.19,5.02,5.12,4.27,677600
2000-01-12,5.12,5.14,5.05,5.08,4.24,589600
2000-01-13,5.09,5.16,5.06,5.14,4.29,1234400
2000-01-14,5.08,5.09,4.86,4.98,4.16,1082800
2000-01-18,5.05,5.56,5.05,5.47,4.56,4741600
2000-01-19,5.41,5.55,5.34,5.52,4.6,2240800
2000-01-20,5.53,5.55,5.45,5.5,4.59,2066400
2000-01-21,5.59,5.8,5.59,5.61,4.68,1889200
2000-01-24,5.67,5.81,5.36,5.36,4.47,964400
2000-01-25,5.36,5.42,5.19,5.25,4.38,1358800
2000-01-26,5.31,5.38,5.19,5.19,4.33,1199200
2000-01-27,5.19,5.23,5.03,5.12,4.27,1587600
2000-01-28,5.08,5.17,4.98,5.0,4.17,1055200
2000-01-31,5.05,5.19,5.0,5.02,4.18,1082800
2000-02-01,5.06,5.36,5.02,5.33,4.44,2078400
2000-02-02,5.31,5.59,5.28,5.28,4.41,2538000
2000-02-03,5.38,5.66,5.38,5.55,4.63,2930800
2000-02-04,5.5,5.75,5.36,5.36,4.47,1830800
2000-02-07,5.36,5.66,5.36,5.58,4.65,1367600
2000-02-08,5.59,5.67,5.34,5.36,4.47,1909200
2000-02-09,5.34,5.41,5.16,5.16,4.3,1239600
2000-02-10,5.16,5.53,5.14,5.52,4.6,1200000
2000-02-11,5.52,5.61,5.34,5.34,4.47,1179200
2000-02-14,5.39,5.52,5.38,5.41,4.52,738800
2000-02-15,5.44,5.75,5.44,5.69,4.75,1274400
2000-02-16,5.66,5.69,5.59,5.66,4.73,1619600
2000-02-17,5.7,5.86,5.58,5.73,4.79,2508400
2000-02-18,5.7,5.75,5.44,5.55,4.64,1489200
2000-02-22,5.55,5.59,5.36,5.44,4.54,810000
2000-02-23,5.42,5.48,5.2,5.3,4.43,1131200
2000-02-24,5.27,5.3,5.2,5.23,4.37,2065200
2000-02-25,5.19,5.19,5.09,5.16,4.31,762400
2000-02-28,5.31,5.59,5.3,5.38,4.49,1988800
2000-02-29,5.42,5.7,5.42,5.62,4.7,1389600
2000-03-01,5.69,6.09,5.57,5.94,4.96,2625600
2000-03-02,6.16,6.75,6.11,6.55,5.47,2502400
2000-03-03,6.56,6.59,6.19,6.39,5.34,1413200
2000-03-06,6.33,6.5,6.31,6.38,5.33,961600
2000-03-07,6.44,7.33,6.44,7.25,6.06,3309200
2000-03-08,7.16,7.42,6.98,7.2,6.02,3350000
2000-03-09,7.34,7.5,7.06,7.12,5.95,2909600
2000-03-10,7.06,7.27,6.83,6.84,5.72,1709600
2000-03-13,6.84,7.08,6.73,6.77,5.65,914400
2000-03-14,6.75,6.94,6.5,6.89,5.76,2443600
2000-03-15,6.86,6.89,6.64,6.83,5.71,1425200
2000-03-16,6.8,7.2,6.8,7.14,5.97,1804400
2000-03-17,7.14,7.14,6.86,7.02,5.86,950400
2000-03-20,7.05,7.12,6.88,7.12,5.95,1879600
2000-03-21,7.03,7.28,6.95,7.03,5.88,1110400
2000-03-22,7.06,7.12,6.92,7.0,5.85,1442000
2000-03-23,7.0,7.0,6.8,7.0,5.85,1048000
2000-03-24,6.97,7.36,6.97,7.2,6.02,2346800
2000-03-27,7.17,7.17,6.91,7.09,5.93,1426800
2000-03-28,7.03,7.23,7.03,7.11,5.94,1809200
2000-03-29,7.05,7.64,7.05,7.58,6.33,3785200
2000-03-30,7.55,8.16,7.55,8.03,6.71,3845200
2000-03-31,8.12,8.41,8.08,8.2,6.85,4690800
2000-04-03,8.2,8.56,8.16,8.44,7.05,1836800
2000-04-04,8.5,8.72,7.97,7.98,6.67,1832800
2000-04-05,7.95,8.06,7.64,7.78,6.5,1784000
2000-04-06,7.75,7.86,7.7,7.84,6.55,1971600
2000-04-07,7.84,7.91,7.61,7.64,6.38,1695600
2000-04-10,7.64,7.66,7.34,7.41,6.19,1784000
2000-04-11,7.34,7.53,7.28,7.5,6.27,2804400
2000-04-12,7.69,8.09,7.64,7.98,6.67,2288800
2000-04-13,7.88,8.11,7.88,7.97,6.66,3719200
2000-04-14,7.94,8.11,7.78,7.91,6.61,1594000
2000-04-17,7.69,7.8,7.53,7.59,6.35,1370800
2000-04-18,7.53,7.98,7.53,7.95,6.65,2260000
2000-04-19,7.92,8.34,7.88,8.34,6.97,2570400
2000-04-20,8.34,8.41,8.19,8.39,7.01,992000
2000-04-24,8.39,8.81,8.39,8.81,7.36,2050000
2000-04-25,8.83,9.14,8.83,8.97,7.49,2248400
2000-04-26,8.97,8.98,8.59,8.66,7.23,1874800
