Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,7.07,7.07,7.0,7.02,2.92,330000.0
2000-01-03,7.0,7.02,6.83,6.93,2.88,1051800.0
2000-01-04,6.88,7.07,6.85,7.0,2.91,875200.0
2000-01-05,7.07,7.37,7.02,7.29,3.04,1086200.0
2000-01-06,7.27,7.29,7.07,7.24,3.02,479200.0
2000-01-07,7.22,7.37,7.15,7.22,3.01,623700.0
2000-01-10,7.29,7.42,7.29,7.39,3.08,853500.0
2000-01-11,7.34,7.37,7.12,7.17,2.99,1031900.0
2000-01-12,7.12,7.29,7.07,7.29,3.04,503100.0
2000-01-13,7.22,7.27,7.07,7.22,3.01,439500.0
2000-01-14,7.22,7.24,7.07,7.1,2.95,424500.0
2000-01-18,7.0,7.02,6.88,6.88,2.86,907000.0
2000-01-19,6.85,7.1,6.83,7.07,2.94,517100.0
2000-01-20,7.05,7.27,6.97,7.27,3.03,795500.0
2000-01-21,7.17,7.83,7.15,7.83,3.26,1663900.0
2000-01-24,7.86,8.52,7.86,8.37,3.49,2353800.0
2000-01-25,8.37,8.5,7.71,7.76,3.23,1591100.0
2000-01-26,7.76,7.78,7.54,7.61,3.17,1899800.0
2000-01-27,7.59,7.64,7.39,7.51,3.17,1927000.0
2000-01-28,7.49,7.61,7.15,7.22,3.05,4582200.0
2000-01-31,7.22,7.29,7.2,7.22,3.05,1388800.0
2000-02-01,7.29,7.39,7.22,7.39,3.12,2404500.0
2000-02-02,7.39,7.49,7.27,7.29,3.08,468500.0
2000-02-03,7.32,7.83,7.32,7.47,3.15,823500.0
2000-02-04,7.56,7.66,7.32,7.39,3.12,806000.0
2000-02-07,7.47,7.47,7.05,7.07,2.99,381400.0
2000-02-08,7.15,7.22,6.97,7.0,2.95,587600.0
2000-02-09,7.07,7.27,7.0,7.0,2.95,427000.0
2000-02-10,6.93,7.15,6.83,6.9,2.91,453700.0
2000-02-11,6.95,6.95,6.83,6.85,2.89,432100.0
2000-02-14,6.85,7.05,6.8,6.85,2.89,383200.0
2000-02-15,6.95,7.0,6.85,6.9,2.91,544100.0
2000-02-16,6.85,6.93,6.83,6.88,2.9,318300.0
2000-02-17,6.8,6.85,6.61,6.7,2.83,748200.0
2000-02-18,6.8,6.8,6.56,6.58,2.78,1678900.0
2000-02-22,6.73,6.73,6.48,6.58,2.78,911800.0
2000-02-23,6.61,6.61,6.41,6.46,2.73,609000.0
2000-02-24,6.48,6.48,6.16,6.31,2.66,818900.0
2000-02-25,6.26,6.29,6.09,6.11,2.58,400500.0
2000-02-28,5.7,5.72,5.01,5.11,2.16,7257000.0
2000-02-29,5.35,5.45,5.01,5.08,2.15,3340800.0
2000-03-01,5.11,5.13,5.03,5.06,2.14,1337900.0
2000-03-02,5.16,5.16,5.03,5.11,2.16,1819600.0
2000-03-03,5.11,5.3,5.08,5.23,2.21,7889500.0
2000-03-06,5.5,5.53,5.23,5.26,2.22,2863800.0
2000-03-07,5.26,5.38,5.26,5.38,2.27,2221700.0
2000-03-08,5.5,5.6,5.45,5.5,2.32,1765400.0
2000-03-09,5.55,5.67,5.5,5.65,2.38,2834800.0
2000-03-10,5.67,5.8,5.65,5.77,2.44,3997900.0
2000-03-13,5.72,5.82,5.7,5.8,2.45,1957800.0
2000-03-14,5.8,6.09,5.77,5.87,2.48,2977900.0
2000-03-15,5.89,6.29,5.89,6.19,2.61,1661800.0
2000-03-16,6.14,6.53,6.14,6.36,2.69,1575800.0
2000-03-17,6.24,6.39,6.19,6.29,2.65,1198400.0
2000-03-20,6.36,6.39,6.19,6.26,2.64,857600.0
2000-03-21,6.36,6.39,6.24,6.24,2.63,801400.0
2000-03-22,6.19,6.26,6.14,6.21,2.62,747900.0
2000-03-23,6.19,6.39,6.14,6.19,2.61,1432300.0
