Date,Open,High,Low,Close,Adj Close,Volume
2011-01-27,24.9,25.85,24.9,25.4,20.2,5809300
2011-01-28,25.4,25.4,25.0,25.0,19.89,2611900
2011-01-31,24.98,26.5,24.75,26.07,20.74,2505300
2011-02-01,26.45,26.63,25.5,25.75,20.48,2155300
2011-02-02,25.98,26.33,25.74,25.95,20.64,1173100
2011-02-03,25.76,26.08,25.75,25.95,20.64,668300
2011-02-04,26.05,27.1,25.75,26.08,20.74,720200
2011-02-07,26.05,26.2,25.64,25.79,20.51,1204800
2011-02-08,25.7,26.06,25.65,26.03,20.7,3632000
2011-02-09,25.97,26.2,25.53,25.58,20.35,873200
2011-02-10,25.5,25.64,25.0,25.4,20.2,1149600
2011-02-11,26.02,26.02,25.11,25.22,20.06,2107900
2011-02-14,25.47,25.47,25.11,25.37,20.18,1122500
2011-02-15,25.32,25.42,25.06,25.38,20.19,887500
2011-02-16,25.31,26.0,25.31,26.0,20.68,853400
2011-02-17,25.88,27.21,25.88,27.01,21.48,1733100
2011-02-18,27.08,27.84,26.9,27.69,22.02,1360800
2011-02-22,27.15,27.49,26.21,26.42,21.01,1109400
2011-02-23,26.15,26.72,25.97,26.66,21.21,1125400
2011-02-24,26.46,26.52,25.94,25.95,20.64,496900
2011-02-25,26.04,26.16,25.78,25.99,20.67,556100
2011-02-28,26.11,26.74,25.96,26.59,21.15,872400
2011-03-01,26.0,27.5,25.92,27.13,21.58,1033500
2011-03-02,27.05,27.25,26.74,26.92,21.41,419700
2011-03-03,26.84,26.94,26.07,26.74,21.27,2173600
2011-03-04,26.52,27.04,26.32,26.55,21.12,719100
2011-03-07,27.27,27.84,26.85,27.0,21.48,1476600
2011-03-08,27.0,27.49,26.9,27.1,21.56,921300
2011-03-09,27.0,27.18,26.68,26.97,21.45,470800
2011-03-10,26.47,26.94,25.87,26.02,20.7,1128300
2011-03-11,25.81,26.48,25.81,26.0,20.68,706900
2011-03-14,25.79,26.76,25.77,26.46,21.05,786600
2011-03-15,25.9,26.58,25.81,26.34,20.95,859600
2011-03-16,26.32,26.38,25.71,26.03,20.7,1261100
2011-03-17,26.43,26.49,26.04,26.09,20.75,363600
2011-03-18,26.2,26.66,26.2,26.64,21.19,663900
2011-03-21,26.65,27.06,26.44,27.0,21.48,377600
2011-03-22,26.91,27.47,26.82,27.15,21.6,720600
2011-03-23,27.01,27.38,26.63,26.78,21.3,812000
2011-03-24,26.85,27.14,26.43,27.06,21.52,225200
2011-03-25,27.21,28.15,27.21,27.62,21.97,475200
2011-03-28,27.58,28.02,27.34,27.49,21.87,605300
2011-03-29,27.52,27.94,27.31,27.94,22.22,410800
2011-03-30,28.01,28.15,27.62,27.82,22.13,912000
2011-03-31,27.84,27.95,27.15,27.31,21.72,5847400
2011-04-01,27.4,27.66,27.01,27.29,21.71,609800
2011-04-04,27.28,28.0,27.28,27.75,22.07,945500
2011-04-05,27.64,27.64,27.17,27.41,21.8,273400
2011-04-06,27.49,27.53,27.06,27.5,21.87,653900
2011-04-07,27.39,27.61,26.94,27.48,21.86,242400
2011-04-08,27.77,27.77,26.91,27.03,21.5,446100
2011-04-11,27.0,27.97,26.88,27.65,21.99,483700
2011-04-12,27.48,28.26,27.32,28.08,22.33,1260300
2011-04-13,28.18,28.42,27.93,28.07,22.33,1031600
2011-04-14,27.97,28.05,27.48,27.66,22.0,161600
2011-04-15,27.63,28.03,27.54,28.02,22.29,246800
2011-04-18,27.7,27.88,27.22,27.3,21.71,311500
2011-04-19,27.3,28.19,27.27,27.6,21.95,371200
2011-04-20,27.92,28.0,27.14,27.28,21.7,1493500
2011-04-21,27.48,29.23,27.48,28.75,22.87,1009500
2011-04-25,28.87,29.06,27.81,28.6,22.75,1074200
2011-04-26,28.6,28.74,28.09,28.47,22.65,491200
2011-04-27,28.57,29.11,28.52,28.72,22.84,848500
2011-04-28,28.77,31.5,28.65,29.32,23.32,2091200
2011-04-29,29.38,30.1,29.27,29.89,23.77,1065600
2011-05-02,29.89,30.15,29.74,29.83,23.73,437800
2011-05-03,29.85,29.95,29.26,29.35,23.35,470700
2011-05-04,29.5,29.58,28.58,28.85,22.95,599000
2011-05-05,28.77,29.83,28.75,29.77,23.68,415600
2011-05-06,29.94,30.13,29.6,29.83,23.73,198500
2011-05-09,29.9,30.78,29.78,30.29,24.09,742200
2011-05-10,30.43,30.85,30.09,30.22,24.04,328500
2011-05-11,30.41,30.5,30.04,30.19,24.01,701900
2011-05-12,30.08,30.52,29.35,30.27,24.08,657000
2011-05-13,30.37,30.72,29.91,30.6,24.34,383700
2011-05-16,30.49,31.47,30.2,30.9,24.58,694400
2011-05-17,30.89,32.62,30.89,32.06,25.5,1846300
2011-05-18,31.13,32.33,30.73,32.03,25.48,1327400
2011-05-19,31.9,32.15,31.35,31.7,25.21,643200
2011-05-20,31.73,32.07,31.5,31.94,25.41,599400
2011-05-23,31.69,32.03,31.21,31.45,25.02,732900
2011-05-24,31.74,31.75,30.13,30.61,24.35,1721400
2011-05-25,30.61,31.86,30.33,30.74,24.45,1114400
2011-05-26,30.77,31.2,30.54,31.02,24.67,669100
2011-05-27,31.31,31.83,31.09,31.36,24.94,1110200
2011-05-31,31.78,33.0,31.25,31.49,25.05,4236000
2011-06-01,31.59,31.69,30.7,30.83,24.52,618100
2011-06-02,30.9,32.11,30.85,32.0,25.45,597600
2011-06-03,31.65,31.96,31.14,31.62,25.15,360400
2011-06-06,31.64,31.79,31.07,31.15,24.78,281200
2011-06-07,31.18,32.06,31.15,31.77,25.27,782900
2011-06-08,31.64,31.85,31.38,31.44,25.01,397200
2011-06-09,31.55,31.55,31.13,31.49,25.05,153200
2011-06-10,31.43,31.43,30.29,30.56,24.31,280900
2011-06-13,30.54,31.27,30.48,30.64,24.37,508900
2011-06-14,30.82,31.2,30.57,30.61,24.35,242200
2011-06-15,30.36,31.16,29.72,29.74,23.66,848200
2011-06-16,29.71,29.9,28.59,29.13,23.17,1063300
2011-06-17,29.27,31.17,29.27,30.28,24.08,1302500
2011-06-20,30.16,30.25,29.39,29.54,23.5,515400
2011-06-21,29.5,30.74,29.32,30.55,24.3,291000
2011-06-22,30.38,30.5,29.94,30.01,23.87,345900
2011-06-23,29.78,30.93,29.53,30.75,24.46,927900
2011-06-24,30.67,30.78,29.66,29.97,23.84,1285600
2011-06-27,29.92,30.15,29.34,29.4,23.38,285800
2011-06-28,29.7,30.08,29.13,29.93,23.81,435400
2011-06-29,29.97,30.72,29.73,30.5,24.26,629500
2011-06-30,30.63,31.68,30.43,31.16,24.78,779500
2011-07-01,31.11,31.29,30.17,30.84,24.53,628000
2011-07-05,30.74,30.95,30.2,30.9,24.58,190400
2011-07-06,30.91,31.2,30.41,30.69,24.41,307200
2011-07-07,30.84,31.8,30.72,31.36,24.94,210400
2011-07-08,30.93,31.01,30.31,30.62,24.36,150200
2011-07-11,30.32,30.51,30.0,30.08,23.93,106500
2011-07-12,29.84,30.36,29.75,30.05,23.9,289700
2011-07-13,30.31,31.12,29.97,30.1,23.94,197800
2011-07-14,30.1,30.44,29.61,30.3,24.1,504500
2011-07-15,30.68,31.48,30.68,31.04,24.69,517000
2011-07-18,30.99,31.12,30.14,30.53,24.28,347400
2011-07-19,30.63,31.34,30.63,30.84,24.53,287000
2011-07-20,30.81,31.0,30.1,30.22,24.04,441800
2011-07-21,30.5,30.74,30.33,30.51,24.27,1398100
2011-07-22,30.62,31.35,30.46,30.94,24.61,754100
2011-07-25,30.58,31.09,30.24,30.38,24.16,719400
2011-07-26,30.4,30.57,30.16,30.29,24.09,432600
2011-07-27,30.06,30.65,29.89,30.39,24.17,1087900
2011-07-28,30.76,31.83,30.32,30.39,24.17,824400
2011-07-29,30.03,30.14,29.68,29.96,23.83,1750000
2011-08-01,30.22,30.48,29.7,29.89,23.77,502600
2011-08-02,29.67,30.0,28.94,29.0,23.07,436400
2011-08-03,28.92,29.15,28.41,29.11,23.15,608000
2011-08-04,28.66,28.99,28.11,28.12,22.37,909100
2011-08-05,28.33,28.53,26.74,27.65,21.99,1560600
2011-08-08,26.75,27.44,26.06,26.12,20.78,1136300
2011-08-09,26.36,27.06,25.79,27.05,21.52,1107200
2011-08-10,26.59,27.41,26.37,26.47,21.05,1437800
2011-08-11,26.7,27.64,26.42,27.43,21.82,944900
2011-08-12,27.49,27.79,26.96,27.05,21.52,289600
2011-08-15,27.18,28.01,27.11,27.88,22.18,808000
2011-08-16,27.71,28.2,27.55,27.87,22.17,517500
2011-08-17,27.92,28.79,27.92,28.51,22.68,547400
2011-08-18,28.08,28.08,26.73,27.41,21.8,1153000
2011-08-19,26.96,27.57,26.51,26.56,21.13,1435200
2011-08-22,26.92,27.85,26.8,27.68,22.02,1520900
2011-08-23,27.84,27.87,26.71,27.44,21.83,847500
2011-08-24,27.18,28.23,27.17,27.75,22.07,857000
2011-08-25,27.76,27.85,27.23,27.52,21.89,670100
2011-08-26,27.4,28.85,27.05,28.29,22.5,772400
2011-08-29,28.57,29.68,28.23,29.55,23.5,462700
2011-08-30,29.37,29.68,28.92,29.43,23.41,465300
2011-08-31,29.52,29.87,29.34,29.66,23.59,583800
2011-09-01,29.63,29.89,29.34,29.39,23.38,294700
2011-09-02,29.04,29.55,28.89,29.51,23.47,532000
2011-09-06,28.76,29.13,28.37,28.83,22.93,575500
2011-09-07,29.16,29.5,28.83,29.07,23.12,849800
2011-09-08,28.84,29.28,28.84,29.13,23.17,401100
2011-09-09,28.97,29.15,27.87,28.33,22.53,450800
2011-09-12,28.01,28.27,27.48,27.8,22.11,323300
2011-09-13,27.88,27.88,27.44,27.61,21.96,566200
2011-09-14,27.76,27.76,27.03,27.06,21.52,889700
2011-09-15,27.39,27.88,27.12,27.72,22.05,641100
2011-09-16,27.88,28.34,27.62,28.28,22.49,359200
2011-09-19,27.98,28.59,27.55,28.26,22.48,605600
2011-09-20,28.28,28.34,27.48,27.67,22.01,1251900
2011-09-21,27.67,28.72,27.5,28.59,22.74,1314000
2011-09-22,27.86,27.88,25.7,26.12,20.78,1613800
2011-09-23,25.25,26.69,24.67,26.62,21.17,1210800
2011-09-26,26.47,26.98,25.83,26.76,21.28,1182000
2011-09-27,27.05,27.81,26.91,27.4,21.79,1738600
2011-09-28,27.5,28.31,27.26,27.35,21.75,1368500
2011-09-29,27.73,28.01,26.32,26.75,21.28,923900
2011-09-30,26.43,26.89,25.95,26.08,20.74,539600
2011-10-03,25.97,26.53,24.99,25.05,19.92,745200
2011-10-04,24.86,25.51,24.38,25.12,19.98,660200
2011-10-05,26.21,26.93,26.05,26.53,21.1,1000300
2011-10-06,26.6,27.7,26.26,27.38,21.78,1575400
2011-10-07,27.72,27.74,27.04,27.29,21.71,333800
2011-10-10,27.62,27.78,27.03,27.5,21.87,704100
2011-10-11,27.35,27.48,26.9,27.08,21.54,652000
2011-10-12,27.29,27.84,27.13,27.7,22.03,616200
2011-10-13,27.56,28.08,27.45,27.95,22.23,594000
2011-10-14,28.3,28.44,27.9,28.22,22.45,497700
2011-10-17,28.02,28.22,27.63,28.04,22.3,278500
2011-10-18,27.91,28.69,27.15,28.3,22.51,467200
2011-10-19,28.11,28.47,27.86,28.18,22.41,769000
2011-10-20,28.08,28.82,27.39,28.81,22.92,518900
2011-10-21,28.93,29.25,28.83,28.98,23.05,699600
2011-10-24,28.99,29.12,28.68,28.78,22.89,276500
2011-10-25,28.68,28.92,28.06,28.18,22.41,618500
2011-10-26,28.38,28.56,27.25,27.39,21.79,447800
2011-10-27,28.78,30.34,28.0,29.88,23.77,1039400
2011-10-28,29.07,30.26,28.97,29.45,23.42,2017000
2011-10-31,29.11,29.74,28.46,29.35,23.35,1023300
2011-11-01,28.61,28.9,28.37,28.74,22.86,459000
2011-11-02,28.79,29.15,28.41,28.7,22.83,331200
2011-11-03,28.83,29.03,28.51,28.93,23.01,146700
2011-11-04,28.69,29.5,28.55,29.47,23.44,385800
2011-11-07,29.42,30.46,29.32,30.05,23.9,416400
2011-11-08,30.19,30.44,29.8,30.25,24.06,546700
2011-11-09,29.73,30.0,29.39,29.48,23.45,454100
2011-11-10,29.76,30.02,29.61,30.01,23.87,460200
2011-11-11,30.17,30.37,29.92,30.31,24.11,245700
2011-11-14,30.15,30.96,29.86,30.93,24.6,543100
2011-11-15,30.92,31.45,30.46,30.99,24.65,935100
2011-11-16,30.7,30.7,29.9,30.09,23.93,511700
2011-11-17,30.07,30.11,28.81,28.88,22.97,384600
2011-11-18,28.94,29.0,28.55,28.56,22.72,269900
2011-11-21,28.26,28.94,28.14,28.68,22.81,503100
2011-11-22,28.69,29.55,28.54,29.22,23.24,375400
2011-11-23,29.08,29.08,28.24,28.46,22.64,228500
2011-11-25,28.39,28.76,28.06,28.51,22.68,139400
2011-11-28,29.1,29.32,28.9,29.02,23.08,395800
2011-11-29,29.06,29.17,28.27,28.65,22.79,445800
2011-11-30,29.45,29.45,28.69,29.05,23.11,1304000
2011-12-01,28.91,29.65,28.91,29.37,23.36,364600
2011-12-02,29.53,29.98,29.2,29.86,23.75,466600
2011-12-05,30.05,30.45,29.56,29.7,23.62,430500
2011-12-06,29.7,29.8,28.82,28.88,22.97,494600
2011-12-07,28.71,28.95,28.35,28.85,22.95,397900
2011-12-08,28.66,28.94,27.96,28.1,22.35,288300
2011-12-09,28.15,28.79,27.74,28.71,22.84,996300
2011-12-12,28.39,28.84,28.12,28.72,22.84,237600
2011-12-13,28.84,29.03,28.38,28.5,22.67,455700
2011-12-14,28.22,28.46,27.66,27.89,22.18,569600
2011-12-15,28.05,28.07,27.47,27.86,22.16,1484700
2011-12-16,27.9,28.39,27.55,27.8,22.11,2231500
2011-12-19,27.98,28.71,27.09,28.35,22.55,799100
2011-12-20,28.73,29.49,28.56,29.47,23.44,669800
2011-12-21,29.35,29.97,29.2,29.78,23.69,667900
2011-12-22,29.75,29.94,29.04,29.82,23.72,536300
2011-12-23,29.81,30.11,29.51,29.87,23.76,250900
2011-12-27,29.69,29.8,29.07,29.74,23.66,260000
2011-12-28,29.7,29.87,29.38,29.54,23.5,282800
2011-12-29,29.52,30.06,29.4,29.65,23.58,393400
2011-12-30,29.7,29.99,29.58,29.69,23.62,262100
2012-01-03,29.99,30.5,29.66,29.93,23.81,824500
2012-01-04,28.76,29.63,28.58,29.29,23.3,500600
2012-01-05,28.75,29.49,28.75,29.35,23.35,361500
2012-01-06,29.26,29.6,28.96,29.32,23.32,404800
2012-01-09,29.4,29.44,28.95,29.24,23.26,285800
2012-01-10,29.8,30.04,29.48,29.6,23.54,518900
2012-01-11,29.44,29.74,29.44,29.58,23.53,355400
2012-01-12,29.6,29.75,29.22,29.26,23.27,372400
2012-01-13,29.11,29.17,28.4,28.5,22.67,723500
2012-01-17,28.75,29.8,28.67,29.33,23.33,771800
2012-01-18,29.33,29.47,29.18,29.36,23.35,239100
2012-01-19,29.35,29.65,28.66,28.7,22.83,402100
2012-01-20,28.52,28.66,27.74,28.09,22.34,452400
2012-01-23,28.14,29.04,28.12,28.98,23.05,327800
2012-01-24,28.86,28.97,28.4,28.67,22.8,303300
2012-01-25,28.7,28.86,28.42,28.62,22.76,304400
2012-01-26,28.66,29.48,28.62,29.06,23.11,498200
2012-01-27,28.89,29.41,28.84,29.18,23.21,548300
2012-01-30,28.94,29.18,28.85,29.01,23.07,493000
2012-01-31,29.11,29.35,28.71,28.98,23.05,588700
2012-02-01,29.0,29.37,28.88,28.98,23.05,1959700
2012-02-02,29.17,29.35,28.58,28.74,22.86,587600
2012-02-03,29.0,30.27,29.0,30.22,24.04,733400
2012-02-06,29.24,29.95,28.0,28.85,22.95,1428200
2012-02-07,28.55,28.73,27.95,28.09,22.34,1260100
2012-02-08,28.2,28.67,28.18,28.48,22.65,1490500
2012-02-09,28.6,28.66,28.12,28.39,22.58,475700
