Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,24.28,24.54,24.14,24.42,15.84,337300
2000-01-03,24.54,24.54,23.55,23.89,15.49,336600
2000-01-04,24.23,24.85,24.11,24.2,15.69,664500
2000-01-05,24.2,24.76,24.11,24.17,15.67,613600
2000-01-06,23.94,23.94,23.49,23.72,15.38,654100
2000-01-07,23.83,24.62,23.83,24.28,15.75,944700
2000-01-10,24.39,24.51,23.94,24.0,15.56,660900
2000-01-11,23.94,25.02,23.91,24.42,15.84,516200
2000-01-12,24.54,24.62,24.17,24.17,15.67,305700
2000-01-13,24.23,24.48,24.08,24.17,15.67,277800
2000-01-14,24.17,24.39,24.06,24.06,15.6,370300
2000-01-18,23.43,23.72,23.01,23.55,15.27,435600
2000-01-19,23.38,23.46,22.67,22.81,14.8,709600
2000-01-20,22.93,23.24,22.19,22.93,14.87,741300
2000-01-21,23.15,23.58,22.73,23.58,15.29,592800
2000-01-24,23.58,23.83,21.97,22.02,14.28,677100
2000-01-25,22.19,22.28,21.01,21.57,13.99,646800
2000-01-26,21.74,21.8,20.44,21.63,14.03,1039700
2000-01-27,21.68,22.76,21.68,22.59,14.65,1344100
2000-01-28,22.64,23.01,22.36,22.62,14.67,656700
2000-01-31,22.64,22.7,22.02,22.7,14.72,526600
2000-02-01,22.93,22.93,22.19,22.7,14.72,978800
2000-02-02,22.81,22.84,22.25,22.59,14.65,778500
2000-02-03,22.87,22.95,22.33,22.56,14.63,667600
2000-02-04,22.64,23.38,22.64,23.38,15.16,679500
2000-02-07,23.72,24.45,22.36,22.53,14.61,1189300
2000-02-08,22.42,22.59,22.14,22.33,14.48,437600
2000-02-09,22.33,22.36,21.63,21.85,14.17,477200
2000-02-10,21.83,21.91,21.29,21.37,13.86,857500
2000-02-11,21.37,21.49,21.01,21.18,13.73,1274100
2000-02-14,21.2,21.32,21.03,21.03,13.64,907300
2000-02-15,20.95,21.01,20.22,20.41,13.24,1578700
2000-02-16,20.33,21.09,20.33,20.89,13.55,699000
2000-02-17,20.78,21.03,20.72,20.92,13.57,238800
2000-02-18,20.78,20.81,20.16,20.33,13.18,843800
2000-02-22,20.33,21.01,20.33,20.75,13.46,555800
2000-02-23,20.67,20.84,20.61,20.64,13.39,373600
2000-02-24,20.72,20.78,20.41,20.75,13.58,817900
2000-02-25,20.75,20.89,20.19,20.5,13.41,738400
2000-02-28,20.5,20.78,20.24,20.27,13.26,418100
2000-02-29,20.33,20.75,20.33,20.47,13.39,365600
2000-03-01,20.41,20.41,19.68,19.79,12.95,491800
2000-03-02,19.45,19.82,19.26,19.68,12.88,1441500
2000-03-03,19.79,20.05,19.79,20.05,13.12,617100
2000-03-06,20.33,21.85,20.33,21.68,14.19,1262400
2000-03-07,21.68,22.05,21.03,21.09,13.8,1596600
2000-03-08,21.23,21.63,21.03,21.35,13.97,706100
2000-03-09,21.29,21.46,21.23,21.46,14.04,667600
