Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,6.82,7.07,6.73,7.07,6.02,101800
2000-01-03,7.02,7.04,6.42,6.59,5.61,200900
2000-01-04,6.34,6.45,6.31,6.42,5.47,365300
2000-01-05,6.37,6.59,6.31,6.54,5.57,229300
2000-01-06,6.54,6.9,6.42,6.79,5.78,419400
2000-01-07,6.79,7.27,6.79,7.27,6.19,887800
2000-01-10,7.21,7.21,7.13,7.21,6.14,281200
2000-01-11,7.19,7.24,7.13,7.21,6.14,595500
2000-01-12,7.21,7.21,6.9,6.9,5.88,225100
2000-01-13,6.96,7.41,6.96,7.19,6.12,466000
2000-01-14,7.21,7.33,7.13,7.33,6.24,637600
2000-01-18,7.3,7.64,7.19,7.61,6.48,1237400
2000-01-19,7.78,8.54,7.75,8.43,7.17,1698100
2000-01-20,8.45,8.48,8.31,8.31,7.08,1284200
2000-01-21,8.31,9.69,8.31,9.13,7.77,1281700
2000-01-24,9.13,9.41,9.07,9.24,7.87,1160400
2000-01-25,9.27,9.69,9.21,9.61,8.18,772300
2000-01-26,9.58,9.69,9.24,9.64,8.2,872300
2000-01-27,9.67,9.81,8.76,8.9,7.58,1611100
2000-01-28,8.93,9.02,8.51,8.59,7.32,292100
2000-01-31,8.59,8.9,8.45,8.45,7.2,407600
2000-02-01,8.68,8.88,8.4,8.62,7.34,506500
2000-02-02,8.85,9.16,8.68,8.79,7.48,518700
2000-02-03,8.79,8.9,8.71,8.79,7.48,97100
2000-02-04,8.79,8.79,8.34,8.54,7.27,732100
2000-02-07,8.54,8.88,8.51,8.88,7.56,410900
2000-02-08,8.88,9.07,8.51,8.79,7.48,289800
2000-02-09,8.74,8.88,8.54,8.65,7.36,330700
2000-02-10,8.57,11.27,8.51,10.6,9.02,3323800
2000-02-11,10.62,11.05,10.23,10.6,9.02,1588300
2000-02-14,9.98,10.34,9.83,9.95,8.47,1612700
2000-02-15,10.09,10.45,9.89,10.34,8.8,994100
2000-02-16,10.34,10.93,10.34,10.45,8.9,641200
2000-02-17,10.57,10.68,10.17,10.29,8.76,445500
2000-02-18,10.31,10.37,10.03,10.14,8.64,332200
2000-02-22,10.17,10.2,9.86,10.17,8.66,331100
