Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,20.44,20.5,20.0,20.5,13.17,367100
2000-01-03,20.25,20.38,19.81,20.12,12.93,694200
2000-01-04,20.12,20.38,19.88,20.25,13.01,859600
2000-01-05,20.25,20.38,19.75,20.12,12.93,969300
2000-01-06,20.19,21.56,19.69,21.31,13.7,1390700
2000-01-07,21.25,21.38,20.5,20.69,13.29,730800
2000-01-10,20.81,21.31,20.38,21.31,13.7,700400
2000-01-11,21.12,21.69,21.06,21.38,13.74,749700
2000-01-12,21.62,21.81,20.94,21.19,13.62,666400
2000-01-13,21.44,22.75,21.31,21.75,13.98,1058900
2000-01-14,21.75,21.88,21.25,21.44,13.78,871300
2000-01-18,21.0,21.0,20.12,20.38,13.09,1251300
2000-01-19,20.25,20.44,20.0,20.06,12.89,1144700
2000-01-20,20.06,20.25,19.19,19.75,12.69,2308200
2000-01-21,20.0,20.0,19.44,19.69,12.65,728400
2000-01-24,19.94,19.94,18.94,18.94,12.17,743800
2000-01-25,19.0,19.81,18.31,18.81,12.09,848000
2000-01-26,18.44,18.75,17.31,17.75,11.41,1686100
2000-01-27,18.12,18.44,17.31,17.5,11.25,1854000
2000-01-28,17.25,17.69,17.06,17.25,11.09,1595000
2000-01-31,17.25,17.31,16.56,17.0,10.92,1309500
2000-02-01,16.75,17.25,16.75,16.75,10.76,1023700
2000-02-02,16.56,16.75,16.25,16.31,10.61,1065900
2000-02-03,16.38,16.5,16.0,16.06,10.45,1025200
2000-02-04,16.06,16.19,15.5,15.75,10.24,1264800
2000-02-07,16.0,16.44,15.75,16.25,10.57,1249800
2000-02-08,16.0,16.25,15.31,15.38,10.0,1128600
2000-02-09,15.88,15.94,15.31,15.31,9.96,1693300
2000-02-10,15.5,15.75,15.0,15.0,9.76,1809900
2000-02-11,15.31,15.31,14.56,14.62,9.51,986200
2000-02-14,15.0,15.62,14.81,15.12,9.84,2381300
2000-02-15,15.12,15.5,15.0,15.19,9.88,1072600
2000-02-16,15.25,15.38,14.69,15.25,9.92,1664900
2000-02-17,14.81,15.19,14.69,14.81,9.63,1176800
2000-02-18,14.94,15.12,14.81,14.81,9.63,1047000
