Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,29.25,29.25,28.0,29.0,16.32,501700
2000-01-03,29.0,29.31,27.62,27.75,15.62,1010500
2000-01-04,27.5,29.19,27.5,28.44,16.0,1194700
2000-01-05,28.25,28.81,27.38,28.0,15.76,902200
2000-01-06,27.81,28.81,27.62,28.56,16.07,2052500
2000-01-07,28.94,29.5,28.75,29.5,16.6,1780600
2000-01-10,29.5,29.69,28.38,28.94,16.28,1312600
2000-01-11,28.94,29.88,28.56,28.62,16.11,834100
2000-01-12,28.88,29.0,27.62,28.25,15.9,878800
2000-01-13,28.44,28.62,28.19,28.31,15.93,1297200
2000-01-14,29.5,29.88,28.5,28.75,16.18,2802000
2000-01-18,28.56,30.25,28.56,29.88,16.81,2117900
2000-01-19,29.75,29.81,28.75,29.5,16.6,1081200
2000-01-20,29.38,31.0,29.38,30.69,17.27,2006700
2000-01-21,31.75,31.75,30.69,31.0,17.44,1416500
2000-01-24,31.75,31.75,30.5,30.5,17.16,1375000
2000-01-25,30.5,30.88,30.5,30.56,17.2,1130300
2000-01-26,30.5,30.81,30.44,30.62,17.23,829700
2000-01-27,30.81,31.5,30.56,31.25,17.58,554800
2000-01-28,30.75,30.94,29.56,29.81,16.78,1032900
2000-01-31,29.88,30.44,29.75,29.94,16.85,736800
2000-02-01,29.75,30.12,29.5,29.69,16.71,618400
2000-02-02,29.69,30.69,29.69,30.56,17.2,863800
2000-02-03,31.38,31.88,27.0,27.5,15.47,3486000
2000-02-04,23.0,23.69,21.0,23.5,13.22,14708000
2000-02-07,24.5,26.25,24.38,25.94,14.6,6683000
2000-02-08,25.88,28.62,25.88,28.5,16.04,3148700
2000-02-09,27.0,27.94,26.06,26.12,14.7,3034800
2000-02-10,26.94,26.94,26.31,26.44,14.88,2317100
2000-02-11,26.31,26.75,26.25,26.5,14.91,2473600
2000-02-14,26.5,27.81,26.5,27.5,15.47,2504600
2000-02-15,27.25,28.19,26.88,27.69,15.58,2349400
2000-02-16,27.44,27.94,27.25,27.62,15.66,2049100
2000-02-17,27.38,27.81,26.19,26.19,14.85,1812900
2000-02-18,26.06,26.06,24.06,24.69,14.0,2355900
2000-02-22,24.5,25.5,24.44,25.19,14.28,951800
2000-02-23,25.12,25.75,24.38,24.38,13.82,1029700
2000-02-24,24.0,24.88,23.44,23.81,13.5,1653800
2000-02-25,24.38,25.0,23.31,23.5,13.32,1751600
2000-02-28,23.5,25.06,23.5,24.38,13.82,1128800
2000-02-29,24.38,24.75,23.12,23.25,13.18,1225900
2000-03-01,23.12,24.0,22.69,23.69,13.43,2068500
2000-03-02,24.38,24.38,23.06,23.81,13.5,1070000
2000-03-03,23.5,24.44,23.38,24.19,13.71,789900
2000-03-06,24.44,24.69,23.0,23.12,13.11,1154600
2000-03-07,23.06,23.06,22.38,22.44,12.72,1911200
2000-03-08,22.44,23.25,22.31,23.06,13.08,1225000
2000-03-09,22.75,23.06,22.06,22.69,12.86,1041700
2000-03-10,22.19,22.44,21.12,21.5,12.19,1619300
2000-03-13,21.5,22.31,21.31,22.06,12.51,1402500
2000-03-14,21.94,21.94,21.19,21.62,12.26,1183600
2000-03-15,21.25,23.69,21.25,23.06,13.08,1722400
2000-03-16,23.25,25.06,23.19,24.5,13.89,1305700
2000-03-17,25.06,25.19,24.56,24.75,14.03,1548600
2000-03-20,24.75,24.94,24.0,24.38,13.82,738600
2000-03-21,24.5,25.5,24.44,25.19,14.28,874000
2000-03-22,25.19,25.31,24.75,24.88,14.1,872700
2000-03-23,25.0,25.0,24.38,24.88,14.1,706800
2000-03-24,24.62,25.25,24.0,24.12,13.68,666900
2000-03-27,24.75,24.81,23.94,24.19,13.71,573200
2000-03-28,24.12,24.44,23.81,23.81,13.5,1029300
2000-03-29,23.88,24.44,23.56,24.38,13.82,1421800
2000-03-30,24.44,24.44,23.62,23.81,13.5,1165700
2000-03-31,24.0,25.44,23.88,24.81,14.07,1168200
2000-04-03,25.25,25.94,25.0,25.56,14.49,1092700
2000-04-04,26.75,28.0,26.0,26.88,15.24,1669200
2000-04-05,26.88,27.25,26.62,26.69,15.13,821400
2000-04-06,26.69,27.5,26.44,26.5,15.03,1112900
2000-04-07,26.5,26.69,25.75,26.06,14.78,870600
2000-04-10,26.25,26.44,26.0,26.12,14.81,684900
2000-04-11,26.19,26.44,26.12,26.31,14.92,867600
2000-04-12,27.0,27.25,26.5,27.0,15.31,1589100
2000-04-13,26.75,27.25,26.31,27.25,15.45,865600
2000-04-14,26.62,26.62,24.75,25.25,14.32,1115300
2000-04-17,25.12,27.25,24.81,27.25,15.45,1076100
2000-04-18,26.75,26.75,25.75,25.75,14.6,1492900
2000-04-19,26.38,26.38,25.5,25.75,14.6,1017400
2000-04-20,26.0,26.56,26.0,26.25,14.88,1006000
2000-04-24,26.12,26.75,26.12,26.44,14.99,777100
2000-04-25,26.44,26.81,26.31,26.62,15.1,987100
2000-04-26,26.69,26.75,26.25,26.44,14.99,795600
2000-04-27,26.44,26.44,25.69,26.06,14.78,831600
2000-04-28,25.75,25.94,25.0,25.19,14.28,1271400
2000-05-01,25.0,25.31,24.81,25.0,14.18,975900
2000-05-02,25.19,25.19,24.25,24.69,14.0,1036000
2000-05-03,25.0,26.62,24.88,26.12,14.81,2130800
2000-05-04,25.75,26.06,25.0,25.12,14.25,1060300
2000-05-05,25.62,26.88,25.5,26.0,14.74,898300
2000-05-08,26.06,27.5,25.75,27.5,15.59,1078500
2000-05-09,27.0,27.88,26.31,26.69,15.13,971300
2000-05-10,26.81,27.12,26.31,26.94,15.27,712000
2000-05-11,27.12,28.5,27.0,27.31,15.49,1244000
2000-05-12,27.31,27.5,26.5,26.94,15.27,1196000
2000-05-15,26.88,27.62,26.75,27.25,15.45,637300
2000-05-16,27.38,27.88,27.25,27.44,15.56,665800
2000-05-17,27.5,27.88,27.44,27.56,15.63,620700
2000-05-18,27.25,27.31,26.62,27.0,15.43,846800
2000-05-19,26.5,26.62,25.19,25.62,14.64,1332200
2000-05-22,25.75,26.25,25.19,25.5,14.57,551900
2000-05-23,25.19,26.12,25.06,25.75,14.71,433600
2000-05-24,25.5,26.5,25.5,26.38,15.07,582200
2000-05-25,26.38,26.62,24.81,25.12,14.36,838000
2000-05-26,25.25,25.62,25.19,25.5,14.57,358500
2000-05-30,25.75,26.38,25.56,26.19,14.96,562200
2000-05-31,26.0,26.62,26.0,26.25,15.0,775600
2000-06-01,26.25,27.19,26.0,26.75,15.28,1143500
2000-06-02,26.75,27.38,26.44,26.94,15.39,1289600
2000-06-05,26.94,27.31,26.62,26.69,15.25,558500
2000-06-06,26.62,26.81,26.5,26.81,15.32,393400
2000-06-07,26.94,26.94,26.5,26.5,15.14,413900
2000-06-08,26.56,26.56,25.88,26.06,14.89,1257200
2000-06-09,26.31,26.62,25.88,26.0,14.86,822500
2000-06-12,25.94,26.38,25.5,25.56,14.61,813600
2000-06-13,25.62,26.12,25.62,25.81,14.75,672400
2000-06-14,26.06,26.19,25.69,25.75,14.71,568800
2000-06-15,25.75,26.12,24.94,24.94,14.25,1339200
2000-06-16,24.56,24.88,23.75,24.25,13.86,2708400
2000-06-19,24.44,24.75,24.12,24.12,13.78,1172700
2000-06-20,24.25,24.25,23.88,23.88,13.64,1120100
2000-06-21,24.06,24.12,23.75,23.81,13.61,2130200
2000-06-22,23.88,24.19,23.81,24.0,13.71,788400
2000-06-23,24.0,24.06,23.81,23.81,13.61,761900
2000-06-26,24.0,24.88,24.0,24.38,13.93,1040700
2000-06-27,24.12,25.75,24.12,25.62,14.64,1157100
2000-06-28,25.44,26.19,25.06,25.27,14.44,928100
2000-06-29,25.38,26.56,25.19,25.81,14.75,1003900
2000-06-30,26.0,26.31,25.73,25.75,14.71,1475200
2000-07-03,25.94,26.44,25.75,26.06,14.89,382700
2000-07-05,26.31,26.62,26.25,26.25,15.0,501800
2000-07-06,26.5,26.69,26.19,26.56,15.18,509600
2000-07-07,26.31,26.62,25.75,26.31,15.03,1261200
2000-07-10,26.25,26.5,26.19,26.5,15.14,853500
2000-07-11,26.25,26.62,25.94,26.25,15.0,968000
2000-07-12,26.0,26.5,26.0,26.5,15.14,1174300
2000-07-13,26.31,26.69,26.25,26.5,15.14,911300
2000-07-14,26.62,27.81,26.5,27.69,15.82,892300
2000-07-17,27.5,27.5,27.0,27.22,15.55,736200
2000-07-18,27.25,27.75,27.19,27.69,15.82,834500
2000-07-19,27.56,28.0,27.31,28.0,16.0,1667000
2000-07-20,28.25,28.44,28.0,28.12,16.07,1102900
2000-07-21,28.0,28.19,27.81,28.0,16.0,796600
2000-07-24,27.75,28.31,27.75,28.31,16.18,1135000
2000-07-25,28.31,28.44,28.06,28.44,16.25,631400
2000-07-26,28.44,28.94,28.31,28.5,16.28,860300
2000-07-27,28.5,29.06,27.31,27.44,15.68,1790800
2000-07-28,27.5,28.0,26.81,27.0,15.43,1082400
2000-07-31,27.0,27.25,26.94,26.94,15.39,2788900
2000-08-01,26.88,27.12,26.81,27.06,15.46,1079800
2000-08-02,27.0,27.0,26.06,26.31,15.03,805200
2000-08-03,26.5,26.81,25.81,26.0,14.86,673600
2000-08-04,26.56,26.75,25.88,26.19,14.96,1065800
2000-08-07,26.06,26.56,25.69,26.0,14.86,972000
2000-08-08,26.12,26.19,25.81,26.06,14.89,866700
2000-08-09,26.62,26.62,25.62,25.88,14.78,1523900
2000-08-10,26.12,26.44,25.62,25.88,14.78,1110300
2000-08-11,25.88,26.12,25.75,25.94,14.82,1273800
2000-08-14,25.94,26.0,25.81,25.94,14.82,1055400
2000-08-15,25.94,26.19,25.88,25.94,14.82,1532700
2000-08-16,24.75,25.75,24.75,25.75,14.71,885600
2000-08-17,25.88,25.88,25.5,25.75,14.83,635300
2000-08-18,25.94,26.06,25.62,25.94,14.94,931200
2000-08-21,26.06,26.06,25.5,25.5,14.69,253800
2000-08-22,25.56,26.19,25.5,26.0,14.98,758300
2000-08-23,25.88,26.25,25.62,25.81,14.87,868700
2000-08-24,25.75,26.25,25.5,26.0,14.98,970400
2000-08-25,25.81,25.88,24.94,25.62,14.76,505200
2000-08-28,25.5,25.75,24.62,24.88,14.33,719800
2000-08-29,24.81,26.06,24.62,25.81,14.87,1402800
2000-08-30,25.88,26.06,25.62,26.06,15.01,1041800
2000-08-31,25.88,26.5,25.81,25.95,14.95,5061700
2000-09-01,25.81,26.0,25.69,25.94,14.94,1719900
2000-09-05,25.81,26.69,25.81,26.69,15.37,1148300
2000-09-06,26.5,26.5,25.31,25.44,14.65,1814400
2000-09-07,25.5,26.06,25.38,26.0,14.98,627100
2000-09-08,26.12,26.25,25.75,26.0,14.98,1258400
2000-09-11,26.0,26.12,25.75,25.94,14.94,860500
2000-09-12,26.0,26.0,25.5,25.62,14.76,603200
2000-09-13,25.5,25.88,25.25,25.38,14.62,591900
2000-09-14,25.38,25.38,24.25,24.62,14.19,1301600
2000-09-15,24.38,25.06,24.38,25.0,14.4,1576100
2000-09-18,24.88,25.0,24.0,24.5,14.11,909600
2000-09-19,24.38,24.62,23.81,24.19,13.93,377400
2000-09-20,24.44,24.44,22.75,23.06,13.29,1478600
2000-09-21,23.75,24.0,21.38,21.94,12.64,3462900
2000-09-22,21.94,22.81,21.88,22.75,13.11,2994500
2000-09-25,23.25,23.56,22.06,22.69,13.07,1400800
2000-09-26,22.62,22.88,21.94,22.44,12.93,1284500
2000-09-27,22.25,22.38,21.69,21.94,12.64,629000
2000-09-28,21.69,22.62,21.69,22.31,12.85,794800
2000-09-29,22.25,22.81,21.75,22.81,13.14,699100
2000-10-02,22.81,22.81,22.06,22.44,12.93,1721100
2000-10-03,22.38,22.62,22.25,22.44,12.93,607400
2000-10-04,22.31,22.62,22.12,22.25,12.82,985400
2000-10-05,22.25,22.69,22.19,22.5,12.96,1084900
2000-10-06,22.62,23.06,22.38,22.5,12.96,870400
2000-10-09,22.5,23.0,22.5,22.75,13.11,867700
2000-10-10,22.81,22.94,22.69,22.75,13.11,883600
2000-10-11,22.81,22.94,22.5,22.75,13.11,1948700
2000-10-12,22.75,22.75,22.31,22.56,13.0,1530700
2000-10-13,22.56,23.06,22.56,22.81,13.14,638300
2000-10-16,22.81,23.25,22.69,22.88,13.18,760300
2000-10-17,23.06,23.06,22.5,22.69,13.07,592900
2000-10-18,22.69,22.88,22.5,22.62,13.03,1110100
2000-10-19,22.44,22.62,22.25,22.44,12.93,1626800
2000-10-20,22.44,22.44,22.31,22.31,12.85,1414400
2000-10-23,22.44,22.56,22.0,22.06,12.71,1615100
2000-10-24,22.12,23.44,18.75,19.25,11.09,5400900
2000-10-25,19.0,19.38,18.88,19.0,10.95,3541700
2000-10-26,18.94,19.0,18.25,18.69,10.77,3332000
2000-10-27,18.94,18.94,18.62,18.94,10.91,3206800
2000-10-30,18.94,19.19,18.81,19.06,10.98,3125300
2000-10-31,18.94,19.25,18.5,19.19,11.05,1813700
2000-11-01,18.5,19.19,18.5,19.12,11.02,2917700
2000-11-02,19.0,19.69,18.88,19.44,11.2,1004700
2000-11-03,19.25,19.44,19.0,19.38,11.16,870000
2000-11-06,19.0,19.94,18.81,19.75,11.38,1458600
2000-11-07,19.62,19.94,19.12,19.56,11.27,917600
2000-11-08,19.62,19.88,19.5,19.81,11.41,845100
2000-11-09,19.88,20.06,19.75,20.0,11.52,1123100
2000-11-10,19.88,20.06,19.62,19.75,11.38,823200
2000-11-13,19.75,19.88,19.5,19.81,11.41,828200
2000-11-14,20.0,20.06,19.56,19.69,11.34,1261900
2000-11-15,19.69,19.88,19.47,19.75,11.38,1027800
2000-11-16,19.81,20.0,19.62,19.62,11.31,1311200
2000-11-17,19.75,19.88,19.5,19.88,11.57,1044600
2000-11-20,20.06,20.06,19.5,19.5,11.35,1392900
2000-11-21,19.5,19.69,19.25,19.38,11.28,1018600
2000-11-22,19.5,19.56,19.0,19.12,11.14,1109700
2000-11-24,19.12,19.25,19.06,19.25,11.21,226200
2000-11-27,19.25,19.69,19.25,19.5,11.35,818600
2000-11-28,19.38,19.62,19.0,19.38,11.28,1073000
2000-11-29,19.25,19.62,19.25,19.56,11.39,540900
2000-11-30,19.44,19.62,19.31,19.44,11.32,837900
2000-12-01,19.5,19.56,19.31,19.5,11.35,534500
2000-12-04,19.5,19.94,19.5,19.75,11.5,1891800
2000-12-05,19.88,20.94,19.75,20.44,11.9,1929000
2000-12-06,20.0,20.5,20.0,20.25,11.79,1382600
2000-12-07,20.12,20.38,20.12,20.25,11.79,915800
2000-12-08,20.25,20.44,20.25,20.38,11.86,881400
2000-12-11,20.38,20.81,20.38,20.69,12.05,1483300
2000-12-12,20.75,21.5,20.75,21.5,12.52,2103700
2000-12-13,21.5,21.81,21.44,21.62,12.59,1304200
2000-12-14,21.62,22.44,21.62,22.31,12.99,1967500
2000-12-15,22.31,22.38,21.12,21.25,12.37,2472000
2000-12-18,21.5,21.94,21.25,21.38,12.45,969100
2000-12-19,21.31,21.62,21.25,21.56,12.56,1538700
